Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-01 17:00:00,6417,(H) Rubin Kazan,(V) Spartak Moscow,0,4,1.19659,2.19129,10.000,10.000,8.875,10.000,10.000,9.626,10.000,10.000,9.124
2014-08-09 17:00:00,6429,(H) FK Akhmat,(V) Rubin Kazan,1,1,0.695471,0.427576,10.875,8.875,9.500,10.338,9.626,9.996,10.412,9.124,9.504
2014-08-13 17:00:00,6436,(H) Arsenal Tula,(V) Rubin Kazan,0,0,0.75607,1.25115,8.500,9.500,9.375,9.081,9.996,9.768,9.169,9.504,9.669
2014-08-17 15:30:00,6445,(H) Rubin Kazan,(V) Lokomotiv Moscow,1,1,1.32708,0.530823,10.203,9.375,9.457,9.843,9.768,9.861,10.282,9.669,9.498
2014-08-23 17:00:00,6452,(H) Rubin Kazan,(V) CSKA Moscow,2,1,1.8365,1.60649,10.351,9.457,9.806,10.223,9.861,9.884,9.977,9.498,9.685
2014-08-31 13:00:00,6462,(H) Rubin Kazan,(V) FC Ufa,1,1,1.7471,0.591905,9.777,9.806,9.674,9.342,9.884,9.912,10.508,9.685,9.477
2014-09-13 18:00:00,6396,(H) FC Rostov,(V) Rubin Kazan,1,2,1.55467,0.656702,8.367,9.674,9.722,9.250,9.912,10.096,9.187,9.477,9.555
2014-09-20 14:00:00,6404,(H) Kuban Krasnodar,(V) Rubin Kazan,2,1,0.522582,0.510216,10.327,9.722,9.748,9.953,10.096,10.188,10.413,9.555,9.641
2014-09-29 17:00:00,6416,(H) Rubin Kazan,(V) Torpedo Moscow,2,1,2.01272,1.2886,8.914,9.748,9.665,9.728,10.188,10.129,9.398,9.641,9.524
2014-10-20 16:30:00,6383,(H) Rubin Kazan,(V) Mordovya,5,0,3.01519,0.151665,9.380,9.665,10.719,8.929,10.129,10.420,10.452,9.524,10.165
2014-10-27 17:30:00,6391,(H) Dinamo Moscow,(V) Rubin Kazan,0,2,1.96237,0.694359,11.004,10.719,11.415,10.719,10.420,10.937,10.420,10.165,10.537
2014-11-03 13:30:00,6351,(H) Rubin Kazan,(V) Amkar,1,1,0.970351,0.333673,9.449,11.415,10.799,9.719,10.937,10.667,9.613,10.537,10.022
2014-11-09 12:45:00,6359,(H) FC Krasnodar,(V) Rubin Kazan,2,0,0.347577,1.46184,10.024,10.799,10.230,10.256,10.667,10.411,9.715,10.022,9.849
2014-11-22 09:00:00,6361,(H) Ural,(V) Rubin Kazan,1,3,3.35238,1.39961,9.097,10.230,10.572,9.293,10.411,10.745,9.681,9.849,9.944
2014-11-30 13:00:00,6375,(H) Rubin Kazan,(V) Dinamo Moscow,1,1,1.98625,0.486005,11.230,10.572,10.612,10.559,10.745,10.949,10.472,9.944,9.576
2014-12-03 14:45:00,6332,(H) Rubin Kazan,(V) Zenit St. Petersburg,0,1,0.297173,1.39543,10.318,10.612,10.163,10.678,10.949,10.482,9.712,9.576,9.510
2014-12-08 14:00:00,6342,(H) Mordovya,(V) Rubin Kazan,0,1,0.934935,0.160882,9.781,10.163,10.443,9.974,10.482,10.674,9.688,9.510,9.736
2015-03-09 12:30:00,6312,(H) Rubin Kazan,(V) Arsenal Tula,1,0,0.959013,0.505787,9.383,10.443,10.303,9.299,10.674,10.319,10.117,9.736,9.843
2015-03-15 15:30:00,6320,(H) Rubin Kazan,(V) FK Akhmat,2,1,1.61753,0.700016,9.626,10.303,10.259,9.794,10.319,10.292,9.454,9.843,9.641
2015-03-21 11:15:00,6324,(H) Rubin Kazan,(V) FC Rostov,2,0,2.18266,0.17014,9.128,10.259,10.351,9.545,10.292,10.483,9.213,9.641,9.406
2015-04-04 10:00:00,6265,(H) Amkar,(V) Rubin Kazan,0,3,2.02876,1.03,9.219,10.351,10.943,9.721,10.483,10.667,9.980,9.406,10.175
2015-04-07 18:00:00,6274,(H) Rubin Kazan,(V) FC Krasnodar,1,2,1.79575,0.432515,11.129,10.943,10.614,10.915,10.667,10.945,10.266,10.175,9.482
2015-04-12 11:30:00,6282,(H) Zenit St. Petersburg,(V) Rubin Kazan,1,1,0.884834,1.62687,11.700,10.614,11.010,11.178,10.945,10.943,10.729,9.482,10.104
2015-04-18 17:00:00,6291,(H) Rubin Kazan,(V) Ural,2,1,2.13097,0.28251,10.473,11.010,11.001,9.978,10.943,11.039,10.434,10.104,9.849
2015-04-26 11:30:00,6302,(H) Spartak Moscow,(V) Rubin Kazan,1,0,0.245889,1.43082,10.127,11.001,10.658,10.335,11.039,10.692,9.958,9.849,10.047
2015-05-03 16:30:00,6229,(H) Torpedo Moscow,(V) Rubin Kazan,2,2,2.20465,0.452394,9.200,10.658,10.418,9.694,10.692,11.006,9.426,10.047,9.579
