Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 19:45:00,5153,(H) Palermo,(V) Sampdoria,1,1,0.803464,0.922943,10.000,10.000,10.125,10.000,10.000,10.095,10.000,10.000,10.155
2014-09-14 11:30:00,5111,(H) Sampdoria,(V) Torino,2,0,0.421195,0.389513,9.875,10.125,10.437,9.821,10.095,9.909,9.929,10.155,10.466
2014-09-21 14:00:00,5124,(H) Sassuolo,(V) Sampdoria,0,0,0.654804,0.656603,8.313,10.437,10.031,9.248,9.909,9.868,9.127,10.466,10.257
2014-09-24 19:45:00,5137,(H) Sampdoria,(V) Chievo,2,1,1.78275,0.270687,9.672,10.031,10.066,9.340,9.868,9.989,10.239,10.257,9.999
2014-09-28 19:45:00,5146,(H) Genoa,(V) Sampdoria,0,1,0.252545,0.203654,10.250,10.066,10.487,9.429,9.989,9.986,10.899,9.999,10.587
2014-10-05 14:00:00,5073,(H) Sampdoria,(V) Atalanta,1,0,1.31389,0.586952,9.262,10.487,10.306,9.411,9.986,9.899,9.765,10.587,10.325
2014-10-19 14:00:00,5085,(H) Cagliari,(V) Sampdoria,2,2,2.72172,1.51712,10.278,10.306,10.424,10.881,9.899,10.571,9.578,10.325,9.962
2014-10-25 19:45:00,5091,(H) Sampdoria,(V) Roma,0,0,1.22488,1.23266,11.316,10.424,10.522,10.469,10.571,10.419,10.812,9.962,10.051
2014-10-29 19:45:00,5101,(H) Inter,(V) Sampdoria,1,0,0.529139,2.31775,9.677,10.522,10.186,10.504,10.419,10.118,9.235,10.051,10.169
2014-11-02 14:00:00,5033,(H) Sampdoria,(V) Fiorentina,3,1,1.8671,1.44975,10.852,10.186,10.728,10.298,10.118,10.142,10.378,10.169,10.492
2014-11-08 19:45:00,5041,(H) Sampdoria,(V) AC Milan,2,2,2.20963,1.08993,9.816,10.728,10.375,9.613,10.142,10.165,10.137,10.492,9.998
2014-11-23 14:00:00,5056,(H) Cesena,(V) Sampdoria,1,1,1.41176,1.01428,8.933,10.375,10.139,9.237,10.165,10.157,9.779,9.998,9.969
2014-12-01 20:00:00,4999,(H) Sampdoria,(V) Napoli,1,1,0.858518,0.902433,10.897,10.139,10.204,11.115,10.157,10.261,9.694,9.969,9.786
2014-12-08 20:00:00,5009,(H) Verona,(V) Sampdoria,1,3,2.97687,1.57373,9.346,10.204,10.614,9.328,10.261,10.504,10.150,9.786,10.151
2014-12-14 11:30:00,5012,(H) Juventus,(V) Sampdoria,1,1,0.247506,1.63876,11.904,10.614,11.061,11.092,10.504,10.428,10.951,10.151,10.824
2014-12-21 14:00:00,5025,(H) Sampdoria,(V) Udinese,2,2,1.18398,1.48755,9.060,11.061,10.436,8.862,10.428,9.836,10.198,10.824,10.618
2015-01-05 19:45:00,4957,(H) Lazio,(V) Sampdoria,3,0,0.0518842,2.03096,10.506,10.436,9.829,10.386,9.836,9.604,10.284,10.618,10.404
2015-01-11 14:00:00,4975,(H) Sampdoria,(V) Empoli,1,0,0.989643,0.326387,9.981,9.829,9.992,10.213,9.604,9.797,9.686,10.404,10.184
2015-01-18 14:00:00,4984,(H) Parma,(V) Sampdoria,0,2,2.59816,0.933796,8.934,9.992,10.352,8.847,9.797,10.101,10.126,10.184,10.378
2015-01-25 14:00:00,4989,(H) Sampdoria,(V) Palermo,1,1,1.16405,0.985018,10.564,10.352,10.280,10.273,10.101,10.064,10.213,10.378,10.167
2015-02-01 14:00:00,4925,(H) Torino,(V) Sampdoria,5,1,0.468908,3.50318,10.512,10.280,9.463,10.251,10.064,9.477,10.449,10.167,10.121
2015-02-08 14:00:00,4932,(H) Sampdoria,(V) Sassuolo,1,1,1.19645,1.76756,10.113,9.463,9.501,9.553,9.477,9.228,10.592,10.121,10.257
2015-02-15 17:00:00,4945,(H) Chievo,(V) Sampdoria,2,1,0.839752,0.745644,9.637,9.501,9.410,9.902,9.228,9.545,9.760,10.257,9.984
2015-02-24 17:30:00,4955,(H) Sampdoria,(V) Genoa,1,1,1.52247,2.43586,10.746,9.410,9.619,10.322,9.545,9.386,10.331,9.984,10.174
2015-03-01 14:00:00,4883,(H) Atalanta,(V) Sampdoria,1,2,2.12923,1.83577,9.452,9.619,9.952,9.385,9.386,9.584,10.183,10.174,10.478
