Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4753,Sunderland,West Bromwich Albion,2,2,10,10.1250,10,9.9521,10,10.2979
2014-08-24 16:00:00,4767,Sunderland,Manchester United,1,1,10.125,10.0000,9.9521,9.7583,10.2979,10.2417
2014-08-30 15:00:00,4772,Sunderland,Queens Park Rangers,0,1,10.0,9.7500,9.7583,9.6812,10.2417,10.0688
2014-09-13 15:00:00,4724,Sunderland,Tottenham,2,2,9.75,9.9375,9.6812,9.4442,10.0688,10.6808
2014-09-20 15:00:00,4732,Sunderland,Burnley,0,0,9.9375,9.9219,9.4442,9.4118,10.6808,10.6820
2014-09-27 15:00:00,4745,Sunderland,Swansea,0,0,9.9219,10.0000,9.4118,9.7999,10.682,10.4501
2014-10-04 15:00:00,4692,Sunderland,Stoke,3,1,10.0,10.3242,9.7999,9.8560,10.4501,10.5425
2014-10-18 15:00:00,4703,Sunderland,Southampton,0,8,10.3242,8.7265,9.856,9.5610,10.5425,9.6422
2014-10-25 15:00:00,4711,Sunderland,Arsenal,0,2,8.7265,8.2285,9.561,9.3056,9.6422,9.4015
2014-11-03 20:00:00,4658,Sunderland,Crystal Palace,3,1,8.2285,9.1543,9.3056,9.7219,9.4015,10.3368
2014-11-09 13:30:00,4665,Sunderland,Everton,1,1,9.1543,9.6399,9.7219,10.0048,10.3368,11.0251
2014-11-22 15:00:00,4672,Sunderland,Leicester,0,0,9.6399,9.6360,10.0048,10.0519,11.0251,10.9702
2014-11-29 17:30:00,4686,Sunderland,Chelsea,0,0,9.636,9.8319,10.0519,10.3153,10.9702,11.0985
2014-12-03 19:45:00,4597,Sunderland,Manchester City,1,4,9.8319,9.1900,10.3153,10.2668,11.0985,10.6133
2014-12-06 15:00:00,4604,Sunderland,Liverpool,0,0,9.19,9.2291,10.2668,10.2070,10.6133,10.7512
2014-12-13 15:00:00,4613,Sunderland,West Ham,1,1,9.2291,9.4056,10.207,10.4998,10.7512,10.8113
2014-12-21 13:30:00,4626,Sunderland,Newcastle United,1,0,9.4056,10.1096,10.4998,11.2748,10.8113,11.1944
2014-12-26 15:00:00,4632,Sunderland,Hull,1,3,10.1096,9.4525,11.2748,11.2426,11.1944,10.4124
2014-12-28 15:00:00,4644,Sunderland,Aston Villa,0,0,9.4525,9.5146,11.2426,11.3534,10.4124,10.4258
2015-01-01 15:00:00,4552,Sunderland,Manchester City,2,3,9.5146,9.9373,11.3534,11.3626,10.4258,11.5119
2015-01-10 12:45:00,4561,Sunderland,Liverpool,0,1,9.9373,9.8277,11.3626,11.0249,11.5119,11.8804
2015-01-17 15:00:00,4576,Sunderland,Tottenham,1,2,9.8277,10.0201,11.0249,11.5334,11.8804,12.0067
2015-01-31 15:00:00,4585,Sunderland,Burnley,2,0,10.0201,10.4314,11.5334,11.5827,12.0067,12.2800
2015-02-07 15:00:00,4517,Sunderland,Swansea,1,1,10.4314,10.1242,11.5827,10.8452,12.28,12.4031
2015-02-10 19:45:00,4526,Sunderland,Queens Park Rangers,0,2,10.1242,9.1322,10.8452,10.4880,12.4031,11.2762
2015-02-21 15:00:00,4538,Sunderland,West Bromwich Albion,0,0,9.1322,8.7411,10.488,10.2451,11.2762,10.7370
2015-02-28 15:00:00,4550,Sunderland,Manchester United,0,2,8.7411,8.8028,10.2451,10.1162,10.737,11.4893
2015-03-03 19:45:00,4483,Sunderland,Hull,1,1,8.8028,8.9996,10.1162,10.2724,11.4893,11.7268
2015-03-14 15:00:00,4497,Sunderland,Aston Villa,0,4,8.9996,7.8328,10.2724,9.8484,11.7268,10.8173
2015-03-21 17:30:00,4509,Sunderland,West Ham,0,1,7.8328,7.8938,9.8484,10.0445,10.8173,10.9932
