Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-02 18:30:00,6420,(H) CSKA Moscow,(V) Torpedo Moscow,4,1,0.578158,3.13827,10.000,10.000,9.375,10.000,10.000,9.485,10.000,10.000,10.015
2014-08-09 14:00:00,6428,(H) Zenit St. Petersburg,(V) Torpedo Moscow,8,1,0.971363,5.27931,11.125,9.375,8.187,10.554,9.485,8.800,10.696,10.015,9.637
2014-08-12 17:00:00,6433,(H) Torpedo Moscow,(V) Amkar,1,1,0.954046,0.617434,8.875,8.187,8.234,9.570,8.800,8.952,9.305,9.637,9.345
2014-08-16 14:00:00,6441,(H) Ural,(V) Torpedo Moscow,0,2,1.24904,1.41621,9.922,8.234,9.281,9.587,8.952,9.194,10.069,9.345,10.193
2014-08-24 13:30:00,6454,(H) Torpedo Moscow,(V) FC Krasnodar,0,3,0.850627,0.909639,11.524,9.281,8.967,10.535,9.194,9.389,11.226,10.193,9.591
2014-08-30 11:00:00,6458,(H) Mordovya,(V) Torpedo Moscow,1,0,2.44006,1.12186,9.638,8.967,9.010,10.157,9.389,10.036,9.589,9.591,9.136
2014-09-14 10:30:00,6397,(H) Spartak Moscow,(V) Torpedo Moscow,3,1,0.696589,2.58205,10.146,9.010,8.919,10.548,10.036,9.818,10.105,9.136,9.475
2014-09-22 17:00:00,6408,(H) Torpedo Moscow,(V) Dinamo Moscow,1,3,1.24553,2.31253,11.400,8.919,8.914,11.024,9.818,9.728,10.598,9.475,9.398
2014-09-29 17:00:00,6416,(H) Rubin Kazan,(V) Torpedo Moscow,2,1,1.2886,2.01272,9.748,8.914,8.997,10.188,9.728,9.787,9.641,9.398,9.515
2014-10-20 14:00:00,6382,(H) FC Ufa,(V) Torpedo Moscow,1,1,0.832131,0.775502,10.628,8.997,9.530,9.080,9.787,9.749,11.744,9.515,10.183
2014-10-25 14:00:00,6386,(H) Torpedo Moscow,(V) Kuban Krasnodar,0,0,0.432787,0.838109,9.354,9.530,9.361,9.605,9.749,9.487,9.942,10.183,10.099
2014-11-03 11:00:00,6350,(H) Torpedo Moscow,(V) Arsenal Tula,0,1,0.486503,1.34804,8.799,9.361,8.845,8.878,9.487,8.994,9.892,10.099,9.888
2014-11-08 13:00:00,6355,(H) Torpedo Moscow,(V) Lokomotiv Moscow,0,1,0.314293,1.27999,10.679,8.845,8.928,10.715,8.994,9.058,9.769,9.888,9.725
2014-11-22 11:15:00,6362,(H) Torpedo Moscow,(V) FC Rostov,2,1,2.26135,1.20104,9.313,8.928,9.149,9.511,9.058,9.311,9.895,9.725,9.627
2014-11-29 17:15:00,6373,(H) Kuban Krasnodar,(V) Torpedo Moscow,1,1,0.522693,1.37848,10.027,9.149,9.494,10.812,9.311,9.597,9.480,9.627,9.929
2014-12-03 17:00:00,6335,(H) FK Akhmat,(V) Torpedo Moscow,0,1,0.848475,0.3184,10.084,9.494,10.016,10.304,9.597,10.031,9.685,9.929,10.110
2014-12-08 14:00:00,6343,(H) Torpedo Moscow,(V) FC Ufa,2,2,1.2908,0.850171,9.532,10.016,9.770,9.349,10.031,9.846,10.416,10.110,9.951
2015-03-09 10:00:00,6311,(H) Amkar,(V) Torpedo Moscow,0,0,0.108806,0.371689,8.681,9.770,9.623,9.560,9.846,9.834,9.513,9.951,10.032
2015-03-15 13:00:00,6319,(H) Torpedo Moscow,(V) Zenit St. Petersburg,1,1,0.470415,0.356423,11.681,9.623,10.012,11.266,9.834,10.095,10.338,10.032,9.955
2015-03-21 16:00:00,6326,(H) Torpedo Moscow,(V) Spartak Moscow,0,1,0.435475,0.715619,10.127,10.012,9.666,10.037,10.095,9.885,9.815,9.955,9.615
2015-04-05 18:15:00,6272,(H) Arsenal Tula,(V) Torpedo Moscow,1,3,1.24395,0.383771,9.599,9.666,10.274,9.465,9.885,10.120,10.154,9.615,10.160
2015-04-08 18:00:00,6277,(H) Lokomotiv Moscow,(V) Torpedo Moscow,2,0,1.09486,2.4246,10.077,10.274,9.850,10.274,10.120,9.951,9.966,10.160,10.069
2015-04-13 16:00:00,6287,(H) Torpedo Moscow,(V) FK Akhmat,0,0,0.33724,0.959175,9.883,9.850,9.733,9.947,9.951,9.670,9.898,10.069,10.057
2015-04-20 17:30:00,6296,(H) FC Rostov,(V) Torpedo Moscow,1,0,0.258468,1.13835,9.864,9.733,9.641,9.978,9.670,9.652,9.628,10.057,10.045
2015-04-25 14:00:00,6300,(H) Torpedo Moscow,(V) CSKA Moscow,0,2,0.763399,0.702854,10.377,9.641,9.200,10.260,9.652,9.694,10.130,10.045,9.426
2015-05-03 16:30:00,6229,(H) Torpedo Moscow,(V) Rubin Kazan,2,2,0.452394,2.20465,10.658,9.200,9.440,10.692,9.694,9.380,10.047,9.426,9.894
2015-05-10 14:00:00,6236,(H) Dinamo Moscow,(V) Torpedo Moscow,0,0,0.791373,1.24713,10.173,9.440,9.748,10.201,9.380,9.596,10.217,9.894,10.214
2015-05-17 16:30:00,6247,(H) FC Krasnodar,(V) Torpedo Moscow,2,2,0.884648,1.68052,10.893,9.748,10.159,9.959,9.596,9.613,10.891,10.214,10.707
2015-05-23 13:30:00,6250,(H) Torpedo Moscow,(V) Ural,3,1,1.77211,0.780937,9.661,10.159,10.409,10.348,9.613,9.920,9.195,10.707,10.456
2015-05-30 11:30:00,6263,(H) Torpedo Moscow,(V) Mordovya,2,0,3.3362,1.47093,9.809,10.409,10.634,9.458,9.920,10.146,10.050,10.456,10.263
