Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-07-15 15:30:00,6466,(H) Tosno,(V) FC Ufa,0,1,0.893547,0.722418,9.863,10.000,9.591,10.059,10.000,9.933,9.651,10.000,9.495
2017-07-22 18:00:00,6476,(H) FC Krasnodar,(V) Tosno,2,0,0.365131,1.34268,11.158,9.591,9.608,10.787,9.933,10.027,10.747,9.495,9.677
2017-07-30 18:00:00,6491,(H) Tosno,(V) Zenit St. Petersburg,0,1,0.466301,1.29915,11.455,9.608,9.695,10.760,10.027,9.877,10.763,9.677,9.782
2017-08-06 13:00:00,6497,(H) Arsenal Tula,(V) Tosno,1,2,1.42324,1.2689,10.308,9.695,10.223,10.213,9.877,10.125,10.064,9.782,10.189
2017-08-09 18:00:00,6507,(H) Tosno,(V) CSKA Moscow,1,2,0.426888,2.92209,10.638,10.223,9.952,10.650,10.125,9.507,9.625,10.189,10.297
2017-08-13 15:30:00,6513,(H) Lokomotiv Moscow,(V) Tosno,0,2,0.763116,0.627448,11.101,9.952,10.864,10.765,9.507,9.980,10.236,10.297,10.873
2017-08-18 17:30:00,6517,(H) Tosno,(V) SKA-Khabarovsk,0,0,0.783145,0.135992,10.320,10.864,10.603,9.381,9.980,9.867,10.710,10.873,10.545
2017-08-26 15:30:00,6527,(H) Rubin Kazan,(V) Tosno,1,0,0.705549,0.21177,11.727,10.603,10.759,10.347,9.867,10.235,11.200,10.545,10.460
2017-09-09 12:00:00,6534,(H) Tosno,(V) Anzhi Makhachkala,2,2,0.906305,0.708093,8.488,10.759,10.066,9.526,10.235,9.982,8.916,10.460,9.899
2017-09-17 11:00:00,6545,(H) Tosno,(V) Spartak Moscow,2,2,0.903318,0.968586,10.708,10.066,10.101,10.614,9.982,9.999,9.917,9.899,9.795
2017-09-24 12:00:00,6553,(H) Ural,(V) Tosno,3,1,0.749178,2.22342,10.761,10.101,9.891,9.964,9.999,9.747,10.794,9.795,10.038
2017-09-30 12:00:00,6561,(H) Tosno,(V) FK Akhmat,1,0,0.604428,0.215573,10.434,9.891,10.152,10.295,9.747,9.856,10.001,10.038,10.057
2017-10-16 15:30:00,6569,(H) Amkar,(V) Tosno,0,0,0.344686,0.731276,11.152,10.152,10.527,10.020,9.856,9.925,11.173,10.057,10.558
2017-10-21 12:00:00,6575,(H) Tosno,(V) FC Rostov,1,1,1.02821,1.12793,9.359,10.527,10.110,10.180,9.925,9.839,9.076,10.558,10.087
2017-10-29 11:00:00,6585,(H) Dinamo Moscow,(V) Tosno,0,1,0.552177,1.59944,10.153,10.110,10.496,9.589,9.839,9.640,10.646,10.087,10.864
2017-11-04 13:30:00,6596,(H) Tosno,(V) FC Krasnodar,1,3,1.27369,1.38913,10.285,10.496,9.818,10.460,9.640,9.691,9.816,10.864,10.006
2017-11-19 16:00:00,6599,(H) Zenit St. Petersburg,(V) Tosno,5,0,0.29077,2.15872,10.052,9.818,8.751,10.852,9.691,9.639,9.376,10.006,9.190
2017-11-25 13:30:00,6612,(H) Tosno,(V) Arsenal Tula,3,2,2.21804,1.57318,10.221,8.751,9.244,9.857,9.639,9.730,10.400,9.190,9.456
2017-12-01 16:30:00,6615,(H) CSKA Moscow,(V) Tosno,6,0,0.0835915,3.12878,11.141,9.244,8.343,11.164,9.730,9.452,10.409,9.456,9.081
2017-12-11 16:30:00,6623,(H) Tosno,(V) Lokomotiv Moscow,1,3,1.30907,1.78786,10.982,8.343,8.378,10.659,9.452,9.509,10.411,9.081,8.908
2018-03-04 08:00:00,6634,(H) SKA-Khabarovsk,(V) Tosno,0,1,0.511257,0.352222,8.452,8.378,8.771,8.481,9.509,9.417,10.199,8.908,9.566
2018-03-10 16:00:00,6640,(H) Tosno,(V) Rubin Kazan,0,1,0.953314,0.46886,10.212,8.771,8.756,10.267,9.417,9.626,10.122,9.566,9.209
2018-03-17 16:00:00,6645,(H) Anzhi Makhachkala,(V) Tosno,2,0,0.320438,0.444259,9.963,8.756,8.683,10.366,9.626,9.905,9.580,9.209,8.958
2018-03-31 00:00:00,6657,(H) Spartak Moscow,(V) Tosno,2,1,1.0495,1.7662,11.416,8.683,9.241,11.351,9.905,10.212,10.280,8.958,9.343
2018-04-08 11:00:00,6665,(H) Tosno,(V) Ural,2,2,1.84175,0.791799,10.184,9.241,9.352,9.663,10.212,10.212,10.541,9.343,9.255
2018-04-13 16:30:00,6673,(H) FK Akhmat,(V) Tosno,1,0,0.134367,1.07609,9.199,9.352,9.189,9.516,10.212,9.928,9.730,9.255,9.484
2018-04-22 13:30:00,6681,(H) Tosno,(V) Amkar,0,2,0.293867,2.25201,9.121,9.189,8.547,9.556,9.928,9.220,9.628,9.484,9.385
2018-04-29 16:00:00,6688,(H) FC Rostov,(V) Tosno,2,0,0.124283,1.19166,10.490,8.547,8.658,10.070,9.220,9.291,10.536,9.385,9.565
2018-05-05 12:00:00,6697,(H) Tosno,(V) Dinamo Moscow,1,2,0.576021,0.592756,10.050,8.658,8.631,10.074,9.291,9.358,9.914,9.565,9.281
2018-05-13 12:00:00,6705,(H) FC Ufa,(V) Tosno,5,0,0.278703,3.69406,10.493,8.631,7.972,10.075,9.358,8.808,10.458,9.281,9.304
