Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4754,(V) Tottenham,(H) West Ham,1,0,1.01706,1.8531,10,10.3750,10,9.9160,10,10.5840
2014-08-24 13:30:00,4766,(H) Tottenham,(V) Queens Park Rangers,4,0,2.38894,1.07617,10.375,11.2500,9.916,10.1192,10.584,11.1308
2014-08-31 13:30:00,4777,(H) Tottenham,(V) Liverpool,0,3,0.48592,2.74317,11.25,10.3125,10.1192,9.3674,11.1308,10.7576
2014-09-13 15:00:00,4724,(V) Tottenham,(H) Sunderland,2,2,2.03694,0.338966,10.3125,10.1250,9.3674,9.6044,10.7576,10.1456
2014-09-21 13:30:00,4735,(H) Tottenham,(V) West Bromwich Albion,0,1,0.438596,1.08401,10.125,9.5469,9.6044,9.1149,10.1456,9.7288
2014-09-27 17:30:00,4746,(V) Tottenham,(H) Arsenal,1,1,0.673535,1.2647,9.5469,9.7344,9.1149,9.1546,9.7288,10.0641
2014-10-05 14:05:00,4696,(H) Tottenham,(V) Southampton,1,0,0.898735,1.14587,9.7344,10.3907,9.1546,9.4991,10.0641,10.7821
2014-10-18 12:45:00,4699,(V) Tottenham,(H) Manchester City,1,4,2.32314,3.75041,10.3907,10.1016,9.4991,9.6032,10.7821,10.8498
2014-10-26 13:30:00,4715,(H) Tottenham,(V) Newcastle United,1,2,2.03729,0.73967,10.1016,9.4795,9.6032,9.5555,10.8498,9.9033
2014-11-02 16:00:00,4657,(V) Tottenham,(H) Aston Villa,2,1,2.54173,0.872267,9.4795,9.4492,9.5555,9.6926,9.9033,9.4557
2014-11-09 13:30:00,4666,(H) Tottenham,(V) Stoke,1,2,1.28384,1.24867,9.4492,9.1211,9.6926,9.6233,9.4557,9.1188
2014-11-23 16:00:00,4677,(V) Tottenham,(H) Hull,2,1,2.16438,0.94244,9.1211,9.7344,9.6233,10.2921,9.1188,9.4266
2014-11-30 16:00:00,4688,(H) Tottenham,(V) Everton,2,1,1.13109,0.934335,9.7344,10.0349,10.2921,10.3918,9.4266,9.6779
2014-12-03 19:45:00,4595,(V) Tottenham,(H) Chelsea,0,3,0.289204,1.71947,10.0349,9.7348,10.3918,10.4841,9.6779,9.7353
2014-12-06 15:00:00,4602,(H) Tottenham,(V) Crystal Palace,0,0,0.958788,1.17369,9.7348,9.6367,10.4841,10.3323,9.7353,9.6909
2014-12-14 16:00:00,4617,(V) Tottenham,(H) Swansea,2,1,0.731022,1.67826,9.6367,10.2006,10.3323,10.4094,9.6909,10.4916
2014-12-20 15:00:00,4621,(H) Tottenham,(V) Burnley,2,1,1.77346,0.655135,10.2006,10.2940,10.4094,10.5324,10.4916,10.3054
2014-12-26 15:00:00,4637,(V) Tottenham,(H) Leicester,2,1,1.35719,1.47301,10.294,10.4228,10.5324,10.3822,10.3054,10.4631
2014-12-28 12:00:00,4639,(H) Tottenham,(V) Manchester United,0,0,0.888,2.2613,10.4228,10.5581,10.3822,10.1742,10.4631,10.9417
2015-01-01 17:30:00,4560,(H) Tottenham,(V) Chelsea,5,3,1.82436,3.03274,10.5581,11.2069,10.1742,10.0209,10.9417,11.8926
2015-01-10 17:30:00,4568,(V) Tottenham,(H) Crystal Palace,1,2,0.919178,2.85997,11.2069,10.6847,10.0209,9.2635,11.8926,11.8556
2015-01-17 15:00:00,4576,(H) Tottenham,(V) Sunderland,2,1,0.931537,1.19577,10.6847,10.4923,9.2635,8.7550,11.8556,11.7293
2015-01-31 15:00:00,4586,(V) Tottenham,(H) West Bromwich Albion,3,0,1.34429,0.808495,10.4923,11.1015,8.755,8.7481,11.7293,12.2045
2015-02-07 12:45:00,4515,(H) Tottenham,(V) Arsenal,2,1,1.2754,0.834136,11.1015,11.5363,8.7481,9.0433,12.2045,12.5290
2015-02-10 20:00:00,4528,(V) Tottenham,(H) Liverpool,2,3,1.71247,2.76444,11.5363,11.3664,9.0433,8.8604,12.529,12.6221
2015-02-22 12:00:00,4542,(H) Tottenham,(V) West Ham,2,2,2.17554,2.20831,11.3664,10.8703,8.8604,8.3561,12.6221,12.1342
2015-03-04 19:45:00,4489,(H) Tottenham,(V) Swansea,3,2,2.13485,0.708217,10.8703,10.5564,8.3561,8.1488,12.1342,11.4636
2015-03-07 15:00:00,4492,(V) Tottenham,(H) Queens Park Rangers,2,1,2.62405,1.49775,10.5564,10.6702,8.1488,8.2942,11.4636,11.2958
2015-03-15 16:00:00,4501,(V) Tottenham,(H) Manchester United,0,3,0.206431,1.02781,10.6702,9.9900,8.2942,8.1586,11.2958,10.8209
2015-03-21 15:00:00,4505,(H) Tottenham,(V) Leicester,4,3,2.82935,2.722,9.99,10.0290,8.1586,7.9744,10.8209,10.8331
2015-04-05 13:30:00,4447,(V) Tottenham,(H) Burnley,0,0,0.377376,1.51355,10.029,10.1938,7.9744,7.8551,10.8331,11.2819
2015-04-11 15:00:00,4455,(H) Tottenham,(V) Aston Villa,0,1,0.621738,0.860976,10.1938,9.8266,7.8551,7.6781,11.2819,10.9745
2015-04-19 16:00:00,4467,(V) Tottenham,(H) Newcastle United,3,1,1.99862,0.938886,9.8266,9.9981,7.6781,7.6146,10.9745,10.8811
2015-04-25 12:45:00,4468,(V) Tottenham,(H) Southampton,2,2,0.531276,1.39327,9.9981,10.2128,7.6146,7.6138,10.8811,11.3113
2015-05-03 16:00:00,4407,(H) Tottenham,(V) Manchester City,0,1,2.07027,1.80612,10.2128,10.0009,7.6138,7.7179,11.3113,11.0333
2015-05-09 15:00:00,4414,(V) Tottenham,(H) Stoke,0,3,0.298008,2.138,10.0009,9.1722,7.7179,7.1792,11.0333,10.6645
2015-05-16 15:00:00,4422,(H) Tottenham,(V) Hull,2,0,1.70119,1.13285,9.1722,9.6387,7.1792,7.2877,10.6645,10.9889
2015-05-24 15:00:00,4434,(V) Tottenham,(H) Everton,1,0,1.39049,0.646215,9.6387,10.1889,7.2877,7.7739,10.9889,11.3530
2015-08-08 15:45:00,81,(V) Tottenham,(H) Manchester United,0,1,0.6746,0.627539,10.1889,10.1441,7.7739,7.9909,11.353,11.2965
2015-08-15 18:00:00,95,(H) Tottenham,(V) Stoke,2,2,1.70614,2.80956,10.1441,10.2868,7.9909,7.8577,11.2965,11.7150
2015-08-22 18:00:00,105,(V) Tottenham,(H) Leicester,1,1,1.89437,0.829012,10.2868,10.6763,7.8577,8.5135,11.715,11.8382
2015-08-29 20:30:00,118,(H) Tottenham,(V) Everton,0,0,1.99917,0.694692,10.6763,10.7122,8.5135,8.8755,11.8382,11.5480
2015-09-13 16:30:00,128,(V) Tottenham,(H) Sunderland,1,0,1.45615,1.0407,10.7122,10.7069,8.8755,8.7241,11.548,11.4388
2015-09-20 16:30:00,138,(H) Tottenham,(V) Crystal Palace,1,0,1.01573,0.538439,10.7069,10.8191,8.7241,8.7057,11.4388,11.4317
2015-09-26 15:45:00,141,(H) Tottenham,(V) Manchester City,4,1,2.30799,1.57842,10.8191,11.8414,8.7057,9.1604,11.4317,12.2716
2015-10-04 19:00:00,159,(V) Tottenham,(H) Swansea,2,2,1.18142,0.774806,11.8414,11.8344,9.1604,9.2551,12.2716,12.1630
2015-10-17 15:45:00,161,(H) Tottenham,(V) Liverpool,0,0,0.586228,0.715892,11.8344,11.0166,9.2551,8.4049,12.163,11.3776
2015-10-25 18:05:00,178,(V) Tottenham,(H) Bournemouth,5,1,3.43313,0.490581,11.0166,11.6360,8.4049,8.7599,11.3776,11.2613
2015-11-03 00:00:00,190,(H) Tottenham,(V) Aston Villa,3,1,1.14374,0.325711,11.636,11.4148,8.7599,8.2432,11.2613,10.8356
2015-11-08 20:00:00,199,(V) Tottenham,(H) Arsenal,1,1,0.90585,2.01767,11.4148,11.7065,8.2432,8.2569,10.8356,11.4052
2015-11-22 20:00:00,209,(H) Tottenham,(V) West Ham,4,1,3.22353,0.818937,11.7065,12.0605,8.2569,8.4621,11.4052,11.1581
2015-11-29 16:00:00,217,(H) Tottenham,(V) Chelsea,0,0,0.333494,0.283375,12.0605,11.3396,8.4621,7.7537,11.1581,10.4246
2015-12-05 19:00:00,224,(V) Tottenham,(H) West Bromwich Albion,1,1,1.12876,1.48695,11.3396,11.0624,7.7537,7.3870,10.4246,10.2369
2015-12-13 20:00:00,239,(H) Tottenham,(V) Newcastle United,1,2,1.03317,1.55252,11.0624,9.9546,7.387,6.3993,10.2369,9.2589
2015-12-19 19:00:00,242,(V) Tottenham,(H) Southampton,2,0,1.47453,0.83385,9.9546,10.1331,6.3993,6.2380,9.2589,9.2773
2015-12-26 19:00:00,253,(H) Tottenham,(V) Norwich,3,0,2.40666,0.452019,10.1331,10.7665,6.238,6.6101,9.2773,9.4221
2015-12-28 19:00:00,262,(V) Tottenham,(H) Watford,2,1,0.527248,1.13011,10.7665,11.4662,6.6101,6.9091,9.4221,10.2725
2016-01-03 20:00:00,280,(V) Tottenham,(H) Everton,1,1,0.75907,0.721603,11.4662,11.5583,6.9091,7.0105,10.2725,10.3552
2016-01-14 00:00:00,290,(H) Tottenham,(V) Leicester,0,1,1.2301,0.588708,11.5583,10.9209,7.0105,6.7834,10.3552,9.5575
