Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-02 13:30:00,6418,(H) Ural,(V) Mordovya,2,3,1.15656,2.15557,10,10,9.6250,10,10,9.6252,10,10,9.8748
2014-08-10 13:30:00,6431,(H) Ural,(V) FC Krasnodar,1,1,0.537186,1.05965,10.125,9.625,9.5000,10.11,9.6252,9.3696,10.14,9.8748,9.8804
2014-08-13 14:30:00,6435,(H) Ural,(V) Zenit St. Petersburg,1,2,0.501385,1.36352,12.75,9.5,9.5000,11.5065,9.3696,9.4041,11.2435,9.8804,10.0959
2014-08-16 14:00:00,6441,(H) Ural,(V) Torpedo Moscow,0,2,1.41621,1.24904,7.5625,9.5,8.4375,8.4297,9.4041,8.8834,9.1953,10.0959,8.9916
2014-08-24 10:30:00,6453,(V) Ural,(H) Dinamo Moscow,0,2,0.220406,3.66586,10.625,8.4375,8.3906,10.3649,8.8834,8.4752,9.3851,8.9916,9.8061
2014-08-29 15:00:00,6457,(H) Ural,(V) FK Akhmat,0,1,0.847584,1.15159,10.5156,8.3906,8.5312,9.5463,8.4752,8.7898,9.7349,9.8061,10.0227
2014-09-15 14:00:00,6399,(V) Ural,(H) Amkar,1,2,0.264105,2.41613,10.5,8.5312,8.7500,11.096,8.7898,8.7205,11.4039,10.0227,10.7795
2014-09-20 09:00:00,6402,(V) Ural,(H) FC Ufa,1,0,2.49365,0.486007,10.9845,8.75,9.4805,9.5486,8.7205,9.7029,13.1702,10.7795,11.0081
2014-09-27 10:30:00,6409,(H) Ural,(V) CSKA Moscow,3,4,1.84161,2.79568,10.6719,9.4805,9.6172,10.1938,9.7029,9.8511,8.4,11.0081,11.3833
2014-10-19 10:30:00,6380,(H) Ural,(V) Spartak Moscow,2,0,1.39345,0.424541,10.3672,9.6172,10.0928,10.2928,9.8511,10.0689,9.6917,11.3833,11.6166
2014-10-24 14:00:00,6384,(H) Ural,(V) Arsenal Tula,1,0,1.17996,0.304752,7.875,10.0928,9.8809,9.1202,10.0689,9.8258,10.6299,11.6166,11.1859
