Dátum,Meccs-Id,Hazai-Csapat,Vendég-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 20:00:00,5827,(H) Sevilla,(V) Valencia,1,1,1.74903,1.17197,10.000,10.000,10.125,10.000,10.000,10.269,10.000,10.000,9.981
2014-08-29 21:00:00,5837,(H) Valencia,(V) Malaga,3,0,1.96863,1.13196,10.125,10.125,10.750,9.920,10.269,10.266,10.080,9.981,10.422
2014-09-14 16:00:00,5792,(H) Valencia,(V) Espanyol,3,1,1.86199,1.09215,9.687,10.750,10.859,9.689,10.266,10.189,9.936,10.422,10.483
2014-09-22 19:45:00,5805,(H) Getafe,(V) Valencia,0,3,1.54259,0.23474,9.563,10.859,11.410,9.502,10.189,10.469,10.154,10.483,10.949
2014-09-25 21:00:00,5815,(H) Valencia,(V) Cordoba,3,0,1.26428,0.116667,9.375,11.410,11.526,9.473,10.469,10.382,9.824,10.949,11.006
2014-09-28 18:00:00,5824,(H) Real Sociedad,(V) Valencia,1,1,0.554817,0.762877,10.034,11.526,11.278,9.946,10.382,10.346,10.174,11.006,10.975
2014-10-04 15:00:00,5755,(H) Valencia,(V) Atletico Madrid,3,1,1.01863,1.68827,11.581,11.278,11.729,11.337,10.346,10.301,10.162,10.975,11.314
2014-10-19 16:00:00,5770,(H) Deportivo La Coruna,(V) Valencia,3,0,0.56407,0.994809,8.362,11.729,10.262,9.160,10.301,10.033,9.286,11.314,10.290
2014-10-25 19:00:00,5777,(H) Valencia,(V) Elche,3,1,1.18501,0.498984,8.843,10.262,10.282,8.689,10.033,9.744,10.072,10.290,10.439
2014-11-02 16:00:00,5721,(H) Villarreal,(V) Valencia,1,3,0.339474,0.95333,10.685,10.282,11.008,11.261,9.744,10.095,9.507,10.439,10.984
2014-11-09 18:00:00,5733,(H) Valencia,(V) Athletic Club,0,0,0.766329,0.767828,9.974,11.008,10.625,10.263,10.095,10.012,9.628,10.984,10.520
2014-11-23 16:00:00,5741,(H) Levante,(V) Valencia,2,1,1.48232,1.0788,9.126,10.625,10.125,9.225,10.012,10.041,9.993,10.520,10.162
2014-11-30 20:00:00,5753,(H) Valencia,(V) Barcelona,0,1,1.14991,1.95194,11.553,10.125,10.107,11.835,10.041,10.164,9.660,10.162,9.862
2014-12-07 20:00:00,5694,(H) Granada,(V) Valencia,1,1,0.651538,1.1801,8.406,10.107,9.807,9.190,10.164,9.913,9.344,9.862,9.990
2014-12-13 17:00:00,5699,(H) Valencia,(V) Rayo Vallecano,3,0,3.01549,0.603533,9.508,9.807,10.357,9.464,9.913,10.279,10.028,9.990,10.022
2014-12-20 19:00:00,5710,(H) Eibar,(V) Valencia,0,1,1.49491,0.321199,10.477,10.357,10.762,9.231,10.279,10.435,11.425,10.022,10.454
2015-01-04 16:00:00,5648,(H) Valencia,(V) Real Madrid,2,1,0.708983,2.63452,12.542,10.762,11.332,11.445,10.435,10.081,11.333,10.454,11.280
2015-01-10 19:00:00,5655,(H) Celta Vigo,(V) Valencia,1,1,0.29812,2.22601,9.306,11.332,10.950,9.970,10.081,9.696,9.535,11.280,11.451
2015-01-17 17:00:00,5664,(H) Valencia,(V) Almeria,3,2,2.23964,0.822402,9.421,10.950,10.693,10.007,9.696,10.003,9.494,11.451,10.732
2015-01-25 20:00:00,5680,(H) Valencia,(V) Sevilla,3,1,2.66487,1.97883,10.917,10.693,11.124,10.267,10.003,10.116,10.579,10.732,10.897
2015-02-02 19:45:00,5606,(H) Malaga,(V) Valencia,1,0,0.656199,1.68775,9.736,11.124,10.652,9.741,10.116,9.889,10.160,10.897,10.846
2015-02-08 18:00:00,5615,(H) Espanyol,(V) Valencia,1,2,1.49482,1.57927,10.202,10.652,10.915,9.885,9.889,9.992,10.418,10.846,11.135
2015-02-15 11:00:00,5623,(H) Valencia,(V) Getafe,1,0,2.14598,0.649505,9.667,10.915,10.728,10.287,9.992,10.315,9.372,11.135,10.445
2015-02-21 17:00:00,5630,(H) Cordoba,(V) Valencia,1,2,1.89163,1.08496,8.790,10.728,10.618,9.004,10.315,10.314,9.940,10.445,10.492
2015-03-01 11:00:00,5566,(H) Valencia,(V) Real Sociedad,2,0,1.34535,0.377908,10.014,10.618,10.842,9.528,10.314,10.234,10.461,10.492,10.617
2015-03-08 20:00:00,5579,(H) Atletico Madrid,(V) Valencia,1,1,0.555779,0.985146,11.242,10.842,11.067,10.394,10.234,10.292,10.957,10.617,10.934
2015-03-13 19:45:00,5581,(H) Valencia,(V) Deportivo La Coruna,2,0,2.87108,0.181554,9.284,11.067,10.996,10.187,10.292,10.813,9.023,10.934,10.159
2015-03-20 19:45:00,5591,(H) Elche,(V) Valencia,0,4,2.37545,0.247285,9.338,10.996,11.706,9.551,10.813,11.155,9.861,10.159,10.677
2015-04-05 16:00:00,5511,(H) Valencia,(V) Villarreal,0,0,1.26916,0.278552,10.089,11.706,11.177,10.521,11.155,11.119,9.469,10.677,10.002
2015-04-09 19:00:00,5522,(H) Athletic Club,(V) Valencia,1,1,1.12945,1.30831,10.289,11.177,11.080,10.330,11.119,11.002,10.024,10.002,10.177
2015-04-13 19:30:00,5534,(H) Valencia,(V) Levante,3,0,0.822921,0.341912,9.947,11.080,11.422,9.529,11.002,10.629,10.303,10.177,10.713
2015-04-18 15:00:00,5536,(H) Barcelona,(V) Valencia,2,0,1.3841,2.05137,11.837,11.422,11.151,11.331,10.629,10.763,10.541,10.713,10.462
2015-04-27 19:45:00,5554,(H) Valencia,(V) Granada,4,0,1.9701,0.209664,8.362,11.151,11.329,9.115,10.763,10.666,9.094,10.462,10.555
2015-04-30 19:00:00,5563,(H) Rayo Vallecano,(V) Valencia,1,1,1.25767,0.486759,9.141,11.329,10.907,9.130,10.666,10.600,10.001,10.555,10.349
2015-05-03 18:00:00,5472,(H) Valencia,(V) Eibar,3,1,1.40783,0.996269,8.616,10.907,10.709,8.978,10.600,10.172,9.433,10.349,10.392
2015-05-09 19:00:00,5478,(H) Real Madrid,(V) Valencia,2,2,1.59908,2.73249,12.149,10.709,11.194,11.032,10.172,10.229,11.049,10.392,10.965
2015-05-17 18:00:00,5493,(H) Valencia,(V) Celta Vigo,1,1,2.1914,0.594569,10.233,11.194,10.829,10.337,10.229,10.530,9.628,10.965,10.107
2015-05-23 17:30:00,5500,(H) Almeria,(V) Valencia,2,3,2.17387,1.38838,9.374,10.829,10.840,9.854,10.530,10.682,9.384,10.107,10.105
2015-08-23 00:30:00,1403,(H) Rayo Vallecano,(V) Valencia,0,0,2.20399,0.693517,8.980,10.840,10.500,9.203,10.682,10.815,9.690,10.105,9.749
2015-08-30 22:30:00,1416,(H) Valencia,(V) Deportivo La Coruna,1,1,1.85572,0.818281,10.505,10.500,10.376,9.747,10.815,10.682,10.823,9.749,9.633
2015-09-12 20:15:00,1421,(H) Sporting Gijon,(V) Valencia,0,1,1.48606,1.10502,10.529,10.376,10.789,9.842,10.682,10.692,10.753,9.633,10.193
2015-09-19 20:15:00,1431,(H) Valencia,(V) Real Betis,0,0,1.81097,0.190749,9.494,10.789,10.340,9.680,10.692,10.719,9.740,10.193,9.550
2015-09-22 22:00:00,1439,(H) Espanyol,(V) Valencia,1,0,0.777547,1.87389,9.084,10.340,9.901,9.675,10.719,10.309,9.506,9.550,9.688
