Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Vendég-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2021-08-22 18:45:00,16762,(V) Venezia,(H) Napoli,0,2,0.60988,2.39159,12.0571,10,10.3567,10,10.4113,10,10.8022
2021-08-27 16:30:00,16766,(V) Venezia,(H) Udinese,0,3,0.908926,3.01783,9.3179,10.3567,9.4649,10.4113,9.7422,10.8022,10.4376
2021-09-11 13:00:00,16779,(V) Venezia,(H) Empoli,2,1,2.43118,1.88537,10.4934,9.4649,9.7252,9.7422,9.8890,10.4376,10.5614
2021-09-19 13:00:00,16795,(H) Venezia,(V) Spezia,1,2,0.805717,0.478482,8.7106,9.7252,9.3637,9.889,9.8593,10.5614,10.1181
2021-09-22 18:45:00,16800,(V) Venezia,(H) AC Milan,0,2,0.581225,2.11409,12.2267,9.3637,9.7182,9.8593,10.3306,10.1181,10.8558
2021-09-27 18:45:00,16814,(H) Venezia,(V) Torino,1,1,1.5265,0.8526,11.435,9.7182,10.0413,10.3306,10.8222,10.8558,11.0105
2021-10-01 18:45:00,16818,(V) Venezia,(H) Cagliari,1,1,0.486148,0.658426,10.1277,10.0413,10.2341,10.8222,10.9720,11.0105,11.2464
2021-10-18 18:45:00,16835,(H) Venezia,(V) Fiorentina,1,0,0.794394,0.42719,11.3441,10.2341,10.5969,10.972,11.1766,11.2464,11.5174
2021-10-23 16:00:00,16844,(V) Venezia,(H) Sassuolo,1,3,0.506648,2.13069,9.9796,10.5969,10.0671,11.1766,10.7408,11.5174,11.3937
2021-10-26 16:30:00,16855,(H) Venezia,(V) Salernitana,1,2,0.62413,1.52483,9.0421,10.0671,9.3731,10.7408,10.0716,11.3937,10.9249
2021-10-31 14:00:00,16859,(V) Venezia,(H) Genoa,0,0,0.488128,0.720997,9.2992,9.3731,9.2937,10.0716,9.9340,10.9249,10.9037
2021-11-07 11:30:00,16875,(H) Venezia,(V) Roma,3,2,3.22538,2.76533,11.3717,9.2937,10.0154,9.934,10.5207,10.9037,11.5104
2021-11-21 14:00:00,16877,(V) Venezia,(H) Bologna,1,0,1.01889,0.995082,10.7585,10.0154,10.7055,10.5207,10.9667,11.5104,12.1945
2021-11-27 19:45:00,16895,(H) Venezia,(V) Inter,0,2,0.192519,2.60343,12.0021,10.7055,10.5147,10.9667,10.6732,12.1945,12.6064
