Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-24 16:30:00,5455,(H) Borussia M.Gladbach,(V) VfB Stuttgart,1,1,0.433199,2.40939,10.000,10.000,10.125,10.000,10.000,9.631,10.000,10.000,10.619
2014-08-30 14:30:00,5458,(H) VfB Stuttgart,(V) FC Cologne,0,2,0.722885,1.2983,9.875,10.125,9.437,9.777,9.631,9.399,9.973,10.619,9.976
2014-09-13 14:30:00,5413,(H) Bayern Munich,(V) VfB Stuttgart,2,0,0.310166,1.22987,10.187,9.437,9.249,10.355,9.399,9.533,9.895,9.976,9.811
2014-09-20 14:30:00,5421,(H) VfB Stuttgart,(V) Hoffenheim,0,2,1.32987,1.15033,10.156,9.249,8.851,9.613,9.533,9.473,10.449,9.811,9.301
2014-09-24 19:00:00,5433,(H) Borussia Dortmund,(V) VfB Stuttgart,2,2,1.48044,2.13683,9.891,8.851,9.236,10.855,9.473,9.779,9.114,9.301,9.543
2014-09-27 14:30:00,5440,(H) VfB Stuttgart,(V) Hannover 96,1,0,0.826395,0.853246,10.309,9.236,9.629,9.704,9.779,9.629,10.507,9.543,9.916
2014-10-03 19:30:00,5383,(H) Hertha Berlin,(V) VfB Stuttgart,3,2,1.42919,2.36582,9.760,9.629,9.537,9.525,9.629,9.494,10.316,9.916,10.125
2014-10-18 14:30:00,5396,(H) VfB Stuttgart,(V) Bayer Leverkusen,3,3,1.30466,1.86824,9.841,9.537,9.488,10.292,9.494,9.428,9.424,10.125,9.966
2014-10-25 14:30:00,5402,(H) Eintracht Frankfurt,(V) VfB Stuttgart,4,5,3.13433,2.97969,9.729,9.488,9.923,9.497,9.428,9.609,10.308,9.966,10.388
2014-11-01 14:30:00,5350,(H) VfB Stuttgart,(V) Wolfsburg,0,4,0.924949,2.69946,11.095,9.923,9.091,10.630,9.609,9.296,10.326,10.388,9.691
2014-11-08 17:30:00,5362,(H) Werder Bremen,(V) VfB Stuttgart,2,0,0.774005,0.645076,9.164,9.091,8.734,9.739,9.296,9.564,9.510,9.691,9.239
2014-11-23 16:30:00,5373,(H) VfB Stuttgart,(V) Augsburg,0,1,0.382848,2.06226,10.840,8.734,8.885,10.120,9.564,9.158,10.670,9.239,9.642
2014-11-28 19:30:00,5374,(H) Freiburg,(V) VfB Stuttgart,1,4,3.36392,1.49535,10.158,8.885,10.078,9.746,9.158,9.897,10.574,9.642,10.283
2014-12-06 14:30:00,5315,(H) VfB Stuttgart,(V) Schalke 04,0,4,0.675308,1.6953,10.787,10.078,9.130,9.588,9.897,9.440,11.017,10.283,9.596
2014-12-13 17:30:00,5327,(H) Mainz 05,(V) VfB Stuttgart,1,1,0.54527,1.35199,9.156,9.130,9.261,9.730,9.440,9.436,9.622,9.596,9.929
2014-12-16 19:00:00,5331,(H) Hamburger SV,(V) VfB Stuttgart,0,1,1.36453,0.436429,9.709,9.261,9.748,9.629,9.436,9.841,10.201,9.929,10.140
2014-12-20 14:30:00,5344,(H) VfB Stuttgart,(V) Paderborn,0,0,0.772123,0.933283,9.349,9.748,9.523,9.108,9.841,9.492,10.146,10.140,10.057
2015-01-31 14:30:00,5308,(H) VfB Stuttgart,(V) Borussia M.Gladbach,0,1,1.61352,1.27392,10.321,9.523,9.348,10.486,9.492,9.700,9.896,10.057,9.557
2015-02-04 19:00:00,5267,(H) FC Cologne,(V) VfB Stuttgart,0,0,0.621159,0.310801,10.300,9.348,9.711,10.196,9.700,10.027,10.336,9.557,9.799
2015-02-07 14:30:00,5274,(H) VfB Stuttgart,(V) Bayern Munich,0,2,0.132112,0.0975022,10.582,9.711,9.304,10.599,10.027,10.054,9.951,9.799,9.203
2015-02-14 14:30:00,5283,(H) Hoffenheim,(V) VfB Stuttgart,2,1,0.1911,1.20262,9.556,9.304,9.242,10.370,10.054,10.005,9.232,9.203,9.338
2015-02-20 19:30:00,5289,(H) VfB Stuttgart,(V) Borussia Dortmund,2,3,1.55893,1.56399,10.778,9.242,9.251,10.832,10.005,10.085,9.867,9.338,9.097
2015-02-28 14:30:00,5302,(H) Hannover 96,(V) VfB Stuttgart,1,1,0.742277,1.5399,9.299,9.251,9.388,9.841,10.085,9.950,9.618,9.097,9.552
2015-03-06 19:30:00,5233,(H) VfB Stuttgart,(V) Hertha Berlin,0,0,1.07906,0.682492,9.732,9.388,9.349,9.527,9.950,9.818,10.067,9.552,9.457
