Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-24 22:00:00,5833,(H) Levante,(V) Villarreal,0,2,3.01412,0.345435,10.000,10.000,10.625,10.000,10.000,10.792,10.000,10.000,9.958
2014-08-31 18:00:00,5842,(H) Villarreal,(V) Barcelona,0,1,1.10836,3.12545,10.625,10.625,10.250,10.233,10.792,10.023,10.267,9.958,10.165
2014-09-14 20:00:00,5794,(H) Granada,(V) Villarreal,0,0,0.634854,0.421198,10.063,10.250,10.328,9.856,10.023,10.160,10.269,10.165,10.263
2014-09-21 16:00:00,5802,(H) Villarreal,(V) Rayo Vallecano,4,2,4.38395,1.40506,9.484,10.328,10.492,10.070,10.160,10.757,9.320,10.263,9.658
2014-09-24 19:00:00,5808,(H) Eibar,(V) Villarreal,1,1,0.662859,0.793018,10.285,10.492,10.565,9.785,10.757,10.606,10.577,9.658,10.045
2014-09-27 15:00:00,5817,(H) Villarreal,(V) Real Madrid,0,2,0.951263,0.976346,11.709,10.565,10.226,10.689,10.606,10.495,10.934,10.045,9.649
2014-10-05 16:00:00,5761,(H) Celta Vigo,(V) Villarreal,1,3,2.02409,1.17846,10.124,10.226,10.825,10.374,10.495,10.801,9.833,9.649,10.109
2014-10-19 20:00:00,5772,(H) Villarreal,(V) Almeria,2,0,2.75077,0.336251,9.535,10.825,10.878,9.830,10.801,11.037,9.621,10.109,9.758
2014-10-26 18:00:00,5782,(H) Sevilla,(V) Villarreal,2,1,1.3659,1.03012,10.605,10.878,10.685,11.098,11.037,11.261,9.590,9.758,9.507
2014-11-02 16:00:00,5721,(H) Villarreal,(V) Valencia,1,3,0.95333,0.339474,10.282,10.685,9.959,9.744,11.261,10.910,10.439,9.507,8.962
2014-11-09 16:00:00,5732,(H) Espanyol,(V) Villarreal,1,1,2.12387,0.926317,9.488,9.959,9.966,9.536,10.910,10.991,9.997,8.962,9.046
2014-11-23 20:00:00,5743,(H) Villarreal,(V) Getafe,2,1,0.655779,0.580139,9.762,9.966,10.040,9.654,10.991,10.551,9.959,9.046,9.380
2014-11-30 18:00:00,5752,(H) Cordoba,(V) Villarreal,0,2,0.84254,0.541323,9.342,10.040,10.491,9.586,10.551,10.510,9.742,9.380,10.020
2014-12-07 18:00:00,5693,(H) Villarreal,(V) Real Sociedad,4,0,1.76594,0.336566,10.373,10.491,11.336,9.789,10.510,10.562,10.368,10.020,10.625
2014-12-14 18:00:00,5704,(H) Atletico Madrid,(V) Villarreal,0,1,0.561906,1.01723,11.014,11.336,11.630,10.642,10.562,10.593,10.286,10.625,11.029
2014-12-21 11:00:00,5712,(H) Villarreal,(V) Deportivo La Coruna,3,0,2.74975,0.669743,9.346,11.630,11.684,9.911,10.593,10.818,9.143,11.029,10.662
2015-01-03 19:00:00,5644,(H) Elche,(V) Villarreal,2,2,2.90415,1.51945,8.844,11.684,11.099,9.590,10.818,10.982,9.090,10.662,10.048
2015-01-10 17:00:00,5654,(H) Malaga,(V) Villarreal,1,1,0.732696,0.496312,9.838,11.099,10.909,9.576,10.982,10.815,10.282,10.048,10.172
2015-01-17 19:00:00,5665,(H) Villarreal,(V) Athletic Club,2,0,2.35698,0.646477,8.823,10.909,10.762,9.459,10.815,10.779,9.150,10.172,9.864
2015-01-24 21:00:00,5676,(H) Villarreal,(V) Levante,1,0,1.30052,1.02925,9.335,10.762,10.530,9.515,10.779,10.406,9.793,9.864,9.903
2015-02-01 20:00:00,5605,(H) Barcelona,(V) Villarreal,3,2,0.958569,3.1169,13.291,10.530,11.095,12.234,10.406,10.448,11.133,9.903,10.625
2015-02-07 17:00:00,5610,(H) Villarreal,(V) Granada,2,0,1.54408,0.377127,9.158,11.095,10.986,9.647,10.448,10.414,9.396,10.625,10.401
2015-02-15 18:00:00,5625,(H) Rayo Vallecano,(V) Villarreal,2,0,2.06078,1.25027,8.489,10.986,9.987,9.027,10.414,10.395,9.511,10.401,9.601
2015-02-22 18:00:00,5635,(H) Villarreal,(V) Eibar,1,0,1.86055,0.231931,8.706,9.987,9.792,9.506,10.395,10.455,9.091,9.601,9.191
2015-03-01 20:00:00,5569,(H) Real Madrid,(V) Villarreal,1,1,0.830645,2.94269,11.152,9.792,10.257,10.940,10.455,10.173,10.236,9.191,10.105
2015-03-08 18:00:00,5578,(H) Villarreal,(V) Celta Vigo,4,1,1.56688,0.979286,10.473,10.257,10.936,10.374,10.173,10.245,10.011,10.105,10.560
2015-03-15 11:00:00,5586,(H) Almeria,(V) Villarreal,0,0,1.39493,1.3378,9.213,10.936,10.630,9.100,10.245,10.098,10.213,10.560,10.584
