Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Ellenfél-PR,Meccs-Előtti-PR,Meccs-Utáni-PR,Vendég-xgPR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Vendég-Mixed_PR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 18:00:00,83,(H) Everton,(V) Watford,2,2,0.557892,0.604226,9.678,10.000,10.045,9.853,10.000,10.077,9.721,10.000,10.067
2015-08-15 18:00:00,96,(H) Watford,(V) West Bromwich Albion,0,0,0.760848,0.684036,9.745,10.045,9.845,9.366,10.077,9.793,10.293,10.067,9.979
2015-08-23 19:00:00,109,(H) Watford,(V) Southampton,0,0,1.17588,0.68359,9.386,9.845,9.605,9.846,9.793,9.804,9.522,9.979,9.617
2015-08-29 18:00:00,117,(H) Manchester City,(V) Watford,2,0,0.363603,1.52895,12.800,9.605,10.029,11.345,9.804,10.023,11.529,9.617,10.011
2015-09-12 18:00:00,124,(H) Watford,(V) Swansea,1,0,1.57333,0.503008,10.370,10.029,10.239,10.458,10.023,10.274,9.853,10.011,9.829
2015-09-19 18:00:00,132,(H) Newcastle United,(V) Watford,1,2,1.33961,1.15114,9.300,10.239,10.379,9.231,10.274,10.185,10.185,9.829,10.246
2015-09-27 19:00:00,149,(H) Watford,(V) Crystal Palace,0,1,0.685939,2.33566,10.524,10.379,10.040,10.030,10.185,9.609,10.509,10.246,10.349
2015-10-03 18:00:00,153,(H) Bournemouth,(V) Watford,1,1,0.913291,1.50268,9.600,10.040,10.055,9.250,9.609,9.497,10.413,10.349,10.637
2015-10-17 20:30:00,168,(H) Watford,(V) Arsenal,0,3,0.254791,2.69046,11.585,10.055,9.563,11.553,9.497,9.277,10.053,10.637,10.225
2015-10-24 18:00:00,175,(H) Stoke,(V) Watford,0,2,1.0403,0.848432,10.392,9.563,10.395,10.235,9.277,9.689,10.241,10.225,10.806
2015-10-31 19:00:00,186,(H) Watford,(V) West Ham,2,0,1.61544,0.605625,10.989,10.395,10.919,10.385,9.689,9.990,10.574,10.806,10.871
2015-11-07 19:00:00,192,(H) Leicester,(V) Watford,2,1,1.00531,1.56389,10.691,10.919,10.737,10.775,9.990,10.172,10.094,10.871,10.691
2015-11-21 16:45:00,201,(H) Watford,(V) Manchester United,1,2,1.47077,1.30264,11.089,10.737,10.450,10.556,10.172,10.185,10.509,10.691,10.228
2015-11-28 19:00:00,212,(H) Aston Villa,(V) Watford,2,3,1.45176,1.48969,8.856,10.450,10.427,9.296,10.185,10.078,9.577,10.228,10.450
2015-12-05 19:00:00,223,(H) Watford,(V) Norwich,2,0,2.07199,0.310524,9.553,10.427,10.584,9.673,10.078,10.292,9.821,10.450,10.227
2015-12-12 19:00:00,233,(H) Sunderland,(V) Watford,0,1,2.0562,0.879474,10.054,10.584,10.827,9.993,10.292,10.636,10.217,10.227,10.305
2015-12-20 17:30:00,248,(H) Watford,(V) Liverpool,3,0,1.99336,0.376313,9.806,10.827,11.197,10.612,10.636,10.909,9.087,10.305,10.221
2015-12-26 19:00:00,256,(H) Chelsea,(V) Watford,2,2,1.667,2.09356,10.302,11.197,11.098,11.042,10.909,10.961,9.163,10.221,10.188
2015-12-28 19:00:00,262,(H) Watford,(V) Tottenham,1,2,1.13011,0.527248,11.169,11.098,10.741,10.454,10.961,10.860,10.617,10.188,9.770
2016-01-02 21:30:00,278,(H) Watford,(V) Manchester City,1,2,0.985368,0.692054,10.622,10.741,10.336,10.840,10.860,10.803,9.913,9.770,9.357
2016-01-13 23:45:00,284,(H) Southampton,(V) Watford,2,0,0.11543,1.7224,10.002,10.336,9.878,9.951,10.803,10.313,10.174,9.357,9.588
2016-01-19 00:00:00,300,(H) Swansea,(V) Watford,1,0,0.525478,0.474035,9.042,9.878,9.544,9.186,10.313,10.169,9.790,9.588,9.501
2016-01-23 19:00:00,307,(H) Watford,(V) Newcastle United,2,1,2.58707,1.29267,9.985,9.544,9.779,9.754,10.169,10.264,10.036,9.501,9.436
2016-02-03 23:45:00,320,(H) Watford,(V) Chelsea,0,0,0.531415,1.13694,10.973,9.779,9.953,11.068,10.264,10.189,9.907,9.436,9.580
2016-02-06 19:00:00,324,(H) Tottenham,(V) Watford,1,0,0.149839,2.00475,11.460,9.953,10.205,10.923,10.189,10.034,10.704,9.580,10.200
2016-02-13 19:00:00,335,(H) Crystal Palace,(V) Watford,1,2,1.99728,0.983946,9.192,10.205,10.327,9.721,10.034,10.334,9.528,10.200,10.154
2016-02-27 19:00:00,342,(H) Watford,(V) Bournemouth,0,0,1.00481,0.955252,8.794,10.327,9.819,9.728,10.334,10.070,8.897,10.154,9.702
2016-03-03 00:00:00,358,(H) Manchester United,(V) Watford,1,0,2.16484,0.786278,10.763,9.819,9.930,10.353,10.070,10.610,10.382,9.702,9.402
2016-03-05 21:30:00,366,(H) Watford,(V) Leicester,0,1,0.829318,1.47042,10.589,9.930,9.720,10.705,10.610,10.348,9.750,9.402,9.274
2016-03-19 19:00:00,377,(H) Watford,(V) Stoke,1,2,0.879462,1.58145,9.565,9.720,9.306,9.968,10.348,9.953,9.452,9.274,9.119
2016-04-02 18:00:00,385,(H) Arsenal,(V) Watford,4,0,0.290619,3.00742,11.071,9.306,8.872,10.829,9.953,9.618,10.410,9.119,9.246
2016-04-09 18:00:00,395,(H) Watford,(V) Everton,1,1,0.408379,1.59979,9.785,8.872,8.975,9.880,9.618,9.261,9.924,9.246,9.588
2016-04-16 18:00:00,409,(H) West Bromwich Albion,(V) Watford,0,1,0.364852,2.2915,10.205,8.975,9.658,9.490,9.261,8.962,10.884,9.588,10.769
