Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4753,(H) West Bromwich Albion,(V) Sunderland,2,2,1.68343,0.991901,10,9.8750,10,10.0479,10,9.7021
2014-08-23 15:00:00,4762,(V) West Bromwich Albion,(H) Southampton,0,0,0.665791,0.665853,9.875,10.0000,10.0479,10.1729,9.7021,9.8271
2014-08-30 15:00:00,4773,(V) West Bromwich Albion,(H) Swansea,0,3,0.696665,2.02641,10.0,9.5000,10.1729,10.0905,9.8271,9.6595
2014-09-13 15:00:00,4725,(H) West Bromwich Albion,(V) Everton,0,2,0.602059,0.807492,9.5,8.8750,10.0905,9.9141,9.6595,9.0859
2014-09-21 13:30:00,4735,(V) West Bromwich Albion,(H) Tottenham,1,0,1.08401,0.438596,8.875,9.4531,9.9141,10.4036,9.0859,9.5027
2014-09-28 16:00:00,4747,(H) West Bromwich Albion,(V) Burnley,4,0,1.81127,0.473814,9.4531,10.4375,10.4036,10.7223,9.5027,10.1527
2014-10-04 15:00:00,4691,(V) West Bromwich Albion,(H) Liverpool,1,2,1.4384,1.56163,10.4375,10.4024,10.7223,10.9063,10.1527,10.1484
2014-10-20 20:00:00,4708,(H) West Bromwich Albion,(V) Manchester United,2,2,0.61662,0.934042,10.4024,10.1524,10.9063,10.5769,10.1484,9.9778
2014-10-25 15:00:00,4712,(H) West Bromwich Albion,(V) Crystal Palace,2,2,1.45724,1.77354,10.1524,9.8780,10.5769,10.2234,9.9778,9.7825
2014-11-01 15:00:00,4651,(V) West Bromwich Albion,(H) Leicester,1,0,0.562442,1.41001,9.878,9.9796,10.2234,9.8631,9.7825,10.0960
2014-11-09 13:30:00,4667,(H) West Bromwich Albion,(V) Newcastle United,0,2,0.765208,0.694441,9.9796,9.4772,9.8631,9.8784,10.096,9.5759
2014-11-22 15:00:00,4674,(V) West Bromwich Albion,(H) Chelsea,0,2,0.0930471,4.36607,9.4772,9.3668,9.8784,9.1998,9.5759,10.5338
2014-11-29 12:45:00,4679,(H) West Bromwich Albion,(V) Arsenal,0,1,0.31526,1.05603,9.3668,9.2714,9.1998,9.1692,10.5338,10.6236
2014-12-02 20:00:00,4594,(H) West Bromwich Albion,(V) West Ham,1,2,1.41302,1.24431,9.2714,8.9834,9.1692,9.1734,10.6236,10.2934
2014-12-06 15:00:00,4603,(V) West Bromwich Albion,(H) Hull,0,0,1.06151,0.586305,8.9834,8.9957,9.1734,9.3045,10.2934,10.1869
2014-12-13 15:00:00,4612,(H) West Bromwich Albion,(V) Aston Villa,1,0,1.4373,0.266303,8.9957,9.4202,9.3045,9.7718,10.1869,10.3187
2014-12-20 15:00:00,4622,(V) West Bromwich Albion,(H) Queens Park Rangers,2,3,1.30117,2.92864,9.4202,9.5576,9.7718,9.7524,10.3187,10.8630
2014-12-26 15:00:00,4633,(H) West Bromwich Albion,(V) Manchester City,1,3,2.64442,2.10224,9.5576,9.4267,9.7524,10.2570,10.863,10.5966
2014-12-28 15:00:00,4646,(V) West Bromwich Albion,(H) Stoke,0,2,1.35813,1.25399,9.4267,9.0971,10.257,10.4534,10.5966,10.2409
2015-01-01 15:00:00,4556,(V) West Bromwich Albion,(H) West Ham,1,1,1.1226,1.13586,9.0971,9.4018,10.4534,10.7548,10.2409,10.5489
2015-01-10 15:00:00,4563,(H) West Bromwich Albion,(V) Hull,1,0,0.784159,0.395844,9.4018,9.6214,10.7548,10.8215,10.5489,10.6714
2015-01-19 20:00:00,4580,(V) West Bromwich Albion,(H) Everton,0,0,0.196316,1.4927,9.6214,9.5778,10.8215,10.4538,10.6714,10.9519
2015-01-31 15:00:00,4586,(H) West Bromwich Albion,(V) Tottenham,0,3,0.808495,1.34429,9.5778,8.9686,10.4538,10.4607,10.9519,10.4767
2015-02-08 12:00:00,4522,(V) West Bromwich Albion,(H) Burnley,2,2,2.55442,1.09795,8.9686,9.0599,10.4607,10.9161,10.4767,10.2039
2015-02-11 20:00:00,4534,(H) West Bromwich Albion,(V) Swansea,2,0,0.685986,0.438959,9.0599,9.5109,10.9161,10.9289,10.2039,10.5931
2015-02-21 15:00:00,4538,(V) West Bromwich Albion,(H) Sunderland,0,0,0.107318,0.699828,9.5109,9.9020,10.9289,11.1718,10.5931,11.1323
2015-02-28 15:00:00,4546,(H) West Bromwich Albion,(V) Southampton,1,0,1.08916,0.579867,9.902,10.1754,11.1718,11.3225,11.1323,11.2784
2015-03-03 19:45:00,4482,(V) West Bromwich Albion,(H) Aston Villa,1,2,0.905628,1.9201,10.1754,9.6144,11.3225,10.7579,11.2784,10.9710
2015-03-14 15:00:00,4496,(H) West Bromwich Albion,(V) Stoke,1,0,0.958807,0.198751,9.6144,9.4980,10.7579,10.5815,10.971,10.6646
2015-03-21 12:45:00,4503,(V) West Bromwich Albion,(H) Manchester City,0,3,0.775158,4.90913,9.498,9.4025,10.5815,10.2025,10.6646,11.6026
2015-04-04 15:00:00,4445,(H) West Bromwich Albion,(V) Queens Park Rangers,1,4,2.13361,1.20939,9.4025,8.5316,10.2025,10.3127,11.6026,10.5006
2015-04-11 15:00:00,4456,(H) West Bromwich Albion,(V) Leicester,2,3,0.968439,1.6874,8.5316,8.2764,10.3127,10.1278,10.5006,10.4252
2015-04-18 15:00:00,4462,(V) West Bromwich Albion,(H) Crystal Palace,2,0,0.698022,2.0561,8.2764,9.5296,10.1278,10.5415,10.4252,12.0179
2015-04-25 15:00:00,4471,(H) West Bromwich Albion,(V) Liverpool,0,0,0.507754,1.41235,9.5296,9.8973,10.5415,10.6831,12.0179,12.6118
2015-05-02 17:30:00,4405,(V) West Bromwich Albion,(H) Manchester United,1,0,0.317533,2.10841,9.8973,10.7806,10.6831,10.8687,12.6118,13.9428
2015-05-09 15:00:00,4413,(V) West Bromwich Albion,(H) Newcastle United,1,1,1.21081,1.23706,10.7806,10.5412,10.8687,10.6227,13.9428,13.7099
2015-05-18 20:00:00,4428,(H) West Bromwich Albion,(V) Chelsea,3,0,1.22743,1.07679,10.5412,11.4207,10.6227,10.7899,13.7099,14.5518
2015-05-24 15:00:00,4433,(V) West Bromwich Albion,(H) Arsenal,1,4,0.569092,3.16614,11.4207,10.7727,10.7899,10.2426,14.5518,14.5530
2015-08-10 23:00:00,90,(H) West Bromwich Albion,(V) Manchester City,0,3,0.435238,1.9242,10.7727,10.1334,10.2426,9.9810,14.553,14.2859
2015-08-15 18:00:00,96,(V) West Bromwich Albion,(H) Watford,0,0,0.684036,0.760848,10.1334,10.0652,9.981,9.8936,14.2859,14.2369
2015-08-23 16:30:00,107,(H) West Bromwich Albion,(V) Chelsea,2,3,1.42622,2.02778,10.0652,9.7490,9.8936,9.6770,14.2369,14.0711
2015-08-29 18:00:00,112,(V) West Bromwich Albion,(H) Stoke,1,0,0.881194,1.21771,9.749,10.2687,9.677,9.8626,14.0711,14.6750
2015-09-12 18:00:00,125,(H) West Bromwich Albion,(V) Southampton,0,0,0.409143,1.00731,10.2687,10.0683,9.8626,9.5127,14.675,14.6242
2015-09-19 18:00:00,133,(V) West Bromwich Albion,(H) Aston Villa,1,0,0.632761,0.876719,10.0683,10.2342,9.5127,9.3676,14.6242,14.8511
2015-09-28 23:00:00,150,(H) West Bromwich Albion,(V) Everton,2,3,1.27511,2.30159,10.2342,10.1421,9.3676,9.2689,14.8511,15.0156
2015-10-03 15:45:00,151,(V) West Bromwich Albion,(H) Crystal Palace,0,2,0.255528,1.99083,10.1421,9.8980,9.2689,9.0910,15.0156,15.2054
2015-10-17 18:00:00,163,(H) West Bromwich Albion,(V) Sunderland,1,0,2.07781,0.658473,9.898,9.6394,9.091,8.9372,15.2054,14.5919
2015-10-24 18:00:00,174,(V) West Bromwich Albion,(H) Norwich,1,0,1.45436,1.03228,9.6394,9.9843,8.9372,9.1376,14.5919,14.8313
2015-10-31 19:00:00,187,(H) West Bromwich Albion,(V) Leicester,2,3,1.50447,2.22545,9.9843,9.6992,9.1376,8.9223,14.8313,14.7265
2015-11-07 19:00:00,193,(V) West Bromwich Albion,(H) Manchester United,0,2,0.594031,1.2779,9.6992,9.6433,8.9223,9.1955,14.7265,14.8416
2015-11-21 19:00:00,204,(H) West Bromwich Albion,(V) Arsenal,2,1,0.332888,2.08956,9.6433,10.4517,9.1955,9.3147,14.8416,16.0892
2015-11-29 18:05:00,218,(V) West Bromwich Albion,(H) West Ham,1,1,0.866305,1.41404,10.4517,10.6339,9.3147,9.3600,16.0892,16.4083
2015-12-05 19:00:00,224,(H) West Bromwich Albion,(V) Tottenham,1,1,1.48695,1.12876,10.6339,10.9111,9.36,9.7267,16.4083,16.5960
2015-12-13 20:00:00,238,(V) West Bromwich Albion,(H) Liverpool,2,2,0.835885,2.12583,10.9111,11.1726,9.7267,9.6657,16.596,17.1800
2015-12-19 19:00:00,241,(H) West Bromwich Albion,(V) Bournemouth,1,2,0.698255,1.89177,11.1726,10.5097,9.6657,8.9544,17.18,16.8155
2015-12-26 19:00:00,252,(V) West Bromwich Albion,(H) Swansea,0,1,0.554583,1.21243,10.5097,9.8071,8.9544,8.3373,16.8155,16.2773
2015-12-28 19:00:00,261,(H) West Bromwich Albion,(V) Newcastle United,1,0,2.1039,0.456189,9.8071,9.9027,8.3373,8.5948,16.2773,15.9609
2016-01-02 19:00:00,272,(H) West Bromwich Albion,(V) Stoke,2,1,1.72318,0.917526,9.9027,10.1547,8.5948,8.7982,15.9609,16.0115
2016-01-13 23:45:00,287,(V) West Bromwich Albion,(H) Chelsea,2,2,0.704263,1.38532,10.1547,10.4032,8.7982,8.8764,16.0115,16.4302
2016-01-16 19:00:00,294,(V) West Bromwich Albion,(H) Southampton,0,3,0.410757,1.42623,10.4032,9.7978,8.8764,8.7671,16.4302,16.0786
2016-01-23 19:00:00,305,(H) West Bromwich Albion,(V) Aston Villa,0,0,0.23184,0.562461,9.7978,9.3744,8.7671,8.2610,16.0786,15.7378
2016-02-03 00:00:00,318,(H) West Bromwich Albion,(V) Swansea,1,1,2.30645,1.17928,9.3744,9.0669,8.261,8.2353,15.7378,15.1485
2016-02-06 19:00:00,322,(V) West Bromwich Albion,(H) Newcastle United,0,1,0.472556,2.41057,9.0669,8.9790,8.2353,7.9129,15.1485,15.5451
2016-02-13 19:00:00,334,(V) West Bromwich Albion,(H) Everton,1,0,1.1974,1.82912,8.979,9.6987,7.9129,8.2247,15.5451,16.4228
2016-02-27 21:30:00,346,(H) West Bromwich Albion,(V) Crystal Palace,3,2,2.07488,1.21638,9.6987,9.8364,8.2247,8.3270,16.4228,16.3458
2016-03-01 23:45:00,351,(V) West Bromwich Albion,(H) Leicester,2,2,1.29485,3.04626,9.8364,10.4519,8.327,8.5046,16.3458,17.3991
2016-03-06 20:00:00,368,(H) West Bromwich Albion,(V) Manchester United,1,0,0.565787,0.417622,10.4519,10.8412,8.5046,8.6809,17.3991,17.7513
2016-03-19 19:00:00,378,(H) West Bromwich Albion,(V) Norwich,0,1,0.332789,0.799255,10.8412,10.2729,8.6809,8.2460,17.7513,17.2996
2016-04-02 18:00:00,389,(V) West Bromwich Albion,(H) Sunderland,0,0,0.0635563,1.54544,10.2729,10.2238,8.246,7.8265,17.2996,17.6210
2016-04-09 20:30:00,400,(V) West Bromwich Albion,(H) Manchester City,1,2,1.09413,2.07325,10.2238,9.9885,7.8265,7.5964,17.621,17.6305
2016-04-16 18:00:00,409,(H) West Bromwich Albion,(V) Watford,0,1,2.2915,0.364852,9.9885,9.2879,7.5964,7.6275,17.6305,16.4482
2016-04-21 22:45:00,419,(V) West Bromwich Albion,(H) Arsenal,0,2,0.839742,1.37348,9.2879,9.4421,7.6275,8.1482,16.4482,16.7358
2016-04-25 23:00:00,426,(V) West Bromwich Albion,(H) Tottenham,1,1,0.894413,1.26346,9.4421,10.2855,8.1482,8.8993,16.7358,17.6714
2016-04-30 18:00:00,431,(H) West Bromwich Albion,(V) West Ham,0,3,1.5346,1.27183,10.2855,9.7295,8.8993,9.1590,17.6714,17.0497
2016-05-07 18:00:00,441,(V) West Bromwich Albion,(H) Bournemouth,1,1,1.34282,0.814964,9.7295,9.4124,9.159,8.9739,17.0497,16.6007
2016-05-15 18:00:00,459,(H) West Bromwich Albion,(V) Liverpool,1,1,1.86869,0.419877,9.4124,9.4088,8.9739,9.3326,16.6007,16.2349
2016-08-13 18:00:00,462,(V) West Bromwich Albion,(H) Crystal Palace,1,0,0.684593,0.990062,9.4088,9.8833,9.3326,9.4808,16.2349,16.7858
2016-08-20 18:00:00,477,(H) West Bromwich Albion,(V) Everton,1,2,2.01885,1.83897,9.8833,9.5691,9.4808,9.4615,16.7858,16.4266
2016-08-28 16:30:00,489,(H) West Bromwich Albion,(V) Middlesbrough,0,0,0.696845,0.396816,9.5691,9.3921,9.4615,9.3595,16.4266,16.1746
2016-09-10 18:00:00,495,(V) West Bromwich Albion,(H) Bournemouth,0,1,1.48347,0.986511,9.3921,9.0419,9.3595,9.3836,16.1746,15.7002
2016-09-17 18:00:00,505,(H) West Bromwich Albion,(V) West Ham,4,2,1.94229,2.37422,9.0419,9.4374,9.3836,9.1711,15.7002,16.2036
2016-09-24 18:00:00,513,(V) West Bromwich Albion,(H) Stoke,1,1,0.270862,0.979673,9.4374,9.3193,9.1711,8.8758,16.2036,16.2627
