id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime
17916,False,164,Marseille,MAR,179,Lorient,LOR,None,None,None,None,2021-10-17 18:45:00
17931,False,175,Saint-Etienne,SEN,167,Angers,ANG,None,None,None,None,2021-10-22 19:00:00
17927,False,168,Nantes,NAN,270,Clermont Foot,CLE,None,None,None,None,2021-10-23 15:00:00
17923,False,160,Lille,LIL,241,Brest,BRE,None,None,None,None,2021-10-23 19:00:00
17928,False,170,Nice,NIC,178,Lyon,LYO,None,None,None,None,2021-10-24 11:00:00
17922,False,210,Lens,LEN,180,Metz,MET,None,None,None,None,2021-10-24 13:00:00
17924,False,179,Lorient,LOR,176,Bordeaux,BOR,None,None,None,None,2021-10-24 13:00:00
17929,False,177,Reims,REI,172,Troyes,TRO,None,None,None,None,2021-10-24 13:00:00
17930,False,163,Rennes,REN,225,Strasbourg,STR,None,None,None,None,2021-10-24 13:00:00
17926,False,171,Monaco,MON,166,Montpellier,MPL,None,None,None,None,2021-10-24 15:00:00
17925,False,164,Marseille,MAR,161,Paris Saint Germain,PSG,None,None,None,None,2021-10-24 18:45:00
18376,False,170,Nice,NIC,164,Marseille,MAR,None,None,None,None,2021-10-27 19:00:00
17851,False,170,Nice,NIC,164,Marseille,MAR,None,None,None,None,2021-10-27 21:00:00
17939,False,161,Paris Saint Germain,PSG,160,Lille,LIL,None,None,None,None,2021-10-29 19:00:00
17937,False,180,Metz,MET,175,Saint-Etienne,SEN,None,None,None,None,2021-10-30 15:00:00
17936,False,178,Lyon,LYO,210,Lens,LEN,None,None,None,None,2021-10-30 19:00:00
17932,False,167,Angers,ANG,170,Nice,NIC,None,None,None,None,2021-10-31 12:00:00
17933,False,176,Bordeaux,BOR,177,Reims,REI,None,None,None,None,2021-10-31 14:00:00
17938,False,166,Montpellier,MPL,168,Nantes,NAN,None,None,None,None,2021-10-31 14:00:00
17940,False,225,Strasbourg,STR,179,Lorient,LOR,None,None,None,None,2021-10-31 14:00:00
17941,False,172,Troyes,TRO,163,Rennes,REN,None,None,None,None,2021-10-31 14:00:00
17934,False,241,Brest,BRE,171,Monaco,MON,None,None,None,None,2021-10-31 16:00:00
17935,False,270,Clermont Foot,CLE,164,Marseille,MAR,None,None,None,None,2021-10-31 19:45:00
17942,False,176,Bordeaux,BOR,161,Paris Saint Germain,PSG,None,None,None,None,2021-11-07 10:00:00
17943,False,210,Lens,LEN,172,Troyes,TRO,None,None,None,None,2021-11-07 10:00:00
17944,False,160,Lille,LIL,167,Angers,ANG,None,None,None,None,2021-11-07 10:00:00
17945,False,179,Lorient,LOR,241,Brest,BRE,None,None,None,None,2021-11-07 10:00:00
17946,False,164,Marseille,MAR,180,Metz,MET,None,None,None,None,2021-11-07 10:00:00
17947,False,168,Nantes,NAN,225,Strasbourg,STR,None,None,None,None,2021-11-07 10:00:00
17948,False,170,Nice,NIC,166,Montpellier,MPL,None,None,None,None,2021-11-07 10:00:00
17949,False,177,Reims,REI,171,Monaco,MON,None,None,None,None,2021-11-07 10:00:00
17950,False,163,Rennes,REN,178,Lyon,LYO,None,None,None,None,2021-11-07 10:00:00
17951,False,175,Saint-Etienne,SEN,270,Clermont Foot,CLE,None,None,None,None,2021-11-07 10:00:00
17952,False,167,Angers,ANG,179,Lorient,LOR,None,None,None,None,2021-11-21 10:00:00
17953,False,241,Brest,BRE,210,Lens,LEN,None,None,None,None,2021-11-21 10:00:00
17954,False,270,Clermont Foot,CLE,170,Nice,NIC,None,None,None,None,2021-11-21 10:00:00
17955,False,178,Lyon,LYO,164,Marseille,MAR,None,None,None,None,2021-11-21 10:00:00
17956,False,161,Paris Saint Germain,PSG,168,Nantes,NAN,None,None,None,None,2021-11-21 10:00:00
17957,False,163,Rennes,REN,166,Montpellier,MPL,None,None,None,None,2021-11-21 10:00:00
17958,False,225,Strasbourg,STR,177,Reims,REI,None,None,None,None,2021-11-21 10:00:00
17959,False,172,Troyes,TRO,175,Saint-Etienne,SEN,None,None,None,None,2021-11-21 10:00:00
17960,False,180,Metz,MET,176,Bordeaux,BOR,None,None,None,None,2021-11-21 10:00:00
17961,False,171,Monaco,MON,160,Lille,LIL,None,None,None,None,2021-11-21 10:00:00
17962,False,175,Saint-Etienne,SEN,161,Paris Saint Germain,PSG,None,None,None,None,2021-11-28 10:00:00
17963,False,177,Reims,REI,270,Clermont Foot,CLE,None,None,None,None,2021-11-28 10:00:00
17964,False,176,Bordeaux,BOR,241,Brest,BRE,None,None,None,None,2021-11-28 10:00:00
17965,False,210,Lens,LEN,167,Angers,ANG,None,None,None,None,2021-11-28 10:00:00
17966,False,160,Lille,LIL,168,Nantes,NAN,None,None,None,None,2021-11-28 10:00:00
17967,False,179,Lorient,LOR,163,Rennes,REN,None,None,None,None,2021-11-28 10:00:00
17968,False,164,Marseille,MAR,172,Troyes,TRO,None,None,None,None,2021-11-28 10:00:00
17969,False,171,Monaco,MON,225,Strasbourg,STR,None,None,None,None,2021-11-28 10:00:00
17970,False,166,Montpellier,MPL,178,Lyon,LYO,None,None,None,None,2021-11-28 10:00:00
17971,False,170,Nice,NIC,180,Metz,MET,None,None,None,None,2021-11-28 10:00:00
