id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
354388,7,SavedShot,0.8819999694824219,0.66,0.057716235518455505,Arnaud Nordin,h,5684,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,None
354394,34,MissedShots,0.895,0.35900001525878905,0.05858590453863144,Ryad Boudebouz,h,3343,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,None
354395,36,MissedShots,0.8780000305175781,0.5670000076293945,0.03371938690543175,Wahbi Khazri,h,734,OpenPlay,2019,Head,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Arnaud Nordin,Cross
354396,44,MissedShots,0.8419999694824218,0.485,0.04815411940217018,Wahbi Khazri,h,734,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Yohan Cabaye,Cross
354397,46,MissedShots,0.7419999694824219,0.3990000152587891,0.01595589704811573,Arnaud Nordin,h,5684,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Charles Nathan Abi,BallTouch
354399,64,MissedShots,0.7859999847412109,0.6969999694824218,0.021259350702166557,Wahbi Khazri,h,734,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Miguel Trauco,Pass
354403,81,MissedShots,0.779000015258789,0.7230000305175781,0.01380781177431345,Miguel Trauco,h,7751,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Wahbi Khazri,Pass
354404,85,MissedShots,0.8830000305175781,0.30700000762939456,0.05361369997262955,Maxence Rivera,h,8248,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Wahbi Khazri,Pass
354405,89,MissedShots,0.7980000305175782,0.4829999923706055,0.05173251032829285,Yohan Cabaye,h,516,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Edmilson Indjai Correia,Pass
354406,92,MissedShots,0.8859999847412109,0.4520000076293945,0.02556687220931053,Mahdi Camara,h,6452,SetPiece,2019,Head,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,None
354386,5,BlockedShot,0.7390000152587891,0.5479999923706055,0.0159541517496109,Moses Simon,a,7169,OpenPlay,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,None
354387,6,MissedShots,0.924000015258789,0.5,0.05445938557386398,Abdoulaye Touré,a,3674,FromCorner,2019,Head,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Imran Louza,Aerial
354389,15,BlockedShot,0.75,0.545,0.02003573067486286,Abdoul Kader Bamba,a,7760,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Ludovic Blas,Pass
354390,16,MissedShots,0.7919999694824219,0.43400001525878906,0.035982389003038406,Mehdi Abeid,a,4403,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Ludovic Blas,Pass
354391,22,Goal,0.855999984741211,0.5890000152587891,0.06535197794437408,Mehdi Abeid,a,4403,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,None
354392,27,SavedShot,0.7480000305175781,0.3990000152587891,0.05918402224779129,Imran Louza,a,7278,DirectFreekick,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,Standard
354393,32,SavedShot,0.8919999694824219,0.4470000076293945,0.41276752948760986,Moses Simon,a,7169,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Abdoulaye Touré,Pass
354398,47,Goal,0.9130000305175782,0.5409999847412109,0.46083590388298035,Ludovic Blas,a,3475,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Moses Simon,Pass
354400,66,MissedShots,0.7180000305175781,0.580999984741211,0.024576835334300995,Imran Louza,a,7278,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Renaud Emond,HeadPass
354401,69,MissedShots,0.8159999847412109,0.8109999847412109,0.045191824436187744,Mehdi Abeid,a,4403,DirectFreekick,2019,RightFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,,Standard
354402,78,MissedShots,0.7280000305175781,0.5120000076293946,0.020785881206393242,Imran Louza,a,7278,OpenPlay,2019,LeftFoot,12908,Saint-Etienne,Nantes,0,2,2020-01-12 14:00:00,Ludovic Blas,Pass
