Dátum,Meccs-Id,Hazai-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Hazai-PR,Ellenfél-PR,PR-diff,Hazai-xgPR,Ellenfél-xgPR,Hazai-Mixed-PR,Ellenfél-Mixed-PR,H%,D%,A%,ForeCast-W,ForeCast-D,ForeCast-A
2014-08-22 19:30:00,5447,Bayern Munich,Wolfsburg,2,1,2.57012,1.19842,10.1250,9.8750,0.2500,10.2179,9.7821,9.7821,10.2179,,,,0.7224,0.1814,0.0962
2014-08-23 14:30:00,5448,Hoffenheim,Augsburg,2,0,1.52873,0.280777,10.3750,9.6250,0.7500,10.1870,9.8130,10.0630,9.9370,,,,0.7788,0.1768,0.0444
2014-08-23 14:30:00,5449,Hannover 96,Schalke 04,2,1,1.17979,0.956665,10.1250,9.8750,0.2500,9.9308,10.0692,10.0692,9.9308,,,,0.4179,0.3115,0.2706
2014-08-23 14:30:00,5450,Hertha Berlin,Werder Bremen,2,2,1.75585,1.19453,9.8750,10.1250,-0.2500,10.0153,9.9847,9.7347,10.2653,,,,0.5051,0.319,0.1759
2014-08-23 14:30:00,5451,Eintracht Frankfurt,Freiburg,1,0,1.75331,1.38084,10.1250,9.8750,0.2500,9.9681,10.0319,10.0319,9.9681,,,,0.4641,0.2547,0.2812
2014-08-23 14:30:00,5452,FC Cologne,Hamburger SV,0,0,0.522276,0.913337,9.8750,10.1250,-0.2500,9.7772,10.2228,9.9728,10.0272,,,,0.1907,0.3641,0.4452
2014-08-23 17:30:00,5453,Borussia Dortmund,Bayer Leverkusen,0,2,0.482324,1.14915,9.3750,10.6250,-1.2500,9.7083,10.2917,9.5417,10.4583,,,,0.1428,0.3095,0.5477
2014-08-24 14:30:00,5454,Paderborn,Mainz 05,2,2,0.35254,1.84123,9.8750,10.1250,-0.2500,9.5028,10.4972,10.2472,9.7528,,,,0.0317,0.1405,0.8278
2014-08-24 16:30:00,5455,Borussia M.Gladbach,VfB Stuttgart,1,1,2.40939,0.433199,9.8750,10.1250,-0.2500,10.3690,9.6310,9.3810,10.6190,,,,0.8594,0.1092,0.0314
2014-08-29 19:30:00,5456,Augsburg,Borussia Dortmund,2,3,1.00422,2.30342,9.1875,9.8125,-0.6250,9.3007,10.2206,9.8243,9.6544,,,,0.1219,0.1884,0.6897
2014-08-30 14:30:00,5457,Werder Bremen,Hoffenheim,1,1,2.51429,1.29948,10.0625,10.4375,-0.3750,10.2259,9.9458,9.8991,10.4292,,,,0.6796,0.2082,0.1122
2014-08-30 14:30:00,5458,VfB Stuttgart,FC Cologne,0,2,0.722885,1.2983,9.4375,10.5625,-1.1250,9.2996,10.1086,10.0754,10.5164,,,,0.1737,0.2973,0.529
2014-08-30 14:30:00,5459,Hamburger SV,Paderborn,0,3,1.14049,2.37004,9.1875,10.8125,-1.6250,9.7279,9.9977,9.3971,10.8773,,,,0.0921,0.1897,0.7182
2014-08-30 14:30:00,5460,Bayer Leverkusen,Hertha Berlin,4,2,2.53036,0.712547,10.8125,9.6875,1.1250,10.4337,9.8733,10.1913,10.0017,,,,0.8156,0.1395,0.0449
2014-08-30 14:30:00,5461,Wolfsburg,Eintracht Frankfurt,2,2,1.00484,1.59633,9.8125,10.1875,-0.3750,9.5717,10.1785,10.3033,9.9465,,,,0.1881,0.2795,0.5324
2014-08-30 17:30:00,5462,Schalke 04,Bayern Munich,1,1,1.30795,1.50328,9.8125,10.1875,-0.3750,9.9579,10.3292,9.9171,9.7958,,,,0.2651,0.3452,0.3897
2014-08-31 14:30:00,5463,Mainz 05,Hannover 96,0,0,1.0088,0.561787,10.0000,10.2500,-0.2500,10.4840,9.9440,9.5160,10.3060,,,,0.4571,0.3527,0.1902
2014-08-31 16:30:00,5464,Freiburg,Borussia M.Gladbach,0,0,1.30113,0.321709,9.7500,10.0000,-0.2500,10.1518,10.2491,9.5982,9.7509,,,,0.7037,0.2368,0.0595
2014-09-12 19:30:00,5411,Bayer Leverkusen,Werder Bremen,3,3,1.98321,1.72618,10.5000,10.3750,0.1250,10.1855,10.4741,9.8145,10.2759,,,,0.4268,0.2427,0.3305
2014-09-13 14:30:00,5412,Hoffenheim,Wolfsburg,1,1,1.15845,1.63553,10.1563,10.0937,0.0626,9.5453,9.9722,10.2672,10.4653,,,,0.2355,0.2878,0.4767
2014-09-13 14:30:00,5413,Bayern Munich,VfB Stuttgart,2,0,1.22987,0.310166,10.3750,9.2500,1.1250,10.2466,9.3822,9.7534,10.1178,,,,0.6226,0.291,0.0864
2014-09-13 14:30:00,5414,Borussia Dortmund,Freiburg,3,1,1.71642,0.261915,10.1719,9.3906,0.7813,10.4436,9.9288,9.6501,9.6025,,,,0.7627,0.1937,0.0436
