Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-31 17:00:00,5152,AC Milan,Lazio,3,1,10,10.3750,10,9.8683,10,10.3817
2014-09-14 19:45:00,5117,AC Milan,Parma,5,4,10.375,10.7500,9.8683,10.5802,10.3817,10.1698
2014-09-20 19:45:00,5120,AC Milan,Juventus,0,1,10.75,10.3750,10.5802,10.1653,10.1698,10.0847
2014-09-23 19:45:00,5129,AC Milan,Empoli,2,2,10.375,10.1250,10.1653,9.5524,10.0847,10.1976
2014-09-28 14:00:00,5143,AC Milan,Cesena,1,1,10.125,9.9688,9.5524,9.3327,10.1976,10.1048
2014-10-04 19:45:00,5070,AC Milan,Chievo,2,0,9.9688,10.2344,9.3327,9.3605,10.1048,10.1083
2014-10-19 14:00:00,5083,AC Milan,Verona,3,1,10.2344,10.8828,9.3605,9.6718,10.1083,10.5938
2014-10-26 19:45:00,5098,AC Milan,Fiorentina,1,1,10.8828,10.8593,9.6718,9.7728,10.5938,10.4459
2014-10-29 19:45:00,5105,AC Milan,Cagliari,1,1,10.8593,10.9189,9.7728,9.4752,10.4459,10.8627
2014-11-02 19:45:00,5037,AC Milan,Palermo,0,2,10.9189,9.8213,9.4752,8.7453,10.8627,9.8973
2014-11-08 19:45:00,5041,AC Milan,Sampdoria,2,2,9.8213,9.7620,8.7453,8.4061,9.8973,10.1179
2014-11-23 19:45:00,5058,AC Milan,Inter,1,1,9.762,9.5071,8.4061,8.1700,10.1179,9.8442
2014-11-30 14:00:00,5063,AC Milan,Udinese,2,0,9.5071,9.6914,8.17,8.4017,9.8442,9.4810
2014-12-07 14:00:00,5005,AC Milan,Genoa,0,1,9.6914,10.0069,8.4017,9.1795,9.481,9.5841
2014-12-14 19:45:00,5017,AC Milan,Napoli,2,0,10.0069,10.8035,9.1795,9.5607,9.5841,10.2962
2014-12-20 19:45:00,5023,AC Milan,Roma,0,0,10.8035,11.0939,9.5607,9.6437,10.2962,10.7939
2015-01-06 14:00:00,4959,AC Milan,Sassuolo,1,2,11.0939,10.6274,9.6437,9.4908,10.7939,10.2639
2015-01-10 19:45:00,4968,AC Milan,Torino,1,1,10.6274,10.6168,9.4908,9.0256,10.2639,10.7080
2015-01-18 14:00:00,4980,AC Milan,Atalanta,0,1,10.6168,9.9442,9.0256,8.5355,10.708,10.1030
2015-01-24 19:45:00,4988,AC Milan,Lazio,1,3,9.9442,9.7423,8.5355,8.2039,10.103,10.5308
2015-02-01 19:45:00,4926,AC Milan,Parma,3,1,9.7423,9.8571,8.2039,7.9852,10.5308,10.4790
2015-02-07 19:45:00,4928,AC Milan,Juventus,1,3,9.8571,9.9305,7.9852,8.1406,10.479,10.9704
2015-02-15 11:30:00,4939,AC Milan,Empoli,1,1,9.9305,9.7985,8.1406,7.9671,10.9704,10.8800
2015-02-22 14:00:00,4948,AC Milan,Cesena,2,0,9.7985,10.0816,7.9671,7.9402,10.88,10.9732
2015-02-28 19:45:00,4956,AC Milan,Chievo,0,0,10.0816,10.1628,7.9402,8.1335,10.9732,10.9423
2015-03-07 19:45:00,4890,AC Milan,Verona,2,2,10.1628,9.7259,8.1335,7.8517,10.9423,10.3503
2015-03-16 18:00:00,4907,AC Milan,Fiorentina,1,2,9.7259,9.9782,7.8517,8.1099,10.3503,10.8467
2015-03-21 19:45:00,4910,AC Milan,Cagliari,3,1,9.9782,10.1072,8.1099,8.0468,10.8467,10.6678
2015-04-04 14:00:00,4832,AC Milan,Palermo,2,1,10.1072,10.3986,8.0468,8.0610,10.6678,10.9864
2015-04-12 19:45:00,4849,AC Milan,Sampdoria,1,1,10.3986,10.5324,8.061,8.3630,10.9864,10.9519
2015-04-19 19:45:00,4859,AC Milan,Inter,0,0,10.5324,10.4233,8.363,7.9218,10.9519,11.1748
2015-04-25 17:00:00,4861,AC Milan,Udinese,1,2,10.4233,9.8193,7.9218,7.3412,11.1748,10.7974
2015-04-29 19:45:00,4878,AC Milan,Genoa,1,3,9.8193,9.0145,7.3412,6.5244,10.7974,10.5045
2015-05-03 19:45:00,4786,AC Milan,Napoli,0,3,9.0145,8.7655,6.5244,6.2701,10.5045,11.0109
2015-05-09 19:45:00,4790,AC Milan,Roma,2,1,8.7655,9.2968,6.2701,6.7829,11.0109,11.3108
2015-05-17 11:30:00,4801,AC Milan,Sassuolo,2,3,9.2968,9.1384,6.7829,6.6855,11.3108,11.3414
2015-05-24 19:45:00,4817,AC Milan,Torino,3,0,9.1384,9.7133,6.6855,6.7377,11.3414,11.6890
2015-05-30 19:45:00,4820,AC Milan,Atalanta,3,1,9.7133,10.4756,6.7377,7.2462,11.689,12.2052
