Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2017-08-05 16:15:00,8566,Amiens,Paris Saint Germain,0,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2017-08-12 19:00:00,8578,Amiens,Angers,0,2,9.5545,11.1634,9.8624,12.9137,9.7465,11.1623
2017-08-19 19:00:00,8593,Amiens,Saint-Etienne,0,3,9.0050,10.4062,9.5363,4.3312,9.7237,9.4821
2017-08-26 19:00:00,8595,Amiens,Nice,3,0,9.8299,8.9799,9.8816,0.1621,10.2783,10.0464
2017-09-09 19:00:00,8611,Amiens,Strasbourg,1,0,10.2062,9.4589,9.9313,9.4157,10.7312,9.5021
2017-09-17 14:00:00,8618,Amiens,Marseille,0,2,9.3194,10.0458,9.3622,5.5441,10.0267,0.7982
2017-09-23 19:00:00,8626,Amiens,Caen,0,1,9.3314,9.8554,9.1907,12.9302,10.4722,17.7812
2017-10-14 19:00:00,8647,Amiens,Toulouse,0,1,9.2314,9.5314,9.0353,19.2492,10.6776,9.5628
2017-10-21 19:00:00,8655,Amiens,Bordeaux,1,0,9.5565,9.7067,9.1981,12.5055,10.9150,5.4086
2017-10-28 19:00:00,8668,Amiens,Guingamp,1,1,9.7539,9.6487,9.3289,13.4710,11.1790,13.3260
2017-11-04 19:00:00,8675,Amiens,Montpellier,1,1,9.9886,9.9581,9.4628,11.7195,11.5146,11.4455
2017-11-17 19:45:00,8685,Amiens,Monaco,1,1,10.4212,11.7863,10.0273,-0.9486,11.8152,-8.2284
2017-11-20 18:00:00,8635,Amiens,Lille,3,0,10.9643,9.5505,10.0926,6.6172,12.0861,12.7342
2017-11-25 19:00:00,8703,Amiens,Metz,2,0,11.0487,8.7174,9.5966,17.0801,12.2509,21.3549
2017-11-28 18:00:00,8705,Amiens,Dijon,2,1,10.9883,10.3674,9.2840,6.2009,12.1926,18.2842
2017-12-02 19:00:00,8720,Amiens,Rennes,0,2,10.3521,10.5797,8.8232,10.9462,11.8810,12.9639
2017-12-10 14:00:00,8725,Amiens,Lyon,1,2,10.1858,11.3530,9.2166,9.5286,11.4049,8.4274
2017-12-16 19:00:00,8744,Amiens,Troyes,0,1,9.9598,10.0080,8.7593,14.9795,11.6603,20.0359
2017-12-20 19:50:00,8745,Amiens,Nantes,0,1,9.4942,10.0629,8.4749,13.4058,11.2634,10.4697
2018-01-13 19:00:00,8760,Amiens,Nice,0,1,9.4485,9.8572,8.5202,1.2634,11.3768,10.9492
2018-01-17 18:00:00,8765,Amiens,Montpellier,1,1,9.4685,10.0083,8.3989,11.6093,11.5380,10.9062
2018-01-20 19:00:00,8775,Amiens,Guingamp,3,1,10.0035,9.5734,8.8811,13.0344,11.6257,14.3619
2018-01-27 19:00:00,8785,Amiens,Angers,0,1,9.8937,10.1740,8.6560,13.8096,11.8812,10.2878
2018-02-03 19:00:00,8795,Amiens,Saint-Etienne,0,2,9.1395,10.1311,7.7885,6.7235,11.7403,11.2891
2018-02-10 19:00:00,8813,Amiens,Bordeaux,2,3,9.4061,10.4391,8.0448,13.6779,12.2671,6.4512
