Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2015-08-08 23:00:00,1872,Angers,Montpellier,2,0,,,,,,
2015-08-15 22:00:00,1883,Angers,Nantes,0,0,,,,,,
2015-08-22 22:00:00,1895,Angers,GFC Ajaccio,2,0,,,,,,
2015-08-29 22:00:00,1903,Angers,Nice,1,1,,,,,,
2015-09-12 22:00:00,1912,Angers,Lorient,1,3,,,,,,
2015-09-19 22:00:00,1921,Angers,Troyes,1,0,,,,,,
2015-09-22 21:00:00,1929,Angers,Reims,0,0,,,,,,
2015-09-27 16:00:00,1944,Angers,Marseille,2,1,,,,,,
2015-10-03 22:00:00,1952,Angers,SC Bastia,1,0,,,,,,
2015-10-17 22:00:00,1963,Angers,Toulouse,2,1,,,,,,
2015-10-24 22:00:00,1973,Angers,Guingamp,0,0,,,,,,
2015-11-01 20:00:00,1986,Angers,Monaco,0,1,,,,,,
2015-11-06 23:30:00,1989,Angers,Rennes,0,2,,,,,,
2015-11-22 17:00:00,2006,Angers,Caen,0,0,,,,,,
2015-11-28 23:00:00,2015,Angers,Lille,2,0,,,,,,
2015-12-01 22:00:00,2019,Angers,Paris Saint Germain,0,0,,,,,,
2015-12-05 20:00:00,2030,Angers,Lyon,2,0,,,,,,
2015-12-13 20:00:00,2047,Angers,Bordeaux,1,1,,,,,,
2015-12-20 17:00:00,2056,Angers,Saint-Etienne,0,1,,,,,,
2016-01-09 23:00:00,2064,Angers,Caen,2,0,,,,,,
2016-01-15 23:30:00,2069,Angers,Nice,1,2,,,,,,
2016-01-23 20:00:00,2080,Angers,Paris Saint Germain,1,5,,,,,,
2016-01-30 20:00:00,2090,Angers,Monaco,3,0,,,,,,
2016-02-03 22:00:00,2106,Angers,Reims,1,2,,,,,,
2016-02-06 20:00:00,2110,Angers,Lyon,0,3,,,,,,
2016-02-12 23:30:00,2119,Angers,Rennes,0,1,,,,,,
2016-02-20 23:00:00,2133,Angers,Montpellier,2,3,,,,,,
2016-02-27 23:00:00,2142,Angers,Guingamp,2,2,,,,,,
2016-03-05 23:00:00,2150,Angers,Saint-Etienne,0,0,,,,,,
2016-03-13 20:00:00,2167,Angers,Nantes,0,2,,,,,,
2016-03-19 23:00:00,2171,Angers,Lorient,5,1,,,,,,
2016-04-02 22:00:00,2183,Angers,Troyes,1,0,,,,,,
2016-04-09 22:00:00,2191,Angers,GFC Ajaccio,0,0,,,,,,
2016-04-16 22:00:00,2202,Angers,Bordeaux,3,1,,,,,,
2016-04-27 20:30:00,2217,Angers,Lille,0,0,,,,,,
2016-05-01 19:00:00,2227,Angers,Marseille,0,1,,,,,,
2016-05-07 23:00:00,2236,Angers,SC Bastia,0,1,,,,,,
2016-05-14 23:00:00,2248,Angers,Toulouse,2,3,,,,,,
2016-08-13 22:00:00,2252,Angers,Montpellier,0,1,,,,,,
2016-08-20 22:00:00,2262,Angers,Nice,0,1,,,,,,
2016-08-27 22:00:00,2272,Angers,Metz,0,2,,,,,,
2016-09-10 22:00:00,2282,Angers,Dijon,3,1,,,,,,
2016-09-17 22:00:00,2295,Angers,Bordeaux,1,0,,,,,,
2016-09-21 21:00:00,2302,Angers,Caen,2,1,,,,,,
2016-09-24 22:00:00,2315,Angers,Monaco,1,2,,,,,,
2016-10-02 17:00:00,2326,Angers,Marseille,1,1,,,,,,
2016-10-15 22:00:00,2334,Angers,SC Bastia,2,1,,,,,,
2016-10-22 22:00:00,2345,Angers,Toulouse,0,0,,,,,,
2016-10-29 22:00:00,3321,Angers,Guingamp,0,1,,,,,,
2016-11-05 23:00:00,2838,Angers,Lille,1,0,,,,,,
2016-11-19 23:00:00,2847,Angers,Rennes,1,1,,,,,,
2016-11-27 18:00:00,2860,Angers,Saint-Etienne,1,2,,,,,,
2016-12-01 00:00:00,3228,Angers,Paris Saint Germain,0,2,,,,,,
2016-12-03 23:00:00,3232,Angers,Lorient,2,2,,,,,,
2016-12-10 23:00:00,3242,Angers,Nancy,0,2,,,,,,
2016-12-16 19:45:00,3249,Angers,Nantes,0,2,,,,,,
2016-12-21 23:50:00,3262,Angers,Lyon,0,2,,,,,,
2017-01-14 23:00:00,4109,Angers,Bordeaux,1,1,,,,,,
2017-01-22 19:00:00,4123,Angers,Saint-Etienne,1,2,,,,,,
