Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-02 16:00:00,6419,Arsenal Tula,Zenit St. Petersburg,0,4,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-10 16:30:00,6432,Arsenal Tula,Lokomotiv Moscow,0,2,9.3750,10.6250,9.5244,10.4756,9.7256,10.2744
2014-08-13 17:00:00,6436,Arsenal Tula,Rubin Kazan,0,0,9.4375,10.0625,9.7107,10.0057,9.6643,10.1193
2014-08-17 13:00:00,6444,Arsenal Tula,Dinamo Moscow,1,2,9.3125,10.5625,9.4222,10.2490,9.9528,10.3760
2014-08-22 17:00:00,6449,Arsenal Tula,FK Akhmat,0,3,8.8399,10.3945,9.4403,9.9621,9.7394,10.0769
2014-08-30 17:00:00,6460,Arsenal Tula,Kuban Krasnodar,0,1,8.8125,10.2579,9.5332,9.9933,9.8418,9.7724
2014-09-13 10:30:00,6393,Arsenal Tula,CSKA Moscow,1,2,9.2632,10.6645,9.8566,10.2988,10.6697,9.2804
2014-09-19 17:00:00,6401,Arsenal Tula,Mordovya,0,1,9.0176,10.0263,9.9096,9.1486,10.3754,11.1544
2014-09-28 15:30:00,6414,Arsenal Tula,FC Krasnodar,0,3,8.7299,10.6545,9.6802,10.3082,10.7794,8.7509
2014-10-19 13:30:00,6381,Arsenal Tula,FC Rostov,1,1,8.4966,8.5301,9.1710,10.5159,10.8220,10.2940
2014-10-24 14:00:00,6384,Arsenal Tula,Ural,0,1,8.8219,9.9727,9.5275,9.9175,11.3662,11.0280
2014-11-03 11:00:00,6350,Arsenal Tula,Torpedo Moscow,1,0,9.3337,8.8574,10.0047,10.6659,11.6626,10.7989
2014-11-09 15:00:00,6360,Arsenal Tula,Spartak Moscow,0,2,9.1161,10.1809,9.8851,10.7833,11.8470,9.8282
2014-11-23 13:00:00,6366,Arsenal Tula,Amkar,4,0,10.0636,8.4584,10.1969,9.1467,12.4301,9.5204
2014-11-29 10:30:00,6370,Arsenal Tula,Ural,1,2,9.3616,9.4574,9.6898,9.2754,11.7832,11.3894
2014-12-02 16:00:00,6330,Arsenal Tula,FC Ufa,0,1,8.9176,9.5297,9.4876,7.5948,11.3475,12.7144
2014-12-08 16:00:00,6344,Arsenal Tula,FC Rostov,1,0,9.3864,8.8239,9.7115,10.9385,11.8111,11.2091
2015-03-09 12:30:00,6312,Arsenal Tula,Rubin Kazan,0,1,9.5268,10.3075,9.9886,10.5137,12.0648,7.6014
2015-03-14 16:00:00,6317,Arsenal Tula,Lokomotiv Moscow,1,0,10.0846,9.7003,10.2306,9.6942,12.6884,7.7057
2015-03-21 11:15:00,6325,Arsenal Tula,CSKA Moscow,1,4,9.6014,12.1350,10.0961,9.5107,12.6065,8.0093
2015-04-05 18:15:00,6272,Arsenal Tula,Torpedo Moscow,1,3,8.9925,10.2747,9.7722,11.7434,12.2126,12.0560
2015-04-09 15:45:00,6279,Arsenal Tula,Spartak Moscow,1,0,9.3953,9.7011,9.7200,10.5746,12.8205,8.5776
2015-04-12 14:00:00,6283,Arsenal Tula,FC Ufa,1,0,9.5721,8.4258,9.5694,7.7722,13.0748,12.3294
2015-04-20 15:00:00,6295,Arsenal Tula,Amkar,1,0,9.8766,8.9857,9.4540,11.6750,13.5492,10.7965
2015-04-26 16:30:00,6304,Arsenal Tula,Zenit St. Petersburg,0,1,10.0293,10.8348,9.4087,8.7214,14.1499,4.4482
2015-05-04 13:30:00,6231,Arsenal Tula,FC Krasnodar,0,3,9.3233,11.4112,9.3905,8.8576,13.5061,7.9650
2015-05-11 14:00:00,6239,Arsenal Tula,Mordovya,0,1,9.2805,9.6949,9.7689,10.0695,13.2921,14.5708
2015-05-16 14:30:00,6243,Arsenal Tula,FK Akhmat,1,1,9.4769,10.3698,9.6591,10.0317,13.7947,10.9585
2015-05-24 16:30:00,6254,Arsenal Tula,Dinamo Moscow,2,2,9.6401,9.4664,9.6097,6.9552,14.1705,8.7273
2015-05-30 11:30:00,6259,Arsenal Tula,Kuban Krasnodar,1,5,8.8175,10.6721,9.5451,12.5220,13.5898,10.3226
2016-07-31 19:00:00,2593,Arsenal Tula,Spartak Moscow,0,4,8.2997,10.7642,9.7361,13.3335,13.3633,5.9447
2016-08-06 20:30:00,2598,Arsenal Tula,Rubin Kazan,1,0,8.7951,9.2857,10.1723,10.3251,13.6678,7.4971
2016-08-14 21:00:00,2610,Arsenal Tula,Anzhi Makhachkala,0,1,8.9876,9.8727,10.7284,12.0237,13.7468,13.2218
2016-08-22 20:30:00,2620,Arsenal Tula,FC Orenburg,0,0,9.1102,9.8555,10.8063,10.1793,13.9141,9.7816
2016-08-28 18:00:00,2625,Arsenal Tula,Ural,1,1,9.4931,9.7588,10.9341,9.4413,14.5521,14.8269
2016-09-11 20:00:00,2635,Arsenal Tula,Zenit St. Petersburg,0,5,8.5744,12.2369,10.8119,10.8549,14.0869,-5.1307
2016-09-17 15:00:00,2638,Arsenal Tula,Tom Tomsk,0,1,8.7132,9.4907,11.1871,9.5541,14.2393,10.1772
2016-09-25 15:30:00,2648,Arsenal Tula,FK Akhmat,0,0,8.7291,9.2608,11.2335,9.3436,14.2246,10.1787
2016-10-01 18:00:00,2655,Arsenal Tula,Lokomotiv Moscow,1,1,9.1171,9.3931,11.2852,11.0731,14.9489,4.2118
2016-10-16 20:00:00,2667,Arsenal Tula,FC Krasnodar,0,0,9.3439,10.2976,11.3647,10.0967,15.3231,9.7484
2016-10-21 19:00:00,2669,Arsenal Tula,Krylya Sovetov Samara,1,1,9.5256,9.3890,11.5754,11.6086,15.4758,12.1694
2016-10-30 15:30:00,2964,Arsenal Tula,FC Ufa,0,2,9.0982,10.7436,11.6862,7.7637,15.0103,21.4736
2016-11-06 18:00:00,2721,Arsenal Tula,FC Rostov,1,4,8.7911,10.6769,11.6662,9.1558,15.1661,10.9479
2016-11-18 20:00:00,2725,Arsenal Tula,CSKA Moscow,0,1,8.7130,10.0568,11.6290,6.0171,15.2971,-2.6534
2016-11-26 12:30:00,2734,Arsenal Tula,Amkar,0,1,9.0037,10.0851,11.8707,10.1685,15.8868,15.2508
2016-11-30 20:00:00,2742,Arsenal Tula,Rubin Kazan,0,1,9.2948,10.3771,12.2533,11.3122,16.3365,7.9425
2016-12-05 20:30:00,3280,Arsenal Tula,Anzhi Makhachkala,1,0,9.5496,9.5593,12.4418,11.1684,16.4076,14.4503
2017-03-04 11:00:00,4297,Arsenal Tula,FC Orenburg,0,3,8.8001,9.8012,12.1988,10.7130,15.9017,10.3893
2017-03-10 16:00:00,4304,Arsenal Tula,Ural,2,0,9.3550,8.9646,12.5390,9.8568,16.1712,16.5733
2017-03-19 16:30:00,4318,Arsenal Tula,Zenit St. Petersburg,0,2,9.2990,10.6869,12.3056,9.3622,16.7926,-9.7386
2017-04-01 15:30:00,4319,Arsenal Tula,Tom Tomsk,3,0,9.6306,7.7936,12.0688,12.5657,16.9425,11.0213
2017-04-08 14:30:00,4331,Arsenal Tula,FK Akhmat,1,3,9.3516,10.2937,12.1278,10.4328,16.8255,9.9054
2017-04-16 15:30:00,4340,Arsenal Tula,Lokomotiv Moscow,0,3,8.8828,11.4453,11.8447,11.0773,16.9210,4.3124
2017-04-23 15:00:00,4348,Arsenal Tula,FC Krasnodar,0,2,8.9784,10.6697,12.4016,9.1513,17.0553,9.4378
2017-04-26 17:30:00,4355,Arsenal Tula,Krylya Sovetov Samara,2,0,9.6265,9.4227,12.6831,11.8101,17.5700,12.2855
2017-04-30 12:30:00,4365,Arsenal Tula,FC Ufa,0,1,9.5858,10.0044,12.8011,7.3607,17.6206,21.1486
2017-05-06 14:30:00,4371,Arsenal Tula,FC Rostov,1,0,10.0738,10.5497,12.8681,7.3260,18.2795,9.7733
2017-05-12 17:30:00,4382,Arsenal Tula,CSKA Moscow,0,3,9.8258,11.8297,12.6836,4.0078,18.7180,-2.5980
2017-05-17 17:30:00,4388,Arsenal Tula,Amkar,0,0,9.6352,9.7540,12.4614,10.8106,18.5590,15.4463
2017-05-21 13:00:00,4393,Arsenal Tula,Spartak Moscow,3,0,10.7187,10.3855,13.3706,10.2544,19.0667,4.5166
2017-07-18 17:30:00,6472,Arsenal Tula,Lokomotiv Moscow,0,1,10.4251,10.3381,13.4858,10.6374,18.6144,2.7876
2017-07-24 17:30:00,6484,Arsenal Tula,SKA-Khabarovsk,1,0,10.4438,9.9813,13.5274,9.9584,18.3602,10.2542
2017-07-29 15:30:00,6487,Arsenal Tula,Rubin Kazan,1,2,10.1528,10.0708,13.2654,11.9813,18.2902,8.4107
2017-08-06 13:00:00,6497,Arsenal Tula,Tosno,1,2,9.6300,10.0842,12.9540,10.1702,17.8059,10.4983
2017-08-09 17:30:00,6504,Arsenal Tula,Spartak Moscow,0,2,9.2988,10.1366,12.6324,10.8272,17.9652,3.4458
2017-08-14 17:30:00,6516,Arsenal Tula,Ural,2,2,9.3725,10.0200,12.8543,9.4757,17.8907,20.0656
2017-08-21 18:00:00,6524,Arsenal Tula,FK Akhmat,2,1,9.7332,8.9545,12.6803,9.5310,18.5361,8.1289
2017-08-26 13:00:00,6526,Arsenal Tula,Amkar,0,1,9.3047,9.9476,12.6745,12.1340,17.9349,16.2602
2017-09-09 14:30:00,6539,Arsenal Tula,FC Rostov,2,2,9.8463,10.4295,13.2048,6.6988,18.4878,8.6603
