Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 14:30:00,5448,Augsburg,Hoffenheim,0,2,10,9.6250,10,9.8130,10,9.9370
2014-08-29 19:30:00,5456,Augsburg,Borussia Dortmund,2,3,9.625,9.2500,9.813,9.3632,9.937,9.8868
2014-09-14 14:30:00,5418,Augsburg,Eintracht Frankfurt,1,0,9.25,9.7500,9.3632,9.6518,9.8868,10.3482
2014-09-20 14:30:00,5425,Augsburg,Werder Bremen,4,2,9.75,10.3125,9.6518,9.9361,10.3482,10.6889
2014-09-24 19:00:00,5434,Augsburg,Bayer Leverkusen,0,1,10.3125,10.4375,9.9361,10.0408,10.6889,11.0842
2014-09-28 14:30:00,5445,Augsburg,Hertha Berlin,1,0,10.4375,10.2656,10.0408,9.8624,11.0842,10.6689
2014-10-05 14:30:00,5390,Augsburg,Wolfsburg,0,1,10.2656,10.1679,9.8624,10.0103,10.6689,10.5757
2014-10-18 14:30:00,5393,Augsburg,Mainz 05,1,2,10.1679,10.1288,10.0103,10.2153,10.5757,10.5426
2014-10-25 14:30:00,5403,Augsburg,Freiburg,2,0,10.1288,10.3114,10.2153,10.2309,10.5426,10.3923
2014-10-31 19:30:00,5410,Augsburg,Schalke 04,0,1,10.3114,10.3095,10.2309,10.2231,10.3923,10.6462
2014-11-08 14:30:00,5357,Augsburg,Paderborn,3,0,10.3095,10.9177,10.2231,10.2545,10.6462,11.0812
2014-11-23 16:30:00,5373,Augsburg,VfB Stuttgart,1,0,10.9177,11.0120,10.2545,10.5186,11.0812,10.7556
2014-11-29 14:30:00,5375,Augsburg,Hamburger SV,3,1,11.012,11.0190,10.5186,10.4428,10.7556,10.3453
2014-12-06 14:30:00,5317,Augsburg,FC Cologne,2,1,11.019,11.0312,10.4428,10.2453,10.3453,10.3172
2014-12-13 14:30:00,5324,Augsburg,Bayern Munich,0,4,11.0312,10.1897,10.2453,9.9206,10.3172,9.9588
2014-12-16 19:00:00,5330,Augsburg,Hannover 96,0,2,10.1897,9.3791,9.9206,9.4486,9.9588,9.3097
2014-12-20 14:30:00,5340,Augsburg,Borussia M.Gladbach,2,1,9.3791,9.5116,9.4486,9.2011,9.3097,9.5723
2015-02-01 16:30:00,5261,Augsburg,Hoffenheim,3,1,9.5116,10.1192,9.2011,9.7551,9.5723,9.7336
