Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 20:00:00,5831,Barcelona,Elche,3,0,10.6250,9.3750,10.2333,9.7667,10.2667,9.7333
2014-08-31 18:00:00,5842,Barcelona,Villarreal,1,0,11.0000,10.2500,10.8626,10.1629,10.1374,10.0871
2014-09-13 15:00:00,5787,Barcelona,Athletic Club,2,0,11.2188,10.1562,11.1012,10.0727,9.8363,10.2398
2014-09-21 20:00:00,5804,Barcelona,Levante,5,0,12.0782,8.2968,11.5558,8.6879,9.8504,10.4059
2014-09-24 21:00:00,5813,Barcelona,Malaga,0,0,11.5420,9.9698,11.1116,9.7499,9.2223,10.6895
2014-09-27 17:00:00,5818,Barcelona,Granada,6,0,12.4067,8.6362,11.5969,8.6448,8.9664,9.8777
2014-10-04 17:00:00,5756,Barcelona,Rayo Vallecano,2,0,12.4517,10.0419,11.7576,10.0603,8.3958,10.5233
2014-10-18 19:00:00,5767,Barcelona,Eibar,3,0,12.3790,9.7338,11.4759,9.2103,7.7822,10.7573
2014-10-25 17:00:00,5776,Barcelona,Real Madrid,1,3,12.1788,13.2783,11.6317,10.2074,7.7260,10.5991
2014-11-01 19:00:00,5718,Barcelona,Celta Vigo,0,1,11.2423,10.8695,11.2217,9.5970,6.5131,10.6421
2014-11-08 15:00:00,5726,Barcelona,Almeria,2,1,10.9774,8.9475,11.2498,8.8463,5.7051,10.2987
2014-11-22 19:00:00,5738,Barcelona,Sevilla,5,1,11.5531,9.2044,11.5770,9.7273,5.5293,7.9314
2014-11-30 20:00:00,5753,Barcelona,Valencia,1,0,11.5711,10.1070,11.5455,7.8576,5.3468,9.3561
2014-12-07 16:00:00,5692,Barcelona,Espanyol,5,1,11.9347,9.1619,11.3827,9.9159,5.2368,10.1581
2014-12-13 15:00:00,5698,Barcelona,Getafe,0,0,11.4814,10.0746,11.3689,10.0894,4.3439,12.0600
2014-12-20 15:00:00,5708,Barcelona,Cordoba,5,0,12.1089,8.8641,11.3207,10.9031,4.3972,10.8253
2015-01-04 20:00:00,5650,Barcelona,Real Sociedad,0,1,11.3631,10.3715,10.8909,10.0830,3.5854,11.6599
2015-01-11 20:00:00,5660,Barcelona,Atletico Madrid,3,1,11.7146,10.9177,11.4555,10.6675,3.2238,6.9181
2015-01-18 18:00:00,5669,Barcelona,Deportivo La Coruna,4,0,12.3005,8.9723,11.4583,11.0352,3.3928,11.1591
2015-01-24 17:00:00,5673,Barcelona,Elche,6,0,13.2912,8.7726,11.7407,11.0465,3.5918,12.2486
2015-02-01 20:00:00,5605,Barcelona,Villarreal,3,2,12.7261,11.0959,11.4652,10.8391,2.4871,7.6031
2015-02-08 20:00:00,5616,Barcelona,Athletic Club,5,2,12.8722,9.6645,11.5566,10.3001,1.9380,11.7785
2015-02-15 16:00:00,5624,Barcelona,Levante,5,0,13.2262,9.4342,11.5139,11.4903,1.4387,13.8780
2015-02-21 15:00:00,5629,Barcelona,Malaga,0,1,11.7411,10.2709,10.1744,9.6506,0.0580,11.1412
2015-02-28 15:00:00,5639,Barcelona,Granada,3,1,11.7220,9.1839,10.3328,11.6220,-0.6386,12.7455
2015-03-08 11:00:00,5576,Barcelona,Rayo Vallecano,6,1,12.3697,9.1652,10.7913,9.4948,-1.0517,13.8350
2015-03-14 17:00:00,5583,Barcelona,Eibar,2,0,12.0797,8.9999,10.2956,7.8990,-1.6359,13.1009
2015-03-22 23:00:00,5600,Barcelona,Real Madrid,2,1,11.7947,10.7247,9.9099,6.7353,-2.0702,1.7142
2015-04-05 20:00:00,5513,Barcelona,Celta Vigo,1,0,11.6689,9.9175,9.8543,11.4501,-2.5161,9.1347
2015-04-08 19:00:00,5518,Barcelona,Almeria,4,0,11.7662,8.4610,9.3138,10.8700,-2.7809,12.5516
2015-04-11 19:00:00,5527,Barcelona,Sevilla,2,2,11.8371,11.4787,9.5087,9.7753,-2.8341,7.9322
2015-04-18 15:00:00,5536,Barcelona,Valencia,2,0,12.1083,11.1506,9.4467,6.2703,-2.7297,8.2811
2015-04-25 15:00:00,5546,Barcelona,Espanyol,2,0,12.3449,10.3179,9.8067,9.7002,-3.1166,11.6862
2015-04-28 19:00:00,5555,Barcelona,Getafe,6,0,12.8307,8.3022,9.3445,10.1393,-3.1828,12.4653
2015-05-02 15:00:00,5466,Barcelona,Cordoba,8,0,14.0233,7.9085,9.9754,12.3768,-3.4285,13.4407
2015-05-09 17:00:00,5477,Barcelona,Real Sociedad,2,0,13.5113,10.9872,9.4496,8.2599,-4.4268,15.2140
2015-05-17 18:00:00,5488,Barcelona,Atletico Madrid,1,0,13.1487,10.9234,9.0749,8.4195,-5.0273,3.9273
2015-05-23 17:30:00,5496,Barcelona,Deportivo La Coruna,2,2,12.1885,10.7682,8.5727,13.7412,-6.4455,14.0448
2015-08-23 20:30:00,1404,Barcelona,Athletic Club,1,0,12.3268,11.1034,8.8026,11.1202,-6.6488,11.0860
2015-08-29 22:30:00,1411,Barcelona,Malaga,1,0,11.7974,10.2386,8.4479,9.6177,-7.6029,12.6090
2015-09-12 22:30:00,1422,Barcelona,Atletico Madrid,2,1,11.9968,10.8957,8.7715,9.7474,-7.7776,11.2938
