Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-23 17:30:00,5453,Bayer Leverkusen,Borussia Dortmund,2,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-30 14:30:00,5460,Bayer Leverkusen,Hertha Berlin,4,2,10.3750,9.6250,10.3295,9.6705,9.9205,10.0795
2014-09-12 19:30:00,5411,Bayer Leverkusen,Werder Bremen,3,3,10.1250,10.1250,10.1438,10.3644,9.6062,9.8856
2014-09-21 14:30:00,5427,Bayer Leverkusen,Wolfsburg,1,4,9.4844,10.7031,10.0177,10.1600,9.2011,10.4962
2014-09-24 19:00:00,5434,Bayer Leverkusen,Augsburg,1,0,9.8633,10.1211,10.4169,9.5364,9.3097,10.4558
2014-09-27 14:30:00,5439,Bayer Leverkusen,Freiburg,0,0,9.9571,9.6445,10.6243,10.2166,9.2898,9.5724
2014-10-04 14:30:00,5387,Bayer Leverkusen,Paderborn,2,2,9.7591,9.8630,10.5452,9.6768,8.9729,10.0492
2014-10-18 14:30:00,5396,Bayer Leverkusen,VfB Stuttgart,3,3,9.8269,9.4627,10.7539,10.0880,8.8999,10.3374
2014-10-25 17:30:00,5407,Bayer Leverkusen,Schalke 04,1,0,10.1048,10.1605,10.9547,9.1258,9.0048,10.9452
2014-11-01 14:30:00,5351,Bayer Leverkusen,Hamburger SV,0,1,9.7235,9.4607,10.5953,10.3104,8.8515,10.6109
2014-11-08 14:30:00,5359,Bayer Leverkusen,Mainz 05,0,0,9.4564,9.4223,10.7732,7.6518,8.1394,10.9426
2014-11-22 14:30:00,5369,Bayer Leverkusen,Hannover 96,3,1,10.2594,9.3653,11.4727,9.2924,8.5459,10.6883
2014-11-29 14:30:00,5377,Bayer Leverkusen,FC Cologne,5,1,10.9086,8.7071,11.4789,8.7090,8.8381,9.9550
2014-12-06 17:30:00,5318,Bayer Leverkusen,Bayern Munich,0,1,11.0831,11.9319,11.7638,9.7938,9.1521,6.8202
2014-12-14 14:30:00,5328,Bayer Leverkusen,Borussia M.Gladbach,1,1,10.7083,10.4585,11.3536,9.0689,8.8126,10.0983
2014-12-17 19:00:00,5337,Bayer Leverkusen,Hoffenheim,1,0,10.8960,9.7713,11.7252,9.5857,8.5663,10.7074
2014-12-20 14:30:00,5343,Bayer Leverkusen,Eintracht Frankfurt,1,1,10.5956,10.4950,11.2756,10.7902,8.4152,10.4494
2015-01-31 17:30:00,5311,Bayer Leverkusen,Borussia Dortmund,0,0,10.1807,9.8510,10.8333,12.5597,8.0277,8.6425
2015-02-04 19:00:00,5269,Bayer Leverkusen,Hertha Berlin,1,0,10.1356,8.5455,10.6724,9.2393,7.8484,11.3517
2015-02-08 14:30:00,5278,Bayer Leverkusen,Werder Bremen,1,2,10.0175,10.2813,11.0202,11.5347,7.5144,11.2779
2015-02-14 14:30:00,5282,Bayer Leverkusen,Wolfsburg,4,5,9.9775,11.3974,11.2055,8.7462,7.4991,8.0491
2015-02-21 14:30:00,5291,Bayer Leverkusen,Augsburg,2,2,10.1765,10.0745,11.4063,8.9724,7.6963,9.9266
2015-02-28 14:30:00,5300,Bayer Leverkusen,Freiburg,1,0,10.2035,9.7576,11.2584,10.1732,7.6482,11.0925
2015-03-08 16:30:00,5241,Bayer Leverkusen,Paderborn,3,0,10.6263,7.9720,11.0372,10.3741,7.9650,11.3199
2015-03-13 19:30:00,5242,Bayer Leverkusen,VfB Stuttgart,4,0,11.1818,8.7929,10.7335,12.2536,8.3798,10.5818
2015-03-21 17:30:00,5257,Bayer Leverkusen,Schalke 04,1,0,11.3347,10.1406,10.5166,7.2853,8.6525,11.2457
2015-04-04 14:30:00,5199,Bayer Leverkusen,Hamburger SV,4,0,11.5494,8.4790,10.5979,10.2126,8.0007,12.9948
2015-04-11 14:30:00,5208,Bayer Leverkusen,Mainz 05,3,2,11.6594,10.3795,10.1471,10.0570,8.4215,11.2017
2015-04-18 14:30:00,5218,Bayer Leverkusen,Hannover 96,4,0,11.9464,9.0205,10.0045,11.0088,8.1382,11.5324
2015-04-25 14:30:00,5226,Bayer Leverkusen,FC Cologne,1,1,11.5738,10.3286,9.6048,10.2683,7.7927,11.8888
2015-05-02 17:30:00,5165,Bayer Leverkusen,Bayern Munich,2,0,11.9057,11.0696,9.4145,6.0753,8.1469,0.8135
2015-05-09 14:30:00,5171,Bayer Leverkusen,Borussia M.Gladbach,0,3,11.1543,12.1515,9.0454,8.5301,7.7632,9.0235
2015-05-16 14:30:00,5178,Bayer Leverkusen,Hoffenheim,2,0,11.0687,9.3976,8.5801,11.2253,7.5573,9.8205
2015-05-23 14:30:00,5188,Bayer Leverkusen,Eintracht Frankfurt,1,2,10.6726,10.3804,8.3647,10.1196,7.2305,12.3907
2015-08-15 17:30:00,1022,Bayer Leverkusen,Hoffenheim,2,1,10.5287,9.7410,8.7318,10.9096,6.3257,10.8229
2015-08-22 17:30:00,1035,Bayer Leverkusen,Hannover 96,1,0,10.7715,9.7572,9.0437,9.6881,6.2495,10.0762
2015-08-29 20:30:00,1045,Bayer Leverkusen,Bayern Munich,0,3,10.2816,11.8020,8.5277,6.8795,6.5358,-0.7759
2015-09-12 17:30:00,1053,Bayer Leverkusen,Darmstadt,0,1,9.8222,10.4035,8.5860,9.5425,5.8088,11.0145
2015-09-20 19:30:00,1065,Bayer Leverkusen,Borussia Dortmund,0,3,9.7218,12.0211,8.4472,15.2187,6.4969,3.3238
2015-09-23 22:00:00,1072,Bayer Leverkusen,Mainz 05,1,0,10.0344,10.1597,8.8260,9.8169,6.4933,9.5025
2015-09-26 17:30:00,1079,Bayer Leverkusen,Werder Bremen,3,0,10.8160,8.8790,9.1015,12.0878,7.0309,10.6703
2015-10-04 19:30:00,1091,Bayer Leverkusen,Augsburg,1,1,10.2117,9.5033,8.9629,8.7184,5.9610,11.0377
2015-10-17 17:30:00,1098,Bayer Leverkusen,Hamburger SV,0,0,10.2219,9.7423,9.0744,10.1571,5.8699,16.8270
2015-10-24 17:30:00,1106,Bayer Leverkusen,VfB Stuttgart,4,3,10.2164,9.7055,8.9361,17.5875,5.7473,8.3229
2015-10-31 21:30:00,1117,Bayer Leverkusen,Wolfsburg,1,2,10.1442,10.4998,8.9153,6.7514,5.8737,4.4988
2015-11-07 18:30:00,1123,Bayer Leverkusen,FC Cologne,1,2,9.5735,9.9321,8.1999,9.1200,5.6977,12.9944
2015-11-21 18:30:00,1131,Bayer Leverkusen,Eintracht Frankfurt,3,1,10.3263,9.3318,8.7157,8.4757,6.1874,12.6873
2015-11-29 20:30:00,1145,Bayer Leverkusen,Schalke 04,1,1,10.1618,10.3329,8.8489,7.8791,5.7253,12.5364
2015-12-05 18:30:00,1151,Bayer Leverkusen,Hertha Berlin,1,2,10.1427,10.6047,9.1348,9.0589,5.6513,15.6506
2015-12-12 21:30:00,1162,Bayer Leverkusen,Borussia M.Gladbach,5,0,11.6247,10.0886,9.9606,4.6684,6.5394,8.0092
2015-12-19 18:30:00,1166,Bayer Leverkusen,Ingolstadt,1,0,11.5076,9.7736,9.6577,10.1623,6.3582,11.3845
2016-01-23 18:30:00,1178,Bayer Leverkusen,Hoffenheim,1,1,11.2846,10.3386,9.7009,11.1915,5.8690,13.4860
2016-01-30 18:30:00,1186,Bayer Leverkusen,Hannover 96,3,0,11.4411,9.2541,9.5549,7.7568,5.5780,14.5007
2016-02-06 21:30:00,1198,Bayer Leverkusen,Bayern Munich,0,0,11.3444,11.6511,9.2366,8.3889,5.7030,-10.5870
2016-02-13 18:30:00,1202,Bayer Leverkusen,Darmstadt,2,1,11.3613,9.8951,9.1257,10.7269,5.5977,11.3137
2016-02-21 18:30:00,1216,Bayer Leverkusen,Borussia Dortmund,0,1,10.8487,11.3237,8.7457,16.2948,5.2026,-2.8971
2016-02-28 20:30:00,1226,Bayer Leverkusen,Mainz 05,1,3,10.2457,10.5398,8.1919,8.6643,5.0504,11.4158
2016-03-02 23:00:00,1235,Bayer Leverkusen,Werder Bremen,1,4,9.0294,10.0966,7.5079,14.4555,4.0517,13.4880
2016-03-05 18:30:00,1238,Bayer Leverkusen,Augsburg,3,3,9.3662,9.5398,7.8005,8.3621,4.4327,12.2170
2016-03-13 18:30:00,1253,Bayer Leverkusen,Hamburger SV,1,0,9.7187,9.9236,8.0090,8.9894,4.6792,18.3576
2016-03-20 18:30:00,1262,Bayer Leverkusen,VfB Stuttgart,2,0,10.5029,9.5712,8.7055,17.9405,5.0510,8.4511
2016-04-01 22:30:00,1264,Bayer Leverkusen,Wolfsburg,3,0,11.0456,9.6308,8.5316,8.0651,5.5602,1.9475
2016-04-10 19:30:00,1281,Bayer Leverkusen,FC Cologne,2,0,11.4531,9.7682,8.5984,10.7295,5.8084,12.3071
2016-04-16 17:30:00,1285,Bayer Leverkusen,Eintracht Frankfurt,3,0,11.4843,9.0466,7.9404,9.1501,5.7788,15.6924
2016-04-23 20:30:00,1297,Bayer Leverkusen,Schalke 04,3,2,11.4331,9.8308,7.4141,8.0820,5.9528,11.5793
2016-04-30 20:30:00,1307,Bayer Leverkusen,Hertha Berlin,2,1,10.9971,9.6251,7.3887,7.9678,4.8562,15.0323
2016-05-07 17:30:00,1310,Bayer Leverkusen,Borussia M.Gladbach,1,2,10.8791,11.1432,7.7011,4.7700,4.5579,7.0162
2016-05-14 17:30:00,1323,Bayer Leverkusen,Ingolstadt,3,2,10.7551,10.0071,7.3657,11.3010,4.3953,11.2128
2016-08-27 20:30:00,1333,Bayer Leverkusen,Borussia M.Gladbach,1,2,10.8068,11.4101,7.4730,4.8599,4.6413,6.7103
2016-09-10 17:30:00,1341,Bayer Leverkusen,Hamburger SV,3,1,10.9633,9.7764,7.4999,8.4831,4.4274,19.3197
2016-09-17 17:30:00,1348,Bayer Leverkusen,Eintracht Frankfurt,1,2,10.6736,10.5941,7.4531,9.8251,4.1448,17.3623
2016-09-21 22:00:00,1361,Bayer Leverkusen,Augsburg,0,0,10.1015,9.4572,7.3318,7.8293,3.1219,13.8344
2016-09-24 17:30:00,1365,Bayer Leverkusen,Mainz 05,3,2,10.5148,9.8416,7.4944,8.2522,3.5360,9.9306
2016-10-01 20:30:00,1378,Bayer Leverkusen,Borussia Dortmund,2,0,11.3030,11.3793,7.9550,15.2881,4.1518,-8.7789
2016-10-15 20:30:00,1387,Bayer Leverkusen,Werder Bremen,1,2,10.6403,9.8151,7.2996,15.5089,3.7319,13.8717
2016-10-22 17:30:00,1395,Bayer Leverkusen,Hoffenheim,0,3,9.6919,11.2952,6.6743,11.3130,3.2104,9.7777
2016-10-29 17:30:00,3301,Bayer Leverkusen,Wolfsburg,2,1,9.8539,8.6778,6.8382,8.8886,3.1205,1.9683
2016-11-05 18:30:00,2810,Bayer Leverkusen,Darmstadt,3,2,9.8136,9.2330,6.5006,9.7115,3.1275,15.0048
2016-11-18 23:30:00,2815,Bayer Leverkusen,RasenBallsport Leipzig,2,3,9.8038,11.2840,6.9212,10.7794,2.9372,8.2887
2016-11-26 21:30:00,2830,Bayer Leverkusen,Bayern Munich,1,2,10.0487,11.0385,7.3111,3.9954,3.2871,-17.4187
2016-12-03 18:30:00,3195,Bayer Leverkusen,Freiburg,1,1,9.6030,9.2115,7.5431,10.3991,2.1637,12.5240
2016-12-11 20:30:00,3209,Bayer Leverkusen,Schalke 04,1,0,10.3264,10.2732,8.1497,7.5101,2.7539,11.2863
2016-12-18 20:30:00,3218,Bayer Leverkusen,Ingolstadt,1,2,9.8619,10.4330,7.5050,13.8802,2.7197,12.4858
2016-12-21 23:00:00,3226,Bayer Leverkusen,FC Cologne,1,1,10.0967,10.0661,7.9224,10.2275,2.7718,10.9048
2017-01-22 17:30:00,3729,Bayer Leverkusen,Hertha Berlin,3,1,10.5106,9.8386,8.0909,5.4487,2.9312,16.7280
2017-01-28 20:30:00,3737,Bayer Leverkusen,Borussia M.Gladbach,2,3,9.8553,10.0446,7.5943,6.0185,2.3672,5.3205
2017-02-03 19:30:00,3740,Bayer Leverkusen,Hamburger SV,0,1,9.6123,9.6262,7.3921,9.3952,2.3334,22.3573
2017-02-11 14:30:00,3750,Bayer Leverkusen,Eintracht Frankfurt,3,0,10.4036,9.4860,7.9112,7.0883,2.6468,16.3831
2017-02-17 19:30:00,3758,Bayer Leverkusen,Augsburg,3,1,10.9099,9.4227,8.3745,7.0489,2.6962,15.7959
2017-02-25 14:30:00,3771,Bayer Leverkusen,Mainz 05,0,2,9.9142,10.4228,7.7887,10.0211,1.7906,11.0740
2017-03-04 14:30:00,3781,Bayer Leverkusen,Borussia Dortmund,2,6,9.4981,12.1659,7.3129,17.9837,2.4342,-14.1511
2017-03-10 19:30:00,3785,Bayer Leverkusen,Werder Bremen,1,1,9.6822,10.5503,7.6637,14.7426,2.4516,17.1083
2017-03-18 14:30:00,3799,Bayer Leverkusen,Hoffenheim,0,1,9.9141,10.8779,7.9538,8.9216,2.8753,7.5844
2017-04-02 16:30:00,3811,Bayer Leverkusen,Wolfsburg,3,3,9.9143,10.4146,7.6995,11.4132,3.1300,3.9172
2017-04-05 19:00:00,3816,Bayer Leverkusen,Darmstadt,2,0,10.2425,8.3989,7.9038,11.3163,3.0821,18.2319
2017-04-08 14:30:00,3823,Bayer Leverkusen,RasenBallsport Leipzig,0,1,10.2191,10.6721,7.9091,8.5348,3.2799,7.5596
2017-04-15 17:30:00,3831,Bayer Leverkusen,Bayern Munich,0,0,10.7621,12.3479,8.0112,2.2789,4.2637,-22.5837
2017-04-23 14:30:00,3847,Bayer Leverkusen,Freiburg,1,2,10.2732,9.7954,7.7961,10.6458,3.7510,14.9453
2017-04-28 19:30:00,3856,Bayer Leverkusen,Schalke 04,1,4,9.4268,11.2341,7.4005,7.9528,3.2038,11.5156
2017-05-06 14:30:00,3865,Bayer Leverkusen,Ingolstadt,1,1,9.6094,9.4745,7.8206,14.3269,3.1489,12.3723
2017-05-13 14:30:00,3866,Bayer Leverkusen,FC Cologne,2,2,9.7568,10.5516,8.3877,9.6638,2.8766,12.1894
2017-05-20 14:30:00,3877,Bayer Leverkusen,Hertha Berlin,6,2,11.0017,8.9917,8.7934,5.6447,3.9608,17.3378
2017-08-18 19:30:00,8259,Bayer Leverkusen,Bayern Munich,1,3,10.9773,12.4284,9.0459,0.9032,4.1595,-24.2969
2017-08-26 14:30:00,8271,Bayer Leverkusen,Hoffenheim,2,2,10.8612,11.1290,9.3688,7.3269,3.6044,7.9308
2017-09-09 14:30:00,8278,Bayer Leverkusen,Mainz 05,1,3,9.9871,9.7390,8.9015,10.8374,2.8236,10.1400
2017-09-17 14:30:00,8293,Bayer Leverkusen,Freiburg,4,0,10.7464,8.7652,9.1171,10.3474,3.1267,15.9332
2017-09-20 19:30:00,8300,Bayer Leverkusen,Hertha Berlin,1,2,10.4765,10.4367,9.0784,6.2220,2.8756,19.4006
2017-09-24 17:00:00,8312,Bayer Leverkusen,Hamburger SV,3,0,10.8170,8.9978,9.1564,8.4288,2.7285,26.0670
2017-09-29 19:30:00,8314,Bayer Leverkusen,Schalke 04,1,1,10.7256,10.0429,9.1954,6.2969,2.5067,11.5392
2017-10-15 14:30:00,8327,Bayer Leverkusen,Wolfsburg,2,2,10.4124,10.2861,9.0160,13.0882,2.0597,4.4853
2017-10-21 14:30:00,8334,Bayer Leverkusen,Borussia M.Gladbach,5,1,11.5095,9.2036,9.0488,4.6609,3.2210,4.7460
2017-10-28 14:30:00,8345,Bayer Leverkusen,FC Cologne,2,1,10.9649,9.3755,8.4022,10.1247,2.5283,12.6263
2017-11-04 14:30:00,8354,Bayer Leverkusen,Augsburg,1,1,11.0182,10.6249,8.3953,7.7794,2.6418,18.2205
2017-11-18 14:30:00,8363,Bayer Leverkusen,RasenBallsport Leipzig,2,2,10.8741,11.0860,8.1486,7.3992,2.6004,6.7730
2017-11-25 14:30:00,8372,Bayer Leverkusen,Eintracht Frankfurt,1,0,11.0885,10.0175,8.1631,12.0508,2.7648,15.7340
2017-12-02 14:30:00,8382,Bayer Leverkusen,Borussia Dortmund,1,1,10.7207,10.4851,8.0569,17.7310,2.1354,-21.7602
2017-12-08 19:30:00,8393,Bayer Leverkusen,VfB Stuttgart,2,0,11.1181,9.4128,8.3295,19.6944,2.1575,11.3807
2017-12-13 19:30:00,8399,Bayer Leverkusen,Werder Bremen,1,0,11.1057,10.5807,8.5724,11.9859,1.6397,19.1755
2017-12-17 14:30:00,8411,Bayer Leverkusen,Hannover 96,4,4,10.9102,10.0193,8.3501,9.3334,1.4710,18.9545
2018-01-12 19:30:00,8417,Bayer Leverkusen,Bayern Munich,1,3,10.3192,11.6371,8.0410,-1.2405,1.0981,-30.2359
2018-01-20 14:30:00,8422,Bayer Leverkusen,Hoffenheim,4,1,11.1554,9.3277,8.5180,4.9776,1.5435,6.4268
2018-01-28 14:30:00,8438,Bayer Leverkusen,Mainz 05,2,0,11.1688,9.6957,8.3720,11.2010,1.2163,12.4400
2018-02-03 14:30:00,8440,Bayer Leverkusen,Freiburg,0,0,11.1419,10.5880,8.3645,14.0934,1.1699,17.3324
2018-02-10 14:30:00,8448,Bayer Leverkusen,Hertha Berlin,0,2,10.1979,10.8097,8.0760,4.9314,0.0703,21.1873
2018-02-17 14:30:00,8464,Bayer Leverkusen,Hamburger SV,2,1,10.3524,9.1614,8.3191,9.4329,-0.1138,27.6408
2018-02-25 14:30:00,8474,Bayer Leverkusen,Schalke 04,0,2,9.7207,10.9574,7.7936,6.1779,-0.3517,11.2375
2018-03-03 14:30:00,8483,Bayer Leverkusen,Wolfsburg,2,1,10.1460,9.4968,8.4312,10.4439,-0.3886,6.0507
2018-03-10 17:30:00,8492,Bayer Leverkusen,Borussia M.Gladbach,2,0,10.4598,9.5874,8.7496,6.1682,-0.5794,4.5063
2018-03-18 14:30:00,8498,Bayer Leverkusen,FC Cologne,0,2,9.8718,10.1959,8.3878,9.9726,-0.8936,16.1696
2018-03-31 14:30:00,8507,Bayer Leverkusen,Augsburg,0,0,9.6864,9.8157,8.3480,8.3800,-1.2245,17.0011
2018-04-09 18:30:00,8512,Bayer Leverkusen,RasenBallsport Leipzig,4,1,10.8711,9.7406,8.9404,7.1542,-0.1974,4.8269
