Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-22 19:30:00,5447,Bayern Munich,Wolfsburg,2,1,10.1250,9.8750,10.2179,9.7821,9.7821,10.2179
2014-08-30 17:30:00,5462,Bayern Munich,Schalke 04,1,1,10.1875,9.8125,10.3292,9.9579,9.7958,9.9171
2014-09-13 14:30:00,5413,Bayern Munich,VfB Stuttgart,2,0,10.3750,9.2500,10.2466,9.3822,9.7534,10.1178
2014-09-20 14:30:00,5422,Bayern Munich,Hamburger SV,0,0,10.1758,9.2773,10.2554,9.7973,9.3462,10.0073
2014-09-23 19:00:00,5430,Bayern Munich,Paderborn,4,0,11.2402,9.8692,11.0899,9.1447,9.6406,10.3436
2014-09-27 14:30:00,5442,Bayern Munich,FC Cologne,2,0,11.6362,9.9282,11.6479,9.5938,9.3746,10.5126
2014-10-04 14:30:00,5385,Bayern Munich,Hannover 96,4,0,12.0810,9.4707,11.6566,9.4730,9.2555,10.2185
2014-10-18 14:30:00,5392,Bayern Munich,Werder Bremen,6,0,12.7070,8.4589,11.4071,10.4328,9.2569,9.4850
2014-10-26 16:30:00,5409,Bayern Munich,Borussia M.Gladbach,0,0,12.4367,11.3962,11.2759,10.7788,8.8475,10.0137
2014-11-01 17:30:00,5352,Bayern Munich,Borussia Dortmund,2,1,11.6300,9.5165,10.6444,11.6093,7.6156,8.9233
2014-11-08 14:30:00,5360,Bayern Munich,Eintracht Frankfurt,4,0,12.1405,8.6616,10.8580,8.9578,7.4231,9.8651
2014-11-22 14:30:00,5365,Bayern Munich,Hoffenheim,4,0,12.4056,9.4357,10.2997,9.5686,7.5116,9.5527
2014-11-29 14:30:00,5378,Bayern Munich,Hertha Berlin,1,0,12.1018,9.9941,10.1669,10.1715,6.7867,11.3170
2014-12-06 17:30:00,5318,Bayern Munich,Bayer Leverkusen,1,0,11.9303,11.0875,9.8850,11.4349,6.4757,8.9898
2014-12-13 14:30:00,5324,Bayern Munich,Augsburg,4,0,12.7540,9.9016,10.1919,9.6323,6.8163,9.6706
2014-12-16 19:00:00,5333,Bayern Munich,Freiburg,2,0,12.2147,9.6361,9.8860,10.3063,5.5436,10.9659
2014-12-19 19:30:00,5339,Bayern Munich,Mainz 05,2,1,11.8823,9.7175,9.3889,9.8164,5.1259,10.6186
2015-01-30 19:30:00,5305,Bayern Munich,Wolfsburg,1,4,10.8540,11.2974,9.0441,9.3056,4.1641,8.5394
2015-02-03 19:00:00,5264,Bayern Munich,Schalke 04,1,1,10.5812,10.5357,8.6168,8.1948,4.0458,10.8768
2015-02-07 14:30:00,5274,Bayern Munich,VfB Stuttgart,2,0,10.9887,9.3037,8.5156,11.2658,4.4620,11.0918
2015-02-14 14:30:00,5285,Bayern Munich,Hamburger SV,8,0,12.6096,8.3514,9.1235,9.4549,5.0959,11.2480
2015-02-21 14:30:00,5294,Bayern Munich,Paderborn,6,0,13.3690,8.3878,9.0698,9.4468,5.1684,11.8286
2015-02-27 19:30:00,5298,Bayern Munich,FC Cologne,4,1,12.9585,9.6374,8.7664,9.5774,3.9007,11.6972
2015-03-07 14:30:00,5236,Bayern Munich,Hannover 96,3,1,12.6343,9.4861,8.2247,10.7712,3.2941,10.7016
2015-03-14 14:30:00,5246,Bayern Munich,Werder Bremen,4,0,13.1848,9.7858,8.2486,11.7617,3.3712,11.0598
2015-03-22 16:30:00,5259,Bayern Munich,Borussia M.Gladbach,0,2,11.8206,11.5921,7.4102,9.5463,1.9812,9.3881
2015-04-04 17:30:00,5201,Bayern Munich,Borussia Dortmund,1,0,11.8772,10.4903,7.2769,13.8415,1.9777,7.1388
2015-04-11 14:30:00,5205,Bayern Munich,Eintracht Frankfurt,3,0,11.8014,9.1496,6.9281,9.7347,1.4248,10.0643
2015-04-18 14:30:00,5215,Bayern Munich,Hoffenheim,2,0,11.8047,9.3114,6.6454,10.2491,1.2142,9.3734
2015-04-25 17:30:00,5228,Bayern Munich,Hertha Berlin,1,0,11.4024,10.0978,5.9792,10.2406,0.8258,12.9556
2015-05-02 17:30:00,5165,Bayern Munich,Bayer Leverkusen,0,2,11.0703,11.9059,6.1693,9.0813,0.4714,7.9800
2015-05-09 14:30:00,5169,Bayern Munich,Augsburg,0,1,10.2152,10.0051,5.2130,9.5907,-0.0324,10.6691
2015-05-16 14:30:00,5185,Bayern Munich,Freiburg,1,2,9.8871,9.7307,5.4507,10.4083,-0.6764,11.5533
