Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-09 20:00:00,6190,Bordeaux,Montpellier,1,0,10,10.3750,10,10.0582,10,10.4418
2014-08-17 20:00:00,6204,Bordeaux,Monaco,4,1,10.375,11.0000,10.0582,10.7307,10.4418,10.2693
2014-08-23 19:00:00,6208,Bordeaux,Nice,3,1,11.0,11.5625,10.7307,10.9334,10.2693,10.6916
2014-08-31 13:00:00,6222,Bordeaux,SC Bastia,1,1,11.5625,11.0625,10.9334,10.5146,10.6916,10.1104
2014-09-14 16:00:00,6153,Bordeaux,Guingamp,1,2,11.0625,10.4375,10.5146,9.7901,10.1104,9.8349
2014-09-19 19:30:00,6155,Bordeaux,Evian Thonon Gaillard,2,1,10.4375,9.9688,9.7901,9.1149,9.8349,9.3226
2014-09-25 20:00:00,6174,Bordeaux,Saint-Etienne,1,1,9.9688,9.8750,9.1149,8.7491,9.3226,9.5009
2014-09-28 13:00:00,6181,Bordeaux,Rennes,2,1,9.875,10.0703,8.7491,8.5583,9.5009,9.8323
2014-10-03 19:30:00,6114,Bordeaux,Reims,0,1,10.0703,9.7724,8.5583,8.5503,9.8323,9.4946
2014-10-19 16:00:00,6132,Bordeaux,Caen,1,1,9.7724,9.6269,8.5503,8.6014,9.4946,9.1524
2014-10-25 16:00:00,6135,Bordeaux,Paris Saint Germain,0,3,9.6269,9.2092,8.6014,8.4806,9.1524,9.1877
2014-11-02 16:00:00,6083,Bordeaux,Toulouse,2,1,9.2092,9.7356,8.4806,8.9177,9.1877,9.5534
2014-11-08 16:00:00,6086,Bordeaux,Lens,2,1,9.7356,10.2589,8.9177,9.3103,9.5534,9.9575
2014-11-23 20:00:00,6103,Bordeaux,Marseille,1,3,10.2589,10.2242,9.3103,9.2634,9.9575,10.4349
2014-11-30 13:00:00,6111,Bordeaux,Lille,1,0,10.2242,9.9532,9.2634,8.9822,10.4349,9.9240
2014-12-03 18:00:00,6041,Bordeaux,Metz,0,0,9.9532,9.8278,8.9822,8.6166,9.924,10.0389
2014-12-06 19:00:00,6050,Bordeaux,Lorient,3,2,9.8278,10.0619,8.6166,8.9068,10.0389,9.9670
2014-12-13 16:00:00,6057,Bordeaux,Nantes,1,2,10.0619,9.8473,8.9068,9.1594,9.967,9.5353
2014-12-21 20:00:00,6075,Bordeaux,Lyon,0,5,9.8473,8.5296,9.1594,8.6110,9.5353,8.6983
2015-01-11 20:00:00,6008,Bordeaux,Monaco,0,0,8.5296,8.8917,8.611,8.9231,8.6983,9.1104
2015-01-16 19:30:00,6009,Bordeaux,Nice,1,2,8.8917,8.8487,8.9231,9.1938,9.1104,9.0036
2015-01-24 19:00:00,6023,Bordeaux,SC Bastia,0,0,8.8487,9.3928,9.1938,9.6316,9.0036,9.6540
2015-02-01 16:00:00,5961,Bordeaux,Guingamp,1,1,9.3928,9.6725,9.6316,9.9241,9.654,9.9210
2015-02-07 19:00:00,5968,Bordeaux,Evian Thonon Gaillard,1,0,9.6725,9.9624,9.9241,9.9202,9.921,10.2546
2015-02-15 13:00:00,5979,Bordeaux,Saint-Etienne,1,0,9.9624,10.0877,9.9202,9.8280,10.2546,10.3475
2015-02-21 19:00:00,5984,Bordeaux,Rennes,1,1,10.0877,9.9414,9.828,9.8538,10.3475,10.0292
2015-02-28 19:00:00,5994,Bordeaux,Reims,1,1,9.9414,9.5096,9.8538,9.4619,10.0292,9.5575
2015-03-07 19:00:00,5936,Bordeaux,Caen,2,1,9.5096,10.2704,9.4619,10.2411,9.5575,10.0499
2015-03-15 16:00:00,5948,Bordeaux,Paris Saint Germain,3,2,10.2704,10.7843,10.2411,10.5387,10.0499,10.5302
2015-03-21 19:00:00,5954,Bordeaux,Toulouse,1,2,10.7843,10.0640,10.5387,10.1623,10.5302,9.7161
2015-04-05 13:00:00,5892,Bordeaux,Lens,2,1,10.064,9.6606,10.1623,9.6106,9.7161,9.2111
2015-04-12 20:00:00,5903,Bordeaux,Marseille,1,0,9.6606,10.1310,9.6106,9.7402,9.2111,9.7722
2015-04-19 13:00:00,5912,Bordeaux,Lille,0,2,10.131,10.0389,9.7402,10.1752,9.7722,9.6530
2015-04-25 19:00:00,5918,Bordeaux,Metz,1,1,10.0389,9.6037,10.1752,9.7817,9.653,9.1760
2015-05-02 19:00:00,5847,Bordeaux,Lorient,0,0,9.6037,9.2460,9.7817,9.5898,9.176,8.6526
2015-05-09 19:00:00,5860,Bordeaux,Nantes,2,1,9.246,9.5095,9.5898,9.8000,8.6526,8.7194
2015-05-16 20:00:00,5870,Bordeaux,Lyon,1,1,9.5095,10.1532,9.8,10.4708,8.7194,9.3359
2015-05-23 20:00:00,5875,Bordeaux,Montpellier,2,1,10.1532,10.4574,10.4708,10.9886,9.3359,9.1764
