Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 17:30:00,5453,Borussia Dortmund,Bayer Leverkusen,0,2,10,9.3750,10,9.7083,10,9.5417
2014-08-29 19:30:00,5456,Borussia Dortmund,Augsburg,3,2,9.375,9.7500,9.7083,10.1581,9.5417,9.5919
2014-09-13 14:30:00,5414,Borussia Dortmund,Freiburg,3,1,9.75,10.2500,10.1581,10.5217,9.5919,9.7283
2014-09-20 17:30:00,5426,Borussia Dortmund,Mainz 05,0,2,10.25,9.9375,10.5217,10.9914,9.7283,9.1336
2014-09-24 19:00:00,5433,Borussia Dortmund,VfB Stuttgart,2,2,9.9375,9.5312,10.9914,10.7492,9.1336,8.5633
2014-09-27 14:30:00,5441,Borussia Dortmund,Schalke 04,1,2,9.5312,9.2031,10.7492,10.5672,8.5633,8.3390
2014-10-04 14:30:00,5386,Borussia Dortmund,Hamburger SV,0,1,9.2031,8.7734,10.5672,10.3302,8.339,7.9667
2014-10-18 14:30:00,5397,Borussia Dortmund,FC Cologne,1,2,8.7734,8.7617,10.3302,10.5489,7.9667,7.9746
2014-10-25 14:30:00,5406,Borussia Dortmund,Hannover 96,0,1,8.7617,8.5215,10.5489,10.7896,7.9746,7.5035
2014-11-01 17:30:00,5352,Borussia Dortmund,Bayern Munich,1,2,8.5215,9.5030,10.7896,11.5959,7.5035,8.9101
2014-11-09 16:30:00,5364,Borussia Dortmund,Borussia M.Gladbach,1,0,9.503,10.4520,11.5959,12.8566,8.9101,9.2973
2014-11-22 14:30:00,5370,Borussia Dortmund,Paderborn,2,2,10.452,10.8206,12.8566,13.5465,9.2973,9.3446
2014-11-30 16:30:00,5382,Borussia Dortmund,Eintracht Frankfurt,0,2,10.8206,9.9908,13.5465,12.8543,9.3446,8.8771
2014-12-05 19:30:00,5312,Borussia Dortmund,Hoffenheim,1,0,9.9908,9.7117,12.8543,12.6697,8.8771,8.2535
2014-12-13 14:30:00,5322,Borussia Dortmund,Hertha Berlin,0,1,9.7117,9.4888,12.6697,12.7162,8.2535,8.0112
2014-12-17 19:00:00,5335,Borussia Dortmund,Wolfsburg,2,2,9.4888,9.8076,12.7162,13.0135,8.0112,8.3516
2014-12-20 14:30:00,5341,Borussia Dortmund,Werder Bremen,1,2,9.8076,9.7052,13.0135,12.7197,8.3516,8.6906
2015-01-31 17:30:00,5311,Borussia Dortmund,Bayer Leverkusen,0,0,9.7052,10.1335,12.7197,13.1754,8.6906,9.0916
2015-02-04 19:00:00,5266,Borussia Dortmund,Augsburg,0,1,10.1335,9.7101,13.1754,12.9763,9.0916,8.6939
2015-02-07 14:30:00,5273,Borussia Dortmund,Freiburg,3,0,9.7101,10.6037,12.9763,13.6179,8.6939,9.0894
2015-02-13 19:30:00,5280,Borussia Dortmund,Mainz 05,4,2,10.6037,11.3423,13.6179,14.3701,9.0894,9.3144
2015-02-20 19:30:00,5289,Borussia Dortmund,VfB Stuttgart,3,2,11.3423,11.3791,14.3701,14.1581,9.3144,9.3499
2015-02-28 14:30:00,5299,Borussia Dortmund,Schalke 04,3,0,11.3791,11.7912,14.1581,15.0138,9.3499,8.5684
2015-03-07 14:30:00,5234,Borussia Dortmund,Hamburger SV,0,0,11.7912,11.1467,15.0138,14.3117,8.5684,7.9815
2015-03-14 17:30:00,5248,Borussia Dortmund,FC Cologne,0,0,11.1467,10.4101,14.3117,13.4748,7.9815,7.3453
2015-03-21 14:30:00,5254,Borussia Dortmund,Hannover 96,3,2,10.4101,10.2857,13.4748,13.4470,7.3453,6.8742
2015-04-04 17:30:00,5201,Borussia Dortmund,Bayern Munich,0,1,10.2857,10.5943,13.447,13.9455,6.8742,7.2429
2015-04-11 14:30:00,5207,Borussia Dortmund,Borussia M.Gladbach,1,3,10.5943,10.5075,13.9455,14.0124,7.2429,7.5025
2015-04-18 14:30:00,5217,Borussia Dortmund,Paderborn,3,0,10.5075,10.4489,14.0124,13.9748,7.5025,6.6730
2015-04-25 14:30:00,5227,Borussia Dortmund,Eintracht Frankfurt,2,0,10.4489,10.4539,13.9748,14.0053,6.673,6.1525
2015-05-02 14:30:00,5162,Borussia Dortmund,Hoffenheim,1,1,10.4539,10.2220,14.0053,13.6625,6.1525,6.0315
2015-05-09 14:30:00,5170,Borussia Dortmund,Hertha Berlin,2,0,10.222,10.4968,13.6625,13.8508,6.0315,5.8929
2015-05-16 14:30:00,5179,Borussia Dortmund,Wolfsburg,1,2,10.4968,10.3949,13.8508,14.0269,5.8929,5.7629
2015-05-23 14:30:00,5193,Borussia Dortmund,Werder Bremen,3,2,10.3949,10.2409,14.0269,14.1077,5.7629,5.1241
2014-08-23 17:30:00,5453,Borussia Dortmund,Bayer Leverkusen,0,2,10.2409,9.8011,14.1077,14.0012,5.1241,4.8510
2014-08-29 19:30:00,5456,Borussia Dortmund,Augsburg,3,2,9.8011,10.2931,14.0012,14.5680,4.851,5.0182
2014-09-13 14:30:00,5414,Borussia Dortmund,Freiburg,3,1,10.2931,10.5964,14.568,14.7349,5.0182,4.9579
2014-09-20 17:30:00,5426,Borussia Dortmund,Mainz 05,0,2,10.5964,10.0063,14.7349,14.9270,4.9579,4.0856
2014-09-24 19:00:00,5433,Borussia Dortmund,VfB Stuttgart,2,2,10.0063,9.6613,14.927,14.7461,4.0856,3.5766
2014-09-27 14:30:00,5441,Borussia Dortmund,Schalke 04,1,2,9.6613,9.3095,14.7461,14.5405,3.5766,3.3287
2014-10-04 14:30:00,5386,Borussia Dortmund,Hamburger SV,0,1,9.3095,8.7983,14.5405,14.2220,3.3287,2.8749
2014-10-18 14:30:00,5397,Borussia Dortmund,FC Cologne,1,2,8.7983,8.7510,14.222,14.4051,2.8749,2.8472
2014-10-25 14:30:00,5406,Borussia Dortmund,Hannover 96,0,1,8.751,8.5014,14.4051,14.6364,2.8472,2.3667
2014-11-01 17:30:00,5352,Borussia Dortmund,Bayern Munich,1,2,8.5014,9.4731,14.6364,15.4329,2.3667,3.7636
2014-11-09 16:30:00,5364,Borussia Dortmund,Borussia M.Gladbach,1,0,9.4731,10.3980,15.4329,16.6695,3.7636,4.1268
2014-11-22 14:30:00,5370,Borussia Dortmund,Paderborn,2,2,10.398,10.7766,16.6695,17.3694,4.1268,4.1841
2014-11-30 16:30:00,5382,Borussia Dortmund,Eintracht Frankfurt,0,2,10.7766,9.9408,17.3694,16.6713,4.1841,3.7106
2014-12-05 19:30:00,5312,Borussia Dortmund,Hoffenheim,1,0,9.9408,9.6612,16.6713,16.4862,3.7106,3.0865
2014-12-13 14:30:00,5322,Borussia Dortmund,Hertha Berlin,0,1,9.6612,9.4479,16.4862,16.5423,3.0865,2.8538
2014-12-17 19:00:00,5335,Borussia Dortmund,Wolfsburg,2,2,9.4479,9.7830,16.5423,16.8558,2.8538,3.2104
2014-12-20 14:30:00,5341,Borussia Dortmund,Werder Bremen,1,2,9.783,9.6897,16.8558,16.5711,3.2104,3.5585
2015-01-31 17:30:00,5311,Borussia Dortmund,Bayer Leverkusen,0,0,9.6897,10.1167,16.5711,17.0255,3.5585,3.9581
2015-02-04 19:00:00,5266,Borussia Dortmund,Augsburg,0,1,10.1167,9.6972,17.0255,16.8303,3.9581,3.5643
2015-02-07 14:30:00,5273,Borussia Dortmund,Freiburg,3,0,9.6972,10.5947,16.8303,17.4758,3.5643,3.9637
2015-02-13 19:30:00,5280,Borussia Dortmund,Mainz 05,4,2,10.5947,11.3408,17.4758,18.2356,3.9637,4.1962
2015-02-20 19:30:00,5289,Borussia Dortmund,VfB Stuttgart,3,2,11.3408,11.3839,18.2356,18.0300,4.1962,4.2381
2015-02-28 14:30:00,5299,Borussia Dortmund,Schalke 04,3,0,11.3839,11.7986,18.03,18.8883,4.2381,3.4591
2015-03-07 14:30:00,5234,Borussia Dortmund,Hamburger SV,0,0,11.7986,11.1575,18.8883,18.1896,3.4591,2.8756
2015-03-14 17:30:00,5248,Borussia Dortmund,FC Cologne,0,0,11.1575,10.4239,18.1896,17.3556,2.8756,2.2424
2015-03-21 14:30:00,5254,Borussia Dortmund,Hannover 96,3,2,10.4239,10.3013,17.3556,17.3297,2.2424,1.7731
2015-04-04 17:30:00,5201,Borussia Dortmund,Bayern Munich,0,1,10.3013,10.6096,17.3297,17.8279,1.7731,2.1415
2015-04-11 14:30:00,5207,Borussia Dortmund,Borussia M.Gladbach,1,3,10.6096,10.5229,17.8279,17.8948,2.1415,2.4011
2015-04-18 14:30:00,5217,Borussia Dortmund,Paderborn,3,0,10.5229,10.4603,17.8948,17.8532,2.4011,1.5676
2015-04-25 14:30:00,5227,Borussia Dortmund,Eintracht Frankfurt,2,0,10.4603,10.4647,17.8532,17.8830,1.5676,1.0465
2015-05-02 14:30:00,5162,Borussia Dortmund,Hoffenheim,1,1,10.4647,10.2320,17.883,17.5394,1.0465,0.9247
2015-05-09 14:30:00,5170,Borussia Dortmund,Hertha Berlin,2,0,10.232,10.5056,17.5394,17.7264,0.9247,0.7849
2015-05-16 14:30:00,5179,Borussia Dortmund,Wolfsburg,1,2,10.5056,10.4014,17.7264,17.9003,0.7849,0.6526
