Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2021-08-13 19:00:00,16376,244,Brentford,83,Arsenal,2,0,,,1.88818,1.02385
2021-08-21 14:00:00,16389,244,Brentford,78,Crystal Palace,0,0,,,0.712439,0.606313
2021-08-28 14:00:00,16399,244,Brentford,71,Aston Villa,1,1,,,1.13312,0.431464
2021-09-11 14:00:00,16408,244,Brentford,220,Brighton,0,1,,,0.729786,0.287902
2021-09-18 11:30:00,16417,244,Brentford,229,Wolverhampton Wanderers,2,0,,,2.32741,1.02316
2021-09-25 16:30:00,16432,244,Brentford,87,Liverpool,3,3,,,2.94058,2.25736
2021-10-03 13:00:00,16444,244,Brentford,81,West Ham,2,1,,,1.30098,1.37258
2021-10-16 16:30:00,16448,244,Brentford,80,Chelsea,0,1,,,1.62169,0.248256
2021-10-24 13:00:00,16457,244,Brentford,75,Leicester,1,2,,,1.16789,1.00254
2021-10-30 14:00:00,16467,244,Brentford,92,Burnley,1,3,,,0.834312,2.72901
2021-11-06 15:00:00,16477,244,Brentford,79,Norwich,1,2,,,2.79229,1.15797
