Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2019-08-10 19:00:00,12711,Brest,Toulouse,1,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2019-08-18 14:00:00,12726,Brest,Saint-Etienne,1,1,10.3605,10.5817,9.9319,2.8666,10.7892,8.5463
2019-08-24 19:00:00,12738,Brest,Reims,1,0,10.5480,10.4229,9.8034,11.7784,11.0426,17.5671
2019-08-31 18:00:00,12746,Brest,Nimes,0,3,9.6503,10.3550,9.2872,9.0318,10.5135,12.4276
2019-09-14 18:00:00,12752,Brest,Rennes,0,0,9.8524,10.7564,9.4801,10.7100,10.7247,11.0552
2019-09-21 18:00:00,12762,Brest,Bordeaux,2,2,10.1792,10.3326,9.7619,11.3886,11.0964,8.2771
2019-09-25 17:00:00,12770,Brest,Lyon,2,2,10.2070,10.7628,9.6343,7.3901,11.2797,-3.3652
2019-09-28 18:00:00,12782,Brest,Monaco,1,4,9.5993,10.8838,8.9308,0.9345,11.5178,-11.1672
2019-10-05 19:00:00,12796,Brest,Metz,2,0,9.8830,8.9505,8.8527,17.2978,11.6634,28.3523
2019-10-19 19:00:00,12800,Brest,Angers,1,0,10.2364,9.4431,8.6418,10.7537,12.3310,9.1324
2019-10-26 19:00:00,12812,Brest,Dijon,2,0,10.6734,10.0473,8.8664,9.1942,12.4803,27.1512
2019-11-02 19:00:00,12827,Brest,Amiens,0,1,10.5285,10.7387,8.8125,9.7842,12.4944,17.9421
2019-11-09 16:30:00,12835,Brest,Paris Saint Germain,1,2,10.4924,11.9201,8.6739,4.6785,12.8107,-22.5885
2019-11-23 19:00:00,12842,Brest,Nantes,1,1,10.0984,9.8103,8.0452,15.5914,12.6514,9.2786
2019-11-29 19:00:00,12855,Brest,Marseille,1,2,10.1237,10.6741,7.3618,7.7273,13.6353,-11.1270
2019-12-03 18:00:00,12866,Brest,Strasbourg,5,0,11.4448,9.5869,7.7977,8.0869,14.5915,14.5874
2019-12-06 18:00:00,12878,Brest,Lille,0,1,11.1935,11.1910,7.2276,6.5935,14.9091,10.5400
2019-12-14 19:00:00,12888,Brest,Nice,0,0,10.8655,10.7096,7.2490,-0.2618,14.2318,14.6801
2019-12-21 19:45:00,12889,Brest,Montpellier,0,4,9.8931,11.4482,6.9083,11.0750,13.6277,10.0694
2020-01-11 19:00:00,12899,Brest,Toulouse,5,2,10.4597,8.0929,6.8505,10.4028,14.0687,11.5327
2020-01-25 19:00:00,12909,Brest,Amiens,2,1,10.3204,9.5417,6.4122,9.6509,13.9783,19.6816
2020-02-01 19:00:00,12921,Brest,Dijon,0,3,9.6578,10.8326,6.5020,8.2157,13.3133,29.2000
2020-02-05 18:00:00,12938,Brest,Bordeaux,1,1,9.7343,10.3873,6.7605,8.9419,13.2078,9.8332
2020-02-08 19:00:00,12939,Brest,Rennes,0,0,10.0613,10.2152,6.9798,10.6525,13.6425,9.0301
