Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-08-12 17:30:00,7126,Brighton,Manchester City,0,2,10,9.8173,10,9.9196,10,10.2151
2017-08-19 15:00:00,7133,Brighton,Leicester,0,2,9.8173,9.2508,9.9196,9.4130,10.2151,10.0887
2017-08-26 15:00:00,7143,Brighton,Watford,0,0,9.2508,9.2444,9.413,9.5743,10.0887,9.9145
2017-09-09 15:00:00,7153,Brighton,West Bromwich Albion,3,1,9.2444,9.9650,9.5743,9.6774,9.9145,10.7526
2017-09-15 20:00:00,7159,Brighton,Bournemouth,1,2,9.965,9.9070,9.6774,9.7391,10.7526,10.8248
2017-09-24 16:00:00,7177,Brighton,Newcastle United,1,0,9.907,10.2959,9.7391,9.6624,10.8248,11.4294
2017-10-01 12:00:00,7186,Brighton,Arsenal,0,2,10.2959,10.0974,9.6624,9.4409,11.4294,11.7539
2017-10-15 13:30:00,7189,Brighton,Everton,1,1,10.0974,9.7937,9.4409,9.0381,11.7539,11.5493
2017-10-20 20:00:00,7208,Brighton,West Ham,3,0,9.7937,10.8069,9.0381,9.6549,11.5493,12.2089
2017-10-29 13:30:00,7211,Brighton,Southampton,1,1,10.8069,10.7791,9.6549,9.8675,12.2089,11.9406
2017-11-04 15:00:00,7225,Brighton,Swansea,1,0,10.7791,10.9676,9.8675,9.7133,11.9406,12.2218
2017-11-20 20:00:00,7238,Brighton,Stoke,2,2,10.9676,10.5845,9.7133,9.1514,12.2218,12.0174
2017-11-25 15:00:00,7243,Brighton,Manchester United,0,1,10.5845,10.4779,9.1514,9.0607,12.0174,12.1450
2017-11-28 19:45:00,7250,Brighton,Crystal Palace,0,0,10.4779,10.2294,9.0607,8.7849,12.145,11.9238
2017-12-02 15:00:00,7268,Brighton,Liverpool,1,5,10.2294,9.4189,8.7849,8.9452,11.9238,11.1425
2017-12-09 15:00:00,7274,Brighton,Huddersfield,0,2,9.4189,8.7513,8.9452,8.1757,11.1425,11.0768
2017-12-13 20:00:00,7288,Brighton,Tottenham,0,2,8.7513,8.6376,8.1757,8.1725,11.0768,11.3525
2017-12-16 15:00:00,7291,Brighton,Burnley,0,0,8.6376,9.0660,8.1725,8.6422,11.3525,11.7397
2017-12-23 15:00:00,7305,Brighton,Watford,1,0,9.066,9.6078,8.6422,8.9592,11.7397,12.2562
2017-12-26 15:00:00,7310,Brighton,Chelsea,0,2,9.6078,9.6287,8.9592,9.0509,12.2562,12.7063
2017-12-30 15:00:00,7325,Brighton,Newcastle United,0,0,9.6287,9.9367,9.0509,9.3904,12.7063,12.9829
2018-01-01 12:30:00,7331,Brighton,Bournemouth,2,2,9.9367,9.8525,9.3904,9.5789,12.9829,12.6260
2018-01-13 15:00:00,7348,Brighton,West Bromwich Albion,0,2,9.8525,9.5102,9.5789,9.5231,12.626,12.4972
2018-01-20 12:30:00,7350,Brighton,Chelsea,0,4,9.5102,8.8789,9.5231,9.7321,12.4972,12.0257
2018-01-31 19:45:00,7363,Brighton,Southampton,1,1,8.8789,9.0495,9.7321,9.8540,12.0257,12.2450
2018-02-03 15:00:00,7371,Brighton,West Ham,3,1,9.0495,10.0498,9.854,10.6539,12.245,12.9456
2018-02-10 15:00:00,7385,Brighton,Stoke,1,1,10.0498,10.2259,10.6539,10.7056,12.9456,13.2462
2018-02-24 15:00:00,7391,Brighton,Swansea,4,1,10.2259,11.1969,10.7056,11.6386,13.2462,13.5052
2018-03-04 13:30:00,7399,Brighton,Arsenal,2,1,11.1969,11.5676,11.6386,11.9301,13.5052,13.7050
2018-03-10 15:00:00,7412,Brighton,Everton,0,2,11.5676,10.9649,11.9301,11.4857,13.705,13.4440
2018-03-31 15:00:00,7430,Brighton,Leicester,0,2,10.9649,9.8115,11.4857,10.9166,13.444,12.2062
