Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-09 20:00:00,6187,Caen,Evian Thonon Gaillard,3,0,10.8750,9.1250,10.2312,9.7688,10.7688,9.2312
2014-08-15 19:30:00,6195,Caen,Lille,0,1,10.2500,10.5000,9.6882,10.7899,10.3118,9.9601
2014-08-23 19:00:00,6209,Caen,Reims,2,0,10.7344,9.2031,9.6552,9.3627,10.8135,10.0436
2014-08-30 19:00:00,6219,Caen,Rennes,0,1,10.3282,11.0156,9.3104,10.0216,10.5958,11.2597
2014-09-13 19:00:00,6147,Caen,Saint-Etienne,0,1,9.9512,9.6973,8.9668,10.5593,10.4355,8.8352
2014-09-20 19:00:00,6160,Caen,Toulouse,3,3,9.8787,9.2336,8.1498,10.5915,11.1075,8.3758
2014-09-24 20:00:00,6173,Caen,Paris Saint Germain,0,2,9.4897,11.2117,7.9598,10.7620,11.0195,9.4116
2014-09-28 16:00:00,6182,Caen,Lens,0,0,9.6047,9.3346,8.0389,9.7985,11.1703,9.1209
2014-10-04 16:00:00,6115,Caen,Marseille,1,2,9.8432,11.8203,7.9686,10.6427,11.9677,9.2476
2014-10-19 16:00:00,6132,Caen,Bordeaux,1,1,9.9010,9.5165,7.8297,8.4910,12.2221,9.0420
2014-10-25 19:00:00,6138,Caen,Lorient,2,1,9.8511,9.2515,7.7535,9.5005,11.9486,10.2523
2014-11-01 19:00:00,6077,Caen,Metz,2,3,9.6801,9.8380,7.4493,9.5942,12.1608,9.8318
2014-11-08 19:00:00,6089,Caen,Nantes,1,2,9.4577,10.5129,7.4346,11.7085,11.9807,8.3171
2014-11-22 19:00:00,6100,Caen,Monaco,2,2,9.8622,10.1711,7.1912,10.7840,13.0330,9.3083
2014-11-29 19:00:00,6110,Caen,Montpellier,1,1,9.7207,9.9376,7.4822,9.5698,12.4590,10.3056
2014-12-03 18:00:00,6043,Caen,Guingamp,1,5,8.6057,9.8756,6.8745,12.4633,11.8366,10.5380
2014-12-06 19:00:00,6051,Caen,Nice,2,3,8.5550,9.9536,6.9028,9.8011,11.9569,10.8562
2014-12-12 19:30:00,6056,Caen,Lyon,0,3,8.4959,10.8779,6.6653,9.0823,12.8263,8.1733
2014-12-20 19:00:00,6070,Caen,SC Bastia,1,1,8.7775,9.8408,6.7647,10.9684,13.2902,10.4632
2015-01-10 19:00:00,6003,Caen,Lille,0,1,8.9856,9.9018,6.9751,8.8692,13.7460,10.9342
2015-01-17 19:00:00,6013,Caen,Reims,4,1,9.9183,9.2838,7.5308,9.0189,14.3058,11.7988
2015-01-25 16:00:00,6026,Caen,Rennes,4,1,10.6926,8.7411,7.6524,10.4317,14.9828,8.5507
2015-02-01 13:00:00,5960,Caen,Saint-Etienne,1,0,10.7298,10.3042,7.7450,9.4235,14.7146,8.9350
2015-02-07 19:00:00,5967,Caen,Toulouse,2,0,10.7406,9.2621,7.5843,11.1999,14.3969,10.3242
