Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-31 19:45:00,5156,Cagliari,Sassuolo,1,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-09-14 14:00:00,5115,Cagliari,Atalanta,1,2,9.6250,10.3750,10.4727,9.5273,9.0273,10.9727
2014-09-21 14:00:00,5123,Cagliari,Roma,0,2,9.4375,10.5625,10.5281,10.2646,9.0969,10.1104
2014-09-24 19:45:00,5134,Cagliari,Torino,1,2,9.0469,9.7656,10.2574,10.7386,8.8363,9.2927
2014-09-28 14:00:00,5145,Cagliari,Inter,4,1,10.4922,9.8828,11.4577,9.0689,9.7766,9.1968
2014-10-04 17:00:00,5069,Cagliari,Verona,0,1,10.2500,10.2656,11.7284,9.0488,9.2715,11.2325
2014-10-19 14:00:00,5085,Cagliari,Sampdoria,2,2,10.1531,10.4592,11.3303,10.0898,9.4757,9.5787
2014-10-25 14:00:00,5089,Cagliari,Empoli,4,0,11.3275,9.1762,11.7655,10.5800,10.3893,8.2724
2014-10-29 19:45:00,5105,Cagliari,AC Milan,1,1,10.9962,10.8336,11.7914,9.8966,9.7008,10.7705
2014-11-03 20:00:00,5039,Cagliari,Lazio,2,4,10.5214,11.0717,11.6078,9.5210,9.4347,9.8726
2014-11-09 11:30:00,5042,Cagliari,Genoa,1,1,10.5013,10.9612,12.1462,8.7964,8.8561,11.8760
2014-11-23 14:00:00,5054,Cagliari,Napoli,3,3,10.7978,10.8909,12.7561,12.3395,8.8393,7.6923
2014-11-30 14:00:00,5065,Cagliari,Fiorentina,0,4,9.5567,11.5746,12.3799,11.1684,7.7333,10.2308
2014-12-08 18:00:00,5008,Cagliari,Chievo,0,2,8.9054,10.1029,12.1286,9.8069,7.1820,11.6488
2014-12-14 14:00:00,5014,Cagliari,Parma,0,0,8.9130,8.4284,12.2443,10.8353,7.0816,10.2713
2014-12-18 18:00:00,5020,Cagliari,Juventus,1,3,8.9241,11.4462,12.6016,8.9967,7.2464,7.3959
2015-01-06 14:00:00,4960,Cagliari,Palermo,0,5,8.0804,10.8931,12.4554,10.5369,6.9553,10.9994
2015-01-11 14:00:00,4971,Cagliari,Cesena,2,1,8.3034,8.2494,12.4456,9.7037,7.1611,12.2953
2015-01-18 14:00:00,4985,Cagliari,Udinese,2,2,8.8303,9.3840,13.0179,7.8685,7.6426,12.1497
2015-01-24 17:00:00,4987,Cagliari,Sassuolo,2,1,9.2620,9.6253,13.4780,9.1604,7.7959,11.0903
2015-02-01 14:00:00,4923,Cagliari,Atalanta,1,2,9.2703,9.7870,13.7325,9.6101,7.8080,12.2139
2015-02-08 14:00:00,4931,Cagliari,Roma,1,2,9.2000,10.5593,14.0910,8.7932,7.5589,8.0752
2015-02-15 14:00:00,4940,Cagliari,Torino,1,1,9.9175,10.8524,14.5396,12.0263,8.5453,9.1785
2015-02-23 20:00:00,4954,Cagliari,Inter,1,2,9.8566,11.2347,14.4611,10.5889,8.7519,9.8808
2015-03-01 11:30:00,4881,Cagliari,Verona,1,2,9.3097,9.7158,14.1085,10.5679,8.2607,12.6130
2015-03-07 17:00:00,4889,Cagliari,Sampdoria,0,2,9.0953,10.1664,14.2024,8.7883,8.2379,10.0444
2015-03-14 19:45:00,4900,Cagliari,Empoli,1,1,9.3273,10.2914,14.5110,12.0077,8.3934,8.5750
2015-03-21 19:45:00,4910,Cagliari,AC Milan,1,3,9.0667,10.0455,14.4425,8.4917,8.4407,10.5992
2015-04-04 14:00:00,4831,Cagliari,Lazio,1,3,9.2037,11.9778,14.0581,11.1332,9.5991,5.8226
2015-04-11 17:00:00,4840,Cagliari,Genoa,0,2,8.9495,9.9411,14.0666,6.6681,9.5822,11.4645
2015-04-19 17:00:00,4858,Cagliari,Napoli,0,3,8.4606,10.9828,14.1945,12.4313,9.2265,5.7839
2015-04-26 17:00:00,4869,Cagliari,Fiorentina,3,1,9.2965,8.4682,14.5387,8.7225,10.0541,6.2143
2015-04-29 19:45:00,4876,Cagliari,Chievo,0,1,9.4352,10.2124,14.7882,9.4719,10.3319,12.7027
2015-05-04 19:45:00,4787,Cagliari,Parma,4,0,10.2732,8.4493,14.8998,11.2755,10.8963,15.1227
2015-05-09 17:00:00,4789,Cagliari,Juventus,1,1,10.4756,10.3805,15.4539,6.3271,10.7471,3.4344
2015-05-17 14:00:00,4802,Cagliari,Palermo,0,1,9.8552,10.1143,15.0144,12.7195,10.1958,8.0091
2015-05-24 14:00:00,4813,Cagliari,Cesena,1,0,9.9836,8.7405,15.0633,10.6521,10.1537,15.0795
2015-05-31 17:00:00,4821,Cagliari,Udinese,4,3,9.8503,9.0838,14.8447,7.6105,9.8557,14.3069
2016-08-21 22:45:00,940,Cagliari,Genoa,1,3,9.4943,10.2824,14.8352,5.4049,9.6533,11.4101
2016-08-28 22:45:00,948,Cagliari,Roma,2,2,9.9793,11.4492,15.0298,5.5074,10.4286,0.6411
2016-09-11 14:30:00,953,Cagliari,Bologna,1,2,9.6344,9.4445,14.7251,9.4801,10.2934,10.1589
2016-09-18 17:00:00,966,Cagliari,Atalanta,3,0,10.3600,9.3112,14.7053,10.8062,11.0144,15.0662
