Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 20:00:00,5832,Celta Vigo,Getafe,3,1,,,,,,
2014-08-30 18:00:00,5838,Celta Vigo,Cordoba,1,1,,,,,,
2014-09-13 21:00:00,5790,Celta Vigo,Real Sociedad,2,2,,,,,,
2014-09-20 19:00:00,5799,Celta Vigo,Atletico Madrid,2,2,,,,,,
2014-09-23 21:00:00,5807,Celta Vigo,Deportivo La Coruna,2,1,,,,,,
2014-09-26 20:00:00,5816,Celta Vigo,Elche,1,0,,,,,,
2014-10-05 16:00:00,5761,Celta Vigo,Villarreal,1,3,,,,,,
2014-10-18 17:00:00,5766,Celta Vigo,Athletic Club,1,1,,,,,,
2014-10-24 20:00:00,5774,Celta Vigo,Levante,3,0,,,,,,
2014-11-01 19:00:00,5718,Celta Vigo,Barcelona,1,0,,,,,,
2014-11-08 21:00:00,5730,Celta Vigo,Granada,0,0,,,,,,
2014-11-23 11:00:00,5740,Celta Vigo,Rayo Vallecano,0,1,,,,,,
2014-11-29 21:00:00,5749,Celta Vigo,Eibar,0,1,,,,,,
2014-12-06 19:00:00,5689,Celta Vigo,Real Madrid,0,3,,,,,,
2014-12-13 21:00:00,5701,Celta Vigo,Malaga,0,1,,,,,,
2014-12-19 19:45:00,5707,Celta Vigo,Almeria,0,1,,,,,,
2015-01-03 17:00:00,5643,Celta Vigo,Sevilla,0,1,,,,,,
2015-01-10 19:00:00,5655,Celta Vigo,Valencia,1,1,,,,,,
2015-01-17 21:00:00,5666,Celta Vigo,Espanyol,0,1,,,,,,
2015-01-26 19:45:00,5681,Celta Vigo,Getafe,1,2,,,,,,
2015-01-31 21:00:00,5601,Celta Vigo,Cordoba,1,0,,,,,,
2015-02-07 21:00:00,5612,Celta Vigo,Real Sociedad,1,1,,,,,,
2015-02-15 20:00:00,5626,Celta Vigo,Atletico Madrid,2,0,,,,,,
2015-02-21 21:00:00,5632,Celta Vigo,Deportivo La Coruna,2,0,,,,,,
2015-03-02 19:45:00,5570,Celta Vigo,Elche,1,1,,,,,,
2015-03-08 18:00:00,5578,Celta Vigo,Villarreal,1,4,,,,,,
2015-03-14 21:00:00,5585,Celta Vigo,Athletic Club,1,2,,,,,,
2015-03-21 19:00:00,5594,Celta Vigo,Levante,1,0,,,,,,
2015-04-05 20:00:00,5513,Celta Vigo,Barcelona,0,1,,,,,,
2015-04-08 21:00:00,5520,Celta Vigo,Granada,1,1,,,,,,
2015-04-11 21:00:00,5529,Celta Vigo,Rayo Vallecano,6,1,,,,,,
2015-04-19 20:00:00,5543,Celta Vigo,Eibar,1,0,,,,,,
2015-04-26 20:00:00,5553,Celta Vigo,Real Madrid,2,4,,,,,,
2015-04-29 19:00:00,5560,Celta Vigo,Malaga,1,0,,,,,,
2015-05-04 19:45:00,5474,Celta Vigo,Almeria,2,2,,,,,,
2015-05-10 20:00:00,5483,Celta Vigo,Sevilla,1,1,,,,,,
2015-05-17 18:00:00,5493,Celta Vigo,Valencia,1,1,,,,,,
2015-05-23 17:30:00,5503,Celta Vigo,Espanyol,3,2,,,,,,
2015-08-24 00:00:00,1406,Celta Vigo,Levante,2,1,,,,,,
2015-08-30 00:00:00,1412,Celta Vigo,Rayo Vallecano,3,0,,,,,,
2015-09-13 20:15:00,1426,Celta Vigo,Las Palmas,3,3,,,,,,
2015-09-20 14:00:00,1434,Celta Vigo,Sevilla,2,1,,,,,,
2015-09-23 22:00:00,1443,Celta Vigo,Barcelona,4,1,,,,,,
2015-09-27 00:05:00,1454,Celta Vigo,Eibar,1,1,,,,,,
2015-10-02 22:30:00,1459,Celta Vigo,Getafe,0,0,,,,,,
2015-10-18 14:00:00,1474,Celta Vigo,Villarreal,2,1,,,,,,
2015-10-24 18:00:00,1480,Celta Vigo,Real Madrid,1,3,,,,,,
2015-11-01 01:05:00,1494,Celta Vigo,Real Sociedad,3,2,,,,,,
2015-11-07 19:00:00,1500,Celta Vigo,Valencia,1,5,,,,,,
2015-11-22 01:05:00,1513,Celta Vigo,Deportivo La Coruna,0,2,,,,,,
2015-11-29 01:05:00,1524,Celta Vigo,Sporting Gijon,2,1,,,,,,
2015-12-06 01:05:00,1533,Celta Vigo,Real Betis,1,1,,,,,,
2015-12-12 21:15:00,1541,Celta Vigo,Espanyol,1,0,,,,,,
2015-12-20 21:15:00,1555,Celta Vigo,Granada,2,0,,,,,,
2015-12-30 23:30:00,1565,Celta Vigo,Athletic Club,0,1,,,,,,
2016-01-03 01:05:00,1570,Celta Vigo,Malaga,0,2,,,,,,
