Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-18 20:00:00,4758,Chelsea,Burnley,3,1,10.6250,9.3750,10.5647,9.4353,10.1853,9.8147
2014-08-23 15:00:00,4760,Chelsea,Leicester,2,0,10.8125,9.6875,10.6218,9.9842,10.0032,9.8908
2014-08-30 17:30:00,4775,Chelsea,Everton,6,3,11.4844,9.3281,10.6881,9.7426,10.5307,9.6636
2014-09-13 15:00:00,4720,Chelsea,Swansea,4,2,11.6914,10.6055,11.0312,9.3474,10.1017,11.1135
2014-09-21 16:00:00,4737,Chelsea,Manchester City,1,1,11.4892,10.5850,10.8203,10.2810,9.9083,10.1389
2014-09-27 15:00:00,4742,Chelsea,Aston Villa,3,0,11.6696,9.5306,10.9791,9.5285,9.3604,10.2825
2014-10-05 14:05:00,4697,Chelsea,Arsenal,2,0,11.7652,10.4564,10.8427,10.7024,9.1880,9.7104
2014-10-18 15:00:00,4702,Chelsea,Crystal Palace,2,1,11.6444,9.9028,10.4337,10.1030,9.1054,10.4526
2014-10-26 16:00:00,4717,Chelsea,Manchester United,1,1,11.4462,10.5498,10.0228,10.2587,9.1199,10.0912
2014-11-01 15:00:00,4653,Chelsea,Queens Park Rangers,2,1,11.0333,9.7073,9.7916,10.9305,8.2752,11.2342
2014-11-08 12:45:00,4659,Chelsea,Liverpool,2,1,11.1253,9.8094,9.9937,9.6993,8.0072,10.1690
2014-11-22 15:00:00,4674,Chelsea,West Bromwich Albion,2,0,11.0788,9.4859,10.5155,9.3190,6.8925,10.6529
2014-11-29 17:30:00,4686,Chelsea,Sunderland,0,0,10.7992,9.7401,10.1684,10.2235,6.6805,11.0066
2014-12-03 19:45:00,4595,Chelsea,Tottenham,3,0,11.2325,9.5992,10.2093,10.3488,6.7563,9.5999
2014-12-06 12:45:00,4599,Chelsea,Newcastle United,1,2,10.8743,10.6578,10.2702,11.0011,6.2289,10.5647
2014-12-13 15:00:00,4610,Chelsea,Hull,2,0,10.8204,9.2124,9.9121,8.0508,5.9791,12.3742
2014-12-22 20:00:00,4628,Chelsea,Stoke,2,0,11.2486,9.6049,10.1011,11.1418,6.1465,9.3184
2014-12-26 12:45:00,4629,Chelsea,West Ham,2,0,11.4771,10.4342,10.6067,8.9265,5.5980,9.9420
2014-12-28 14:05:00,4640,Chelsea,Southampton,1,1,11.4264,10.8252,10.5544,9.4238,5.5490,7.9761
2015-01-01 17:30:00,4560,Chelsea,Tottenham,3,5,10.7568,10.9176,10.6869,9.7318,4.5773,11.6037
2015-01-10 15:00:00,4565,Chelsea,Newcastle United,2,0,10.8201,9.4467,10.4218,10.5352,4.4690,10.3584
2015-01-17 15:00:00,4575,Chelsea,Swansea,5,0,11.8513,8.4138,10.9488,6.6855,4.7544,11.1420
2015-01-31 17:30:00,4588,Chelsea,Manchester City,1,1,11.2370,10.5085,10.2850,8.5873,4.1897,6.6793
2015-02-07 15:00:00,4516,Chelsea,Aston Villa,2,1,10.9349,8.8306,9.8351,10.4622,3.7854,12.1982
2015-02-11 19:45:00,4529,Chelsea,Everton,1,0,10.8323,10.1272,9.5304,10.4368,3.6350,10.8173
2015-02-21 15:00:00,4536,Chelsea,Burnley,1,1,10.2730,9.6544,9.2277,11.4196,2.8191,12.6392
2015-03-04 19:45:00,4485,Chelsea,West Ham,1,0,10.5379,9.5675,9.4726,7.5465,2.8539,10.3385
2015-03-15 13:30:00,4499,Chelsea,Southampton,1,1,10.2772,10.2559,9.5532,9.3790,2.2519,6.3828
2015-03-22 16:00:00,4511,Chelsea,Hull,3,2,10.4555,9.3121,9.3401,9.5343,2.5716,12.0902
2015-04-04 17:30:00,4446,Chelsea,Stoke,2,1,10.3552,9.6546,9.7418,9.7276,1.7193,10.5815
2015-04-12 13:30:00,4458,Chelsea,Queens Park Rangers,1,0,10.6670,9.7907,9.8386,12.0246,1.9961,12.8069
2015-04-18 17:30:00,4465,Chelsea,Manchester United,1,0,11.0595,11.3443,10.0822,7.4911,2.2874,8.1976
2015-04-26 16:00:00,4477,Chelsea,Arsenal,0,0,11.3136,11.3218,10.2809,10.3056,2.5969,4.5881
2015-04-29 19:45:00,4479,Chelsea,Leicester,3,1,11.7427,10.1010,10.4393,11.1821,2.7968,13.5197
2015-05-03 13:30:00,4406,Chelsea,Crystal Palace,1,0,11.1941,9.5968,9.9270,10.7694,1.9618,9.9248
2015-05-10 16:00:00,4417,Chelsea,Liverpool,1,1,10.7859,10.4694,9.3193,11.5848,1.7531,6.6035
2015-05-18 20:00:00,4428,Chelsea,West Bromwich Albion,0,3,9.9322,10.7246,9.1779,10.0937,0.9370,13.8557
2015-05-24 15:00:00,4431,Chelsea,Sunderland,3,1,10.4456,9.9725,9.4754,11.9678,1.1663,13.4774
2015-08-08 20:30:00,86,Chelsea,Swansea,2,2,10.2877,10.4720,8.8305,7.9482,1.4954,13.7452
2015-08-16 19:00:00,99,Chelsea,Manchester City,0,3,10.2454,12.6609,9.1124,9.5376,1.8790,3.0336
2015-08-23 16:30:00,107,Chelsea,West Bromwich Albion,3,2,10.5503,9.6602,9.3177,9.5883,2.0335,13.9826
2015-08-29 18:00:00,115,Chelsea,Crystal Palace,1,2,10.0831,10.6489,8.8721,10.2173,1.7948,10.3303
2015-09-12 15:45:00,121,Chelsea,Everton,1,3,9.8724,10.9509,9.0303,9.8510,1.7151,11.3011
2015-09-19 15:45:00,131,Chelsea,Arsenal,2,0,10.4416,10.0799,9.4228,11.7713,1.9609,-0.3613
2015-09-26 20:30:00,148,Chelsea,Newcastle United,2,2,10.2556,9.3834,9.3877,12.3165,1.6239,13.7005
2015-10-03 20:30:00,157,Chelsea,Southampton,1,3,9.6802,11.0295,9.0468,9.7615,1.3141,6.2973
2015-10-17 18:00:00,164,Chelsea,Aston Villa,2,0,9.8858,8.7971,8.8607,10.3531,1.4115,8.9909
2015-10-24 18:00:00,173,Chelsea,West Ham,1,2,10.1013,11.0322,9.4169,6.6936,1.5363,13.8708
2015-10-31 16:45:00,181,Chelsea,Liverpool,1,3,9.5197,10.8566,9.3094,13.7045,0.9806,7.0080
2015-11-07 21:30:00,197,Chelsea,Stoke,0,1,9.4105,9.6922,9.5005,8.4707,0.8212,10.6635
2015-11-21 19:00:00,207,Chelsea,Norwich,1,0,9.5323,9.2759,9.8628,9.5360,0.4525,11.0156
2015-11-29 16:00:00,217,Chelsea,Tottenham,0,0,10.2442,11.1678,10.5621,7.5825,1.1769,10.2536
2015-12-05 21:30:00,228,Chelsea,Bournemouth,0,1,9.6280,9.8957,10.2985,10.4820,0.4581,12.3097
2015-12-15 00:00:00,240,Chelsea,Leicester,1,2,10.0155,11.2904,11.3260,10.4963,0.4556,11.3344
2015-12-19 19:00:00,244,Chelsea,Sunderland,3,1,10.3521,9.5254,11.6088,11.6075,0.3461,16.6936
2015-12-26 19:00:00,256,Chelsea,Watford,2,2,10.4507,11.1478,11.8140,10.1084,0.3380,10.9370
2015-12-28 21:30:00,267,Chelsea,Manchester United,0,0,10.3779,9.7323,11.6282,7.1613,0.3782,4.5534
2016-01-03 17:30:00,279,Chelsea,Crystal Palace,3,0,11.2839,9.5960,12.2413,7.6704,0.8272,10.5211
2016-01-13 23:45:00,287,Chelsea,West Bromwich Albion,2,2,10.8810,10.5752,12.0087,9.0485,0.2540,16.6022
2016-01-16 19:00:00,295,Chelsea,Everton,3,3,10.7067,10.8582,12.0493,9.2423,-0.1352,10.7246
2016-01-24 20:00:00,310,Chelsea,Arsenal,1,0,11.0239,10.1583,12.2112,12.7399,0.0873,-4.9226
2016-02-03 23:45:00,320,Chelsea,Watford,0,0,10.8503,10.0030,12.1890,9.9710,-0.2377,9.7849
2016-02-07 20:00:00,330,Chelsea,Manchester United,1,1,10.6881,10.8637,12.2356,7.8252,-0.6087,5.1525
2016-02-13 21:30:00,337,Chelsea,Newcastle United,5,1,11.2626,8.9118,12.2239,13.0445,-0.4479,16.0291
2016-02-27 19:00:00,344,Chelsea,Southampton,2,1,11.6186,10.8308,12.2350,8.8811,0.0031,5.2805
2016-03-01 23:45:00,353,Chelsea,Norwich,2,1,11.4499,9.6124,11.7511,10.9420,-0.1005,13.7830
2016-03-05 19:00:00,362,Chelsea,Stoke,1,1,10.8083,10.0250,10.9741,8.5847,-0.6068,11.4652
2016-03-19 19:00:00,376,Chelsea,West Ham,2,2,10.7426,11.1110,11.2278,4.4468,-0.9920,15.5254
2016-04-02 15:45:00,384,Chelsea,Aston Villa,4,0,11.2721,7.8313,11.1995,11.9401,-0.9046,13.7217
2016-04-09 18:00:00,397,Chelsea,Swansea,0,1,10.8351,10.4612,10.8608,6.9711,-1.1899,16.7006
2016-04-16 20:30:00,410,Chelsea,Manchester City,0,3,10.0032,11.8396,10.2440,9.3303,-1.4868,-3.9015
2016-04-23 18:00:00,422,Chelsea,Bournemouth,4,1,10.6712,8.5073,10.5362,9.7596,-1.1930,12.0050
2016-05-02 23:00:00,436,Chelsea,Tottenham,2,2,10.7523,11.4146,10.3455,5.9127,-0.8400,5.9170
2016-05-07 18:00:00,442,Chelsea,Sunderland,2,3,10.4753,10.4212,10.5692,12.0236,-1.3677,18.5691
2016-05-11 23:00:00,450,Chelsea,Liverpool,1,1,10.6009,10.3520,10.4380,13.9464,-0.9854,2.5071
2016-05-15 18:00:00,452,Chelsea,Leicester,1,1,10.6160,11.1462,10.6095,9.1987,-1.1267,7.3434
2016-08-15 23:00:00,470,Chelsea,West Ham,2,1,10.6089,10.0948,10.6061,4.3931,-1.3874,13.2964
2016-08-20 18:00:00,476,Chelsea,Watford,2,1,10.8372,9.7937,10.8222,9.9531,-1.3970,12.3841
2016-08-27 18:00:00,485,Chelsea,Burnley,3,0,11.3803,9.9664,11.2337,11.1157,-1.4724,15.5668
2016-09-11 19:00:00,499,Chelsea,Swansea,2,2,11.1891,10.3066,11.2825,6.0058,-1.9036,18.3570
2016-09-16 23:00:00,501,Chelsea,Liverpool,1,2,10.7630,11.4106,11.0433,14.9804,-2.2667,2.8405
2016-09-24 20:30:00,518,Chelsea,Arsenal,0,3,10.3884,12.1391,11.1565,13.7977,-2.3792,-7.5188
2016-10-01 18:00:00,524,Chelsea,Hull,2,0,10.7336,8.9240,11.4314,8.7999,-2.4637,15.2985
2016-10-15 15:30:00,531,Chelsea,Leicester,3,0,11.1749,9.5573,11.8559,8.6847,-2.7557,6.1798
2016-10-23 19:00:00,550,Chelsea,Manchester United,4,0,11.9559,10.0178,12.0142,6.4695,-2.3520,3.5661
2016-10-30 20:00:00,2685,Chelsea,Southampton,2,0,12.3839,10.7399,12.1235,8.8800,-2.1053,2.6003
2016-11-05 21:30:00,2691,Chelsea,Everton,5,0,13.0468,9.8728,12.0184,8.6801,-1.9243,9.5662
2016-11-20 20:00:00,2705,Chelsea,Middlesbrough,1,0,12.8947,11.0904,11.8982,10.7357,-2.3583,12.1949
2016-11-26 21:30:00,2712,Chelsea,Tottenham,2,1,12.4803,11.1513,11.4405,6.5010,-2.9795,3.8023
2016-12-03 16:30:00,3105,Chelsea,Manchester City,3,1,12.7621,10.8256,10.9833,9.1886,-2.4588,-10.0375
2016-12-11 16:00:00,3121,Chelsea,West Bromwich Albion,1,0,12.2983,10.8707,10.3541,9.5534,-3.0072,18.4382
2016-12-14 23:45:00,3128,Chelsea,Sunderland,1,0,11.8713,9.5172,9.8647,10.9195,-3.6219,20.6156
2016-12-17 16:30:00,3135,Chelsea,Crystal Palace,1,0,11.7470,9.9982,9.6049,10.6517,-3.8608,13.3444
2016-12-26 19:00:00,3151,Chelsea,Bournemouth,3,0,11.8131,9.4454,9.1865,10.9702,-4.0602,15.4201
2016-12-31 19:00:00,3158,Chelsea,Stoke,4,2,11.6422,9.8002,8.7878,11.1865,-4.5034,10.9138
2017-01-05 00:00:00,3339,Chelsea,Tottenham,0,2,11.3770,12.3465,8.9984,6.0256,-4.7445,2.6686
2017-01-14 21:30:00,3347,Chelsea,Leicester,3,0,11.9260,9.5242,8.9374,9.6574,-4.3354,6.1412
2017-01-22 19:30:00,3359,Chelsea,Hull,2,0,11.7536,9.9087,8.5543,11.3782,-4.7971,19.6893
2017-01-31 23:00:00,3366,Chelsea,Liverpool,1,1,11.4756,10.4198,8.2418,13.4310,-5.0405,-2.8417
2017-02-04 12:30:00,3370,Chelsea,Arsenal,3,1,11.5790,10.2857,8.0963,10.2856,-5.1882,-11.7134
