Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-30 17:00:00,5149,Chievo,Juventus,0,1,9.6250,10.3750,9.4071,10.5929,10.0929,9.9071
2014-09-14 14:00:00,5113,Chievo,Napoli,1,0,10.1875,9.8125,9.3351,10.5144,11.0399,9.1106
2014-09-21 11:30:00,5121,Chievo,Parma,2,3,9.6719,10.1406,9.1732,9.5361,10.4205,10.9952
2014-09-24 19:45:00,5137,Chievo,Sampdoria,1,2,9.6367,10.0665,9.0100,9.6720,10.7634,9.7108
2014-09-28 14:00:00,5144,Chievo,Empoli,1,1,9.5039,9.7383,8.6680,10.7508,10.8398,9.4756
2014-10-04 19:45:00,5070,Chievo,AC Milan,0,2,9.2695,10.3008,8.6715,9.4269,10.8676,10.1747
2014-10-18 17:00:00,5079,Chievo,Roma,0,3,9.1186,11.3167,9.0032,10.3887,10.9840,9.7447
2014-10-26 14:00:00,5094,Chievo,Genoa,1,2,8.9737,10.1841,8.8142,9.0907,11.1333,11.0275
2014-10-29 19:45:00,5102,Chievo,Palermo,0,1,8.8917,9.2275,8.7369,10.2197,11.2965,10.2354
2014-11-02 14:00:00,5036,Chievo,Sassuolo,0,0,9.1362,10.1250,8.9736,10.4972,11.5487,11.0034
2014-11-09 14:00:00,5043,Chievo,Cesena,2,1,9.2352,8.9333,8.9310,9.8733,11.5393,10.4937
2014-11-23 14:00:00,5053,Chievo,Udinese,1,1,9.4480,9.3735,9.3890,7.4928,11.5068,11.2546
2014-11-29 19:45:00,5061,Chievo,Lazio,0,0,9.4488,9.9504,9.3349,9.7592,11.5625,8.8914
2014-12-08 18:00:00,5008,Chievo,Cagliari,2,0,10.0987,8.8984,9.5848,12.0647,12.1124,7.2320
2014-12-15 20:00:00,5019,Chievo,Inter,0,2,9.2220,9.9684,9.0847,10.1958,11.3590,9.2409
2014-12-21 11:30:00,5024,Chievo,Verona,1,0,9.6607,9.0382,9.2170,8.4240,11.8541,11.9023
2015-01-06 14:00:00,4964,Chievo,Torino,0,0,9.6670,10.1798,9.3610,11.7223,11.7228,10.1371
2015-01-11 14:00:00,4970,Chievo,Atalanta,1,1,9.7890,9.5329,9.5064,9.9496,11.8214,11.6163
2015-01-18 14:00:00,4982,Chievo,Fiorentina,1,2,9.6167,10.7719,9.4811,10.7944,11.7520,8.4992
2015-01-25 14:00:00,4992,Chievo,Juventus,0,2,9.8266,11.7464,9.7652,8.3578,12.3877,6.3856
2015-02-01 14:00:00,4922,Chievo,Napoli,1,2,9.6422,10.7735,9.5858,12.9119,12.4483,5.6353
2015-02-11 17:00:00,4936,Chievo,Parma,1,0,9.6368,8.1261,9.5754,10.5201,12.1979,12.4826
2015-02-15 17:00:00,4945,Chievo,Sampdoria,2,1,9.7278,9.4097,9.3928,8.7152,12.3124,9.3541
2015-02-22 14:00:00,4949,Chievo,Empoli,0,3,9.2133,10.6844,9.1570,12.6558,12.2692,9.2127
2015-02-28 19:45:00,4956,Chievo,AC Milan,0,0,9.2894,9.9416,9.1210,7.9121,12.4574,10.7207
2015-03-08 14:00:00,4892,Chievo,Roma,0,0,9.3051,9.8367,9.1302,8.3091,12.4797,6.6143
2015-03-15 14:00:00,4901,Chievo,Genoa,2,0,10.2786,9.7255,9.6493,6.8377,13.4076,11.3632
2015-03-21 17:00:00,4909,Chievo,Palermo,1,0,10.2747,9.7671,9.5274,10.3392,13.2718,9.9448
2015-04-04 14:00:00,4836,Chievo,Sassuolo,0,1,9.9329,9.7493,9.2263,9.4399,13.1393,12.0593
2015-04-12 11:30:00,4843,Chievo,Cesena,1,0,10.2748,9.4587,9.6527,10.8375,13.1467,14.3297
2015-04-19 14:00:00,4854,Chievo,Udinese,1,1,9.8036,9.3611,9.3766,7.2759,12.4803,13.4466
2015-04-26 14:00:00,4867,Chievo,Lazio,1,1,10.3510,10.9458,9.5035,10.6811,13.4482,4.2106
2015-04-29 19:45:00,4876,Chievo,Cagliari,1,0,10.2124,9.4351,9.2540,14.7312,13.1704,10.3890
2015-05-03 14:00:00,4782,Chievo,Inter,0,0,10.4379,10.3890,9.4706,10.3385,13.4049,7.6892
2015-05-10 11:30:00,4791,Chievo,Verona,2,2,10.0679,9.8279,9.0817,10.0468,13.0538,13.8587
2015-05-17 14:00:00,4805,Chievo,Torino,0,2,9.5152,9.9099,8.3534,11.2185,13.1767,8.3508
2015-05-24 14:00:00,4815,Chievo,Atalanta,1,1,9.4435,9.8000,8.3361,9.6802,13.0506,14.1699
2015-05-31 19:45:00,4828,Chievo,Fiorentina,0,3,9.1471,11.0542,8.4042,10.3461,13.1396,8.0121
2015-08-23 22:45:00,558,Chievo,Empoli,3,1,9.9712,9.1192,8.6870,12.7204,14.0049,7.5176
2015-08-30 22:45:00,568,Chievo,Lazio,4,0,10.8847,9.2115,8.8008,10.0533,14.7180,9.1198
