Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2021-08-08 13:00:00,17828,Clermont Foot,Bordeaux,2,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2021-08-15 13:00:00,17837,Clermont Foot,Troyes,2,0,10.1879,9.0638,9.8747,17.0666,10.0012,22.3107
2021-08-22 11:00:00,17845,Clermont Foot,Lyon,3,3,10.2737,9.9452,9.5860,9.4974,10.4614,-17.8565
2021-08-29 13:00:00,17858,Clermont Foot,Metz,2,2,9.9776,9.8856,9.2256,16.1714,10.2297,33.3486
2021-09-11 15:00:00,17863,Clermont Foot,Paris Saint Germain,0,4,9.5720,12.2610,9.4524,0.8305,10.1918,-43.0588
2021-09-19 13:00:00,17875,Clermont Foot,Brest,1,1,9.4850,9.8111,9.3992,8.8262,10.0710,16.5452
2021-09-22 17:00:00,17889,Clermont Foot,Rennes,0,6,8.1445,10.9636,8.8661,9.5276,9.4231,6.6515
2021-09-26 15:00:00,17894,Clermont Foot,Monaco,1,3,8.0713,10.4249,9.1723,2.4825,9.4705,-22.6331
2021-10-03 13:00:00,17905,Clermont Foot,Lorient,1,1,8.9416,10.1824,10.0900,15.3703,10.2935,20.2443
2021-10-16 15:00:00,17914,Clermont Foot,Lille,1,0,9.5828,10.3650,10.4302,3.4397,10.9856,1.7920
2021-10-23 15:00:00,17927,Clermont Foot,Nantes,1,2,9.7068,10.4550,10.7204,15.8309,11.1935,11.8285
2021-10-31 19:45:00,17935,Clermont Foot,Marseille,0,1,9.6022,10.8931,10.7403,3.0873,11.2144,-12.2987
2021-11-07 14:00:00,17951,Clermont Foot,Saint-Etienne,2,3,9.3160,9.2436,10.5159,8.0645,11.1164,11.1720
