Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-15 17:30:00,1026,Darmstadt,Hannover 96,2,2,10,9.7279,10,9.7159,10,9.7400
2015-08-22 17:30:00,1032,Darmstadt,Schalke 04,1,1,9.7279,9.6917,9.7159,9.6129,9.74,9.7706
2015-08-29 17:30:00,1044,Darmstadt,Hoffenheim,0,0,9.6917,9.6706,9.6129,9.3152,9.7706,10.0260
2015-09-12 17:30:00,1053,Darmstadt,Bayer Leverkusen,1,0,9.6706,10.2465,9.3152,9.3734,10.026,10.8695
2015-09-19 17:30:00,1058,Darmstadt,Bayern Munich,0,3,10.2465,9.9066,9.3734,9.4054,10.8695,10.9078
2015-09-22 22:00:00,1069,Darmstadt,Werder Bremen,2,1,9.9066,9.9691,9.4054,9.3985,10.9078,10.7897
2015-09-27 19:30:00,1083,Darmstadt,Borussia Dortmund,2,2,9.9691,10.7234,9.3985,9.7873,10.7897,11.9095
2015-10-02 22:30:00,1084,Darmstadt,Mainz 05,2,3,10.7234,10.4517,9.7873,9.8680,11.9095,11.5354
2015-10-17 17:30:00,1094,Darmstadt,Augsburg,2,0,10.4517,10.4756,9.868,9.6709,11.5354,11.2804
2015-10-24 17:30:00,1104,Darmstadt,Wolfsburg,0,1,10.4756,9.7350,9.6709,9.0849,11.2804,10.6353
2015-11-01 18:30:00,1118,Darmstadt,VfB Stuttgart,0,2,9.735,9.0343,9.0849,8.6227,10.6353,10.1960
2015-11-07 21:30:00,1126,Darmstadt,Hamburger SV,1,1,9.0343,9.0048,8.6227,8.7284,10.196,10.0313
2015-11-22 20:40:00,1137,Darmstadt,Ingolstadt,1,3,9.0048,8.8744,8.7284,8.5599,10.0313,10.4390
2015-11-27 23:30:00,1138,Darmstadt,FC Cologne,0,0,8.8744,9.0627,8.5599,8.6419,10.439,10.7335
2015-12-06 20:30:00,1155,Darmstadt,Eintracht Frankfurt,1,0,9.0627,9.5735,8.6419,9.0260,10.7335,11.1210
2015-12-12 18:30:00,1157,Darmstadt,Hertha Berlin,0,4,9.5735,8.8267,9.026,8.8468,11.121,10.8066
2015-12-20 20:30:00,1173,Darmstadt,Borussia M.Gladbach,2,3,8.8267,9.1595,8.8468,9.7279,10.8066,10.8410
2016-01-23 18:30:00,1176,Darmstadt,Hannover 96,2,1,9.1595,9.9444,9.7279,10.6324,10.841,11.2564
2016-01-30 18:30:00,1184,Darmstadt,Schalke 04,0,2,9.9444,9.6524,10.6324,10.4736,11.2564,11.3312
2016-02-07 20:30:00,1200,Darmstadt,Hoffenheim,2,0,9.6524,10.4908,10.4736,11.1825,11.3312,11.7991
2016-02-13 18:30:00,1202,Darmstadt,Bayer Leverkusen,1,2,10.4908,10.6726,11.1825,11.4922,11.7991,12.1031
2016-02-20 18:30:00,1211,Darmstadt,Bayern Munich,1,3,10.6726,10.6735,11.4922,11.3756,12.1031,12.7214
2016-02-27 18:30:00,1220,Darmstadt,Werder Bremen,2,2,10.6735,10.4574,11.3756,10.8972,12.7214,12.7676
2016-03-02 23:00:00,1230,Darmstadt,Borussia Dortmund,0,2,10.4574,10.0274,10.8972,10.2323,12.7676,13.0725
2016-03-06 18:30:00,1244,Darmstadt,Mainz 05,0,0,10.0274,10.2104,10.2323,10.3748,13.0725,13.2961
2016-03-12 18:30:00,1249,Darmstadt,Augsburg,2,2,10.2104,10.0044,10.3748,10.1881,13.2961,13.0707
2016-03-19 18:30:00,1256,Darmstadt,Wolfsburg,1,1,10.0044,10.3240,10.1881,10.5238,13.0707,13.3742
