Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-23 20:00:00,5828,Deportivo La Coruna,Granada,1,2,10,9.8750,10,10.0828,10,9.9172
2014-08-31 20:00:00,5843,Deportivo La Coruna,Rayo Vallecano,2,2,9.875,9.7500,10.0828,9.8737,9.9172,9.8763
2014-09-15 19:45:00,5795,Deportivo La Coruna,Eibar,1,0,9.75,10.1875,9.8737,10.1262,9.8763,10.2488
2014-09-20 15:00:00,5797,Deportivo La Coruna,Real Madrid,2,8,10.1875,8.6250,10.1262,9.9867,10.2488,8.7633
2014-09-23 21:00:00,5807,Deportivo La Coruna,Celta Vigo,1,2,8.625,8.5156,9.9867,10.0892,8.7633,8.6920
2014-09-28 16:00:00,5823,Deportivo La Coruna,Almeria,0,1,8.5156,8.5000,10.0892,10.3826,8.692,8.6174
2014-10-05 11:00:00,5760,Deportivo La Coruna,Sevilla,1,4,8.5,8.5235,10.3826,10.2371,8.6174,9.5598
2014-10-19 16:00:00,5770,Deportivo La Coruna,Valencia,3,0,8.5235,9.9493,10.2371,11.0206,9.5598,10.8779
2014-10-26 16:00:00,5781,Deportivo La Coruna,Espanyol,0,0,9.9493,10.4864,11.0206,11.4783,10.8779,11.4943
2014-10-31 19:45:00,5784,Deportivo La Coruna,Getafe,1,2,10.4864,9.9883,11.4783,11.0245,11.4943,11.2020
2014-11-07 19:45:00,5725,Deportivo La Coruna,Cordoba,0,0,9.9883,9.6714,11.0245,10.4556,11.202,11.1371
2014-11-22 21:00:00,5739,Deportivo La Coruna,Real Sociedad,0,0,9.6714,9.2342,10.4556,9.9690,11.1371,10.7492
2014-11-30 11:00:00,5750,Deportivo La Coruna,Atletico Madrid,0,2,9.2342,8.9706,9.969,9.9627,10.7492,10.7283
2014-12-06 21:00:00,5690,Deportivo La Coruna,Malaga,0,1,8.9706,8.8645,9.9627,10.6739,10.7283,10.0550
2014-12-15 19:45:00,5706,Deportivo La Coruna,Elche,1,0,8.8645,8.9696,10.6739,10.4921,10.055,10.1969
2014-12-21 11:00:00,5712,Deportivo La Coruna,Villarreal,0,3,8.9696,8.9759,10.4921,10.7284,10.1969,10.7232
2015-01-03 21:00:00,5645,Deportivo La Coruna,Athletic Club,1,0,8.9759,9.4200,10.7284,10.8238,10.7232,11.2661
2015-01-09 19:45:00,5652,Deportivo La Coruna,Levante,0,0,9.42,9.6759,10.8238,11.1557,11.2661,11.4461
2015-01-18 18:00:00,5669,Deportivo La Coruna,Barcelona,0,4,9.6759,9.0739,11.1557,11.1368,11.4461,11.2610
2015-01-25 11:00:00,5677,Deportivo La Coruna,Granada,2,2,9.0739,8.7144,11.1368,11.1779,11.261,10.5009
2015-01-30 19:45:00,5682,Deportivo La Coruna,Rayo Vallecano,2,1,8.7144,9.1671,11.1779,11.6482,10.5009,10.6859
2015-02-06 19:45:00,5608,Deportivo La Coruna,Eibar,2,0,9.1671,9.8353,11.6482,12.3524,10.6859,10.8180
2015-02-14 17:00:00,5620,Deportivo La Coruna,Real Madrid,0,2,9.8353,10.0605,12.3524,12.8628,10.818,11.2580
2015-02-21 21:00:00,5632,Deportivo La Coruna,Celta Vigo,0,2,10.0605,9.3613,12.8628,12.4524,11.258,10.7700
2015-02-28 19:00:00,5641,Deportivo La Coruna,Almeria,0,0,9.3613,9.3816,12.4524,12.8596,10.77,10.4034
2015-03-07 15:00:00,5572,Deportivo La Coruna,Sevilla,3,4,9.3816,9.2150,12.8596,12.8045,10.4034,10.3753
2015-03-13 19:45:00,5581,Deportivo La Coruna,Valencia,0,2,9.215,9.1658,12.8045,12.5829,10.3753,10.9985
2015-03-22 11:00:00,5597,Deportivo La Coruna,Espanyol,0,0,9.1658,9.2054,12.5829,12.4588,10.9985,11.2019
2015-04-05 18:00:00,5512,Deportivo La Coruna,Getafe,1,2,9.2054,9.1636,12.4588,12.6351,11.2019,11.1921
2015-04-08 19:00:00,5519,Deportivo La Coruna,Cordoba,1,1,9.1636,8.9974,12.6351,12.2442,11.1921,11.2505
2015-04-12 18:00:00,5532,Deportivo La Coruna,Real Sociedad,2,2,8.9974,9.5155,12.2442,12.8862,11.2505,11.6447
2015-04-18 17:00:00,5537,Deportivo La Coruna,Atletico Madrid,1,2,9.5155,9.7602,12.8862,13.2116,11.6447,12.0588
2015-04-26 11:00:00,5550,Deportivo La Coruna,Malaga,1,1,9.7602,9.9445,13.2116,13.3562,12.0588,12.2828
2015-04-29 21:00:00,5561,Deportivo La Coruna,Elche,0,4,9.9445,9.0934,13.3562,12.8841,12.2828,12.0526
2015-05-02 21:00:00,5469,Deportivo La Coruna,Villarreal,1,1,9.0934,8.8211,12.8841,12.6597,12.0526,11.7323
2015-05-09 21:00:00,5479,Deportivo La Coruna,Athletic Club,1,1,8.8211,9.2426,12.6597,13.0009,11.7323,12.2341
2015-05-17 18:00:00,5487,Deportivo La Coruna,Levante,2,0,9.2426,9.6953,13.0009,13.1262,12.2341,12.5143
2015-05-23 17:30:00,5496,Deportivo La Coruna,Barcelona,2,2,9.6953,10.9629,13.1262,13.9358,12.5143,14.2399
