Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2016-08-13 22:00:00,2255,Dijon,Nantes,0,1,9.6250,10.3750,9.6190,10.3810,9.8810,10.1190
2016-08-20 22:00:00,2265,Dijon,Lille,0,1,9.6276,10.1329,9.7834,7.5113,9.9718,9.5040
2016-08-27 19:00:00,2270,Dijon,Lyon,4,2,10.3534,10.3050,9.9128,10.7344,10.7940,9.1257
2016-09-10 22:00:00,2282,Dijon,Angers,1,3,9.6406,9.7148,9.7495,8.4126,10.0316,11.0180
2016-09-17 22:00:00,2292,Dijon,Metz,0,0,9.7139,10.3605,9.9997,13.4858,9.9280,13.9855
2016-09-20 23:00:00,2300,Dijon,Paris Saint Germain,0,3,9.7475,12.3147,10.3295,7.2092,10.4154,-17.8292
2016-09-24 22:00:00,2313,Dijon,Rennes,3,0,10.4884,9.4704,10.5208,10.3261,10.9560,11.3642
2016-10-01 22:00:00,2321,Dijon,Montpellier,3,3,9.9403,9.3442,9.7575,10.1581,10.6231,9.5301
2016-10-16 19:00:00,2337,Dijon,Saint-Etienne,1,1,10.1061,9.9377,9.7146,4.9666,10.9976,7.9089
2016-10-22 22:00:00,2344,Dijon,Lorient,1,0,10.0683,9.4928,9.1874,10.5639,11.1993,15.1724
2016-10-29 22:00:00,3320,Dijon,SC Bastia,0,0,10.0033,9.3732,8.7743,5.2223,11.4824,17.7741
2016-11-05 23:00:00,2837,Dijon,Guingamp,3,3,10.0336,10.5943,9.2438,11.0861,11.0735,14.6034
2016-11-19 23:00:00,2848,Dijon,Nancy,0,1,9.6905,9.5042,9.1626,10.1114,10.7184,11.6470
2016-11-26 23:00:00,2858,Dijon,Bordeaux,2,3,9.7263,10.2981,9.2190,11.1942,10.9837,9.6518
2016-11-30 00:00:00,2865,Dijon,Monaco,1,1,10.3930,12.2263,9.8975,7.6877,11.6385,1.7652
2016-12-02 23:45:00,3229,Dijon,Caen,3,3,10.2352,9.4198,9.5595,9.2893,11.6610,16.5495
2016-12-10 17:30:00,3239,Dijon,Marseille,1,2,9.9874,10.9920,9.0952,8.7266,11.8798,3.2566
2016-12-18 18:00:00,3256,Dijon,Nice,1,2,10.1457,10.9622,9.2990,2.9594,12.2425,11.7144
2016-12-21 23:50:00,3265,Dijon,Toulouse,2,0,10.3940,9.3904,9.0961,18.7274,12.4419,7.5538
2017-01-14 23:00:00,4107,Dijon,Montpellier,1,1,10.5424,10.3394,9.2326,10.4461,12.6023,10.4822
2017-01-21 22:00:00,4120,Dijon,Lille,0,0,10.2436,10.1461,9.0636,8.6836,12.1738,10.1083
2017-01-28 19:00:00,4130,Dijon,Lorient,3,2,10.3755,9.1391,8.6603,12.7275,12.5908,15.0518
