Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-31 19:45:00,5158,Empoli,Udinese,0,2,9.6250,10.3750,9.8757,10.1243,9.8743,10.1257
2014-09-13 17:00:00,5109,Empoli,Roma,0,1,9.4375,10.5625,9.7432,10.4731,9.8818,9.9019
2014-09-20 17:00:00,5119,Empoli,Cesena,2,2,9.5469,9.2656,9.9874,9.4452,9.8563,9.5861
2014-09-23 19:45:00,5129,Empoli,AC Milan,2,2,9.6055,10.2226,10.4088,9.6501,9.5520,10.2953
2014-09-28 14:00:00,5144,Empoli,Chievo,1,1,9.7383,9.5039,10.7508,8.6680,9.4756,10.8398
2014-10-05 11:30:00,5071,Empoli,Palermo,3,0,10.1626,8.5113,10.8436,9.6488,9.4814,9.3737
2014-10-20 19:45:00,5088,Empoli,Genoa,1,1,10.2882,10.0392,11.2033,8.9017,9.3728,11.1768
2014-10-25 14:00:00,5089,Empoli,Cagliari,0,4,9.1311,11.3170,10.7854,11.6981,8.4765,10.4358
2014-10-28 19:45:00,5099,Empoli,Sassuolo,1,3,9.0439,10.3695,10.8318,10.7339,8.7557,11.2556
2014-11-01 17:00:00,5031,Empoli,Juventus,0,2,8.8351,10.9173,10.9374,10.5585,8.7324,7.7763
2014-11-09 14:00:00,5044,Empoli,Lazio,2,1,9.5115,10.3645,11.3917,9.5425,9.3810,9.1863
2014-11-23 14:00:00,5055,Empoli,Parma,2,0,9.8335,7.9774,11.2235,10.1945,9.6932,9.7604
2014-11-30 14:00:00,5062,Empoli,Atalanta,0,0,9.7035,9.9434,11.2438,9.8008,9.4129,12.0859
2014-12-07 11:30:00,5003,Empoli,Napoli,2,2,10.1109,10.4255,11.7996,11.8039,9.6718,7.0472
2014-12-15 18:00:00,5018,Empoli,Torino,0,0,9.8779,9.9120,11.7171,11.5329,9.2884,10.0410
2014-12-21 14:00:00,5026,Empoli,Fiorentina,1,1,10.4631,11.1335,12.2070,10.5568,9.9689,9.7101
2015-01-06 14:00:00,4962,Empoli,Verona,0,0,9.9819,9.5194,11.8392,8.7918,9.3742,12.4970
2015-01-11 14:00:00,4975,Empoli,Sampdoria,0,1,9.8186,9.9921,11.7601,8.9644,9.3767,9.5195
2015-01-17 17:00:00,4977,Empoli,Inter,0,0,9.9133,10.6026,11.8036,10.6351,9.5226,9.5700
2015-01-26 18:00:00,4995,Empoli,Udinese,1,2,9.4066,9.8934,11.8147,7.6095,8.7482,12.6778
2015-01-31 19:45:00,4998,Empoli,Roma,1,1,9.9343,10.4897,12.4332,9.1179,9.1851,7.3614
2015-02-08 14:00:00,4930,Empoli,Cesena,2,0,10.1704,9.1424,12.3789,10.9496,9.2115,12.8355
2015-02-15 11:30:00,4939,Empoli,AC Milan,1,1,10.1699,9.6690,12.4200,7.8374,9.1695,10.7501
2015-02-22 14:00:00,4949,Empoli,Chievo,3,0,10.6844,9.2133,12.6558,9.1570,9.2127,12.2692
2015-03-01 14:00:00,4882,Empoli,Palermo,0,0,10.6854,10.1876,12.6634,10.4012,9.2072,10.2238
2015-03-08 14:00:00,4893,Empoli,Genoa,1,1,10.5233,10.6990,12.5668,7.3568,8.9796,12.2911
2015-03-14 19:45:00,4900,Empoli,Cagliari,1,1,10.2913,9.3272,12.2582,14.4539,8.8241,8.4504
2015-03-22 11:30:00,4911,Empoli,Sassuolo,3,1,10.4967,9.4075,12.3302,9.1388,8.6629,11.9268
2015-04-04 20:00:00,4838,Empoli,Juventus,0,2,10.1143,10.8495,12.0424,7.7315,8.6859,3.2182
2015-04-12 14:00:00,4844,Empoli,Lazio,0,4,9.7052,12.3869,12.4452,11.2370,8.4649,6.0368
2015-04-19 14:00:00,4855,Empoli,Parma,2,2,9.5074,9.6116,12.2577,11.5842,8.2567,15.6392
2015-04-26 11:30:00,4863,Empoli,Atalanta,2,2,9.7193,9.6432,12.6113,9.8316,8.3270,13.2050
2015-04-30 19:45:00,4880,Empoli,Napoli,4,2,10.4457,10.3983,12.8819,12.3890,9.0091,4.4081
2015-05-06 14:00:00,4788,Empoli,Torino,1,0,10.8450,10.1435,13.1070,10.5304,9.3325,9.0062
2015-05-10 17:00:00,4796,Empoli,Fiorentina,2,3,10.1163,10.1590,12.6373,10.6298,8.5949,7.6879
2015-05-17 14:00:00,4804,Empoli,Verona,1,2,9.9192,10.0250,12.6969,9.9872,8.3911,14.0625
2015-05-24 11:30:00,4811,Empoli,Sampdoria,1,1,9.8591,10.2388,12.9263,8.4498,8.0414,10.5280
2015-05-31 19:45:00,4826,Empoli,Inter,3,4,9.9433,10.6118,13.0032,11.0734,8.3829,7.3999
2015-08-23 22:45:00,558,Empoli,Chievo,1,3,9.1192,9.9712,12.7204,8.6870,7.5176,14.0049
2015-08-29 22:45:00,562,Empoli,AC Milan,1,2,9.3259,10.2395,13.1691,6.9310,7.7324,12.2976
2015-09-13 17:00:00,577,Empoli,Napoli,2,2,9.2978,9.7417,13.2062,13.2911,7.6392,2.4431
2015-09-19 20:00:00,581,Empoli,Udinese,2,1,9.6531,8.8637,13.2341,7.9076,8.0719,13.8197
2015-09-24 22:45:00,600,Empoli,Atalanta,0,1,9.3697,10.3028,13.2078,10.4033,7.7814,14.4523
2015-09-28 21:00:00,609,Empoli,Frosinone,0,2,9.0302,9.8511,13.2535,9.4235,7.5567,11.2785
2015-10-04 14:30:00,613,Empoli,Sassuolo,1,0,9.5677,10.1427,13.6754,8.7676,7.9598,13.0186
2015-10-17 20:00:00,621,Empoli,Roma,1,3,9.6579,11.3385,14.0047,8.5035,8.3110,5.9235
2015-10-24 17:00:00,631,Empoli,Genoa,2,0,10.1152,9.5300,14.2251,5.0526,8.5053,11.2570
2015-10-29 23:45:00,650,Empoli,Sampdoria,1,1,10.2737,10.0905,14.4135,8.5437,8.6338,10.6373
2015-11-03 00:00:00,660,Empoli,Palermo,1,0,10.5580,9.6266,14.3788,13.3780,8.9871,7.6251
2015-11-08 18:00:00,667,Empoli,Juventus,1,3,9.8654,10.9802,13.7677,9.1598,8.7130,-0.4482
2015-11-22 18:00:00,677,Empoli,Fiorentina,2,2,10.4907,11.2413,14.1480,10.0181,9.5833,4.9644
2015-11-29 21:00:00,687,Empoli,Lazio,1,0,10.3935,9.6993,13.6409,11.6596,9.6461,8.9883
2015-12-06 18:00:00,698,Empoli,Verona,1,0,10.3219,8.6788,13.1287,9.2012,9.7652,15.9060
2015-12-13 18:00:00,706,Empoli,Carpi,3,0,10.7956,9.2429,12.9438,12.1364,10.1475,10.5993
2015-12-19 23:45:00,710,Empoli,Bologna,3,2,11.1274,10.2911,13.1979,9.0066,10.3070,12.8256
2016-01-06 21:00:00,728,Empoli,Inter,0,1,10.6610,11.2283,12.8234,9.6612,9.9988,6.7956
2016-01-10 18:00:00,736,Empoli,Torino,1,0,10.8282,9.6627,12.5632,10.7011,10.3434,8.8746
2016-01-17 18:00:00,747,Empoli,Chievo,1,1,10.9157,10.5908,12.6026,8.2317,10.4791,15.1996
2016-01-23 23:45:00,752,Empoli,AC Milan,2,2,10.7090,10.7957,12.4275,8.3286,10.2408,10.7628
2016-01-31 18:00:00,767,Empoli,Napoli,1,5,10.0998,12.3814,12.2066,13.9902,10.2433,-0.9770
2016-02-03 23:45:00,779,Empoli,Udinese,1,1,9.7067,9.4207,12.1722,10.6578,9.4916,15.4334
2016-02-07 21:00:00,789,Empoli,Atalanta,0,0,9.6708,9.0989,12.0376,9.1328,9.5544,14.8147
2016-02-13 18:00:00,793,Empoli,Frosinone,1,2,9.1803,9.6991,12.1761,9.0127,8.6848,16.6350
2016-02-21 18:00:00,805,Empoli,Sassuolo,2,3,9.0924,9.4167,12.4660,8.4896,8.4691,12.0943
2016-02-27 21:00:00,811,Empoli,Roma,1,3,9.1130,11.6541,12.7986,7.1814,8.6776,3.6269
2016-03-06 18:00:00,827,Empoli,Genoa,0,1,9.1970,9.8652,13.1258,5.5199,8.7685,11.4598
2016-03-12 21:00:00,832,Empoli,Sampdoria,1,1,9.3989,10.3027,13.5985,8.0400,8.6996,13.5655
2016-03-19 21:00:00,841,Empoli,Palermo,0,0,9.1729,9.2210,13.3323,13.1360,8.5138,11.5562
2016-04-02 22:45:00,852,Empoli,Juventus,0,1,9.7824,11.5015,13.8008,5.5979,9.5143,-4.5937
2016-04-10 14:30:00,865,Empoli,Fiorentina,2,0,10.1421,9.3615,13.5807,8.1432,9.9538,2.8301
2016-04-17 20:00:00,879,Empoli,Lazio,0,2,9.8498,10.7652,13.2506,13.8740,10.1993,7.1554
2016-04-20 22:45:00,887,Empoli,Verona,1,0,9.6702,8.8110,12.8916,10.0118,9.9491,18.8598
