Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-23 14:30:00,5452,FC Cologne,Hamburger SV,0,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-30 14:30:00,5458,FC Cologne,VfB Stuttgart,2,0,10.6250,9.3750,10.2689,9.7311,10.4811,9.5189
2014-09-13 14:30:00,5416,FC Cologne,Paderborn,0,0,10.8125,10.6875,10.4712,10.2301,10.6538,10.3949
2014-09-21 16:30:00,5428,FC Cologne,Borussia M.Gladbach,0,0,10.6563,10.8437,10.2599,10.2943,10.5526,10.6432
2014-09-24 19:00:00,5436,FC Cologne,Hannover 96,0,1,10.3633,10.2774,10.2887,9.7810,10.1879,10.5237
2014-09-27 14:30:00,5442,FC Cologne,Bayern Munich,0,2,9.9463,11.6123,9.7097,11.5310,10.4329,9.6936
2014-10-04 17:30:00,5389,FC Cologne,Eintracht Frankfurt,2,3,9.8672,10.2090,9.5367,10.0492,10.6976,10.1187
2014-10-18 14:30:00,5397,FC Cologne,Borussia Dortmund,2,1,9.8305,9.2571,9.2696,10.7111,10.6413,8.3033
2014-10-24 19:30:00,5401,FC Cologne,Werder Bremen,1,0,9.8518,8.3946,9.0421,10.7576,10.6615,9.2815
2014-11-02 16:30:00,5354,FC Cologne,Freiburg,0,1,9.3036,9.7071,8.4726,10.5607,10.3845,9.8538
2014-11-08 14:30:00,5358,FC Cologne,Hoffenheim,4,3,9.9356,9.6995,8.8813,9.1973,10.9897,9.9522
2014-11-22 17:30:00,5371,FC Cologne,Hertha Berlin,1,2,9.3563,9.6977,8.7152,9.9058,10.2472,10.7396
2014-11-29 14:30:00,5377,FC Cologne,Bayer Leverkusen,1,5,8.7071,10.9086,8.7090,11.4789,9.9550,8.8381
2014-12-06 14:30:00,5317,FC Cologne,Augsburg,1,2,8.8789,10.7224,9.0905,9.7484,10.1670,9.6966
2014-12-13 14:30:00,5325,FC Cologne,Schalke 04,2,1,9.9664,10.6414,9.9120,8.2086,11.2705,11.3241
2014-12-16 19:00:00,5332,FC Cologne,Mainz 05,0,0,9.6041,9.3794,9.5644,8.9413,10.8935,10.5672
2014-12-20 17:30:00,5345,FC Cologne,Wolfsburg,1,2,9.6592,10.2694,9.8381,9.0541,10.9800,7.2351
2015-01-31 14:30:00,5309,FC Cologne,Hamburger SV,2,0,10.2979,9.0755,10.1166,10.1106,11.4790,11.0399
2015-02-04 19:00:00,5267,FC Cologne,VfB Stuttgart,0,0,9.9343,9.7071,9.6754,11.6544,11.1930,11.0095
2015-02-07 14:30:00,5272,FC Cologne,Paderborn,0,0,9.2643,8.4245,9.1198,9.2611,10.4087,10.8379
2015-02-14 14:30:00,5281,FC Cologne,Borussia M.Gladbach,0,1,9.4380,10.2853,9.4422,8.4085,10.6837,9.4123
2015-02-21 17:30:00,5295,FC Cologne,Hannover 96,1,1,9.2240,9.2959,9.3688,10.3581,10.3290,10.4839
2015-02-27 19:30:00,5298,FC Cologne,Bayern Munich,1,4,9.6345,12.9555,9.6722,8.6703,11.5966,4.2405
2015-03-08 14:30:00,5240,FC Cologne,Eintracht Frankfurt,4,2,10.0241,9.3032,9.5252,10.2900,12.0228,9.8163
2015-03-14 17:30:00,5248,FC Cologne,Borussia Dortmund,0,0,10.3442,10.4843,9.9457,13.2159,12.2425,7.2530
2015-03-21 14:30:00,5252,FC Cologne,Werder Bremen,1,1,10.0798,10.0512,9.9804,11.8684,11.6791,11.4837
2015-04-04 14:30:00,5197,FC Cologne,Freiburg,0,1,9.8473,9.8824,10.0831,10.2865,11.3615,11.4789
2015-04-12 14:30:00,5211,FC Cologne,Hoffenheim,3,2,9.8363,9.3143,9.8808,10.1543,11.2918,9.4746
2015-04-18 14:30:00,5216,FC Cologne,Hertha Berlin,0,0,9.9560,9.6952,9.8686,9.4336,11.5433,12.7071
2015-04-25 14:30:00,5226,FC Cologne,Bayer Leverkusen,1,1,10.3286,11.5738,10.2683,9.6048,11.8888,7.7927
2015-05-02 14:30:00,5161,FC Cologne,Augsburg,0,0,10.1026,9.1505,9.7579,8.4469,11.9472,9.8540
2015-05-10 16:30:00,5176,FC Cologne,Schalke 04,2,0,10.4411,9.6182,9.9189,7.2041,11.9632,11.0323
2015-05-16 14:30:00,5181,FC Cologne,Mainz 05,0,2,9.8361,10.1260,9.6472,9.2077,11.5248,11.0441
2015-05-23 14:30:00,5186,FC Cologne,Wolfsburg,2,2,9.9274,10.6101,9.4510,7.0847,11.9036,5.3859
2015-08-16 19:30:00,1029,FC Cologne,VfB Stuttgart,3,1,10.5859,9.4030,9.3258,14.5655,12.8458,9.2398
2015-08-22 17:30:00,1034,FC Cologne,Wolfsburg,1,1,10.4838,10.7798,9.0333,7.1423,12.9342,5.4176
2015-08-29 17:30:00,1042,FC Cologne,Hamburger SV,2,1,10.2688,9.3389,8.6249,10.0294,12.6627,16.1476
2015-09-12 20:30:00,1054,FC Cologne,Eintracht Frankfurt,2,6,9.5151,11.5078,8.3644,10.0868,12.4159,13.1783
2015-09-19 17:30:00,1062,FC Cologne,Borussia M.Gladbach,1,0,9.3768,8.6002,8.0105,6.1496,12.2432,6.8014
2015-09-22 22:00:00,1067,FC Cologne,Hertha Berlin,0,2,9.0737,9.9676,8.0841,9.2685,12.0634,14.6668
2015-09-25 22:30:00,1075,FC Cologne,Ingolstadt,1,1,9.2028,9.9610,8.3875,9.5570,12.0182,11.1148
2015-10-04 17:30:00,1090,FC Cologne,Schalke 04,3,0,10.5632,9.7839,9.0489,7.1104,13.3276,11.2072
2015-10-18 17:30:00,1100,FC Cologne,Hannover 96,0,1,9.8260,9.8518,8.6268,9.3532,12.5254,12.3501
2015-10-24 17:30:00,1107,FC Cologne,Bayern Munich,0,4,9.6278,12.7315,8.5634,7.3798,13.1924,-4.4171
2015-10-31 18:30:00,1112,FC Cologne,Hoffenheim,0,0,9.3614,9.3287,8.4046,10.0320,12.8184,12.3757
2015-11-07 18:30:00,1123,FC Cologne,Bayer Leverkusen,2,1,9.9321,9.5735,9.1200,8.1999,12.9944,5.6977
2015-11-21 18:30:00,1132,FC Cologne,Mainz 05,0,0,9.7853,9.9916,9.1113,9.1784,12.7095,10.8048
2015-11-27 23:30:00,1138,FC Cologne,Darmstadt,0,0,9.7905,9.3008,9.2227,8.8922,12.6084,10.9597
2015-12-05 18:30:00,1150,FC Cologne,Augsburg,0,1,9.5112,10.4526,9.2596,9.7599,12.2629,12.3946
2015-12-12 18:30:00,1159,FC Cologne,Werder Bremen,1,1,9.3799,8.6175,9.0964,12.3945,12.1636,12.0905
2015-12-19 18:30:00,1169,FC Cologne,Borussia Dortmund,2,1,9.9630,10.6292,9.4343,15.9278,12.7419,-2.4191
2016-01-23 18:30:00,1175,FC Cologne,VfB Stuttgart,1,3,9.2573,10.3459,9.1530,18.2539,12.1118,10.1871
2016-01-31 18:30:00,1190,FC Cologne,Wolfsburg,1,1,9.3851,9.1407,8.9432,6.6380,12.5772,1.8942
2016-02-07 18:30:00,1199,FC Cologne,Hamburger SV,1,1,9.6363,9.6386,9.4880,9.3771,12.5348,17.6497
2016-02-13 21:30:00,1207,FC Cologne,Eintracht Frankfurt,3,1,9.9376,9.0402,9.7062,7.2307,12.4192,15.0990
2016-02-20 18:30:00,1215,FC Cologne,Borussia M.Gladbach,0,1,9.8537,10.1860,9.7874,4.4293,12.4203,7.9429
2016-02-26 23:30:00,1219,FC Cologne,Hertha Berlin,0,1,9.5470,10.4335,9.7170,8.1888,12.1272,14.9282
2016-03-01 23:00:00,1229,FC Cologne,Ingolstadt,1,1,9.7469,9.6468,9.8528,10.6727,12.3912,10.6204
2016-03-05 18:30:00,1241,FC Cologne,Schalke 04,1,3,9.2353,10.7121,9.8928,7.9085,11.8280,11.5156
2016-03-12 18:30:00,1251,FC Cologne,Hannover 96,2,0,9.6865,8.0888,9.8791,7.4845,12.2440,15.1920
2016-03-19 18:30:00,1259,FC Cologne,Bayern Munich,0,1,9.9635,12.0175,10.5718,7.9089,12.3553,-12.1243
2016-04-03 19:30:00,1272,FC Cologne,Hoffenheim,1,1,10.1757,10.1002,10.7963,10.0034,12.5553,15.4470
2016-04-10 19:30:00,1281,FC Cologne,Bayer Leverkusen,0,2,9.7682,11.4531,10.7295,8.5984,12.3071,5.8084
2016-04-17 19:30:00,1290,FC Cologne,Mainz 05,3,2,10.3153,9.9097,10.8603,8.0819,13.0206,10.7376
2016-04-23 17:30:00,1294,FC Cologne,Darmstadt,4,1,11.0628,10.0580,11.2409,10.6289,13.3851,12.7375
2016-04-29 22:30:00,1300,FC Cologne,Augsburg,0,0,11.0501,10.5247,11.0720,8.8134,13.5286,13.7354
2016-05-07 17:30:00,1314,FC Cologne,Werder Bremen,0,0,10.7253,10.5756,10.7454,15.1806,13.2056,13.7211
2016-05-14 17:30:00,1321,FC Cologne,Borussia Dortmund,2,2,10.9964,11.0386,11.1310,16.1302,13.3622,-7.8025
2016-08-27 17:30:00,1331,FC Cologne,Darmstadt,2,0,11.0221,9.5734,11.3000,10.1850,12.7446,13.2123
2016-09-10 17:30:00,1337,FC Cologne,Wolfsburg,0,0,10.9165,10.2051,11.3081,8.5983,12.5252,3.0630
2016-09-16 22:30:00,1345,FC Cologne,Freiburg,3,0,11.3948,9.8512,11.0302,11.3739,13.0096,11.3289
