Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-03 18:30:00,6423,FC Krasnodar,Lokomotiv Moscow,0,0,10.1250,9.8750,10.1100,9.8900,10.1400,9.8600
2014-08-10 13:30:00,6431,FC Krasnodar,Ural,1,1,10.1250,9.6250,10.2406,9.4946,10.0094,10.0054
2014-08-14 18:00:00,6439,FC Krasnodar,Spartak Moscow,4,0,11.3281,10.2344,11.1922,9.6749,10.4641,10.5438
2014-08-17 18:00:00,6446,FC Krasnodar,FC Rostov,2,0,11.5234,9.4141,10.6589,9.9207,10.8881,10.6574
2014-08-24 13:30:00,6454,FC Krasnodar,Torpedo Moscow,3,0,11.8379,8.9668,10.2381,10.0274,11.1878,10.6562
2014-08-31 17:15:00,6464,FC Krasnodar,Dinamo Moscow,0,2,10.9256,11.6008,9.7560,11.2718,10.3452,9.4298
2014-09-14 16:00:00,6398,FC Krasnodar,FC Ufa,0,2,10.0466,10.7884,9.8219,9.3526,9.0212,12.9743
2014-09-22 14:00:00,6407,FC Krasnodar,Amkar,2,1,10.3898,9.5760,10.0867,10.5385,9.1928,10.1135
2014-09-28 15:30:00,6414,FC Krasnodar,Arsenal Tula,3,0,10.6495,8.6688,10.2881,10.1897,8.7608,11.1479
2014-10-18 14:00:00,6378,FC Krasnodar,Zenit St. Petersburg,2,2,10.7287,11.3872,10.3866,9.2300,8.8207,8.0446
2014-10-27 15:45:00,6390,FC Krasnodar,FK Akhmat,2,0,10.8754,9.6690,10.3963,8.7349,8.6045,9.1027
2014-11-02 13:30:00,6348,FC Krasnodar,Mordovya,1,2,10.0231,8.8187,9.6224,9.3217,7.9239,11.0654
2014-11-09 12:45:00,6359,FC Krasnodar,Rubin Kazan,2,0,10.5920,10.2296,9.9698,11.0418,8.2142,8.6677
2014-11-22 13:30:00,6363,FC Krasnodar,CSKA Moscow,2,1,10.7936,10.6968,10.1078,9.7277,8.2294,7.9155
2014-11-30 15:30:00,6376,FC Krasnodar,FK Akhmat,1,0,11.0569,10.0834,9.8763,9.3540,8.7374,9.5624
2014-12-03 17:00:00,6334,FC Krasnodar,Kuban Krasnodar,1,1,10.8383,9.9010,9.9098,10.6588,8.2667,9.1434
2014-12-06 13:45:00,6338,FC Krasnodar,Zenit St. Petersburg,0,4,9.9454,11.6594,9.5256,9.0366,7.8650,6.5327
2015-03-08 10:30:00,6308,FC Krasnodar,Spartak Moscow,3,1,10.6060,9.4271,9.8185,9.5002,8.3932,8.3545
2015-03-13 16:00:00,6314,FC Krasnodar,Ural,1,1,10.1350,9.6928,9.5810,9.8009,7.6886,13.0846
2015-03-20 14:00:00,6322,FC Krasnodar,FC Ufa,2,0,10.6081,9.0543,9.6451,7.6888,8.0707,13.1699
2015-04-04 14:45:00,6267,FC Krasnodar,Mordovya,4,0,11.1287,8.6699,10.0528,9.6910,7.7042,12.8984
2015-04-07 18:00:00,6274,FC Krasnodar,Rubin Kazan,2,1,11.4572,10.6143,9.7905,11.6451,8.3735,6.8341
2015-04-11 17:00:00,6281,FC Krasnodar,Kuban Krasnodar,3,2,10.9851,9.5410,9.3099,11.6682,7.6600,8.4139
2015-04-19 11:30:00,6292,FC Krasnodar,CSKA Moscow,1,1,10.9489,10.3766,9.1912,8.0543,7.7064,5.9485
2015-04-25 17:00:00,6301,FC Krasnodar,Lokomotiv Moscow,1,0,10.7055,9.7188,8.8245,10.2364,7.3363,7.7011
2015-05-04 13:30:00,6231,FC Krasnodar,Arsenal Tula,3,0,11.4114,9.3232,8.8426,9.9605,7.9800,13.9358
2015-05-11 16:30:00,6240,FC Krasnodar,Amkar,1,1,10.8935,10.3576,8.2359,13.2893,7.5508,12.1757
2015-05-17 16:30:00,6247,FC Krasnodar,Torpedo Moscow,2,2,10.4821,10.1591,8.0234,11.5444,6.9404,14.0243
2015-05-24 11:30:00,6252,FC Krasnodar,FC Rostov,2,1,10.3566,9.6057,7.6280,12.5442,6.8348,12.6668
2015-05-30 11:30:00,6258,FC Krasnodar,Dinamo Moscow,1,1,10.2591,9.5640,7.8186,6.8182,6.4491,8.0597
2015-07-20 18:00:00,2355,FC Krasnodar,Amkar,1,0,10.6286,9.8675,8.1149,12.0283,6.6418,12.2065
2015-07-26 21:00:00,2363,FC Krasnodar,Spartak Moscow,0,1,9.8922,9.9195,7.4855,12.3297,6.0484,7.2600
2015-08-02 21:00:00,2371,FC Krasnodar,FC Rostov,0,0,10.0717,9.9306,7.6707,12.6663,6.2222,12.9445
2015-08-10 21:15:00,2380,FC Krasnodar,Kuban Krasnodar,1,1,9.8478,9.9002,7.5253,11.4593,5.9199,9.8415
2015-08-15 17:30:00,2383,FC Krasnodar,Zenit St. Petersburg,2,0,10.8753,10.4303,8.0910,9.0508,6.9092,0.0604
2015-08-23 21:00:00,2394,FC Krasnodar,Mordovya,0,0,10.3459,9.7869,7.8650,9.7849,6.0763,15.5387
2015-08-30 14:30:00,2402,FC Krasnodar,Lokomotiv Moscow,1,2,10.4191,11.0653,7.9866,9.6516,6.3510,8.7285
2015-09-13 17:30:00,2409,FC Krasnodar,Dinamo Moscow,4,0,11.2717,9.4769,7.8998,6.8308,7.1430,8.1228
2015-09-21 17:30:00,2419,FC Krasnodar,Ural,1,3,10.5369,10.5674,7.5000,10.6763,6.5733,13.9586
2015-09-27 17:30:00,2425,FC Krasnodar,FK Akhmat,1,1,10.4726,10.8438,7.3558,10.2014,6.5888,10.9856
2015-10-04 17:00:00,2435,FC Krasnodar,FC Ufa,1,1,10.2322,9.2515,7.3970,6.7270,6.0669,17.5260
2015-10-18 19:30:00,2443,FC Krasnodar,Anzhi Makhachkala,2,2,10.1836,9.5863,7.4181,11.2925,5.9486,9.6300
2015-10-25 17:30:00,2450,FC Krasnodar,Rubin Kazan,2,1,10.2875,9.9952,7.5908,12.1373,5.7337,8.3539
2015-11-01 15:00:00,2455,FC Krasnodar,Krylya Sovetov Samara,4,0,11.2052,8.5404,8.1487,8.9522,6.0111,9.8788
2015-11-08 18:00:00,2467,FC Krasnodar,CSKA Moscow,2,1,11.3265,11.0691,8.0928,5.9008,6.0596,2.4870
2015-11-22 20:30:00,2475,FC Krasnodar,Spartak Moscow,2,3,10.8449,10.3817,7.5684,13.6694,5.8708,6.5945
2015-11-30 20:00:00,2483,FC Krasnodar,FC Rostov,2,1,10.8738,10.4315,7.7395,12.6526,5.5075,12.7102
2015-12-04 20:00:00,2488,FC Krasnodar,Kuban Krasnodar,3,2,11.1087,10.0787,8.0527,10.2527,5.4142,11.6546
2016-03-05 20:30:00,2495,FC Krasnodar,Zenit St. Petersburg,0,0,10.6686,10.2884,7.6722,10.3908,4.9145,-2.8139
2016-03-13 15:30:00,2505,FC Krasnodar,Mordovya,1,0,10.8976,9.8556,7.3531,11.4726,5.4416,14.9888
2016-03-20 20:30:00,2516,FC Krasnodar,Lokomotiv Moscow,1,2,10.3237,10.6758,7.0109,10.7678,4.8859,6.8336
2016-04-04 20:30:00,2524,FC Krasnodar,Dinamo Moscow,4,1,11.0790,9.0897,7.1161,8.1465,5.5413,7.7826
2016-04-10 18:00:00,2530,FC Krasnodar,Ural,6,0,12.2230,9.0109,7.3618,8.7079,6.0836,13.3139
2016-04-16 15:30:00,2534,FC Krasnodar,FK Akhmat,1,0,11.9740,9.9760,6.9555,8.2959,5.7419,9.4053
2016-04-24 15:30:00,2545,FC Krasnodar,FC Ufa,4,0,12.3255,9.5284,6.6412,6.5774,5.7591,19.9801
2016-05-01 20:30:00,2556,FC Krasnodar,Anzhi Makhachkala,3,0,12.1902,9.4196,6.0888,13.2052,5.2909,11.8840
2016-05-07 20:30:00,2562,FC Krasnodar,Rubin Kazan,1,1,11.7470,10.3607,6.0620,11.5849,4.4313,8.6376
2016-05-11 20:30:00,2567,FC Krasnodar,Krylya Sovetov Samara,3,0,11.9538,9.8673,5.8673,11.2305,4.2895,11.5045
2016-05-16 20:30:00,2577,FC Krasnodar,CSKA Moscow,0,2,11.3947,11.7765,5.6066,7.1522,3.9320,0.1505
2016-05-21 14:30:00,2583,FC Krasnodar,Amkar,1,0,10.9650,9.6054,5.1156,11.1322,3.3135,15.0782
2016-08-01 20:30:00,2596,FC Krasnodar,Tom Tomsk,3,0,10.6250,9.3750,10.3319,9.6681,10.1681,9.8319
2016-08-08 20:30:00,2603,FC Krasnodar,FK Akhmat,4,0,11.2248,8.9244,10.2820,7.9739,10.4176,9.3741
2016-08-13 19:00:00,2607,FC Krasnodar,Krylya Sovetov Samara,1,1,10.9741,9.9727,10.0151,10.8619,10.1831,12.5837
2016-08-21 19:00:00,2618,FC Krasnodar,Spartak Moscow,0,2,10.4516,10.9068,9.7641,12.6268,9.8892,5.1873
2016-08-28 20:15:00,2627,FC Krasnodar,Lokomotiv Moscow,1,2,9.9426,10.4244,9.4202,10.7299,9.4650,5.8690
2016-09-11 15:00:00,2633,FC Krasnodar,FC Ufa,0,0,9.9780,9.5489,9.5289,7.4228,9.4272,20.6756
2016-09-18 21:00:00,2643,FC Krasnodar,FC Rostov,2,1,10.1701,10.0542,9.8719,9.2400,9.2184,10.3684
2016-09-24 18:00:00,2645,FC Krasnodar,CSKA Moscow,1,1,10.6291,11.0472,10.1865,5.5404,9.8219,-1.6964
2016-10-02 20:00:00,2660,FC Krasnodar,Rubin Kazan,1,0,10.5669,9.9424,9.9257,12.8968,9.7083,7.7390
2016-10-16 20:00:00,2667,FC Krasnodar,Arsenal Tula,0,0,10.3253,9.3423,9.8315,11.9331,9.3194,15.7512
2016-10-23 20:00:00,2675,FC Krasnodar,Amkar,1,0,10.3949,10.0341,9.9325,11.0288,9.1076,15.5389
