Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2019-07-14 16:00:00,11028,FC Tambov,Zenit St. Petersburg,1,2,,,,,,
2019-07-21 13:30:00,11036,FC Tambov,Lokomotiv Moscow,1,2,,,,,,
2019-07-27 13:30:00,11041,FC Tambov,Spartak Moscow,2,0,,,,,,
2019-08-04 14:30:00,11051,FC Tambov,Arsenal Tula,0,1,,,,,,
2019-08-10 12:00:00,11055,FC Tambov,FC Orenburg,2,2,,,,,,
2019-08-17 14:30:00,11065,FC Tambov,FC Krasnodar,0,2,,,,,,
2019-08-24 12:00:00,11071,FC Tambov,Dinamo Moscow,0,2,,,,,,
2019-08-31 17:00:00,11083,FC Tambov,FK Akhmat,1,1,,,,,,
2019-09-15 13:30:00,11088,FC Tambov,CSKA Moscow,0,2,,,,,,
2019-09-21 16:00:00,11095,FC Tambov,FC Rostov,2,1,,,,,,
2019-09-28 11:00:00,11104,FC Tambov,Krylya Sovetov Samara,0,2,,,,,,
2019-10-05 14:30:00,11112,FC Tambov,Rubin Kazan,1,2,,,,,,
2019-10-19 12:00:00,11119,FC Tambov,Ural,1,2,,,,,,
2019-10-26 12:00:00,11128,FC Tambov,FC Ufa,3,0,,,,,,
2019-11-02 13:30:00,11135,FC Tambov,PFC Sochi,2,1,,,,,,
2019-11-09 13:30:00,11143,FC Tambov,FC Rostov,2,1,,,,,,
2019-11-22 16:30:00,11152,FC Tambov,Lokomotiv Moscow,2,3,,,,,,
2019-12-02 16:30:00,11159,FC Tambov,FC Krasnodar,0,0,,,,,,
2019-12-07 11:00:00,11167,FC Tambov,FC Orenburg,3,0,,,,,,
2020-03-01 11:00:00,11177,FC Tambov,Rubin Kazan,0,0,,,,,,
2020-03-07 13:30:00,11185,FC Tambov,Dinamo Moscow,0,1,,,,,,
2020-03-16 16:30:00,11193,FC Tambov,Krylya Sovetov Samara,3,0,,,,,,
2020-06-21 12:00:00,11205,FC Tambov,FC Ufa,1,2,,,,,,
2020-06-28 13:30:00,11213,FC Tambov,Ural,1,2,,,,,,
2020-07-01 14:30:00,11216,FC Tambov,Zenit St. Petersburg,1,2,,,,,,
2020-07-04 15:30:00,11223,FC Tambov,Spartak Moscow,3,2,,,,,,
2020-07-07 15:30:00,11234,FC Tambov,FK Akhmat,1,2,,,,,,
2020-07-11 13:00:00,11245,FC Tambov,Arsenal Tula,1,2,,,,,,
2020-07-16 17:30:00,11249,FC Tambov,PFC Sochi,3,0,,,,,,
2020-07-22 16:00:00,11257,FC Tambov,CSKA Moscow,0,2,,,,,,
2020-08-08 15:30:00,13998,FC Tambov,FC Rostov,0,1,,,,,,
2020-08-15 15:00:00,14010,FC Tambov,CSKA Moscow,1,2,,,,,,
2020-08-18 16:00:00,14014,FC Tambov,Khimki,1,0,,,,,,
2020-08-22 15:00:00,14024,FC Tambov,Zenit St. Petersburg,1,4,,,,,,
2020-08-25 15:30:00,14029,FC Tambov,PFC Sochi,0,1,,,,,,
2020-08-30 15:00:00,14037,FC Tambov,Rubin Kazan,2,2,,,,,,
2020-09-12 10:45:00,14225,FC Tambov,FC Ufa,2,0,,,,,,
2020-09-20 16:00:00,14239,FC Tambov,Lokomotiv Moscow,0,1,,,,,,
2020-09-26 11:00:00,14241,FC Tambov,Spartak Moscow,0,2,,,,,,
2020-10-03 13:30:00,14298,FC Tambov,Arsenal Tula,1,1,,,,,,
2020-10-18 11:00:00,14312,FC Tambov,FC Rotor Volgograd,2,0,,,,,,
2020-10-25 11:00:00,14313,FC Tambov,Ural,0,0,,,,,,
2020-11-01 16:00:00,14323,FC Tambov,Dinamo Moscow,1,2,,,,,,
2020-11-07 16:00:00,14333,FC Tambov,FK Akhmat,0,1,,,,,,
2020-11-21 11:00:00,14340,FC Tambov,FC Krasnodar,0,1,,,,,,
2020-11-29 11:00:00,14347,FC Tambov,FC Ufa,0,4,,,,,,
2020-12-05 13:30:00,14355,FC Tambov,Spartak Moscow,1,5,,,,,,
2020-12-13 11:00:00,14365,FC Tambov,Rubin Kazan,0,1,,,,,,
2020-12-18 15:00:00,14372,FC Tambov,Ural,1,1,,,,,,
2021-02-26 16:00:00,14383,FC Tambov,FC Rotor Volgograd,1,3,,,,,,
2021-03-07 13:30:00,14391,FC Tambov,Dinamo Moscow,0,2,,,,,,
2021-03-14 13:30:00,14400,FC Tambov,FC Krasnodar,0,4,,,,,,
2021-03-19 16:00:00,14408,FC Tambov,PFC Sochi,0,5,,,,,,
2021-04-04 13:30:00,14412,FC Tambov,CSKA Moscow,1,2,,,,,,
2021-04-10 11:00:00,14417,FC Tambov,Khimki,0,1,,,,,,
2021-04-18 11:00:00,14427,FC Tambov,Arsenal Tula,0,4,,,,,,
2021-04-24 16:00:00,14436,FC Tambov,Lokomotiv Moscow,2,5,,,,,,
2021-05-02 13:30:00,14442,FC Tambov,FC Rostov,0,2,,,,,,
2021-05-07 15:00:00,14455,FC Tambov,FK Akhmat,1,3,,,,,,
2021-05-16 11:00:00,14457,FC Tambov,Zenit St. Petersburg,1,5,,,,,,
