Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-07-29 14:00:00,8948,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,0,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2018-08-05 21:30:00,8959,FC Yenisey Krasnoyarsk,FK Akhmat,0,1,10.0048,10.5144,9.9757,11.5668,10.2839,9.4631
2018-08-11 16:30:00,8962,FC Yenisey Krasnoyarsk,CSKA Moscow,1,1,10.0120,10.5265,9.9279,1.0479,10.3461,-9.9943
2018-08-19 21:30:00,8975,FC Yenisey Krasnoyarsk,FC Rostov,0,4,9.1462,10.9147,9.6923,6.9545,9.8501,9.6250
2018-08-27 17:30:00,8984,FC Yenisey Krasnoyarsk,Krylya Sovetov Samara,1,0,9.3688,9.3141,10.2356,13.3207,9.5020,11.5577
2018-09-02 11:00:00,8989,FC Yenisey Krasnoyarsk,Arsenal Tula,0,0,9.3041,9.6748,10.1371,12.3843,9.4711,20.2155
2018-09-15 11:00:00,8996,FC Yenisey Krasnoyarsk,Rubin Kazan,0,1,9.5107,10.4240,10.4046,10.8588,9.8669,7.9897
2018-09-22 08:30:00,9004,FC Yenisey Krasnoyarsk,Ural,1,2,9.0671,9.6800,10.4527,9.0465,9.1816,22.0646
2018-09-29 13:30:00,9014,FC Yenisey Krasnoyarsk,FC Ufa,1,2,9.0475,9.5085,10.3714,8.2763,9.4738,11.4899
2018-10-07 08:30:00,9019,FC Yenisey Krasnoyarsk,Spartak Moscow,2,3,8.9825,10.3524,10.5310,11.1208,9.4341,-1.9161
2018-10-20 08:30:00,9027,FC Yenisey Krasnoyarsk,FC Orenburg,0,0,9.5379,10.1485,11.1097,10.8975,9.9661,11.3993
2018-10-28 10:00:00,9035,FC Yenisey Krasnoyarsk,Lokomotiv Moscow,0,3,9.0407,11.5463,11.4339,9.2187,9.3975,0.6228
2018-11-05 16:00:00,9043,FC Yenisey Krasnoyarsk,Anzhi Makhachkala,1,2,9.0919,9.6944,11.5606,17.0329,9.6233,19.8558
2018-11-11 13:00:00,9163,FC Yenisey Krasnoyarsk,FC Krasnodar,0,3,8.9115,11.0505,11.7833,5.0203,9.7897,6.0799
2018-11-24 11:00:00,9059,FC Yenisey Krasnoyarsk,Dinamo Moscow,2,1,9.6865,9.7363,12.1374,11.7788,10.7355,10.4438
2018-12-01 11:00:00,9067,FC Yenisey Krasnoyarsk,FK Akhmat,1,1,9.6691,10.1342,12.5470,11.8589,10.2911,9.4105
2018-12-08 12:00:00,9075,FC Yenisey Krasnoyarsk,CSKA Moscow,1,2,9.9714,11.0760,12.9124,-0.2112,10.7803,-11.6361
2019-03-03 11:00:00,9082,FC Yenisey Krasnoyarsk,FC Rostov,1,1,9.8289,10.0437,12.6411,7.0964,10.7665,8.2416
2019-03-09 11:00:00,9089,FC Yenisey Krasnoyarsk,Krylya Sovetov Samara,0,4,8.9699,10.7520,11.7414,15.0998,10.9482,13.6542
2019-03-16 16:00:00,9099,FC Yenisey Krasnoyarsk,Arsenal Tula,0,2,9.0139,10.6021,12.5302,12.0694,10.7475,21.1351
2019-03-30 08:30:00,9107,FC Yenisey Krasnoyarsk,Rubin Kazan,1,1,8.9661,9.3706,12.6372,9.7668,10.5449,7.4753
2019-04-07 12:00:00,9115,FC Yenisey Krasnoyarsk,Ural,2,3,9.0468,9.7081,12.9635,9.1349,10.6300,23.2822
2019-04-13 09:30:00,9123,FC Yenisey Krasnoyarsk,FC Ufa,0,0,9.2535,10.1667,12.8797,8.3545,11.1271,13.2283
2019-04-21 17:00:00,9131,FC Yenisey Krasnoyarsk,Spartak Moscow,0,2,9.1580,10.4672,12.9599,11.3349,11.3560,-2.9006
2019-04-25 14:00:00,9137,FC Yenisey Krasnoyarsk,FC Orenburg,2,1,9.7773,10.5158,13.5765,10.5172,11.7280,12.2638
2019-04-28 12:00:00,9147,FC Yenisey Krasnoyarsk,Lokomotiv Moscow,1,2,9.9992,10.9430,14.0049,8.5223,11.9934,-2.1374
2019-05-03 12:00:00,9155,FC Yenisey Krasnoyarsk,Anzhi Makhachkala,3,1,10.0423,8.6285,13.6452,16.6905,11.9393,23.8163
2019-05-11 12:00:00,9056,FC Yenisey Krasnoyarsk,FC Krasnodar,0,4,9.0906,11.6872,12.8380,6.0382,11.8431,2.5851
2019-05-19 11:00:00,9171,FC Yenisey Krasnoyarsk,Dinamo Moscow,2,2,9.1787,9.8548,12.5042,13.0532,12.3531,9.1567
2019-05-26 11:00:00,9179,FC Yenisey Krasnoyarsk,Zenit St. Petersburg,1,4,8.9866,11.1024,12.5062,9.9085,12.7169,5.7960
