Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-04 17:00:00,6424,FK Akhmat,Amkar,4,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-09 17:00:00,6429,FK Akhmat,Rubin Kazan,1,1,9.8750,10.1250,9.8080,10.1920,9.9420,10.0580
2014-08-13 17:00:00,6437,FK Akhmat,CSKA Moscow,0,1,9.8750,10.3750,10.0489,10.1613,9.9511,10.0887
2014-08-18 17:00:00,6447,FK Akhmat,Mordovya,1,0,9.9219,9.5156,9.9802,9.6263,9.8635,9.9050
2014-08-22 17:00:00,6449,FK Akhmat,Arsenal Tula,3,0,10.3945,8.8399,9.9621,9.4403,10.0769,9.7394
2014-08-29 15:00:00,6457,FK Akhmat,Ural,1,0,10.4189,8.9677,9.8125,9.2261,10.0253,10.2095
2014-09-15 17:00:00,6400,FK Akhmat,Kuban Krasnodar,0,0,10.2536,10.4232,9.7023,10.1035,9.8050,9.9927
2014-09-20 17:00:00,6405,FK Akhmat,Spartak Moscow,1,1,10.3137,9.9341,9.7094,10.5596,9.9182,9.5583
2014-09-28 18:00:00,6415,FK Akhmat,FC Rostov,2,1,9.8080,8.2968,9.1154,10.0067,9.2509,10.3366
2014-10-18 16:30:00,6379,FK Akhmat,Lokomotiv Moscow,1,2,9.7861,10.2425,9.2521,10.4187,9.3205,9.3158
2014-10-27 15:45:00,6390,FK Akhmat,FC Krasnodar,0,2,9.6446,10.8616,9.2477,10.3975,9.5419,8.5758
2014-11-03 16:00:00,6352,FK Akhmat,FC Ufa,1,0,9.9763,10.1399,9.4569,8.0392,9.7462,12.4904
2014-11-08 16:00:00,6356,FK Akhmat,Zenit St. Petersburg,3,1,11.1350,10.9524,10.0525,9.3515,10.9680,7.0534
2014-11-23 10:30:00,6365,FK Akhmat,Dinamo Moscow,0,3,10.3310,11.2231,9.6441,10.6640,10.5184,10.0319
2014-11-30 15:30:00,6376,FK Akhmat,FC Krasnodar,0,1,10.0723,11.0548,9.8801,9.8895,10.0149,8.7204
2014-12-03 17:00:00,6335,FK Akhmat,Torpedo Moscow,0,1,9.5540,10.0176,9.4793,11.5184,9.6292,12.0168
2014-12-07 10:30:00,6340,FK Akhmat,Lokomotiv Moscow,0,0,9.6147,10.2362,9.4991,10.2099,9.7309,8.2617
2015-03-07 13:00:00,6306,FK Akhmat,CSKA Moscow,1,2,9.6212,11.1341,9.7006,9.4880,9.7924,7.7803
2015-03-15 15:30:00,6320,FK Akhmat,Rubin Kazan,1,2,9.6678,10.2609,9.7678,10.4465,10.0684,7.3254
2015-03-22 15:30:00,6329,FK Akhmat,Kuban Krasnodar,0,1,9.4467,9.5045,9.4987,11.0034,10.1453,8.7556
2015-04-05 16:00:00,6271,FK Akhmat,FC Ufa,1,0,9.7237,8.7775,9.6695,7.5199,10.2784,12.5351
2015-04-08 15:45:00,6275,FK Akhmat,Zenit St. Petersburg,1,2,9.8822,11.6990,9.9084,9.2055,10.6064,5.9426
2015-04-13 16:00:00,6287,FK Akhmat,Torpedo Moscow,0,0,9.9992,9.7333,10.1809,11.2140,10.5679,12.0025
2015-04-19 14:00:00,6293,FK Akhmat,Dinamo Moscow,0,0,10.0352,10.6074,9.9082,8.4024,10.9127,9.0620
2015-04-25 11:00:00,6299,FK Akhmat,Amkar,1,2,9.6478,9.3731,9.6929,11.8903,10.6033,11.1059
2015-05-02 17:00:00,6226,FK Akhmat,FC Rostov,1,0,10.1095,9.5330,9.9779,11.9261,10.9917,11.1392
2015-05-11 11:30:00,6238,FK Akhmat,Spartak Moscow,4,2,10.5662,9.9796,9.9219,11.3325,11.4611,8.3766
2015-05-16 14:30:00,6243,FK Akhmat,Arsenal Tula,1,1,10.3698,9.4769,10.0317,9.6591,10.9585,13.7947
2015-05-24 14:00:00,6253,FK Akhmat,Mordovya,0,1,10.0165,9.8099,9.7916,9.9216,10.7420,14.6988
2015-05-30 11:30:00,6261,FK Akhmat,Ural,1,3,9.2399,10.1867,9.5306,9.9587,9.9498,13.4150
2015-07-18 22:00:00,2351,FK Akhmat,FC Rostov,1,1,9.5795,9.7586,9.8670,12.7867,10.2926,11.7298
2015-07-25 22:00:00,2360,FK Akhmat,Kuban Krasnodar,1,1,9.5411,9.9641,10.0587,11.6228,10.0240,10.3060
2015-08-01 18:00:00,2367,FK Akhmat,Zenit St. Petersburg,0,3,9.3864,11.5768,9.9527,9.9305,10.5705,2.2233
2015-08-07 20:00:00,2373,FK Akhmat,Mordovya,0,0,9.2921,9.6034,10.0282,9.4793,10.3064,15.4781
2015-08-16 14:30:00,2385,FK Akhmat,Lokomotiv Moscow,0,0,9.8177,10.3690,10.5608,9.3756,10.8251,8.6113
2015-08-21 21:00:00,2389,FK Akhmat,Dinamo Moscow,1,1,9.7885,10.2300,10.3660,6.7210,10.9614,10.2387
2015-08-28 18:00:00,2397,FK Akhmat,Ural,3,3,9.8965,9.6124,10.3930,10.2908,11.1504,12.9343
2015-09-13 20:00:00,2410,FK Akhmat,Anzhi Makhachkala,2,0,10.6227,9.5749,10.9426,10.4938,11.5531,9.9061
2015-09-19 17:00:00,2414,FK Akhmat,FC Ufa,4,1,10.8113,8.6887,10.6263,6.8963,11.4967,15.7311
2015-09-27 17:30:00,2425,FK Akhmat,FC Krasnodar,1,1,10.8726,10.4950,10.7674,7.3936,11.4781,6.5965
2015-10-04 17:00:00,2434,FK Akhmat,Rubin Kazan,2,1,10.7152,9.9006,10.3795,11.7973,11.3013,7.7542
2015-10-18 17:00:00,2442,FK Akhmat,Krylya Sovetov Samara,2,0,11.2322,9.7663,10.3282,10.0914,11.8867,10.1911
2015-10-25 20:00:00,2451,FK Akhmat,CSKA Moscow,0,0,11.0903,11.3067,10.0227,5.8739,11.9085,3.9892
2015-11-02 18:00:00,2459,FK Akhmat,Amkar,0,1,10.5013,9.8234,9.5664,10.5501,11.4369,13.8467
2015-11-07 20:30:00,2465,FK Akhmat,Spartak Moscow,2,1,10.4659,9.8949,9.2279,13.8905,11.4545,6.6490
2015-11-22 18:00:00,2474,FK Akhmat,Kuban Krasnodar,2,2,10.5469,10.2090,9.4968,10.6061,11.3477,11.8124
2015-11-28 18:30:00,2480,FK Akhmat,Zenit St. Petersburg,4,1,11.1830,9.9553,9.7955,9.9431,11.5712,-2.0321
2015-12-03 20:00:00,2486,FK Akhmat,Mordovya,0,0,10.9219,9.8997,9.5097,10.8345,11.3348,15.7156
2016-03-06 18:00:00,2497,FK Akhmat,Lokomotiv Moscow,2,1,10.6641,9.6487,8.8713,10.1378,11.2077,6.1582
2016-03-14 20:00:00,2508,FK Akhmat,Dinamo Moscow,1,0,10.7614,9.4558,8.8391,8.0285,11.1844,9.1330
2016-03-19 18:00:00,2512,FK Akhmat,Ural,1,1,10.4514,10.3314,8.9320,9.2563,10.4715,13.9069
2016-04-02 15:30:00,2518,FK Akhmat,Anzhi Makhachkala,3,2,10.0350,8.7022,8.4822,11.2509,9.8385,11.1534
2016-04-10 15:30:00,2529,FK Akhmat,FC Ufa,0,1,9.7235,9.6005,8.4236,6.3318,9.5241,19.3690
2016-04-16 15:30:00,2534,FK Akhmat,FC Krasnodar,0,1,9.9727,11.9709,8.8300,6.9677,9.8660,5.7239
2016-04-23 20:30:00,2543,FK Akhmat,Rubin Kazan,1,0,10.4413,9.8783,8.9974,10.6743,10.3857,7.5829
2016-05-01 18:00:00,2555,FK Akhmat,Krylya Sovetov Samara,0,1,9.8276,10.1002,8.5272,11.6461,9.8785,11.3043
2016-05-07 15:30:00,2559,FK Akhmat,CSKA Moscow,0,1,10.0349,10.9495,8.6202,6.9979,10.4501,0.4015
2016-05-12 20:00:00,2571,FK Akhmat,Amkar,2,0,10.1844,8.9835,8.4420,10.1122,10.4273,13.8542
2016-05-16 20:30:00,2580,FK Akhmat,Spartak Moscow,0,3,9.6704,11.1424,8.4206,14.1530,10.1707,6.3818
2016-05-21 14:30:00,2585,FK Akhmat,FC Rostov,0,2,9.2655,10.9558,8.1780,11.2043,10.1035,10.4563
2016-07-31 21:30:00,2594,FK Akhmat,Krylya Sovetov Samara,1,0,9.5237,9.5401,8.4609,11.2507,10.0870,11.3296
2016-08-08 20:30:00,2603,FK Akhmat,FC Krasnodar,0,4,8.7678,10.7559,8.3547,10.1062,9.6814,10.4056
2016-08-14 21:30:00,2611,FK Akhmat,Lokomotiv Moscow,1,1,9.0592,10.1419,8.8413,10.4730,9.7776,5.8096
2016-08-20 15:30:00,2614,FK Akhmat,FC Ufa,3,1,9.8641,8.9739,9.2736,7.0227,10.4551,19.6750
2016-08-28 20:15:00,2626,FK Akhmat,FC Rostov,2,1,10.1984,10.3672,9.6470,10.0874,10.5004,10.3970
2016-09-10 21:30:00,2632,FK Akhmat,CSKA Moscow,0,3,9.8678,11.7066,9.7163,6.3311,10.5199,-0.1676
2016-09-17 20:00:00,2640,FK Akhmat,Amkar,1,3,9.2767,10.5946,9.3900,11.1403,10.1640,15.2982
2016-09-25 15:30:00,2648,FK Akhmat,Arsenal Tula,0,0,9.2608,8.7291,9.3436,11.2335,10.1787,14.2246
2016-10-01 20:30:00,2656,FK Akhmat,FC Orenburg,2,1,9.2822,8.8249,9.2139,9.8346,10.1012,9.0652
2016-10-17 20:30:00,2668,FK Akhmat,Anzhi Makhachkala,0,0,9.6481,9.8799,9.7332,11.4886,10.3137,14.0214
2016-10-22 20:30:00,2673,FK Akhmat,Rubin Kazan,3,1,10.2752,10.0294,10.0436,11.9759,10.7575,7.5836
2016-10-30 13:00:00,2963,FK Akhmat,Ural,4,1,10.9536,8.8102,10.3712,9.1277,11.0366,15.2434
2016-11-06 18:00:00,2722,FK Akhmat,Zenit St. Petersburg,2,1,11.0309,10.6855,10.2789,9.2989,11.0335,-8.6777
2016-11-21 20:00:00,2732,FK Akhmat,Tom Tomsk,0,0,10.4158,9.6857,9.7327,10.9752,10.3496,11.1460
2016-11-26 19:00:00,2737,FK Akhmat,Spartak Moscow,0,1,10.1603,11.1493,9.8427,11.2310,9.9786,5.8177
2016-12-01 19:00:00,3269,FK Akhmat,FC Krasnodar,2,1,10.4261,10.4577,10.0705,9.6825,10.0324,9.4828
2016-12-04 17:00:00,3275,FK Akhmat,Lokomotiv Moscow,0,2,10.2413,11.3718,10.3799,11.4612,9.8534,5.2812
2017-03-05 16:00:00,4299,FK Akhmat,FC Ufa,0,1,9.7248,10.1920,10.5259,7.0465,8.9245,20.8379
2017-03-12 16:00:00,4308,FK Akhmat,FC Rostov,0,0,10.2815,10.8949,10.9765,8.1617,9.5873,10.6279
2017-03-19 13:30:00,4315,FK Akhmat,CSKA Moscow,0,1,10.0637,11.1280,10.7775,5.5255,9.6006,-2.7691
2017-04-02 11:30:00,4320,FK Akhmat,Amkar,1,1,10.0147,9.4169,10.4918,9.4894,9.7884,14.5935
2017-04-08 14:30:00,4331,FK Akhmat,Arsenal Tula,3,1,10.2937,9.3516,10.4328,12.1278,9.9054,16.8255
2017-04-16 10:30:00,4339,FK Akhmat,FC Orenburg,1,2,9.9696,9.8215,10.0792,11.9103,9.8608,9.9825
2017-04-22 17:00:00,4346,FK Akhmat,Anzhi Makhachkala,0,1,9.4147,9.8050,9.6434,12.4525,9.4369,14.4075
2017-04-26 17:30:00,4353,FK Akhmat,Rubin Kazan,1,0,9.8387,9.1865,10.1875,11.2142,9.4907,6.9094
2017-04-29 17:00:00,4359,FK Akhmat,Ural,5,2,10.4300,9.1127,10.3950,9.0410,9.7158,17.9358
2017-05-07 17:00:00,4373,FK Akhmat,Zenit St. Petersburg,1,0,10.9503,10.4909,10.7521,9.1575,10.1493,-11.1760
2017-05-14 10:00:00,4381,FK Akhmat,Tom Tomsk,2,1,10.9000,9.2996,10.7022,12.5797,9.8487,15.5192
2017-05-17 17:30:00,4383,FK Akhmat,Spartak Moscow,0,3,10.2563,11.4690,10.7264,11.1636,9.2871,5.0243
2017-05-21 13:00:00,4397,FK Akhmat,Krylya Sovetov Samara,3,1,10.8255,9.4637,10.5517,13.4824,10.1001,10.6952
2017-07-16 19:30:00,6470,FK Akhmat,Amkar,1,0,10.5816,9.5937,10.3787,10.7661,9.5353,15.6702
2017-07-23 18:00:00,6479,FK Akhmat,FC Rostov,1,0,10.7956,9.7234,10.2715,6.5788,9.8204,8.8681
2017-07-29 18:00:00,6488,FK Akhmat,Dinamo Moscow,2,0,10.5996,8.7078,9.7298,10.1850,9.4702,10.2301
2017-08-05 13:00:00,6494,FK Akhmat,FC Ufa,2,3,10.2993,10.1986,9.7838,9.7511,9.0656,10.3961
2017-08-10 18:00:00,6508,FK Akhmat,FC Krasnodar,2,3,9.8812,10.5450,9.5257,8.7024,8.7375,8.1376
2017-08-13 18:00:00,6514,FK Akhmat,Zenit St. Petersburg,0,4,9.3152,11.6833,9.3570,10.4895,8.7743,10.3771
2017-08-21 18:00:00,6524,FK Akhmat,Arsenal Tula,1,2,8.9545,9.7332,9.5310,12.6803,8.1289,18.5361
2017-08-27 15:30:00,6530,FK Akhmat,CSKA Moscow,1,0,9.7615,9.8754,10.1341,2.4557,8.8898,-6.9545
2017-09-10 17:00:00,6535,FK Akhmat,Lokomotiv Moscow,1,1,9.8181,10.4313,10.2525,10.8503,8.8846,1.7609
2017-09-17 09:00:00,6543,FK Akhmat,SKA-Khabarovsk,2,2,10.0580,10.0376,10.4229,7.9522,9.1939,12.6233
2017-09-25 17:30:00,6552,FK Akhmat,Rubin Kazan,1,0,10.2513,10.1379,10.6658,10.9096,9.0876,8.3664
