Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-08-25 16:30:00,10339,Fortuna Duesseldorf,Augsburg,1,2,,,,,,
2018-09-02 13:30:00,10353,Fortuna Duesseldorf,RasenBallsport Leipzig,1,1,,,,,,
2018-09-15 13:30:00,10359,Fortuna Duesseldorf,Hoffenheim,2,1,,,,,,
2018-09-21 18:30:00,10364,Fortuna Duesseldorf,VfB Stuttgart,0,0,,,,,,
2018-09-26 16:30:00,10377,Fortuna Duesseldorf,Bayer Leverkusen,1,2,,,,,,
2018-09-29 13:30:00,10387,Fortuna Duesseldorf,Nuernberg,0,3,,,,,,
2018-10-06 13:30:00,10399,Fortuna Duesseldorf,Schalke 04,0,2,,,,,,
2018-10-19 18:30:00,10403,Fortuna Duesseldorf,Eintracht Frankfurt,1,7,,,,,,
2018-10-27 13:30:00,10416,Fortuna Duesseldorf,Wolfsburg,0,3,,,,,,
2018-11-04 14:30:00,10426,Fortuna Duesseldorf,Borussia M.Gladbach,0,3,,,,,,
2018-11-10 14:30:00,10434,Fortuna Duesseldorf,Hertha Berlin,4,1,,,,,,
2018-11-24 14:30:00,10436,Fortuna Duesseldorf,Bayern Munich,3,3,,,,,,
2018-11-30 19:30:00,10452,Fortuna Duesseldorf,Mainz 05,0,1,,,,,,
2018-12-07 19:30:00,10459,Fortuna Duesseldorf,Werder Bremen,1,3,,,,,,
2018-12-15 14:30:00,10470,Fortuna Duesseldorf,Freiburg,2,0,,,,,,
2018-12-18 19:30:00,10478,Fortuna Duesseldorf,Borussia Dortmund,2,1,,,,,,
2018-12-22 14:30:00,10489,Fortuna Duesseldorf,Hannover 96,1,0,,,,,,
2019-01-19 14:30:00,10493,Fortuna Duesseldorf,Augsburg,2,1,,,,,,
2019-01-27 17:00:00,10507,Fortuna Duesseldorf,RasenBallsport Leipzig,0,4,,,,,,
2019-02-02 14:30:00,10515,Fortuna Duesseldorf,Hoffenheim,1,1,,,,,,
2019-02-10 17:00:00,10525,Fortuna Duesseldorf,VfB Stuttgart,3,0,,,,,,
2019-02-17 17:00:00,10527,Fortuna Duesseldorf,Bayer Leverkusen,0,2,,,,,,
2019-02-23 17:30:00,10543,Fortuna Duesseldorf,Nuernberg,2,1,,,,,,
2019-03-02 14:30:00,10544,Fortuna Duesseldorf,Schalke 04,4,0,,,,,,
2019-03-11 19:30:00,10558,Fortuna Duesseldorf,Eintracht Frankfurt,0,3,,,,,,
2019-03-16 14:30:00,10566,Fortuna Duesseldorf,Wolfsburg,2,5,,,,,,
2019-03-30 14:30:00,10579,Fortuna Duesseldorf,Borussia M.Gladbach,3,1,,,,,,
2019-04-06 14:30:00,10585,Fortuna Duesseldorf,Hertha Berlin,2,1,,,,,,
2019-04-14 14:30:00,10596,Fortuna Duesseldorf,Bayern Munich,1,4,,,,,,
2019-04-20 14:30:00,10606,Fortuna Duesseldorf,Mainz 05,1,3,,,,,,
2019-04-27 14:30:00,10614,Fortuna Duesseldorf,Werder Bremen,4,1,,,,,,
2019-05-05 14:30:00,10622,Fortuna Duesseldorf,Freiburg,1,1,,,,,,
2019-05-11 14:30:00,10626,Fortuna Duesseldorf,Borussia Dortmund,2,3,,,,,,
2019-05-18 13:30:00,10640,Fortuna Duesseldorf,Hannover 96,2,1,,,,,,
2019-08-17 14:30:00,12404,Fortuna Duesseldorf,Werder Bremen,3,1,,,,,,
2019-08-24 14:30:00,12415,Fortuna Duesseldorf,Bayer Leverkusen,1,3,,,,,,
2019-09-01 17:00:00,12429,Fortuna Duesseldorf,Eintracht Frankfurt,1,2,,,,,,
2019-09-13 18:30:00,12430,Fortuna Duesseldorf,Wolfsburg,1,1,,,,,,
2019-09-22 13:30:00,12445,Fortuna Duesseldorf,Borussia M.Gladbach,1,2,,,,,,
2019-09-29 13:30:00,12455,Fortuna Duesseldorf,Freiburg,1,2,,,,,,
2019-10-04 19:30:00,12459,Fortuna Duesseldorf,Hertha Berlin,1,3,,,,,,
2019-10-19 14:30:00,12474,Fortuna Duesseldorf,Mainz 05,1,0,,,,,,
2019-10-26 14:30:00,12477,Fortuna Duesseldorf,Paderborn,0,2,,,,,,
2019-11-03 14:30:00,12490,Fortuna Duesseldorf,FC Cologne,2,0,,,,,,
2019-11-09 14:30:00,12497,Fortuna Duesseldorf,Schalke 04,3,3,,,,,,
2019-11-23 14:30:00,12505,Fortuna Duesseldorf,Bayern Munich,0,4,,,,,,
2019-11-30 14:30:00,12518,Fortuna Duesseldorf,Hoffenheim,1,1,,,,,,
2019-12-07 14:30:00,12520,Fortuna Duesseldorf,Borussia Dortmund,0,5,,,,,,
2019-12-14 17:30:00,12532,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,,,,,,
2019-12-17 19:30:00,12545,Fortuna Duesseldorf,Augsburg,0,3,,,,,,
2019-12-22 14:30:00,12550,Fortuna Duesseldorf,Union Berlin,2,1,,,,,,
2020-01-18 14:30:00,12558,Fortuna Duesseldorf,Werder Bremen,0,1,,,,,,
2020-01-26 17:00:00,12567,Fortuna Duesseldorf,Bayer Leverkusen,0,3,,,,,,
2020-02-01 14:30:00,12577,Fortuna Duesseldorf,Eintracht Frankfurt,1,1,,,,,,
2020-02-08 14:30:00,12586,Fortuna Duesseldorf,Wolfsburg,1,1,,,,,,
2020-02-15 17:30:00,12595,Fortuna Duesseldorf,Borussia M.Gladbach,1,4,,,,,,
2020-02-22 14:30:00,12608,Fortuna Duesseldorf,Freiburg,2,0,,,,,,
2020-02-28 19:30:00,12614,Fortuna Duesseldorf,Hertha Berlin,3,3,,,,,,
2020-03-08 17:00:00,12624,Fortuna Duesseldorf,Mainz 05,1,1,,,,,,
2020-05-16 13:30:00,12633,Fortuna Duesseldorf,Paderborn,0,0,,,,,,
2020-05-24 16:00:00,12645,Fortuna Duesseldorf,FC Cologne,2,2,,,,,,
2020-05-27 18:30:00,12649,Fortuna Duesseldorf,Schalke 04,2,1,,,,,,
2020-05-30 16:30:00,12655,Fortuna Duesseldorf,Bayern Munich,0,5,,,,,,
2020-06-06 13:30:00,12669,Fortuna Duesseldorf,Hoffenheim,2,2,,,,,,
2020-06-13 13:30:00,12676,Fortuna Duesseldorf,Borussia Dortmund,0,1,,,,,,
2020-06-17 18:30:00,12683,Fortuna Duesseldorf,RasenBallsport Leipzig,2,2,,,,,,
2020-06-20 13:30:00,12694,Fortuna Duesseldorf,Augsburg,1,1,,,,,,
2020-06-27 13:30:00,12708,Fortuna Duesseldorf,Union Berlin,0,3,,,,,,
