Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2015-08-23 22:45:00,560,Frosinone,Torino,1,2,9.6250,10.3750,9.5994,10.4006,9.9006,10.0994
2015-08-30 22:45:00,570,Frosinone,Atalanta,0,2,9.2160,9.8979,9.1106,10.1980,10.0713,14.0979
2015-09-12 20:00:00,572,Frosinone,Roma,0,2,8.8700,10.6780,8.8796,8.1532,10.1103,6.7029
2015-09-20 17:00:00,588,Frosinone,Bologna,0,1,8.8985,9.4555,9.2256,9.4370,10.0713,10.2240
2015-09-23 22:45:00,599,Frosinone,Juventus,1,1,9.5116,10.2377,9.4692,7.3120,11.0538,1.1647
2015-09-28 21:00:00,609,Frosinone,Empoli,2,0,9.8511,9.0302,9.4235,13.2535,11.2785,7.5567
2015-10-04 20:00:00,618,Frosinone,Lazio,0,2,9.4883,10.2628,8.8383,11.4862,11.6381,9.2894
2015-10-18 17:00:00,624,Frosinone,Sampdoria,2,0,10.0212,9.5870,8.8288,8.2653,12.2134,10.6587
2015-10-25 18:00:00,635,Frosinone,Udinese,0,1,9.7966,9.8473,8.4356,9.1196,12.4074,14.3247
2015-10-28 23:45:00,642,Frosinone,Carpi,2,1,9.6356,8.8138,8.1157,10.5543,12.1554,10.3233
2015-11-01 15:30:00,653,Frosinone,Fiorentina,1,4,9.4556,11.5957,8.1273,10.0327,12.5338,6.1586
2015-11-08 18:00:00,668,Frosinone,Genoa,2,2,9.4613,9.9726,8.0037,5.4542,12.6687,11.7406
2015-11-22 23:45:00,680,Frosinone,Inter,0,4,8.9225,11.3449,7.7944,10.5954,12.8004,7.0948
2015-11-29 18:00:00,684,Frosinone,Verona,3,2,8.9841,8.6072,8.0199,8.6890,12.4480,16.0251
2015-12-06 18:00:00,697,Frosinone,Chievo,0,2,8.5107,10.0639,8.0306,7.8914,11.9905,14.4862
2015-12-12 21:00:00,702,Frosinone,Palermo,1,4,7.9973,9.4705,7.9531,13.2753,11.7912,7.9157
2015-12-20 21:00:00,718,Frosinone,AC Milan,2,4,7.8774,10.1375,7.6065,7.7239,12.3979,10.3010
2016-01-06 18:00:00,724,Frosinone,Sassuolo,2,2,8.6238,9.6166,7.8193,8.2244,13.6779,11.7594
2016-01-10 18:00:00,737,Frosinone,Napoli,1,5,8.0663,11.4511,7.6083,13.5425,13.7738,-0.3897
2016-01-16 21:00:00,741,Frosinone,Torino,2,4,8.0904,9.6386,7.6435,10.6659,14.2868,8.3616
2016-01-23 21:00:00,751,Frosinone,Atalanta,0,0,8.2410,9.0424,7.7504,8.7171,14.4812,14.8673
2016-01-30 23:45:00,763,Frosinone,Roma,1,3,8.3946,10.2016,8.2293,7.2439,14.8094,3.6594
2016-02-03 21:30:00,772,Frosinone,Bologna,1,0,9.0810,9.9538,8.8518,8.4287,15.3097,12.2291
2016-02-07 18:00:00,784,Frosinone,Juventus,0,2,9.2086,11.9636,9.1512,7.1036,15.7654,-2.6750
2016-02-13 18:00:00,793,Frosinone,Empoli,2,1,9.6991,9.1803,9.0127,12.1761,16.6350,8.6848
2016-02-21 21:00:00,808,Frosinone,Lazio,0,0,9.9142,10.8446,9.1961,13.3132,16.8819,8.3751
2016-02-28 18:00:00,814,Frosinone,Sampdoria,0,2,9.3560,9.7397,8.9351,8.0971,16.5266,13.1323
2016-03-06 18:00:00,829,Frosinone,Udinese,2,0,9.9170,9.5392,9.2344,11.1364,16.8494,15.6917
2016-03-13 18:00:00,836,Frosinone,Carpi,1,2,9.7994,10.0642,9.2395,11.9240,16.8591,12.9541
2016-03-20 18:00:00,846,Frosinone,Fiorentina,0,0,9.6560,9.8692,8.8360,7.8695,16.9758,3.6193
2016-04-03 17:00:00,857,Frosinone,Genoa,0,4,8.8361,10.6961,8.5876,5.8459,16.5843,12.0458
2016-04-09 17:00:00,861,Frosinone,Inter,0,1,8.7608,10.1100,8.5951,9.2416,16.6761,5.2284
2016-04-17 17:00:00,878,Frosinone,Verona,2,1,9.2177,8.6314,8.5741,9.6528,17.3608,18.6096
2016-04-20 22:45:00,886,Frosinone,Chievo,1,5,8.6411,10.9880,8.4855,7.5710,17.2963,17.1548
2016-04-24 14:30:00,892,Frosinone,Palermo,0,2,8.0090,9.2449,8.4854,14.0512,16.5323,12.4387
2016-05-01 17:00:00,906,Frosinone,AC Milan,3,3,8.6074,9.3043,8.3488,7.7610,17.8657,7.5977
2016-05-08 17:00:00,916,Frosinone,Sassuolo,0,1,8.6861,10.3436,8.6199,8.5816,18.0021,12.3561
2016-05-14 22:45:00,924,Frosinone,Napoli,0,4,8.4906,11.5995,8.6427,13.8399,18.5883,-6.6410
2018-08-20 21:30:00,9586,Frosinone,Atalanta,0,4,8.1688,11.0250,8.7408,14.8636,18.8465,2.6856
2018-08-26 21:30:00,9593,Frosinone,Bologna,0,0,8.2556,8.9293,9.0413,7.9417,18.7196,17.6674
2018-09-02 18:30:00,9601,Frosinone,Lazio,0,1,8.6384,9.9041,9.0838,6.5717,19.6927,3.7366
2018-09-15 18:30:00,9609,Frosinone,Sampdoria,0,5,7.7038,11.3345,8.8671,8.4612,19.2902,13.4570
2018-09-23 18:30:00,9620,Frosinone,Juventus,0,2,7.9735,11.0130,8.9231,-6.1429,20.2737,-27.3287
2018-09-26 19:00:00,9634,Frosinone,Roma,0,4,7.5321,10.1492,8.9708,0.3670,20.3431,-18.0680
2018-09-30 13:00:00,9643,Frosinone,Genoa,1,2,7.6315,9.3304,9.3707,11.3078,20.3920,13.3528
2018-10-05 18:30:00,9655,Frosinone,Torino,2,3,8.1776,9.7698,10.1720,7.7534,20.9329,9.2872
2018-10-21 10:30:00,9660,Frosinone,Empoli,3,3,8.3375,9.1572,10.2961,13.4926,21.1285,17.8215
2018-10-28 13:00:00,9674,Frosinone,SPAL 2013,3,0,9.8185,9.2807,11.1852,8.9732,22.4515,15.8379
2018-11-04 14:00:00,9684,Frosinone,Parma Calcio 1913,0,0,9.9022,9.5694,11.2290,8.1325,22.5750,12.0060
2018-11-09 19:30:00,9690,Frosinone,Fiorentina,1,1,9.9320,10.4915,10.8880,9.0386,22.9755,-1.8027
2018-11-24 19:30:00,9701,Frosinone,Inter,0,3,9.7759,11.9638,10.8040,7.1082,23.4973,-7.4310
2018-12-02 14:00:00,9710,Frosinone,Cagliari,1,1,9.6627,9.9361,10.6555,14.6600,23.4193,23.4616
2018-12-08 14:00:00,9720,Frosinone,Napoli,0,4,9.1655,11.6711,10.6153,7.6506,23.4651,-14.5586
2018-12-16 14:00:00,9732,Frosinone,Sassuolo,0,2,8.6983,10.2638,10.4575,10.9132,23.1885,16.1144
2018-12-22 14:00:00,9742,Frosinone,Udinese,1,1,9.1467,9.5436,11.1193,9.6749,23.4236,11.6624
2018-12-26 11:30:00,9751,Frosinone,AC Milan,0,0,9.2006,9.8083,10.9577,8.3868,23.6929,0.4799
2018-12-29 14:00:00,9757,Frosinone,Chievo,0,1,9.2716,9.9134,11.1778,11.1663,23.8647,27.9094
2019-01-20 11:30:00,9769,Frosinone,Atalanta,0,5,8.4629,12.3455,11.1256,16.2443,23.5495,0.6962
2019-01-27 14:00:00,9783,Frosinone,Bologna,4,0,9.8919,8.2500,11.7454,8.4900,24.7878,20.0109
2019-02-04 18:00:00,9791,Frosinone,Lazio,0,1,9.6878,10.7794,11.8237,8.5540,24.5512,1.5052
2019-02-10 14:00:00,9804,Frosinone,Sampdoria,1,0,10.3314,10.1185,12.3323,5.2288,25.0798,13.7572
2019-02-15 19:30:00,9812,Frosinone,Juventus,0,3,10.0806,12.0791,12.4689,-7.4816,25.1917,-31.3577
2019-02-23 19:30:00,9820,Frosinone,Roma,2,3,9.9895,11.3072,12.4676,-0.2669,25.2607,-18.6180
2019-03-03 14:00:00,9833,Frosinone,Genoa,0,0,10.1026,9.8289,12.4066,12.3145,25.5480,15.5925
2019-03-10 14:00:00,9840,Frosinone,Torino,1,2,10.0388,11.4111,12.6502,5.3065,25.4267,12.0166
2019-03-17 14:00:00,9849,Frosinone,Empoli,1,2,9.7774,9.7545,12.3875,16.2038,25.4165,19.5545
2019-03-31 13:00:00,9860,Frosinone,SPAL 2013,0,1,9.3342,9.9476,12.3916,9.7815,24.7759,19.1139
2019-04-03 20:00:00,9870,Frosinone,Parma Calcio 1913,3,2,9.3487,8.8775,12.1395,8.1086,24.8069,13.8962
2019-04-07 11:30:00,9879,Frosinone,Fiorentina,1,0,9.8922,9.4793,12.2826,8.5308,25.5008,-3.0695
2019-04-14 19:30:00,9890,Frosinone,Inter,1,3,9.6436,11.6463,11.8050,8.0437,25.9812,-11.2514
2019-04-20 14:00:00,9898,Frosinone,Cagliari,0,1,9.7295,10.4011,11.9410,14.5262,26.2669,26.5262
2019-04-28 11:30:00,9916,Frosinone,Napoli,0,2,9.2429,10.7696,11.7212,6.5841,26.0135,-19.2956
2019-05-05 14:00:00,9920,Frosinone,Sassuolo,2,2,9.6765,10.0438,11.7954,11.6122,26.8066,16.9755
2019-05-12 14:00:00,9934,Frosinone,Udinese,1,3,9.1411,10.5701,11.5386,10.0046,26.4925,15.1353
2019-05-19 16:00:00,9942,Frosinone,AC Milan,0,2,9.1308,10.6102,12.0256,6.2985,26.4849,0.9217
2019-05-25 13:00:00,9951,Frosinone,Chievo,0,0,8.8878,8.9017,11.9168,13.9483,26.1076,30.3541
