Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-08-11 17:00:00,9201,Fulham,Crystal Palace,0,2,10,9.8053,10,10.1953,10,9.9153
2018-08-18 17:00:00,9209,Fulham,Tottenham,1,3,9.8053,9.4866,10.1953,9.9204,9.9153,10.0527
2018-08-25 17:00:00,9220,Fulham,Burnley,4,2,9.4866,9.6745,9.9204,9.6973,10.0527,10.1517
2018-09-01 14:00:00,9233,Fulham,Brighton,2,2,9.6745,9.8733,9.6973,9.6045,10.1517,10.6422
2018-09-15 14:00:00,9239,Fulham,Manchester City,0,3,9.8733,10.0381,9.6045,9.3759,10.6422,11.9504
2018-09-22 11:30:00,9247,Fulham,Watford,1,1,10.0381,10.3540,9.3759,9.6946,11.9504,12.2635
2018-09-29 14:00:00,9262,Fulham,Everton,0,3,10.354,9.5290,9.6946,9.1748,12.2635,11.8833
2018-10-07 11:00:00,9274,Fulham,Arsenal,1,5,9.529,8.6427,9.1748,9.3332,11.8833,10.9523
2018-10-20 14:00:00,9282,Fulham,Cardiff,2,4,8.6427,7.9270,9.3332,8.9154,10.9523,10.4387
2018-10-27 14:00:00,9289,Fulham,Bournemouth,0,3,7.927,7.5644,8.9154,8.8723,10.4387,10.5065
2018-11-05 20:00:00,9306,Fulham,Huddersfield,0,1,7.5644,7.9765,8.8723,9.4944,10.5065,10.9587
2018-11-11 12:00:00,9313,Fulham,Liverpool,0,2,7.9765,8.6605,9.4944,10.2652,10.9587,12.0559
2018-11-24 15:00:00,9320,Fulham,Southampton,3,2,8.6605,9.0893,10.2652,10.3729,12.0559,12.5557
2018-12-02 12:00:00,9334,Fulham,Chelsea,0,2,9.0893,9.4529,10.3729,10.7651,12.5557,13.3908
2018-12-05 19:45:00,9342,Fulham,Leicester,1,1,9.4529,9.5912,10.7651,10.9685,13.3908,13.4641
2018-12-08 15:00:00,9349,Fulham,Manchester United,1,4,9.5912,9.2672,10.9685,10.9140,13.4641,13.6206
2018-12-15 17:30:00,9364,Fulham,West Ham,0,2,9.2672,9.0646,10.914,11.2817,13.6206,13.3478
2018-12-22 15:00:00,9369,Fulham,Newcastle United,0,0,9.0646,9.2531,11.2817,11.4592,13.3478,13.5474
2018-12-26 12:30:00,9383,Fulham,Wolverhampton Wanderers,1,1,9.2531,9.5705,11.4592,11.7561,13.5474,13.8853
2018-12-29 15:00:00,9393,Fulham,Huddersfield,1,0,9.5705,9.6566,11.7561,11.9539,13.8853,13.6096
2019-01-01 15:00:00,9406,Fulham,Arsenal,1,4,9.6566,9.2668,11.9539,11.6340,13.6096,13.8998
2019-01-12 15:00:00,9415,Fulham,Burnley,1,2,9.2668,9.1048,11.634,11.7454,13.8998,13.7145
2019-01-20 16:00:00,9424,Fulham,Tottenham,1,2,9.1048,9.3330,11.7454,11.9748,13.7145,14.1915
2019-01-29 19:45:00,9429,Fulham,Brighton,4,2,9.333,10.0836,11.9748,12.4985,14.1915,14.6690
2019-02-02 15:00:00,9442,Fulham,Crystal Palace,0,2,10.0836,10.1091,12.4985,12.6153,14.669,15.1033
2019-02-09 12:30:00,9447,Fulham,Manchester United,0,3,10.1091,9.5277,12.6153,12.7977,15.1033,14.5081
2019-02-22 19:45:00,9457,Fulham,West Ham,1,3,9.5277,8.9456,12.7977,12.3423,14.5081,14.2993
2019-02-27 19:45:00,9472,Fulham,Southampton,0,2,8.9456,8.6630,12.3423,12.4698,14.2993,14.1066
2019-03-03 14:05:00,9482,Fulham,Chelsea,1,2,8.663,8.3566,12.4698,12.2540,14.1066,13.9597
2019-03-09 15:00:00,9491,Fulham,Leicester,1,3,8.3566,8.2367,12.254,12.1381,13.9597,14.3358
2019-03-17 14:15:00,9502,Fulham,Liverpool,1,2,8.2367,8.8003,12.1381,12.4970,14.3358,15.3540
2019-03-30 12:30:00,9512,Fulham,Manchester City,0,2,8.8003,9.1320,12.497,12.9153,15.354,16.0992
2019-04-02 19:45:00,9518,Fulham,Watford,1,4,9.132,8.8803,12.9153,13.4925,16.0992,15.7685
2019-04-13 15:00:00,9533,Fulham,Everton,2,0,8.8803,9.9004,13.4925,14.1056,15.7685,16.6956
2019-04-20 15:00:00,9545,Fulham,Bournemouth,1,0,9.9004,10.3860,14.1056,14.2861,16.6956,17.2363
2019-04-27 15:00:00,9553,Fulham,Cardiff,1,0,10.386,10.5671,14.2861,14.0687,17.2363,17.5660
2019-05-04 14:00:00,9557,Fulham,Wolverhampton Wanderers,0,1,10.5671,10.4011,14.0687,13.7573,17.566,17.7953
2019-05-12 14:00:00,9573,Fulham,Newcastle United,0,4,10.4011,9.2812,13.7573,13.2900,17.7953,17.0227
2020-09-12 11:30:00,14086,Fulham,Arsenal,0,3,9.2812,8.4675,13.29,12.7171,17.0227,16.7181
2020-09-19 14:00:00,14097,Fulham,Leeds,3,4,8.4675,8.5222,12.7171,13.0474,16.7181,16.7472
2020-09-28 17:00:00,14114,Fulham,Aston Villa,0,3,8.5222,8.2460,13.0474,13.1468,16.7472,16.8454
2020-10-04 13:00:00,14474,Fulham,Wolverhampton Wanderers,0,1,8.246,8.6821,13.1468,13.8518,16.8454,17.2625
2020-10-18 11:00:00,14482,Fulham,Sheffield United,1,1,8.6821,9.0552,13.8518,14.1480,17.2625,17.7124
2020-10-24 14:00:00,14489,Fulham,Crystal Palace,1,2,9.0552,8.9942,14.148,13.8976,17.7124,18.0909
2020-11-02 17:30:00,14497,Fulham,West Bromwich Albion,2,0,8.9942,9.3283,13.8976,14.0166,18.0909,18.1400
2020-11-07 20:00:00,14514,Fulham,West Ham,0,1,9.3283,9.9256,14.0166,14.9697,18.14,18.6315
2020-11-22 12:00:00,14517,Fulham,Everton,2,3,9.9256,9.7586,14.9697,14.9576,18.6315,18.5596
2020-11-30 17:30:00,14532,Fulham,Leicester,2,1,9.7586,10.5175,14.9576,15.6563,18.5596,19.1288
2020-12-05 15:00:00,14540,Fulham,Manchester City,0,2,10.5175,10.3440,15.6563,15.2388,19.1288,19.6993
2020-12-13 16:30:00,14547,Fulham,Liverpool,1,1,10.344,10.5757,15.2388,15.4457,19.6993,19.9559
2020-12-16 20:00:00,14557,Fulham,Brighton,0,0,10.5757,10.5347,15.4457,15.5402,19.9559,19.7794
2020-12-19 20:00:00,14571,Fulham,Newcastle United,1,1,10.5347,10.6359,15.5402,15.6012,19.7794,19.9208
2020-12-26 15:00:00,14577,Fulham,Southampton,0,0,10.6359,10.6457,15.6012,15.7765,19.9208,19.7650
2021-01-13 20:00:00,14589,Fulham,Tottenham,1,1,10.6457,10.7371,15.7765,15.3453,19.765,20.3791
2021-01-16 17:30:00,14617,Fulham,Chelsea,0,1,10.7371,10.2232,15.3453,14.8519,20.3791,20.0947
2021-01-20 20:15:00,14607,Fulham,Manchester United,1,2,10.2232,10.0398,14.8519,14.6859,20.0947,20.1439
2021-01-27 19:30:00,14625,Fulham,Brighton,0,0,10.0398,10.0328,14.6859,14.2343,20.1439,20.5814
2021-01-30 15:00:00,14640,Fulham,West Bromwich Albion,2,2,10.0328,9.9335,14.2343,14.2664,20.5814,20.3507
2021-02-03 18:00:00,14647,Fulham,Leicester,0,2,9.9335,9.5595,14.2664,14.1470,20.3507,20.2221
2021-02-06 17:30:00,14657,Fulham,West Ham,0,0,9.5595,9.4054,14.147,14.1592,20.2221,19.9016
2021-02-14 19:00:00,14669,Fulham,Everton,2,0,9.4054,10.1371,14.1592,14.9501,19.9016,20.0741
2021-02-17 18:00:00,14602,Fulham,Burnley,1,1,10.1371,10.4735,14.9501,15.1335,20.0741,20.5635
2021-02-20 20:00:00,14679,Fulham,Sheffield United,1,0,10.4735,10.5761,15.1335,15.0442,20.5635,20.6080
