Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2015-08-08 23:00:00,1875,GFC Ajaccio,Troyes,0,0,10.1250,9.8750,10.2913,9.7087,9.9587,10.0413
2015-08-16 23:00:00,1888,GFC Ajaccio,Paris Saint Germain,0,2,10.1964,11.8392,10.5042,12.3476,10.3886,-1.1688
2015-08-22 22:00:00,1895,GFC Ajaccio,Angers,0,2,9.5831,10.8564,10.1979,10.3155,9.9682,10.3975
2015-08-29 22:00:00,1901,GFC Ajaccio,Lille,0,1,9.5875,10.0963,10.3627,9.2398,10.0622,10.7025
2015-09-13 16:00:00,1916,GFC Ajaccio,Monaco,0,1,9.2851,10.1802,9.8074,9.4046,10.2626,4.9555
2015-09-19 22:00:00,1924,GFC Ajaccio,Guingamp,1,2,9.4687,10.3360,9.9679,12.9971,10.7193,11.4252
2015-09-23 21:00:00,1935,GFC Ajaccio,Rennes,1,1,9.6545,10.5259,9.8552,11.9176,11.2035,9.6342
2015-09-26 22:00:00,1943,GFC Ajaccio,Caen,0,2,9.2384,9.9063,9.4494,6.2981,11.2771,13.7644
2015-10-03 22:00:00,1953,GFC Ajaccio,Toulouse,2,2,9.1705,9.5347,9.4216,14.6714,11.1691,10.8981
2015-10-17 22:00:00,1962,GFC Ajaccio,Saint-Etienne,0,2,8.9611,10.0422,9.5805,7.4098,11.0914,6.6746
2015-10-24 22:00:00,1971,GFC Ajaccio,Nice,3,1,10.2523,11.3348,10.4684,10.7437,12.2860,11.6758
2015-10-31 23:00:00,1981,GFC Ajaccio,Bordeaux,2,0,10.4649,9.3901,10.1770,11.0551,12.5026,7.9746
2015-11-07 23:00:00,1995,GFC Ajaccio,Reims,2,1,10.4954,9.0562,9.8306,9.3165,12.6599,14.0458
2015-11-22 17:00:00,2005,GFC Ajaccio,SC Bastia,2,1,10.7460,9.7472,10.1689,7.3456,12.5728,15.8984
2015-11-28 23:00:00,2012,GFC Ajaccio,Lorient,1,1,10.6054,10.8240,10.0554,8.3721,12.4050,14.0257
2015-12-02 22:00:00,2024,GFC Ajaccio,Montpellier,2,0,11.3418,10.3146,10.1673,11.4597,13.2659,9.9199
2015-12-05 23:00:00,2035,GFC Ajaccio,Nantes,1,1,10.8491,10.3637,9.6705,11.8555,12.7773,12.3719
2015-12-13 20:00:00,2046,GFC Ajaccio,Marseille,1,1,10.9330,10.6007,9.7417,7.5501,12.8738,3.4009
2015-12-20 20:00:00,2057,GFC Ajaccio,Lyon,2,1,10.6703,9.6449,9.3046,6.3350,12.5355,3.2059
2016-01-09 23:00:00,2065,GFC Ajaccio,Monaco,2,2,10.7041,10.2716,8.9883,10.5685,12.9193,3.2245
2016-01-16 23:00:00,2072,GFC Ajaccio,Reims,2,2,10.0863,9.3507,8.8225,10.0622,11.8495,15.1390
2016-01-22 23:30:00,2079,GFC Ajaccio,Rennes,0,1,10.0533,10.4873,8.7700,11.5861,12.0860,9.3884
2016-01-30 23:00:00,2093,GFC Ajaccio,Montpellier,0,4,8.7113,10.5271,8.2482,12.1791,10.9237,9.3755
2016-02-03 22:00:00,2104,GFC Ajaccio,Nantes,1,3,8.7679,10.3812,8.4620,11.1987,11.3232,12.0634
2016-02-06 23:00:00,2112,GFC Ajaccio,Guingamp,0,0,9.1682,10.4686,9.0610,13.0961,11.5247,12.3421
2016-02-13 23:00:00,2125,GFC Ajaccio,Troyes,2,3,8.6562,9.1322,9.1752,10.8912,10.6365,15.8727
2016-02-20 23:00:00,2132,GFC Ajaccio,Toulouse,1,1,8.9631,9.0769,9.4545,17.8585,10.9710,10.2956
2016-03-05 23:00:00,2151,GFC Ajaccio,Bordeaux,1,1,9.2141,9.2159,9.2611,11.4526,11.6663,7.7291
2016-03-09 21:30:00,2158,GFC Ajaccio,Marseille,1,1,9.2987,9.9679,9.4103,6.2183,11.6863,2.9672
2016-03-12 23:00:00,2161,GFC Ajaccio,Caen,1,0,9.6819,9.9485,9.6082,6.8634,12.0049,15.0328
2016-03-20 20:00:00,2177,GFC Ajaccio,Nice,0,3,9.3267,11.1164,9.6201,8.7991,12.0327,12.4332
2016-04-02 22:00:00,2181,GFC Ajaccio,Saint-Etienne,0,2,8.9765,10.7762,9.8588,7.2527,11.5936,8.0498
2016-04-09 22:00:00,2191,GFC Ajaccio,Angers,0,0,9.4050,9.7618,10.2892,8.9783,12.0201,9.7960
2016-04-16 22:00:00,2204,GFC Ajaccio,Lille,2,4,9.4308,11.9824,10.7301,9.0213,12.1308,12.1931
2016-04-24 19:00:00,2215,GFC Ajaccio,SC Bastia,3,2,9.4491,8.9855,10.4526,5.2968,12.1948,16.9242
2016-04-30 23:00:00,2226,GFC Ajaccio,Lyon,1,2,9.9230,11.3706,11.1165,7.1287,12.7286,0.3635
2016-05-07 23:00:00,2232,GFC Ajaccio,Paris Saint Germain,0,4,9.5502,13.3047,11.3217,8.5982,12.7779,-13.4884
2016-05-14 23:00:00,2243,GFC Ajaccio,Lorient,0,1,9.3061,9.3177,11.3717,8.2006,12.4896,14.6855
