Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-31 19:45:00,5155,Genoa,Napoli,1,2,,,,,,
2014-09-14 14:00:00,5114,Genoa,Fiorentina,0,0,,,,,,
2014-09-21 14:00:00,5122,Genoa,Lazio,1,0,,,,,,
2014-09-24 19:45:00,5131,Genoa,Verona,2,2,,,,,,
2014-09-28 19:45:00,5146,Genoa,Sampdoria,0,1,,,,,,
2014-10-05 14:00:00,5072,Genoa,Parma,2,1,,,,,,
2014-10-20 19:45:00,5088,Genoa,Empoli,1,1,,,,,,
2014-10-26 14:00:00,5094,Genoa,Chievo,2,1,,,,,,
2014-10-29 19:45:00,5107,Genoa,Juventus,1,0,,,,,,
2014-11-02 14:00:00,5035,Genoa,Udinese,4,2,,,,,,
2014-11-09 11:30:00,5042,Genoa,Cagliari,1,1,,,,,,
2014-11-24 19:45:00,5059,Genoa,Palermo,1,1,,,,,,
2014-11-30 14:00:00,5066,Genoa,Cesena,3,0,,,,,,
2014-12-07 14:00:00,5005,Genoa,AC Milan,1,0,,,,,,
2014-12-14 14:00:00,5013,Genoa,Roma,0,1,,,,,,
2014-12-21 14:00:00,5028,Genoa,Torino,1,2,,,,,,
2015-01-06 14:00:00,4963,Genoa,Atalanta,2,2,,,,,,
2015-01-11 11:30:00,4969,Genoa,Inter,1,3,,,,,,
2015-01-18 14:00:00,4981,Genoa,Sassuolo,3,3,,,,,,
2015-01-26 20:00:00,4996,Genoa,Napoli,1,2,,,,,,
2015-01-31 17:00:00,4997,Genoa,Fiorentina,1,1,,,,,,
2015-02-09 19:45:00,4935,Genoa,Lazio,1,0,,,,,,
2015-02-15 14:00:00,4941,Genoa,Verona,5,2,,,,,,
2015-02-24 17:30:00,4955,Genoa,Sampdoria,1,1,,,,,,
2015-03-08 14:00:00,4893,Genoa,Empoli,1,1,,,,,,
2015-03-15 14:00:00,4901,Genoa,Chievo,0,2,,,,,,
2015-03-22 14:00:00,4912,Genoa,Juventus,0,1,,,,,,
2015-04-04 14:00:00,4834,Genoa,Udinese,1,1,,,,,,
2015-04-11 17:00:00,4840,Genoa,Cagliari,2,0,,,,,,
2015-04-15 17:30:00,4850,Genoa,Parma,2,0,,,,,,
2015-04-19 14:00:00,4856,Genoa,Palermo,1,2,,,,,,
2015-04-26 14:00:00,4866,Genoa,Cesena,3,1,,,,,,
2015-04-29 19:45:00,4878,Genoa,AC Milan,3,1,,,,,,
2015-05-03 11:30:00,4781,Genoa,Roma,0,2,,,,,,
2015-05-11 19:45:00,4798,Genoa,Torino,5,1,,,,,,
2015-05-17 14:00:00,4803,Genoa,Atalanta,4,1,,,,,,
2015-05-23 19:45:00,4810,Genoa,Inter,3,2,,,,,,
2015-05-31 19:45:00,4825,Genoa,Sassuolo,1,3,,,,,,
2015-08-23 22:45:00,554,Genoa,Palermo,0,1,,,,,,
2015-08-30 22:45:00,569,Genoa,Verona,2,0,,,,,,
2015-09-12 20:00:00,571,Genoa,Fiorentina,0,1,,,,,,
2015-09-20 17:00:00,584,Genoa,Juventus,0,2,,,,,,
2015-09-23 22:45:00,592,Genoa,Lazio,0,2,,,,,,
2015-09-27 14:30:00,603,Genoa,AC Milan,1,0,,,,,,
2015-10-04 17:00:00,616,Genoa,Udinese,1,1,,,,,,
2015-10-18 17:00:00,625,Genoa,Chievo,3,2,,,,,,
2015-10-24 17:00:00,631,Genoa,Empoli,0,2,,,,,,
2015-10-28 23:45:00,649,Genoa,Torino,3,3,,,,,,
2015-11-01 18:00:00,654,Genoa,Napoli,0,0,,,,,,
2015-11-08 18:00:00,668,Genoa,Frosinone,2,2,,,,,,
2015-11-22 18:00:00,678,Genoa,Sassuolo,2,1,,,,,,
2015-11-29 18:00:00,685,Genoa,Carpi,1,2,,,,,,
2015-12-05 23:45:00,693,Genoa,Inter,0,1,,,,,,
2015-12-12 18:00:00,701,Genoa,Bologna,0,1,,,,,,
2015-12-20 18:00:00,715,Genoa,Roma,0,2,,,,,,
2016-01-05 23:45:00,720,Genoa,Sampdoria,2,3,,,,,,
2016-01-10 18:00:00,734,Genoa,Atalanta,2,0,,,,,,
2016-01-17 15:30:00,743,Genoa,Palermo,4,0,,,,,,
2016-01-24 18:00:00,757,Genoa,Verona,1,1,,,,,,
