Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-08-19 19:15:00,7882,Girona,Atletico Madrid,2,2,10,10.1669,10,10.5987,10,9.7350
2017-08-26 19:15:00,7895,Girona,Malaga,1,0,10.1669,10.4929,10.5987,11.0106,9.735,9.7251
2017-09-10 15:15:00,7906,Girona,Athletic Club,0,2,10.4929,10.0981,11.0106,10.7632,9.7251,9.6828
2017-09-17 15:15:00,7916,Girona,Sevilla,0,1,10.0981,9.6640,10.7632,10.7164,9.6828,9.1114
2017-09-20 19:00:00,7925,Girona,Leganes,0,0,9.664,9.9335,10.7164,11.1785,9.1114,9.1883
2017-09-23 19:45:00,7935,Girona,Barcelona,0,3,9.9335,9.7690,11.1785,11.6690,9.1883,9.1187
2017-09-29 20:00:00,7944,Girona,Celta Vigo,3,3,9.769,9.8656,11.669,11.4559,9.1187,9.5250
2017-10-15 15:15:00,7955,Girona,Villarreal,1,2,9.8656,9.4993,11.4559,11.4765,9.525,9.0218
2017-10-23 20:00:00,7960,Girona,Deportivo La Coruna,2,1,9.4993,9.7296,11.4765,11.3814,9.0218,9.3275
2017-10-29 15:15:00,7973,Girona,Real Madrid,2,1,9.7296,10.2747,11.3814,11.8460,9.3275,9.7032
2017-11-05 11:00:00,7982,Girona,Levante,2,1,10.2747,10.5858,11.846,12.1489,9.7032,9.7725
2017-11-17 20:00:00,7992,Girona,Real Sociedad,1,1,10.5858,10.3980,12.1489,11.9061,9.7725,9.6397
2017-11-25 17:30:00,8001,Girona,Real Betis,2,2,10.398,10.4219,11.9061,11.9872,9.6397,9.6065
2017-12-04 20:00:00,8011,Girona,Alaves,2,3,10.4219,9.8527,11.9872,11.3453,9.6065,9.3600
2017-12-11 20:00:00,8020,Girona,Espanyol,1,0,9.8527,10.2000,11.3453,11.7309,9.36,9.4191
2017-12-17 11:00:00,8032,Girona,Getafe,1,0,10.2,10.7140,11.7309,12.0222,9.4191,9.9059
2017-12-21 18:30:00,8039,Girona,Eibar,1,4,10.714,10.3850,12.0222,11.9096,9.9059,10.1106
2018-01-06 15:15:00,8058,Girona,Valencia,1,2,10.385,10.3723,11.9096,12.1671,10.1106,10.0776
2018-01-13 12:00:00,8066,Girona,Las Palmas,6,0,10.3723,11.3798,12.1671,12.6060,10.0776,10.1538
2018-01-20 15:15:00,8070,Girona,Atletico Madrid,1,1,11.3798,11.5601,12.606,12.6387,10.1538,10.4818
2018-01-27 17:30:00,8085,Girona,Malaga,0,0,11.5601,11.0497,12.6387,12.1226,10.4818,9.9771
2018-02-04 17:30:00,8096,Girona,Athletic Club,2,0,11.0497,11.1868,12.1226,12.4415,9.9771,9.4324
2018-02-11 11:00:00,8106,Girona,Sevilla,0,1,11.1868,10.8163,12.4415,12.1467,9.4324,9.2363
2018-02-16 20:00:00,8117,Girona,Leganes,3,0,10.8163,11.1946,12.1467,11.9646,9.2363,9.4250
2018-02-24 19:45:00,8122,Girona,Barcelona,1,6,11.1946,10.0824,11.9646,11.5315,9.425,8.8836
2018-02-27 20:30:00,8132,Girona,Celta Vigo,1,0,10.0824,9.6611,11.5315,11.0692,8.8836,8.2533
2018-03-03 12:00:00,8144,Girona,Villarreal,2,0,9.6611,10.3205,11.0692,11.1660,8.2533,8.9752
2018-03-09 20:00:00,8153,Girona,Deportivo La Coruna,2,0,10.3205,10.5495,11.166,10.9787,8.9752,9.1205
2018-03-18 19:45:00,8163,Girona,Real Madrid,3,6,10.5495,10.4466,10.9787,11.1730,9.1205,9.4704
2018-03-31 00:00:00,8172,Girona,Levante,1,1,10.4466,10.2225,11.173,10.6996,9.4704,9.4956
2018-04-08 16:30:00,8186,Girona,Real Sociedad,0,5,10.2225,9.0688,10.6996,10.0606,9.4956,9.0772
2018-04-13 19:00:00,8191,Girona,Real Betis,0,1,9.0688,9.0723,10.0606,10.0857,9.0772,9.3091
2018-04-19 17:30:00,8204,Girona,Alaves,2,1,9.0723,9.8098,10.0857,10.7945,9.3091,9.8252
2018-04-22 10:00:00,8210,Girona,Espanyol,0,2,9.8098,9.4014,10.7945,11.1364,9.8252,9.1665
2018-04-29 15:00:00,8221,Girona,Getafe,1,1,9.4014,9.6653,11.1364,11.2899,9.1665,9.5408
2018-05-05 12:00:00,8229,Girona,Eibar,1,4,9.6653,8.8273,11.2899,11.1394,9.5408,8.7654
2018-05-12 17:30:00,8239,Girona,Valencia,0,1,8.8273,8.5252,11.1394,11.0122,8.7654,8.5383
2018-05-19 00:00:00,8249,Girona,Las Palmas,2,1,8.5252,8.9768,11.0122,11.3504,8.5383,8.8533
2018-08-17 21:15:00,9957,Girona,Real Valladolid,0,0,10,9.8750,10,10.0239,10,9.7261
2018-08-26 23:15:00,9974,Girona,Real Madrid,1,4,9.875,9.3852,10.0239,9.3862,9.7261,10.1342
2018-08-31 23:00:00,9979,Girona,Villarreal,1,0,9.3852,9.8132,9.3862,9.4896,10.1342,10.6368
2018-09-17 19:00:00,9996,Girona,Celta Vigo,3,2,9.8132,10.2421,9.4896,9.8736,10.6368,10.8606
2018-09-23 18:45:00,9997,Girona,Barcelona,2,2,10.2421,11.1814,9.8736,10.7811,10.8606,11.8317
2018-09-27 20:00:00,10012,Girona,Real Betis,0,1,11.1814,10.9528,10.7811,10.6202,11.8317,11.7855
2018-09-30 10:00:00,10018,Girona,SD Huesca,1,1,10.9528,10.4884,10.6202,10.2041,11.7855,11.2728
2018-10-06 11:00:00,10028,Girona,Eibar,2,3,10.4884,9.9846,10.2041,9.7506,11.2728,10.9687
2018-10-22 19:00:00,10039,Girona,Real Sociedad,0,0,9.9846,9.9682,9.7506,9.7244,10.9687,10.9620
2018-10-27 11:00:00,10051,Girona,Rayo Vallecano,2,1,9.9682,10.0365,9.7244,9.7901,10.962,10.7828
2018-11-03 17:30:00,10058,Girona,Valencia,1,0,10.0365,10.5907,9.7901,9.6240,10.7828,11.8073
2018-11-10 19:45:00,10072,Girona,Leganes,0,0,10.5907,10.5254,9.624,9.3324,11.8073,11.9683
2018-11-25 17:30:00,10083,Girona,Espanyol,3,1,10.5254,11.2610,9.3324,9.5501,11.9683,12.7219
2018-12-02 15:15:00,10090,Girona,Atletico Madrid,1,1,11.261,11.3122,9.5501,9.5023,12.7219,12.8722
2018-12-10 20:00:00,10097,Girona,Athletic Club,0,1,11.3122,10.9845,9.5023,9.0122,12.8722,12.9569
2018-12-16 11:00:00,10108,Girona,Sevilla,0,2,10.9845,10.5171,9.0122,8.6773,12.9569,12.8571
2018-12-21 18:30:00,10122,Girona,Getafe,1,1,10.5171,10.4493,8.6773,8.7659,12.8571,12.6329
2019-01-04 18:00:00,10128,Girona,Levante,2,2,10.4493,10.4094,8.7659,8.5172,12.6329,12.8018
2019-01-12 17:30:00,10140,Girona,Alaves,1,1,10.4094,10.2162,8.5172,8.1969,12.8018,12.7357
2019-01-20 11:00:00,10153,Girona,Real Betis,2,3,10.2162,10.0690,8.1969,8.1747,12.7357,12.7135
2019-01-27 15:15:00,10161,Girona,Barcelona,0,2,10.069,10.1834,8.1747,8.5137,12.7135,13.1033
2019-02-03 17:30:00,10174,Girona,Eibar,0,3,10.1834,9.7425,8.5137,8.4181,13.1033,13.0671
2019-02-09 19:45:00,10182,Girona,SD Huesca,0,2,9.7425,9.0126,8.4181,8.3615,13.0671,12.1638
2019-02-17 11:00:00,10189,Girona,Real Madrid,2,1,9.0126,9.9372,8.3615,9.4075,12.1638,12.7169
2019-02-25 20:00:00,10201,Girona,Real Sociedad,0,0,9.9372,10.3176,9.4075,9.9567,12.7169,12.9285
2019-03-01 20:00:00,10216,Girona,Rayo Vallecano,2,0,10.3176,10.9028,9.9567,10.3075,12.9285,13.2481
2019-03-10 15:15:00,10221,Girona,Valencia,2,3,10.9028,10.6506,10.3075,10.5906,13.2481,12.7107
2019-03-16 19:45:00,10229,Girona,Leganes,2,0,10.6506,11.2212,10.5906,10.9935,12.7107,12.9490
2019-03-29 20:00:00,10243,Girona,Athletic Club,1,2,11.2212,10.8675,10.9935,10.6853,12.949,12.7998
2019-04-02 18:30:00,10255,Girona,Atletico Madrid,0,2,10.8675,10.5027,10.6853,10.3225,12.7998,12.9331
2019-04-06 12:00:00,10259,Girona,Espanyol,1,2,10.5027,9.9733,10.3225,10.2822,12.9331,12.1646
2019-04-14 17:30:00,10274,Girona,Villarreal,0,1,9.9733,9.6295,10.2822,10.0817,12.1646,11.9274
2019-04-20 12:00:00,10283,Girona,Celta Vigo,1,2,9.6295,9.5652,10.0817,9.9033,11.9274,12.2273
2019-04-23 19:30:00,10288,Girona,Real Valladolid,0,1,9.5652,9.3906,9.9033,9.8223,12.2273,12.2091
2019-04-28 13:00:00,10303,Girona,Sevilla,1,0,9.3906,9.7449,9.8223,9.9158,12.2091,12.5742
2019-05-05 11:00:00,10315,Girona,Getafe,0,2,9.7449,9.8972,9.9158,10.1027,12.5742,13.1919
2019-05-12 17:30:00,10322,Girona,Levante,1,2,9.8972,9.8751,10.1027,10.5455,13.1919,12.9549
2019-05-18 18:45:00,10327,Girona,Alaves,1,2,9.8751,9.6328,10.5455,10.5461,12.9549,12.7199
