Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-23 20:00:00,5828,Granada,Deportivo La Coruna,2,1,,,,,,
2014-08-31 22:00:00,5785,Granada,Elche,1,1,,,,,,
2014-09-14 20:00:00,5794,Granada,Villarreal,0,0,,,,,,
2014-09-20 17:00:00,5798,Granada,Athletic Club,1,0,,,,,,
2014-09-24 21:00:00,5812,Granada,Levante,0,1,,,,,,
2014-09-27 17:00:00,5818,Granada,Barcelona,0,6,,,,,,
2014-10-04 21:00:00,5759,Granada,Malaga,1,2,,,,,,
2014-10-17 20:00:00,5764,Granada,Rayo Vallecano,0,1,,,,,,
2014-10-25 21:00:00,5779,Granada,Eibar,1,1,,,,,,
2014-11-01 15:00:00,5716,Granada,Real Madrid,0,4,,,,,,
2014-11-08 21:00:00,5730,Granada,Celta Vigo,0,0,,,,,,
2014-11-24 19:45:00,5744,Granada,Almeria,0,0,,,,,,
2014-11-30 16:00:00,5751,Granada,Sevilla,1,5,,,,,,
2014-12-07 20:00:00,5694,Granada,Valencia,1,1,,,,,,
2014-12-14 11:00:00,5702,Granada,Espanyol,1,2,,,,,,
2014-12-21 16:00:00,5713,Granada,Getafe,1,1,,,,,,
2015-01-05 19:45:00,5651,Granada,Cordoba,0,2,,,,,,
2015-01-11 18:00:00,5659,Granada,Real Sociedad,1,1,,,,,,
2015-01-18 16:00:00,5668,Granada,Atletico Madrid,0,2,,,,,,
2015-01-25 11:00:00,5677,Granada,Deportivo La Coruna,2,2,,,,,,
2015-01-31 19:00:00,5685,Granada,Elche,1,0,,,,,,
2015-02-07 17:00:00,5610,Granada,Villarreal,0,2,,,,,,
2015-02-14 19:00:00,5621,Granada,Athletic Club,0,0,,,,,,
2015-02-23 19:45:00,5637,Granada,Levante,1,2,,,,,,
2015-02-28 15:00:00,5639,Granada,Barcelona,1,3,,,,,,
2015-03-07 21:00:00,5575,Granada,Malaga,1,0,,,,,,
2015-03-14 19:00:00,5584,Granada,Rayo Vallecano,1,3,,,,,,
