Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2021-08-14 13:30:00,17519,267,Greuther Fuerth,133,VfB Stuttgart,1,5,,,1.31466,4.25968
2021-08-21 13:30:00,17526,267,Greuther Fuerth,262,Arminia Bielefeld,1,1,,,2.57735,0.763691
2021-08-28 13:30:00,17538,267,Greuther Fuerth,125,Mainz 05,0,3,,,0.304223,2.79493
2021-09-11 13:30:00,17543,267,Greuther Fuerth,131,Wolfsburg,0,2,,,0.392561,1.44282
2021-09-17 18:30:00,17552,267,Greuther Fuerth,122,Hertha Berlin,1,2,,,1.55279,1.59085
2021-09-24 18:30:00,17561,267,Greuther Fuerth,117,Bayern Munich,1,3,,,0.655908,0.677915
2021-10-01 18:30:00,17570,267,Greuther Fuerth,134,FC Cologne,1,3,,,0.984368,2.8694
2021-10-16 13:30:00,17579,267,Greuther Fuerth,268,Bochum,0,1,,,0.69855,1.72207
2021-10-23 13:30:00,17595,267,Greuther Fuerth,136,RasenBallsport Leipzig,1,4,,,1.94277,2.30304
2021-10-30 13:30:00,17600,267,Greuther Fuerth,135,Freiburg,1,3,,,0.48039,1.2181
2021-11-07 18:30:00,17606,267,Greuther Fuerth,132,Eintracht Frankfurt,1,2,,,2.4344,1.26639
