Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-09 20:00:00,6188,Guingamp,Saint-Etienne,0,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-16 19:00:00,6199,Guingamp,Lens,1,0,10.3750,9.6250,10.1488,9.8512,10.3512,9.6488
2014-08-23 16:00:00,6206,Guingamp,Marseille,0,1,9.7500,10.0000,9.7097,10.1998,9.7903,10.0502
2014-08-30 19:00:00,6221,Guingamp,Lorient,0,4,8.8438,10.5312,9.4429,10.4569,9.2446,10.1056
2014-09-14 16:00:00,6153,Guingamp,Bordeaux,2,1,9.4297,10.1016,10.1283,9.7710,9.4810,9.4322
2014-09-21 16:00:00,6163,Guingamp,Monaco,0,1,9.3740,9.7627,9.9830,9.5321,9.7649,10.4934
2014-09-24 18:00:00,6168,Guingamp,Metz,0,1,9.1460,10.1899,10.1084,10.0628,9.4334,10.0672
2014-09-27 19:00:00,6177,Guingamp,Montpellier,1,2,9.2631,9.9972,10.3461,9.0241,9.6798,9.9702
2014-10-05 16:00:00,6121,Guingamp,Nantes,0,1,9.0717,10.1889,10.4520,11.7078,9.4411,8.6698
2014-10-18 19:00:00,6126,Guingamp,Lille,2,1,9.5938,9.1382,10.5336,8.6083,10.1538,9.4180
2014-10-26 16:00:00,6142,Guingamp,Nice,2,7,8.1523,10.7691,9.9500,9.8777,9.1043,11.6604
2014-11-01 19:00:00,6078,Guingamp,SC Bastia,1,0,8.5146,8.7391,10.1231,9.1755,9.4058,10.3027
2014-11-09 13:00:00,6091,Guingamp,Lyon,1,3,9.0938,11.7522,11.2879,8.9357,9.8994,11.0689
2014-11-22 19:00:00,6097,Guingamp,Rennes,0,1,8.9918,10.2879,11.3840,10.6640,9.8493,8.9116
2014-11-30 16:00:00,6112,Guingamp,Evian Thonon Gaillard,0,2,8.7650,9.8113,11.5753,9.9824,9.7043,10.8904
2014-12-03 18:00:00,6043,Guingamp,Caen,5,1,9.8780,8.6040,12.1809,7.5169,10.3247,11.9411
2014-12-07 16:00:00,6054,Guingamp,Reims,3,2,10.3424,9.7711,12.4112,9.6049,10.7732,11.9373
2014-12-14 16:00:00,6063,Guingamp,Paris Saint Germain,1,0,10.5164,10.3643,12.1936,9.9744,11.0888,6.0043
2014-12-20 19:00:00,6071,Guingamp,Toulouse,1,1,10.1927,9.0452,11.8753,9.9268,10.7596,9.6640
2015-01-10 19:00:00,6002,Guingamp,Lens,2,0,10.6002,9.9152,12.2284,10.0990,10.7215,10.9812
2015-01-18 20:00:00,6018,Guingamp,Marseille,1,2,10.4696,10.7082,12.3969,9.1289,10.5417,7.0381
2015-01-24 19:00:00,6021,Guingamp,Lorient,3,2,10.3739,9.6824,12.1648,10.5298,10.3324,10.8352
2015-02-01 16:00:00,5961,Guingamp,Bordeaux,1,1,10.2845,9.6057,12.0626,10.1741,10.2558,9.7871
2015-02-08 13:00:00,5970,Guingamp,Monaco,1,0,10.4982,10.4255,11.8780,10.1469,10.6177,8.9541
2015-02-15 16:00:00,5980,Guingamp,Metz,2,0,10.8597,9.0828,12.0525,11.7828,10.6663,10.6330
2015-02-22 13:00:00,5987,Guingamp,Montpellier,0,2,10.1059,11.0983,11.3104,9.0849,10.4008,10.6116
2015-03-01 13:00:00,5926,Guingamp,Nantes,0,1,9.8238,9.7596,11.2485,11.0254,10.1485,9.9937
2015-03-08 16:00:00,5938,Guingamp,Lille,0,1,9.5866,10.6121,11.1770,9.4585,9.9955,11.7661
2015-03-13 19:30:00,5941,Guingamp,Nice,2,1,10.0573,9.4988,11.4610,10.0070,10.4029,10.4901
2015-03-21 19:00:00,5953,Guingamp,SC Bastia,0,0,10.1449,9.8202,11.6442,9.1359,10.3949,11.5045
2015-04-04 16:00:00,5886,Guingamp,Lyon,1,3,9.6638,11.2015,11.3469,6.7970,10.2300,7.3556
2015-04-12 16:00:00,5899,Guingamp,Rennes,0,1,9.6772,10.2042,11.4135,10.6925,10.4403,10.4655
2015-04-18 19:00:00,5910,Guingamp,Evian Thonon Gaillard,1,1,9.5920,9.9215,11.4361,8.7748,10.2472,14.0683
2015-04-25 19:00:00,5919,Guingamp,Caen,2,0,10.1793,8.8541,11.5342,6.1383,10.8238,13.5698
2015-05-02 19:00:00,5848,Guingamp,Reims,2,0,10.3319,9.1373,11.4845,10.1064,10.6788,13.1676
2015-05-08 19:30:00,5855,Guingamp,Paris Saint Germain,0,6,9.4665,13.2357,11.0826,13.5785,10.8499,1.6431
2015-05-16 20:00:00,5868,Guingamp,Toulouse,2,1,9.6376,9.4800,10.7227,13.2192,11.3021,10.4909
2015-05-23 20:00:00,5882,Guingamp,Saint-Etienne,1,2,9.8901,10.8953,11.2882,7.9921,11.4916,9.0487
2015-08-08 23:00:00,1873,Guingamp,Nantes,0,1,9.6259,9.5976,11.3074,11.2137,11.1940,10.7316
