Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-08-12 15:00:00,7124,Huddersfield,Crystal Palace,3,0,10,10.8750,10,10.3119,10,10.6881
2017-08-20 13:30:00,7136,Huddersfield,Newcastle United,1,0,10.875,11.3859,10.3119,10.3963,10.6881,11.3756
2017-08-26 15:00:00,7144,Huddersfield,Southampton,0,0,11.3859,10.8971,10.3963,10.0875,11.3756,10.7067
2017-09-11 20:00:00,7158,Huddersfield,West Ham,0,2,10.8971,9.9428,10.0875,9.2306,10.7067,10.1550
2017-09-16 15:00:00,7161,Huddersfield,Leicester,1,1,9.9428,9.6525,9.2306,8.8050,10.155,10.0001
2017-09-23 15:00:00,7174,Huddersfield,Burnley,0,0,9.6525,10.0515,8.805,9.1898,10.0001,10.4133
2017-09-30 12:30:00,7179,Huddersfield,Tottenham,0,4,10.0515,9.3777,9.1898,9.1749,10.4133,10.0805
2017-10-14 15:00:00,7196,Huddersfield,Swansea,0,2,9.3777,9.0451,9.1749,9.0777,10.0805,10.0125
2017-10-21 15:00:00,7201,Huddersfield,Manchester United,2,1,9.0451,9.8791,9.0777,9.7768,10.0125,10.7314
2017-10-28 15:00:00,7217,Huddersfield,Liverpool,0,3,9.8791,9.7992,9.7768,9.9252,10.7314,11.1733
2017-11-04 15:00:00,7221,Huddersfield,West Bromwich Albion,1,0,9.7992,9.8300,9.9252,9.6756,11.1733,11.2345
2017-11-18 15:00:00,7237,Huddersfield,Bournemouth,0,4,9.83,9.0895,9.6756,9.8790,11.2345,10.5502
2017-11-26 16:00:00,7245,Huddersfield,Manchester City,1,2,9.0895,9.4398,9.879,9.9483,10.5502,11.4315
2017-11-29 19:45:00,7254,Huddersfield,Arsenal,0,5,9.4398,9.0590,9.9483,9.8167,11.4315,12.0515
2017-12-02 15:00:00,7260,Huddersfield,Everton,0,2,9.059,8.6331,9.8167,9.7417,12.0515,11.7748
