Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-16 15:00:00,4751,Hull,Queens Park Rangers,1,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-24 13:30:00,4765,Hull,Stoke,1,1,9.8750,10.1250,9.6903,10.3097,10.0597,9.9403
2014-08-31 13:30:00,4776,Hull,Aston Villa,1,2,9.7500,10.0000,9.7277,9.7897,10.0223,9.9603
2014-09-15 20:00:00,4728,Hull,West Ham,2,2,9.6406,9.9219,9.5627,9.9231,9.9686,9.9206
2014-09-20 15:00:00,4733,Hull,Newcastle United,2,2,9.6445,9.1524,9.3011,10.2333,10.2380,9.0714
2014-09-27 15:00:00,4744,Hull,Manchester City,2,4,9.1855,10.7676,9.1757,10.5012,9.9455,10.2838
2014-10-04 15:00:00,4689,Hull,Crystal Palace,2,0,9.9118,9.8645,9.5160,9.8756,10.5578,10.1035
2014-10-18 15:00:00,4705,Hull,Arsenal,2,2,10.1291,10.0637,9.3342,10.6100,11.1742,9.2676
2014-10-25 15:00:00,4713,Hull,Liverpool,0,0,10.2481,9.9860,9.3392,10.3688,11.4072,9.6033
2014-11-01 15:00:00,4655,Hull,Southampton,0,1,10.2521,11.7601,9.1812,9.8146,11.8232,9.4556
2014-11-08 15:00:00,4660,Hull,Burnley,0,1,9.6601,8.9763,8.6951,10.3814,11.3754,10.3207
2014-11-23 16:00:00,4677,Hull,Tottenham,1,2,9.1986,9.7757,8.1781,10.7922,11.2194,9.2589
2014-11-29 15:00:00,4683,Hull,Manchester United,0,3,8.9420,10.9289,8.2869,9.0485,11.3474,10.8092
2014-12-03 19:45:00,4596,Hull,Everton,1,1,9.3323,9.6128,8.4311,10.0484,11.9837,8.6768
2014-12-06 15:00:00,4603,Hull,West Bromwich Albion,0,0,9.1549,9.3002,8.1349,9.4363,11.9251,10.6641
2014-12-13 15:00:00,4610,Hull,Chelsea,0,2,9.2076,10.8130,8.4917,9.9648,12.1737,6.4111
2014-12-20 15:00:00,4625,Hull,Swansea,0,1,8.9156,9.8314,8.2928,8.5045,12.0385,10.6585
2014-12-26 15:00:00,4632,Hull,Sunderland,3,1,9.8669,9.2696,8.6192,11.2327,13.1148,10.0564
2014-12-28 15:00:00,4642,Hull,Leicester,0,1,9.2845,9.6198,8.6726,10.4259,12.1467,12.3141
2015-01-01 15:00:00,4558,Hull,Everton,2,0,9.6304,8.8223,8.7683,9.3259,12.2428,9.3181
2015-01-10 15:00:00,4563,Hull,West Bromwich Albion,0,1,9.4734,9.6594,8.7642,10.6867,12.1829,10.8821
2015-01-18 13:30:00,4578,Hull,West Ham,0,3,8.9288,10.3395,8.4039,7.6749,12.2039,10.2546
2015-01-31 12:45:00,4581,Hull,Newcastle United,0,3,8.2176,10.2952,8.5627,10.4984,11.3727,11.0916
2015-02-07 15:00:00,4519,Hull,Manchester City,1,1,8.9152,9.8103,9.2955,8.2252,12.0350,6.1450
2015-02-10 19:45:00,4527,Hull,Aston Villa,2,0,9.2690,8.4767,9.2899,10.5963,12.2483,12.1068
2015-02-21 15:00:00,4540,Hull,Queens Park Rangers,2,1,9.5242,9.5348,9.5206,12.0369,12.2781,11.2834
2015-02-28 15:00:00,4547,Hull,Stoke,0,1,9.3960,9.6396,9.5046,10.1390,12.2877,9.6403
2015-03-03 19:45:00,4483,Hull,Sunderland,1,1,9.1705,9.2197,9.3198,10.6655,12.0216,11.7740
2015-03-14 15:00:00,4495,Hull,Leicester,0,0,9.4904,9.6303,9.7668,10.5149,12.2144,13.7458
2015-03-22 16:00:00,4511,Hull,Chelsea,2,3,9.3121,10.4554,9.9799,9.3998,11.8947,3.0106
2015-04-04 15:00:00,4444,Hull,Swansea,1,3,9.2179,10.5296,10.2407,8.5822,11.9456,13.2270
2015-04-11 15:00:00,4453,Hull,Southampton,0,2,9.1308,10.4565,10.2445,9.0295,12.2676,6.1333
2015-04-25 15:00:00,4474,Hull,Crystal Palace,2,0,9.9366,9.0482,10.9161,10.3558,12.7076,8.7405
2015-04-28 19:45:00,4478,Hull,Liverpool,1,0,10.1507,10.0790,10.9320,11.0753,12.8699,6.8333
2015-05-04 20:00:00,4408,Hull,Arsenal,1,3,9.8185,11.6540,10.4811,10.6578,13.1563,4.6506
2015-05-09 15:00:00,4410,Hull,Burnley,0,1,9.3506,9.9147,10.2419,11.9367,12.7096,13.8921
2015-05-16 15:00:00,4422,Hull,Tottenham,0,2,8.9177,9.5521,10.1670,7.6602,12.4188,10.6938
2015-05-24 15:00:00,4435,Hull,Manchester United,0,0,9.1299,10.0544,10.5254,6.9237,12.4849,6.6855
2016-08-13 15:30:00,461,Hull,Leicester,2,1,9.7590,10.5171,10.4754,9.0830,13.5430,6.4523
2016-08-20 18:00:00,474,Hull,Swansea,2,0,10.7331,10.1813,11.2108,6.8804,14.2558,17.2319
2016-08-27 20:30:00,488,Hull,Manchester United,0,1,10.4458,11.3714,10.6227,6.0187,14.5194,5.4740
2016-09-10 18:00:00,496,Hull,Burnley,1,1,10.4509,9.9613,10.7413,10.9364,14.4111,15.2354
2016-09-17 18:00:00,502,Hull,Arsenal,1,4,9.7226,11.7660,10.0968,13.8135,14.3490,-7.2817
2016-09-24 18:00:00,516,Hull,Liverpool,1,5,9.2696,11.8636,9.5209,15.8617,15.0189,2.1158
2016-10-01 18:00:00,524,Hull,Chelsea,0,2,8.9244,10.7340,9.2460,11.4913,15.1034,-2.0240
2016-10-15 18:00:00,533,Hull,Bournemouth,1,6,8.0489,10.7981,8.9864,10.7903,14.8621,16.0559
2016-10-22 18:00:00,545,Hull,Stoke,0,2,7.8123,9.8390,9.1645,10.6622,14.7108,10.7657
2016-10-29 18:00:00,2679,Hull,Watford,0,1,8.3101,9.8057,9.6877,9.3773,15.4332,12.4842
2016-11-06 18:15:00,2694,Hull,Southampton,2,1,9.0425,10.0073,9.8028,8.4592,16.5329,1.5553
2016-11-19 19:00:00,2700,Hull,Sunderland,0,3,8.4815,9.8594,10.0666,11.1108,15.8971,19.8589
2016-11-26 19:00:00,2708,Hull,West Bromwich Albion,1,1,8.9430,10.3659,10.2837,9.2853,16.6030,17.9465
2016-12-06 00:00:00,3114,Hull,Middlesbrough,0,1,9.2828,10.4624,10.4414,9.5544,17.3749,11.8704
2016-12-10 19:00:00,3116,Hull,Crystal Palace,3,3,9.3841,10.0866,10.7092,10.7502,17.3097,13.4224
2016-12-15 00:00:00,3134,Hull,Tottenham,0,3,9.2474,11.4740,10.7575,7.0009,17.7380,2.4473
2016-12-17 19:00:00,3137,Hull,West Ham,0,1,9.2687,9.8114,10.8321,4.2760,17.9560,15.3466
2016-12-26 21:15:00,3152,Hull,Manchester City,0,3,8.7374,11.1749,10.5827,9.4768,17.8928,-10.1275
2016-12-31 00:00:00,3155,Hull,Everton,2,2,9.1011,10.3284,10.8401,8.8708,18.3627,10.2866
2017-01-02 19:00:00,3333,Hull,West Bromwich Albion,1,3,9.1021,10.6039,11.3682,8.4200,18.3365,18.5380
2017-01-14 19:00:00,3344,Hull,Bournemouth,3,1,9.7363,9.5048,11.4410,11.1560,19.0321,14.8541
2017-01-22 19:30:00,3359,Hull,Chelsea,0,2,9.9087,11.7536,11.8241,8.6141,19.4938,-4.3575
2017-02-01 23:00:00,3368,Hull,Manchester United,0,0,10.3640,10.7745,12.0080,6.5794,20.2205,1.9692
2017-02-04 15:00:00,3373,Hull,Liverpool,2,0,10.7529,10.0309,12.0871,13.6574,20.4193,-3.0955
2017-02-11 12:30:00,3380,Hull,Arsenal,0,2,10.2611,10.7776,11.4311,10.8429,20.5918,-11.5377
2017-02-25 15:00:00,3394,Hull,Burnley,1,1,10.1509,10.4305,11.6002,10.5439,20.2023,18.3161
2017-03-04 15:00:00,3400,Hull,Leicester,1,3,9.6197,10.0571,11.3962,10.6036,19.8438,7.5120
2017-03-11 15:00:00,3417,Hull,Swansea,2,1,9.8969,9.9515,11.5601,7.5198,19.9844,22.1331
2017-03-18 15:00:00,3427,Hull,Everton,0,4,9.3239,11.6778,11.4614,7.0220,19.9371,10.0843
2017-04-01 15:00:00,3433,Hull,West Ham,2,1,9.5151,9.3975,11.2858,3.9680,20.2451,15.0766
2017-04-05 19:45:00,3442,Hull,Middlesbrough,4,2,9.8101,8.9001,11.3123,8.1697,20.3086,13.3809
2017-04-08 15:00:00,3457,Hull,Manchester City,1,3,9.5963,10.6689,11.1038,11.4866,20.5896,-14.6493
2017-04-15 15:00:00,3463,Hull,Stoke,1,3,9.2384,10.0224,11.0355,12.6005,20.4420,10.1942
2017-04-22 15:00:00,3474,Hull,Watford,2,0,9.7188,9.1796,11.0820,10.7884,20.8563,14.3207
