Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-15 17:30:00,1025,Ingolstadt,Mainz 05,1,0,10,10.3750,10,10.1324,10,10.3676
2015-08-23 17:30:00,1037,Ingolstadt,Borussia Dortmund,0,4,10.375,9.3102,10.1324,9.1720,10.3676,10.1984
2015-08-29 17:30:00,1041,Ingolstadt,Augsburg,1,0,9.3102,9.6786,9.172,9.3943,10.1984,10.4629
2015-09-12 17:30:00,1052,Ingolstadt,Wolfsburg,0,0,9.6786,9.8814,9.3943,9.4587,10.4629,10.8042
2015-09-19 17:30:00,1061,Ingolstadt,Werder Bremen,1,0,9.8814,10.1187,9.4587,9.5076,10.8042,10.9801
2015-09-22 22:00:00,1068,Ingolstadt,Hamburger SV,0,1,10.1187,9.8524,9.5076,9.3803,10.9801,10.8247
2015-09-25 22:30:00,1075,Ingolstadt,FC Cologne,1,1,9.8524,9.7373,9.3803,9.0909,10.8247,10.8839
2015-10-03 17:30:00,1089,Ingolstadt,Eintracht Frankfurt,2,0,9.7373,10.3662,9.0909,9.3309,10.8839,11.4016
2015-10-18 19:30:00,1101,Ingolstadt,VfB Stuttgart,0,1,10.3662,9.9505,9.3309,9.2404,11.4016,10.9107
2015-10-24 20:30:00,1108,Ingolstadt,Hertha Berlin,0,1,9.9505,9.8699,9.2404,9.3994,10.9107,10.8405
2015-10-31 18:30:00,1116,Ingolstadt,Schalke 04,1,1,9.8699,10.0137,9.3994,9.3386,10.8405,11.1889
2015-11-07 18:30:00,1124,Ingolstadt,Borussia M.Gladbach,0,0,10.0137,10.6715,9.3386,9.9106,11.1889,11.9325
2015-11-22 20:40:00,1137,Ingolstadt,Darmstadt,3,1,10.6715,10.8013,9.9106,10.0786,11.9325,11.5242
2015-11-28 18:30:00,1140,Ingolstadt,Hannover 96,0,4,10.8013,9.6851,10.0786,9.6780,11.5242,10.6925
2015-12-05 18:30:00,1152,Ingolstadt,Hoffenheim,1,1,9.6851,9.2014,9.678,9.0345,10.6925,10.3687
2015-12-12 18:30:00,1161,Ingolstadt,Bayern Munich,0,2,9.2014,9.4405,9.0345,9.4011,10.3687,10.9802
2015-12-19 18:30:00,1166,Ingolstadt,Bayer Leverkusen,0,1,9.4405,9.2752,9.4011,9.4216,10.9802,10.8791
2016-01-23 18:30:00,1179,Ingolstadt,Mainz 05,1,0,9.2752,9.6156,9.4216,9.7981,10.8791,10.9334
2016-01-30 18:30:00,1185,Ingolstadt,Borussia Dortmund,0,2,9.6156,9.6459,9.7981,9.8161,10.9334,11.4761
2016-02-06 18:30:00,1197,Ingolstadt,Augsburg,2,1,9.6459,10.1715,9.8161,10.7484,11.4761,11.3449
2016-02-13 18:30:00,1204,Ingolstadt,Wolfsburg,0,2,10.1715,9.5562,10.7484,10.4268,11.3449,10.9359
2016-02-20 18:30:00,1214,Ingolstadt,Werder Bremen,2,0,9.5562,9.7213,10.4268,10.4122,10.9359,10.7806
2016-02-27 18:30:00,1222,Ingolstadt,Hamburger SV,1,1,9.7213,9.7987,10.4122,10.5181,10.7806,10.8295
2016-03-01 23:00:00,1229,Ingolstadt,FC Cologne,1,1,9.7987,9.7484,10.5181,10.5319,10.8295,10.7151
2016-03-05 18:30:00,1240,Ingolstadt,Eintracht Frankfurt,1,1,9.7484,9.6427,10.5319,10.1548,10.7151,10.8807
2016-03-12 18:30:00,1248,Ingolstadt,VfB Stuttgart,3,3,9.6427,9.3716,10.1548,9.5725,10.8807,10.9208
2016-03-19 18:30:00,1260,Ingolstadt,Hertha Berlin,1,2,9.3716,9.2088,9.5725,9.5478,10.9208,10.8700
2016-04-02 17:30:00,1267,Ingolstadt,Schalke 04,3,0,9.2088,10.0156,9.5478,9.8559,10.87,11.4255
2016-04-09 17:30:00,1274,Ingolstadt,Borussia M.Gladbach,1,0,10.0156,10.5268,9.8559,10.5510,11.4255,11.5029
2016-04-16 17:30:00,1284,Ingolstadt,Darmstadt,0,2,10.5268,10.2100,10.551,10.5107,11.5029,11.4097
2016-04-23 17:30:00,1296,Ingolstadt,Hannover 96,2,2,10.21,9.4694,10.5107,9.7540,11.4097,10.6852
2016-04-30 17:30:00,1302,Ingolstadt,Hoffenheim,1,2,9.4694,9.3725,9.754,10.0458,10.6852,10.4495
2016-05-07 17:30:00,1317,Ingolstadt,Bayern Munich,1,2,9.3725,9.4771,10.0458,10.3172,10.4495,10.6372
2016-05-14 17:30:00,1323,Ingolstadt,Bayer Leverkusen,2,3,9.4771,9.7862,10.3172,10.8377,10.6372,10.9849
2016-08-27 17:30:00,1329,Ingolstadt,Hamburger SV,1,1,9.7862,9.9431,10.8377,11.2190,10.9849,10.9173
2016-09-10 17:30:00,1338,Ingolstadt,Hertha Berlin,0,2,9.9431,9.2191,11.219,11.0282,10.9173,10.1602
2016-09-17 17:30:00,1349,Ingolstadt,Bayern Munich,1,3,9.2191,9.4070,11.0282,11.9910,10.1602,10.0731
2016-09-20 22:00:00,1355,Ingolstadt,Eintracht Frankfurt,0,2,9.407,9.0429,11.991,12.2344,10.0731,9.6015
2016-09-24 17:30:00,1364,Ingolstadt,Borussia M.Gladbach,0,2,9.0429,8.9802,12.2344,12.5100,9.6015,9.7004
2016-10-01 17:30:00,1375,Ingolstadt,Hoffenheim,1,2,8.9802,8.8385,12.51,12.3448,9.7004,9.8323
2016-10-15 17:30:00,1383,Ingolstadt,FC Cologne,1,2,8.8385,9.3710,12.3448,12.4001,9.8323,11.0919
2016-10-22 17:30:00,1391,Ingolstadt,Borussia Dortmund,3,3,9.371,9.9375,12.4001,12.7608,11.0919,11.8642
2016-10-29 17:30:00,3300,Ingolstadt,Mainz 05,0,2,9.9375,9.6618,12.7608,12.4866,11.8642,12.0869
2016-11-05 18:30:00,2808,Ingolstadt,Augsburg,0,2,9.6618,8.9640,12.4866,12.1462,12.0869,11.5317
2016-11-19 18:30:00,2820,Ingolstadt,Darmstadt,1,0,8.964,9.2069,12.1462,11.9538,11.5317,11.9600
2016-11-26 18:30:00,2828,Ingolstadt,Wolfsburg,1,1,9.2069,9.3542,11.9538,12.8971,11.96,11.3114
2016-12-03 18:30:00,3197,Ingolstadt,Werder Bremen,1,2,9.3542,9.2583,12.8971,12.7665,11.3114,11.5001
2016-12-10 18:30:00,3205,Ingolstadt,RasenBallsport Leipzig,1,0,9.2583,9.9178,12.7665,12.9421,11.5001,12.3936
2016-12-18 20:30:00,3218,Ingolstadt,Bayer Leverkusen,2,1,9.9178,10.3784,12.9421,13.5830,12.3936,12.4240
2016-12-21 23:00:00,3223,Ingolstadt,Freiburg,1,2,10.3784,9.7607,13.583,13.1492,12.424,11.8724
2017-01-21 17:30:00,3723,Ingolstadt,Schalke 04,0,1,9.7607,9.4146,13.1492,12.6784,11.8724,11.9010
2017-01-28 17:30:00,3734,Ingolstadt,Hamburger SV,3,1,9.4146,9.8878,12.6784,12.8828,11.901,12.1430
2017-02-04 14:30:00,3745,Ingolstadt,Hertha Berlin,0,1,9.8878,9.7728,12.8828,12.9458,12.143,12.0999
2017-02-11 14:30:00,3753,Ingolstadt,Bayern Munich,0,2,9.7728,9.6777,12.9458,12.9871,12.0999,12.3683
2017-02-18 14:30:00,3759,Ingolstadt,Eintracht Frankfurt,2,0,9.6777,10.4650,12.9871,13.0877,12.3683,13.3423
2017-02-26 14:30:00,3774,Ingolstadt,Borussia M.Gladbach,0,2,10.465,10.2289,13.0877,13.2810,13.3423,13.1768
2017-03-04 14:30:00,3780,Ingolstadt,Hoffenheim,2,5,10.2289,9.6523,13.281,13.1418,13.1768,12.9129
2017-03-11 17:30:00,3791,Ingolstadt,FC Cologne,2,2,9.6523,9.4777,13.1418,13.0043,12.9129,12.7012
2017-03-17 19:30:00,3794,Ingolstadt,Borussia Dortmund,0,1,9.4777,10.0353,13.0043,14.0124,12.7012,13.0583
2017-04-02 14:30:00,3810,Ingolstadt,Mainz 05,2,1,10.0353,10.2705,14.0124,14.1831,13.0583,13.1080
2017-04-05 19:00:00,3817,Ingolstadt,Augsburg,3,2,10.2705,10.4000,14.1831,14.1636,13.108,13.1366
2017-04-09 16:30:00,3829,Ingolstadt,Darmstadt,3,2,10.4,10.1433,14.1636,14.3265,13.1366,12.2102
2017-04-15 14:30:00,3836,Ingolstadt,Wolfsburg,0,3,10.1433,9.3325,14.3265,13.9024,12.2102,11.7626
2017-04-22 14:30:00,3846,Ingolstadt,Werder Bremen,2,4,9.3325,9.1717,13.9024,14.2467,11.7626,11.5967
2017-04-29 14:30:00,3851,Ingolstadt,RasenBallsport Leipzig,0,0,9.1717,9.7831,14.2467,14.6302,11.5967,12.4359
2017-05-06 14:30:00,3865,Ingolstadt,Bayer Leverkusen,1,1,9.7831,10.0030,14.6302,14.6126,12.4359,12.8933
2017-05-13 14:30:00,3873,Ingolstadt,Freiburg,1,1,10.003,9.8906,14.6126,14.6548,12.8933,12.6262
2017-05-20 14:30:00,3880,Ingolstadt,Schalke 04,1,1,9.8906,9.9022,14.6548,15.0339,12.6262,12.2703
