Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2020-08-08 13:00:00,13997,Khimki,CSKA Moscow,0,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2020-08-14 16:00:00,14006,Khimki,PFC Sochi,1,1,10.1435,9.9307,10.1818,8.7324,10.1053,10.6288
2020-08-18 16:00:00,14014,Khimki,FC Tambov,0,1,9.9220,9.9791,10.0449,7.7924,10.0493,13.1654
2020-08-22 13:00:00,14022,Khimki,FK Akhmat,1,2,9.5635,10.3465,9.9258,14.0497,9.7014,11.6446
2020-08-25 17:30:00,14030,Khimki,Arsenal Tula,1,1,9.8287,9.8593,9.9173,9.2632,10.2404,22.4556
2020-08-29 17:00:00,14039,Khimki,FC Rotor Volgograd,1,1,9.5840,9.5948,9.8640,8.7177,9.8044,11.4719
2020-09-12 13:30:00,14226,Khimki,Ural,1,3,9.3549,10.3966,9.9522,7.4852,9.7580,30.5598
2020-09-18 17:00:00,14233,Khimki,FC Krasnodar,2,7,8.6031,11.5995,9.3650,3.2927,10.0916,-3.3439
2020-09-28 16:00:00,14248,Khimki,Dinamo Moscow,1,0,9.0191,9.3511,9.5020,15.1224,10.5365,6.3298
2020-10-04 11:00:00,14301,Khimki,Lokomotiv Moscow,1,2,9.3758,10.5890,9.9457,9.3503,11.0561,-8.4238
2020-10-17 16:00:00,14311,Khimki,Spartak Moscow,2,3,9.5003,11.2494,10.1196,12.8712,11.3812,7.3776
2020-10-25 13:30:00,14319,Khimki,FC Rostov,2,0,10.4655,9.8958,10.6712,7.2322,12.2600,8.8098
2020-11-01 11:00:00,14328,Khimki,Zenit St. Petersburg,0,2,9.9820,11.5150,10.5115,10.7316,11.9527,8.2982
2020-11-08 11:00:00,14329,Khimki,Rubin Kazan,2,0,10.5338,10.1375,10.7033,13.2630,12.3646,9.0134
2020-11-23 14:00:00,14344,Khimki,FC Ufa,2,1,10.4921,8.9087,10.0715,6.8288,12.6630,18.2375
2020-11-28 13:30:00,14345,Khimki,FC Krasnodar,1,0,10.4504,9.8672,9.9354,3.0224,12.4658,-5.0382
2020-12-06 16:00:00,14358,Khimki,CSKA Moscow,2,2,10.5847,10.3532,9.8609,8.9025,12.8089,8.3040
2020-12-11 16:00:00,14362,Khimki,Arsenal Tula,1,0,10.4561,9.6989,9.1461,8.5490,13.0165,25.5988
2020-12-17 15:00:00,14369,Khimki,Lokomotiv Moscow,3,2,10.2458,9.3253,9.0016,9.4567,12.4904,-9.0576
2021-02-27 11:00:00,14381,Khimki,FC Ufa,2,1,10.3898,10.1777,8.8814,8.0812,12.6486,19.0230
2021-03-06 13:30:00,14388,Khimki,FC Rotor Volgograd,0,0,10.3470,9.7612,8.6275,10.1424,12.8168,13.6300
2021-03-12 16:00:00,14396,Khimki,FC Rostov,1,0,10.5610,10.4889,8.9415,6.6861,12.6808,10.2920
2021-03-19 16:00:00,14407,Khimki,Rubin Kazan,3,1,11.4381,10.6925,9.0589,13.2931,13.8177,9.5932
2021-04-05 16:00:00,14414,Khimki,Zenit St. Petersburg,0,2,11.0249,11.6984,8.5774,11.4589,13.9728,3.9378
2021-04-10 11:00:00,14417,Khimki,FC Tambov,1,0,10.2365,8.1596,7.8156,6.6220,12.9077,18.1974
2021-04-17 11:00:00,14428,Khimki,FK Akhmat,1,3,9.6992,10.1244,7.3857,16.5640,12.7629,9.6864
2021-04-24 16:00:00,14437,Khimki,Dinamo Moscow,1,0,10.3842,10.2543,7.4934,16.5189,13.7753,4.2392
2021-05-02 11:00:00,14447,Khimki,Ural,1,0,10.3946,9.9154,7.1697,6.7095,13.8698,32.8731
2021-05-10 16:00:00,14456,Khimki,Spartak Moscow,1,2,10.2725,10.5285,6.8803,12.1293,14.1651,3.9277
2021-05-16 11:00:00,14463,Khimki,PFC Sochi,0,0,10.2731,10.7742,6.8000,8.2636,14.2466,8.7846
2021-07-24 16:30:00,16137,Khimki,Zenit St. Petersburg,1,3,10.1848,12.5080,6.8465,10.5584,14.5234,1.9576
2021-08-01 17:00:00,16150,Khimki,FC Krasnodar,1,0,10.7412,10.3541,6.8564,2.8735,15.3764,-4.9157
2021-08-08 14:30:00,16156,Khimki,FC Rostov,1,1,10.1978,9.6111,6.4709,6.4278,14.6751,10.0444
2021-08-16 16:00:00,16167,Khimki,PFC Sochi,0,3,9.6499,11.0540,6.3747,10.3660,14.4254,10.2422
2021-08-22 17:00:00,16173,Khimki,Rubin Kazan,1,1,9.7023,10.3072,6.4352,9.5581,14.4698,9.8072
2021-08-27 15:30:00,16177,Khimki,Nizhny Novgorod,1,1,9.5017,9.6006,6.5545,9.3496,13.9493,10.1016
2021-09-11 16:00:00,16185,Khimki,Spartak Moscow,1,3,9.1807,10.0387,6.4598,13.1608,13.9020,1.6667
2021-09-18 11:00:00,16198,Khimki,FC Ufa,2,3,9.2653,9.9345,6.9195,7.4672,13.8615,20.4007
2021-09-25 11:00:00,16206,Khimki,Lokomotiv Moscow,0,0,9.5025,10.4769,7.3595,6.5797,13.8959,-8.8777
2021-10-02 16:00:00,16214,Khimki,Arsenal Tula,0,0,9.6341,9.3974,7.4323,9.5852,14.0863,28.4597
2021-10-17 13:30:00,16223,Khimki,FK Akhmat,2,0,10.0186,9.2874,7.4256,17.1810,14.3619,8.8954
2021-10-22 16:00:00,16227,Khimki,Dinamo Moscow,1,4,9.5537,11.1239,7.2181,18.1848,14.3896,2.5624
2021-10-31 16:00:00,16237,Khimki,Ural,0,0,9.4527,9.7507,7.2171,5.7511,14.1886,36.0025
2021-11-06 13:30:00,16242,Khimki,Krylya Sovetov Samara,0,3,9.3115,11.5290,7.6067,16.4137,14.2666,18.1445
