Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2015-08-22 22:30:00,1402,Las Palmas,Atletico Madrid,0,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2015-08-31 00:30:00,1418,Las Palmas,Levante,0,0,9.6516,9.4547,9.8408,11.3603,9.4624,15.5492
2015-09-13 20:15:00,1426,Las Palmas,Celta Vigo,3,3,10.0790,10.4338,9.7110,11.9428,10.4470,7.6749
2015-09-20 22:30:00,1438,Las Palmas,Rayo Vallecano,0,1,9.3799,9.4819,8.9173,9.6444,10.0926,15.8195
2015-09-24 00:00:00,1447,Las Palmas,Sevilla,2,0,9.7717,9.0552,8.6812,9.9540,10.6122,3.1566
2015-09-26 18:00:00,1450,Las Palmas,Barcelona,1,2,9.9490,10.8036,8.3850,9.3022,11.5130,-10.1947
2015-10-04 00:00:00,1463,Las Palmas,Eibar,0,2,9.4044,10.8154,8.1764,9.9064,11.1325,16.2243
2015-10-18 20:15:00,1476,Las Palmas,Getafe,0,4,8.7745,11.0147,7.9413,13.5489,11.1078,15.2301
2015-10-25 19:00:00,1485,Las Palmas,Villarreal,0,0,8.9975,9.9435,8.1603,8.6417,11.3348,9.7449
2015-10-31 19:00:00,1490,Las Palmas,Real Madrid,1,3,9.3461,11.5435,8.4489,9.4878,12.2435,8.5987
2015-11-06 23:30:00,1499,Las Palmas,Real Sociedad,2,0,9.9033,9.5177,8.5817,7.6619,12.7251,13.3732
2015-11-22 01:00:00,1512,Las Palmas,Valencia,1,1,10.4749,11.1181,9.4166,3.7036,13.0334,7.0327
2015-11-29 01:00:00,1523,Las Palmas,Deportivo La Coruna,0,2,9.7335,10.7508,8.7107,12.1920,12.7565,13.5606
2015-12-06 21:15:00,1536,Las Palmas,Sporting Gijon,1,3,9.0769,9.2635,7.6940,9.7239,12.9599,10.3029
2015-12-13 01:05:00,1544,Las Palmas,Real Betis,1,0,9.3570,9.4174,8.1616,9.0437,12.8026,11.2914
2015-12-19 21:15:00,1550,Las Palmas,Espanyol,0,1,9.2591,9.5631,8.1512,10.8805,12.8671,11.7448
2015-12-31 00:00:00,1566,Las Palmas,Granada,4,1,9.8690,8.5887,8.1608,13.7314,13.3272,15.6966
2016-01-03 21:15:00,1574,Las Palmas,Athletic Club,2,2,10.2236,10.4329,8.2170,10.9438,13.9802,7.6732
2016-01-10 21:15:00,1586,Las Palmas,Malaga,1,1,10.2011,10.6560,7.7464,11.1335,14.4058,12.1786
2016-01-17 21:15:00,1595,Las Palmas,Atletico Madrid,0,3,9.4490,11.4448,7.4620,9.3982,13.9360,8.2412
2016-01-25 23:30:00,1607,Las Palmas,Levante,2,3,9.1997,9.2011,7.4737,12.8727,13.6757,17.7795
