Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-31 17:00:00,5152,Lazio,AC Milan,1,3,9.6250,10.3750,10.1317,9.8683,9.6183,10.3817
2014-09-14 14:00:00,5112,Lazio,Cesena,3,0,10.3750,9.3750,10.4812,9.6894,10.0188,9.5606
2014-09-21 14:00:00,5122,Lazio,Genoa,0,1,10.0938,10.0312,10.6463,9.0502,9.5412,11.0123
2014-09-25 19:45:00,5138,Lazio,Udinese,0,1,9.7149,10.4570,10.4869,10.0744,9.1927,10.3397
2014-09-29 20:00:00,5148,Lazio,Palermo,4,0,10.9551,8.9356,10.9432,9.7416,10.2168,9.3795
2014-10-05 14:00:00,5075,Lazio,Sassuolo,3,2,10.5767,9.3197,10.2972,10.3925,9.8559,10.4973
2014-10-19 11:30:00,5081,Lazio,Fiorentina,2,0,11.1649,9.8415,10.7078,10.1711,10.1218,9.5118
2014-10-26 17:00:00,5096,Lazio,Torino,2,1,10.9617,10.0554,10.4237,10.3744,9.7496,10.4863
2014-10-30 19:45:00,5108,Lazio,Verona,1,1,10.5568,9.2468,9.8039,8.5892,9.5595,11.1545
2014-11-03 20:00:00,5039,Lazio,Cagliari,4,2,11.0409,10.5092,9.9968,11.5387,9.8349,9.4795
2014-11-09 14:00:00,5044,Lazio,Empoli,1,2,10.3645,9.5115,9.5425,11.3917,9.1863,9.3810
2014-11-22 19:45:00,5051,Lazio,Juventus,0,3,9.9512,12.6246,9.7051,10.4366,8.9471,8.8129
2014-11-29 19:45:00,5061,Lazio,Chievo,0,0,9.9504,9.4488,9.7592,9.3349,8.8914,11.5625
2014-12-07 14:00:00,5004,Lazio,Parma,2,1,9.9435,8.4299,9.6128,11.0309,8.7741,10.3290
2014-12-13 19:45:00,5011,Lazio,Atalanta,3,0,10.5181,9.1674,9.9628,9.7933,8.8233,11.0415
2014-12-21 19:45:00,5029,Lazio,Inter,2,2,10.5057,9.9808,9.7495,10.4091,9.0117,9.0525
2015-01-05 19:45:00,4957,Lazio,Sampdoria,3,0,11.1134,9.8288,10.1020,8.8853,9.1246,9.5220
2015-01-11 14:00:00,4974,Lazio,Roma,2,2,11.1980,10.8674,10.3976,9.5811,8.9983,7.6534
2015-01-18 11:30:00,4979,Lazio,Napoli,0,1,10.5473,10.7458,10.0065,12.5481,8.3379,6.4437
2015-01-24 19:45:00,4988,Lazio,AC Milan,3,1,10.7224,9.5725,10.3113,8.0340,7.8833,10.3607
2015-02-01 14:00:00,4921,Lazio,Cesena,1,2,10.1077,9.3785,9.7739,10.8953,7.4414,12.8619
2015-02-09 19:45:00,4935,Lazio,Genoa,0,1,9.6754,10.3108,9.3812,7.4628,7.2195,12.1588
2015-02-15 14:00:00,4944,Lazio,Udinese,1,0,10.1296,9.5379,9.9066,7.4426,7.3525,12.8837
2015-02-22 14:00:00,4950,Lazio,Palermo,2,1,10.3159,10.1886,9.8883,10.4088,7.4935,10.2183
2015-03-01 14:00:00,4885,Lazio,Sassuolo,3,0,10.9543,8.7312,10.5607,8.4808,7.3479,11.2322
2015-03-09 18:00:00,4897,Lazio,Fiorentina,4,0,11.9225,10.3590,11.4044,9.6383,7.4406,8.8295
2015-03-16 18:00:00,4906,Lazio,Torino,2,0,12.1839,10.2066,11.4286,11.4721,7.4392,8.9407
2015-03-22 19:45:00,4913,Lazio,Verona,2,0,12.1149,10.4768,11.2555,11.0235,6.9743,13.6797
2015-04-04 14:00:00,4831,Lazio,Cagliari,3,1,11.9778,9.2037,11.6398,14.0011,5.8158,9.6562
2015-04-12 14:00:00,4844,Lazio,Empoli,4,0,12.3869,9.7052,11.2370,12.4452,6.0368,8.4649
2015-04-18 19:45:00,4852,Lazio,Juventus,0,2,11.4932,11.2060,10.8080,8.0221,5.1785,3.3906
2015-04-26 14:00:00,4867,Lazio,Chievo,1,1,10.9458,10.3510,10.6811,9.5035,4.2106,13.4482
2015-04-29 19:45:00,4873,Lazio,Parma,4,0,11.5596,9.2873,10.6596,11.4734,4.4598,15.8513
2015-05-03 14:00:00,4784,Lazio,Atalanta,1,1,11.2288,10.0674,10.3211,9.9584,4.1368,13.9266
2015-05-10 19:45:00,4797,Lazio,Inter,1,2,10.6438,10.9740,9.7534,10.9062,3.7846,8.0414
2015-05-16 19:45:00,4800,Lazio,Sampdoria,1,0,10.9888,10.1787,9.8252,8.6792,4.1527,10.1783
2015-05-25 17:00:00,4818,Lazio,Roma,1,2,10.4278,10.8058,9.5379,8.9162,3.5680,6.6953
2015-05-31 19:45:00,4824,Lazio,Napoli,4,2,10.9114,9.3785,9.1928,12.9092,4.3803,1.8485
2015-08-22 22:45:00,552,Lazio,Bologna,2,1,10.1250,9.8750,10.1671,9.8329,9.8329,10.1671
2015-08-30 22:45:00,568,Lazio,Chievo,0,4,9.2115,10.8847,10.0533,8.8008,9.1198,14.7180
2015-09-13 20:00:00,578,Lazio,Udinese,2,0,9.7140,9.2190,10.2370,7.9355,9.4411,14.2524
2015-09-20 22:45:00,590,Lazio,Napoli,0,5,8.5959,10.8598,9.9287,13.5994,8.7632,3.1210
2015-09-23 22:45:00,592,Lazio,Genoa,2,0,9.2967,9.1982,10.2462,5.2660,9.3472,10.3802
2015-09-27 17:00:00,604,Lazio,Verona,2,1,9.9000,9.6065,10.9010,9.7018,9.6490,14.5107
2015-10-04 20:00:00,618,Lazio,Frosinone,2,0,10.2628,9.4883,11.4862,8.8383,9.2894,11.6381
2015-10-18 17:00:00,627,Lazio,Sassuolo,1,2,10.1078,10.2977,11.3144,8.9394,9.4011,12.9069
2015-10-25 21:00:00,638,Lazio,Torino,3,0,10.6464,9.2235,11.3516,9.1876,9.6910,9.0096
2015-10-28 23:45:00,647,Lazio,Atalanta,1,2,10.4164,10.4563,11.3169,9.7783,9.5156,15.3842
2015-11-01 23:45:00,658,Lazio,AC Milan,1,3,9.6856,10.7239,10.6841,8.0607,9.1867,12.1366
2015-11-08 18:00:00,666,Lazio,Roma,0,2,9.6997,11.2278,11.0315,8.2432,9.3674,4.9624
2015-11-22 18:00:00,674,Lazio,Palermo,1,1,9.6021,9.9067,11.1525,13.1015,9.0511,8.2120
2015-11-29 21:00:00,687,Lazio,Empoli,0,1,9.6993,10.3935,11.6596,13.6409,8.9883,9.6461
2015-12-04 23:45:00,691,Lazio,Juventus,0,2,9.5372,11.7129,12.0120,8.7715,8.8116,-0.0944
2015-12-14 23:45:00,709,Lazio,Sampdoria,1,1,9.2557,9.1928,11.8307,7.5883,8.4299,11.7972
2015-12-20 23:45:00,719,Lazio,Inter,2,1,10.2578,10.7619,12.8022,9.2867,9.2125,6.4874
2016-01-06 18:00:00,726,Lazio,Carpi,0,0,9.9602,9.8651,12.5675,12.7794,8.8521,11.4507
2016-01-09 21:00:00,731,Lazio,Fiorentina,3,1,10.9468,10.4201,13.2740,8.7873,9.6188,3.8029
2016-01-17 18:00:00,744,Lazio,Bologna,2,2,10.8713,10.2201,13.1541,9.0706,9.5876,12.6197
2016-01-24 18:00:00,758,Lazio,Chievo,4,1,11.4262,10.0359,13.2541,8.1317,9.8473,14.9399
2016-01-31 18:00:00,765,Lazio,Udinese,0,0,10.7933,9.0276,12.7299,10.6234,9.1058,14.6817
2016-02-03 23:45:00,777,Lazio,Napoli,0,2,10.5653,12.6094,12.7514,13.9687,9.1284,-0.9996
2016-02-06 23:45:00,782,Lazio,Genoa,0,0,10.7327,10.5674,12.9655,6.1202,9.2491,12.2642
2016-02-11 23:45:00,791,Lazio,Verona,5,2,11.0597,9.2137,13.4966,9.7225,8.6220,17.9545
2016-02-21 21:00:00,808,Lazio,Frosinone,0,0,10.8446,9.9142,13.3132,9.1961,8.3751,16.8819
2016-02-29 22:00:00,819,Lazio,Sassuolo,0,2,9.8626,10.3987,12.7691,9.0337,7.4553,13.0141
2016-03-06 15:30:00,824,Lazio,Torino,1,1,10.0280,9.8587,12.6418,12.7055,7.9133,7.2625
2016-03-13 23:45:00,839,Lazio,Atalanta,2,0,10.2709,9.2566,12.5511,9.9712,7.9898,15.5417
2016-03-20 23:45:00,850,Lazio,AC Milan,1,1,10.4277,10.2414,12.5097,7.0938,8.3448,9.6392
2016-04-03 17:00:00,855,Lazio,Roma,1,4,9.7648,11.9388,12.9264,6.3747,7.3522,3.2533
2016-04-10 22:45:00,869,Lazio,Palermo,3,0,10.4729,8.3891,13.5439,13.0115,7.4009,11.2669
2016-04-17 20:00:00,879,Lazio,Empoli,2,0,10.7652,9.8498,13.8740,13.2506,7.1554,10.1993
2016-04-20 22:45:00,889,Lazio,Juventus,0,3,10.3486,12.0153,13.3734,5.0554,7.5727,-5.0235
2016-04-24 17:00:00,894,Lazio,Sampdoria,1,2,10.1682,10.3072,13.8756,5.8828,6.9596,15.4820
2016-05-01 22:45:00,908,Lazio,Inter,2,0,10.6904,10.2350,14.1092,9.7946,7.2705,4.6752
2016-05-08 17:00:00,918,Lazio,Carpi,3,1,11.2841,9.9716,13.8382,12.9977,8.2289,12.1953
2016-05-15 22:45:00,929,Lazio,Fiorentina,2,4,10.3617,11.0170,13.2696,10.0532,7.4528,3.7313
2016-08-21 22:45:00,936,Lazio,Atalanta,4,3,10.7311,9.9701,13.4540,10.4556,7.7573,15.9841
2016-08-27 20:00:00,941,Lazio,Juventus,0,1,10.5917,11.8130,13.4528,3.4891,7.7298,-6.1121
2016-09-11 17:00:00,954,Lazio,Chievo,1,1,10.6069,10.1371,13.1526,7.2835,8.0603,16.4905
2016-09-17 20:00:00,961,Lazio,Pescara,3,0,10.9547,9.1501,13.2091,10.0422,7.9493,9.5080
2016-09-20 22:45:00,970,Lazio,AC Milan,0,2,10.2536,10.3513,12.5270,8.9806,7.7291,8.4725
2016-09-25 17:00:00,986,Lazio,Empoli,2,0,10.3452,9.0283,12.3381,12.7717,7.6012,10.5350
2016-10-01 22:45:00,991,Lazio,Udinese,3,0,11.1040,9.1215,12.4075,11.8609,8.2993,17.3815
2016-10-16 17:00:00,1006,Lazio,Bologna,1,1,10.6573,10.2639,12.4301,9.4479,7.3833,11.8302
