Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2020-09-12 16:30:00,14090,Leeds,Liverpool,3,4,9.8750,10.1250,9.4039,10.5961,10.5961,9.4039
2020-09-19 14:00:00,14097,Leeds,Fulham,4,3,9.6783,8.7848,8.9316,13.3099,10.4250,17.0098
2020-09-27 11:00:00,14110,Leeds,Sheffield United,1,0,9.9906,9.1154,8.9774,8.4195,10.7539,10.8113
2020-10-03 16:30:00,14469,Leeds,Manchester City,1,1,10.2615,11.3033,9.5361,6.7765,10.7370,-38.4211
2020-10-19 19:00:00,14478,Leeds,Wolverhampton Wanderers,0,1,9.6550,9.9419,9.2959,13.2679,10.0142,4.1162
2020-10-23 19:00:00,14486,Leeds,Aston Villa,3,0,11.1602,10.6707,10.2701,13.4718,11.3005,24.8675
2020-11-02 20:00:00,14498,Leeds,Leicester,1,4,10.2932,12.0593,9.8210,10.0098,10.7656,3.8578
2020-11-07 15:00:00,14508,Leeds,Crystal Palace,1,4,9.4251,10.1891,9.5895,8.6734,10.0110,16.9553
2020-11-22 16:30:00,14518,Leeds,Arsenal,0,0,9.3556,9.7166,9.8327,0.7904,9.6288,-18.6062
2020-11-28 17:30:00,14531,Leeds,Everton,1,0,9.8414,9.3129,10.5237,12.4851,9.6593,6.6406
2020-12-05 20:00:00,14538,Leeds,Chelsea,1,3,9.8747,11.4413,10.0902,11.8857,10.6594,-33.0019
2020-12-11 20:00:00,14548,Leeds,West Ham,1,2,9.6013,10.5547,10.0122,-0.0978,10.4407,30.4582
2020-12-16 18:00:00,14558,Leeds,Newcastle United,5,2,10.2956,9.1842,10.3333,7.6722,10.7583,31.4466
2020-12-20 16:30:00,14570,Leeds,Manchester United,2,6,9.6359,11.8164,9.8879,1.3178,10.8843,-15.6841
2020-12-27 12:00:00,14578,Leeds,Burnley,1,0,9.8653,9.8242,10.0140,8.1583,10.9670,32.9913
2020-12-29 18:00:00,14590,Leeds,West Bromwich Albion,5,0,11.2951,8.6548,10.4705,11.1116,12.1201,27.1974
2021-01-02 12:30:00,14599,Leeds,Tottenham,0,3,10.4401,11.2302,10.0224,-11.0638,11.6082,-14.7269
2021-01-16 15:00:00,14618,Leeds,Brighton,0,1,9.9450,10.4547,9.5525,14.4419,11.3378,23.2180
2021-01-26 18:00:00,14631,Leeds,Newcastle United,2,1,10.1275,8.9925,9.3974,7.7980,11.6079,33.4375
2021-01-31 14:00:00,14643,Leeds,Leicester,3,1,11.0358,10.3526,9.8257,8.3794,12.4963,1.0745
2021-02-03 19:30:00,14648,Leeds,Everton,1,2,10.2957,10.3155,9.1425,12.2745,11.9493,7.8563
