Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-03 18:30:00,6423,Lokomotiv Moscow,FC Krasnodar,0,0,10,9.8750,10,9.8900,10,9.8600
2014-08-10 16:30:00,6432,Lokomotiv Moscow,Arsenal Tula,2,0,9.875,10.5000,9.89,10.3656,9.86,10.1344
2014-08-14 15:30:00,6438,Lokomotiv Moscow,FC Rostov,2,1,10.5,10.4375,10.3656,10.0535,10.1344,10.0715
2014-08-17 15:30:00,6445,Lokomotiv Moscow,Rubin Kazan,1,1,10.4375,10.1875,10.0535,9.6044,10.0715,10.0206
2014-08-24 16:30:00,6455,Lokomotiv Moscow,Kuban Krasnodar,1,2,10.1875,10.0469,9.6044,9.9647,10.0206,9.6291
2014-08-31 15:00:00,6463,Lokomotiv Moscow,Zenit St. Petersburg,0,1,10.0469,10.1719,9.9647,10.2290,9.6291,9.8648
2014-09-13 13:00:00,6394,Lokomotiv Moscow,Mordovya,1,1,10.1719,9.9532,10.229,10.3588,9.8648,9.2975
2014-09-21 10:30:00,6406,Lokomotiv Moscow,CSKA Moscow,0,1,9.9532,10.0782,10.3588,10.4860,9.2975,9.6703
2014-09-28 13:00:00,6413,Lokomotiv Moscow,Amkar,3,1,10.0782,10.5352,10.486,10.8851,9.6703,9.6852
2014-10-18 16:30:00,6379,Lokomotiv Moscow,FK Akhmat,2,1,10.5352,10.7012,10.8851,10.8926,9.6852,9.7597
2014-10-26 10:30:00,6387,Lokomotiv Moscow,Spartak Moscow,1,1,10.7012,10.7842,10.8926,10.9381,9.7597,9.8802
2014-11-02 10:30:00,6347,Lokomotiv Moscow,Dinamo Moscow,4,2,10.7842,11.2818,10.9381,11.4223,9.8802,9.8911
2014-11-08 13:00:00,6355,Lokomotiv Moscow,Torpedo Moscow,1,0,11.2818,11.4569,11.4223,11.5888,9.8911,9.8247
2014-11-24 16:00:00,6368,Lokomotiv Moscow,FC Ufa,0,0,11.4569,10.9553,11.5888,11.1962,9.8247,9.2141
2014-11-30 10:30:00,6374,Lokomotiv Moscow,Spartak Moscow,1,0,10.9553,10.6678,11.1962,10.6757,9.2141,8.9096
2014-12-03 16:00:00,6333,Lokomotiv Moscow,Ural,1,0,10.6678,10.2387,10.6757,10.1867,8.9096,8.2905
2014-12-07 10:30:00,6340,Lokomotiv Moscow,FK Akhmat,0,0,10.2387,10.1709,10.1867,10.1599,8.2905,8.1818
2015-03-08 15:30:00,6310,Lokomotiv Moscow,FC Rostov,1,0,10.1709,10.3476,10.1599,10.0409,8.1818,8.4041
2015-03-14 16:00:00,6317,Lokomotiv Moscow,Arsenal Tula,0,1,10.3476,9.7997,10.0409,9.8089,8.4041,7.7904
2015-03-22 13:00:00,6328,Lokomotiv Moscow,Mordovya,0,0,9.7997,9.8159,9.8089,9.9674,7.7904,7.6643
2015-04-04 12:15:00,6266,Lokomotiv Moscow,Dinamo Moscow,2,2,9.8159,10.2406,9.9674,10.4821,7.6643,7.9990
2015-04-08 18:00:00,6277,Lokomotiv Moscow,Torpedo Moscow,2,0,10.2406,10.5769,10.4821,10.6509,7.999,8.0029
2015-04-13 13:00:00,6285,Lokomotiv Moscow,Ural,0,2,10.5769,9.8893,10.6509,10.2563,8.0029,7.5223
2015-04-18 11:00:00,6289,Lokomotiv Moscow,FC Ufa,0,1,9.8893,9.1789,10.2563,9.5734,7.5223,7.0344
2015-04-25 17:00:00,6301,Lokomotiv Moscow,FC Krasnodar,0,1,9.1789,9.4048,9.5734,9.9226,7.0344,7.3870
2015-05-03 14:00:00,6228,Lokomotiv Moscow,Amkar,1,1,9.4048,9.6324,9.9226,10.0909,7.387,7.6740
2015-05-10 11:30:00,6235,Lokomotiv Moscow,CSKA Moscow,1,3,9.6324,9.3299,10.0909,9.9034,7.674,7.7565
2015-05-16 17:00:00,6244,Lokomotiv Moscow,Rubin Kazan,3,0,9.3299,10.1006,9.9034,10.0680,7.7565,8.3833
2015-05-25 16:30:00,6255,Lokomotiv Moscow,Kuban Krasnodar,1,1,10.1006,9.9816,10.068,9.7738,8.3833,8.4394
2015-05-30 11:30:00,6257,Lokomotiv Moscow,Zenit St. Petersburg,0,1,9.9816,10.0109,9.7738,9.6649,8.4394,8.8569
