Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-10 20:00:00,6194,Lorient,Monaco,2,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-16 19:00:00,6200,Lorient,Nice,0,0,9.8750,10.1250,10.0517,9.9483,9.6983,10.3017
2014-08-23 19:00:00,6207,Lorient,Lille,0,2,9.6250,10.6250,10.1901,10.1546,9.5599,10.3454
2014-08-30 19:00:00,6221,Lorient,Guingamp,4,0,10.5312,8.8438,10.4569,9.4429,10.1056,9.2446
2014-09-13 19:00:00,6149,Lorient,Montpellier,0,1,10.3671,10.5391,10.2655,9.6635,10.2189,10.4146
2014-09-20 19:00:00,6157,Lorient,Reims,0,1,9.7773,10.0976,9.7782,9.8166,9.7766,11.1287
2014-09-24 18:00:00,6169,Lorient,Lyon,0,4,9.0127,10.9834,9.5871,10.7247,9.4385,10.7420
2014-09-27 19:00:00,6180,Lorient,Evian Thonon Gaillard,0,2,8.5007,9.9766,9.5644,11.0048,8.9372,10.1983
2014-10-04 19:00:00,6117,Lorient,SC Bastia,2,0,9.3851,8.6540,10.0452,9.1348,9.7253,9.6731
2014-10-18 16:00:00,6125,Lorient,Saint-Etienne,0,1,9.1932,10.3096,9.7832,12.0131,9.8536,9.1060
2014-10-25 19:00:00,6138,Lorient,Caen,1,2,9.2369,9.8241,9.8532,8.3705,10.1209,12.0278
2014-11-01 16:00:00,6076,Lorient,Paris Saint Germain,1,2,9.3417,11.0513,10.0698,9.6764,10.3639,8.6762
2014-11-07 19:30:00,6085,Lorient,Rennes,0,1,9.4565,10.1859,10.0502,10.7601,10.8630,8.8615
2014-11-22 19:00:00,6098,Lorient,Lens,1,0,9.6339,9.4887,10.3845,9.7378,10.6335,10.4894
2014-11-29 19:00:00,6108,Lorient,Toulouse,3,2,9.9801,9.1724,10.4615,10.1198,10.9988,8.7253
2014-12-02 18:00:00,6036,Lorient,Marseille,1,1,10.1803,11.0807,10.4335,9.5589,11.4272,7.8529
2014-12-06 19:00:00,6050,Lorient,Bordeaux,2,3,9.9406,9.9612,10.1377,9.1230,11.4936,9.7994
2014-12-13 19:00:00,6061,Lorient,Metz,3,1,10.1303,9.0098,10.2899,10.7696,11.2208,9.5001
2014-12-20 19:00:00,6069,Lorient,Nantes,1,2,9.6918,10.3148,10.5484,10.9997,10.3353,9.3797
