Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 14:30:00,5454,Mainz 05,Paderborn,2,2,10.1250,9.8750,10.4972,9.5028,9.7528,10.2472
2014-08-31 14:30:00,5463,Mainz 05,Hannover 96,0,0,10.0000,10.2500,10.4840,9.9440,9.5160,10.3060
2014-09-13 14:30:00,5415,Mainz 05,Hertha Berlin,3,1,10.5469,9.1406,10.6934,9.6639,9.9003,9.6174
2014-09-20 17:30:00,5426,Mainz 05,Borussia Dortmund,2,0,10.8281,9.8907,10.1924,10.9446,10.4638,9.0866
2014-09-23 19:00:00,5432,Mainz 05,Eintracht Frankfurt,2,2,10.6475,9.7861,9.9234,9.8407,10.3715,9.7315
2014-09-26 19:30:00,5438,Mainz 05,Hoffenheim,0,0,10.3836,10.3557,9.5414,9.1595,10.2257,10.5518
2014-10-05 16:30:00,5391,Mainz 05,Borussia M.Gladbach,1,1,10.5928,10.5110,9.6107,10.5177,10.5747,9.2544
2014-10-18 14:30:00,5393,Mainz 05,Augsburg,2,1,10.5671,10.0159,9.3410,10.1022,10.5431,10.4295
2014-10-26 14:30:00,5408,Mainz 05,Wolfsburg,0,3,9.9097,11.0948,8.8230,10.2728,10.4963,10.1670
2014-11-01 14:30:00,5348,Mainz 05,Werder Bremen,1,2,9.1610,9.1638,8.2077,11.2531,9.8643,10.0744
2014-11-08 14:30:00,5359,Mainz 05,Bayer Leverkusen,0,0,9.4332,9.4775,8.0349,10.4610,10.5815,7.9938
2014-11-22 14:30:00,5368,Mainz 05,Freiburg,2,2,9.5082,10.1582,8.3849,10.6675,10.3815,10.3990
2014-11-29 14:30:00,5376,Mainz 05,Schalke 04,1,4,9.1010,10.7867,8.8504,9.0274,9.8516,11.7963
2014-12-07 14:30:00,5319,Mainz 05,Hamburger SV,1,2,9.1559,9.7656,8.9031,10.7963,10.1586,10.9852
2014-12-13 17:30:00,5327,Mainz 05,VfB Stuttgart,1,1,9.0246,9.2621,8.9735,10.3612,9.8256,11.4131
2014-12-16 19:00:00,5332,Mainz 05,FC Cologne,0,0,9.3851,9.6063,9.3193,9.4689,10.2009,10.9934
2014-12-19 19:30:00,5339,Mainz 05,Bayern Munich,1,2,9.7175,11.8823,9.8164,9.3889,10.6186,5.1259
2015-01-31 14:30:00,5306,Mainz 05,Paderborn,5,0,10.8065,8.4845,10.1957,8.6633,11.1673,10.8056
2015-02-03 19:00:00,5262,Mainz 05,Hannover 96,1,1,10.6943,9.9700,9.9534,10.1176,11.1852,11.3229
2015-02-07 14:30:00,5275,Mainz 05,Hertha Berlin,0,2,9.5307,9.7035,9.2271,10.1005,10.0843,12.3068
2015-02-13 19:30:00,5280,Mainz 05,Borussia Dortmund,2,4,9.4464,10.7778,9.1292,13.8056,10.5136,8.7497
2015-02-21 14:30:00,5292,Mainz 05,Eintracht Frankfurt,3,1,10.0822,9.8537,9.3763,10.2016,11.0381,10.5055
2015-02-28 14:30:00,5301,Mainz 05,Hoffenheim,0,2,9.6465,10.2752,9.4201,10.1444,10.6229,10.1559
2015-03-07 17:30:00,5239,Mainz 05,Borussia M.Gladbach,2,2,9.5894,9.9752,9.3044,8.2275,10.6244,8.4731
2015-03-14 14:30:00,5243,Mainz 05,Augsburg,2,0,10.4000,9.5213,9.7847,9.0489,11.2654,9.7434
2015-03-22 14:30:00,5258,Mainz 05,Wolfsburg,1,1,10.4679,11.1038,9.9065,7.7428,11.2794,7.4648
2015-04-04 14:30:00,5195,Mainz 05,Werder Bremen,0,0,10.4886,10.0301,9.9777,11.6564,11.2497,11.6536
2015-04-11 14:30:00,5208,Mainz 05,Bayer Leverkusen,2,3,10.3787,11.6588,10.4286,9.8132,10.8290,8.2539
2015-04-18 14:30:00,5214,Mainz 05,Freiburg,3,2,10.6677,9.7457,10.7233,10.3515,10.8623,11.6402
2015-04-24 19:30:00,5222,Mainz 05,Schalke 04,2,0,10.9424,9.9918,10.5693,7.5115,11.0657,11.4723
2015-05-03 14:30:00,5166,Mainz 05,Hamburger SV,1,2,10.0656,9.8121,9.9587,11.2247,10.1728,14.8994
2015-05-09 17:30:00,5174,Mainz 05,VfB Stuttgart,0,2,9.5201,9.9291,9.3076,13.2653,10.2329,11.5933
2015-05-16 14:30:00,5181,Mainz 05,FC Cologne,2,0,10.1253,9.8356,9.5794,9.5490,10.6714,11.6219
2015-05-23 14:30:00,5192,Mainz 05,Bayern Munich,0,2,9.6908,10.3216,9.1417,5.8884,10.7400,-0.7450
