Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2014-08-23 18:00:00,5826,137,Malaga,147,Athletic Club,1,0,,,1.32107,1.14151
2014-08-29 21:00:00,5837,137,Malaga,146,Valencia,0,3,,,1.13196,1.96863
2014-09-13 17:00:00,5788,137,Malaga,151,Levante,0,0,,,0.819725,0.358265
2014-09-20 21:00:00,5800,137,Malaga,141,Espanyol,2,2,,,0.446347,2.76188
2014-09-24 21:00:00,5813,137,Malaga,148,Barcelona,0,0,,,0.278657,0.646364
2014-09-28 11:00:00,5822,137,Malaga,142,Getafe,0,1,,,0.619457,0.704397
2014-10-04 21:00:00,5759,137,Malaga,155,Granada,2,1,,,2.2003,0.851565
2014-10-18 21:00:00,5768,137,Malaga,206,Cordoba,2,1,,,1.41292,0.395949
2014-10-26 11:00:00,5780,137,Malaga,145,Rayo Vallecano,4,0,,,3.90394,0.395055
2014-11-01 21:00:00,5719,137,Malaga,140,Real Sociedad,1,0,,,1.46771,0.112869
2014-11-08 21:00:00,5729,137,Malaga,156,Eibar,2,1,,,2.15625,0.783082
2014-11-22 15:00:00,5736,137,Malaga,143,Atletico Madrid,1,3,,,0.172228,2.30452
2014-11-29 19:00:00,5748,137,Malaga,150,Real Madrid,1,2,,,1.16042,4.15129
2014-12-06 21:00:00,5690,137,Malaga,139,Deportivo La Coruna,1,0,,,0.375388,2.64447
2014-12-13 21:00:00,5701,137,Malaga,152,Celta Vigo,1,0,,,1.10137,1.10271
2014-12-21 18:00:00,5714,137,Malaga,207,Elche,2,1,,,1.43511,0.508293
2015-01-03 21:00:00,5646,137,Malaga,208,Almeria,1,2,,,0.574598,1.38062
2015-01-10 17:00:00,5654,137,Malaga,154,Villarreal,1,1,,,0.496312,0.732696
2015-01-18 20:00:00,5671,137,Malaga,138,Sevilla,0,2,,,0.364,1.94535
2015-01-25 16:00:00,5678,137,Malaga,147,Athletic Club,1,1,,,1.25659,0.959466
2015-02-02 19:45:00,5606,137,Malaga,146,Valencia,1,0,,,1.68775,0.656199
2015-02-07 19:00:00,5611,137,Malaga,151,Levante,1,4,,,0.44907,3.08668
2015-02-14 21:00:00,5622,137,Malaga,141,Espanyol,0,2,,,1.56057,0.6984
2015-02-21 15:00:00,5629,137,Malaga,148,Barcelona,1,0,,,1.63942,1.22195
2015-02-28 21:00:00,5565,137,Malaga,142,Getafe,3,2,,,1.61726,2.02132
2015-03-07 21:00:00,5575,137,Malaga,155,Granada,0,1,,,0.108569,1.48614
2015-03-15 16:00:00,5587,137,Malaga,206,Cordoba,2,0,,,1.64345,0.926039
2015-03-21 17:00:00,5593,137,Malaga,145,Rayo Vallecano,0,1,,,0.787002,0.578125
2015-04-04 21:00:00,5509,137,Malaga,140,Real Sociedad,1,1,,,1.94239,0.432609
2015-04-07 21:00:00,5517,137,Malaga,156,Eibar,0,1,,,0.428638,0.790085
2015-04-11 17:00:00,5526,137,Malaga,143,Atletico Madrid,2,2,,,0.670229,2.52542
2015-04-18 19:00:00,5538,137,Malaga,150,Real Madrid,1,3,,,1.04346,3.03655
2015-04-26 11:00:00,5550,137,Malaga,139,Deportivo La Coruna,1,1,,,1.32081,1.16186
2015-04-29 19:00:00,5560,137,Malaga,152,Celta Vigo,0,1,,,1.16202,2.42446
2015-05-03 20:00:00,5473,137,Malaga,207,Elche,1,2,,,3.77025,1.57961
2015-05-10 18:00:00,5482,137,Malaga,208,Almeria,2,1,,,2.14355,1.84645
2015-05-17 18:00:00,5485,137,Malaga,154,Villarreal,1,2,,,0.853222,1.15862
2015-05-23 17:30:00,5499,137,Malaga,138,Sevilla,2,3,,,0.698996,2.65132
2015-08-21 22:30:00,1399,137,Malaga,138,Sevilla,0,0,,,0.98272,0.856601
2015-08-29 22:30:00,1411,137,Malaga,148,Barcelona,0,1,,,0.223011,1.92171
2015-09-13 22:30:00,1427,137,Malaga,156,Eibar,0,0,,,1.03596,0.885807
2015-09-18 22:30:00,1429,137,Malaga,142,Getafe,0,1,,,0.690557,1.18708
2015-09-24 00:00:00,1446,137,Malaga,154,Villarreal,0,1,,,0.878256,0.933564
2015-09-26 20:15:00,1451,137,Malaga,150,Real Madrid,0,0,,,0.638418,3.18828
2015-10-04 00:05:00,1464,137,Malaga,140,Real Sociedad,3,1,,,1.89707,1.04161
2015-10-18 00:00:00,1472,137,Malaga,146,Valencia,0,3,,,1.53697,1.59507
2015-10-25 00:05:00,1483,137,Malaga,139,Deportivo La Coruna,2,0,,,1.06014,0.766533
2015-11-01 21:15:00,1497,137,Malaga,149,Sporting Gijon,0,1,,,0.482096,1.51083
2015-11-08 01:05:00,1504,137,Malaga,153,Real Betis,0,1,,,0.890995,0.876923
2015-11-21 23:30:00,1511,137,Malaga,141,Espanyol,0,2,,,0.753602,1.15492
2015-11-28 23:30:00,1522,137,Malaga,155,Granada,2,2,,,1.40547,0.557943
2015-12-06 23:30:00,1537,137,Malaga,147,Athletic Club,0,0,,,0.699162,0.305008
2015-12-13 15:00:00,1545,137,Malaga,145,Rayo Vallecano,2,1,,,1.43186,1.12081
2015-12-20 23:30:00,1557,137,Malaga,143,Atletico Madrid,1,0,,,1.0242,0.378061
2015-12-30 19:00:00,1559,137,Malaga,151,Levante,1,0,,,1.04316,0.167376
2016-01-03 01:05:00,1570,137,Malaga,152,Celta Vigo,2,0,,,3.03854,1.0569
2016-01-10 21:15:00,1586,137,Malaga,144,Las Palmas,1,1,,,2.18407,0.391723
2016-01-16 19:00:00,1588,137,Malaga,138,Sevilla,1,2,,,1.00078,1.39715
2016-01-23 19:00:00,1599,137,Malaga,148,Barcelona,1,2,,,1.12099,2.55037
2016-01-30 21:15:00,1609,137,Malaga,156,Eibar,2,1,,,1.31996,0.856269
2016-02-05 23:30:00,1618,137,Malaga,142,Getafe,3,0,,,2.07318,0.524602
2016-02-13 21:15:00,1630,137,Malaga,154,Villarreal,0,1,,,0.671008,0.760756
2016-02-21 19:00:00,1645,137,Malaga,150,Real Madrid,1,1,,,1.68623,1.76313
2016-02-28 01:05:00,1654,137,Malaga,140,Real Sociedad,1,1,,,1.22344,0.871084
2016-03-02 23:00:00,1662,137,Malaga,146,Valencia,1,2,,,0.433431,1.38765
2016-03-06 01:05:00,1672,137,Malaga,139,Deportivo La Coruna,3,3,,,0.990845,3.50017
2016-03-11 23:30:00,1679,137,Malaga,149,Sporting Gijon,1,0,,,0.459569,0.957008
2016-03-20 01:05:00,1694,137,Malaga,153,Real Betis,1,0,,,1.33486,1.65417
2016-04-03 18:00:00,1705,137,Malaga,141,Espanyol,1,1,,,1.50099,0.260613
2016-04-08 22:30:00,1709,137,Malaga,155,Granada,0,0,,,1.05827,0.613945
2016-04-17 14:00:00,1724,137,Malaga,147,Athletic Club,0,1,,,1.9143,1.08656
2016-04-20 22:45:00,1735,137,Malaga,145,Rayo Vallecano,1,1,,,1.14186,1.05395
2016-04-23 20:15:00,1741,137,Malaga,143,Atletico Madrid,0,1,,,0.167259,1.19248
2016-05-02 22:30:00,1758,137,Malaga,151,Levante,3,1,,,2.53234,1.88493
2016-05-08 19:00:00,1760,137,Malaga,152,Celta Vigo,0,1,,,0.981005,1.25876
2016-05-15 14:00:00,1774,137,Malaga,144,Las Palmas,4,1,,,2.24531,1.78426
2016-08-19 22:45:00,1779,137,Malaga,157,Osasuna,1,1,,,0.834224,0.829951
2016-08-27 00:00:00,1790,137,Malaga,141,Espanyol,2,2,,,0.43567,0.449707
2016-09-10 20:15:00,1803,137,Malaga,154,Villarreal,0,2,,,1.05974,2.47884
2016-09-17 22:45:00,1813,137,Malaga,144,Las Palmas,0,1,,,0.645227,0.869251
2016-09-20 22:00:00,1819,137,Malaga,156,Eibar,2,1,,,0.474926,1.77918
2016-09-23 22:45:00,1829,137,Malaga,153,Real Betis,0,1,,,0.786565,0.741813
2016-10-02 20:30:00,1846,137,Malaga,147,Athletic Club,2,1,,,1.38797,0.599527
2016-10-16 14:00:00,1854,137,Malaga,158,Alaves,1,1,,,0.419972,1.34202
2016-10-23 20:30:00,1866,137,Malaga,159,Leganes,4,0,,,3.12089,1.18794
2016-10-29 20:30:00,3311,137,Malaga,143,Atletico Madrid,2,4,,,0.244565,1.96583
2016-11-04 23:45:00,2776,137,Malaga,149,Sporting Gijon,3,2,,,1.92978,1.27243
2016-11-19 19:15:00,2788,137,Malaga,148,Barcelona,0,0,,,0.55807,1.44819
2016-11-26 16:00:00,2797,137,Malaga,139,Deportivo La Coruna,4,3,,,1.28044,2.70531
2016-12-04 23:45:00,3171,137,Malaga,146,Valencia,2,2,,,0.849918,0.524646
2016-12-09 23:45:00,3173,137,Malaga,155,Granada,1,1,,,2.80255,0.963052
2016-12-17 23:45:00,3187,137,Malaga,138,Sevilla,1,4,,,0.618725,2.71147
2017-01-08 21:30:00,3891,137,Malaga,152,Celta Vigo,1,3,,,0.713817,1.81695
2017-01-16 23:45:00,3903,137,Malaga,140,Real Sociedad,0,2,,,0.67373,0.927504
2017-01-21 18:15:00,3906,137,Malaga,150,Real Madrid,1,2,,,0.399232,1.98978
2017-01-27 22:45:00,3914,137,Malaga,157,Osasuna,1,1,,,1.86933,0.814611
2017-02-04 12:00:00,3931,137,Malaga,141,Espanyol,0,1,,,1.46513,0.115172
2017-02-12 11:00:00,3941,137,Malaga,154,Villarreal,1,1,,,0.439488,1.12992
2017-02-20 19:45:00,3950,137,Malaga,144,Las Palmas,2,1,,,2.39662,0.574955
2017-02-25 19:45:00,3964,137,Malaga,156,Eibar,0,3,,,0.136305,1.80008
2017-02-28 20:30:00,3973,137,Malaga,153,Real Betis,1,2,,,1.00658,1.35901
2017-03-05 19:45:00,3980,137,Malaga,147,Athletic Club,0,1,,,0.786509,1.51926
2017-03-11 17:30:00,3993,137,Malaga,158,Alaves,1,2,,,1.50045,0.625695
2017-03-19 11:00:00,4000,137,Malaga,159,Leganes,0,0,,,0.380419,0.767247
2017-04-01 19:45:00,4008,137,Malaga,143,Atletico Madrid,0,2,,,0.844668,1.05742
2017-04-05 19:30:00,4023,137,Malaga,149,Sporting Gijon,1,0,,,0.556202,0.809443
